4655-2019-06-16_Solothurner_Kantonal_Schwingfest-ST

1a;Strebel Joel;**;;;;;;;;;58.5
o;6;28.25;Brand Christian;**;13;55.0;10;27.25;4;-1.0;8.75
+;7;37.0;Vogel Remo (2001);*;17;54.0;13;35.5;6;-1.5;9.75
o;7;46.75;Hermann Oliver;*;7;56.5;7;46.75;0;0.0;8.5

12b;Kocher Remo;**;;;;;;;;;55.25
o;;;Döbeli Lukas;**;;;;;;;8.5
o;4;8.5;Hügli Kaj;**;9;56.0;3;8.75;-1;0.25;8.5
+;9;17.0;Brugger Jonas;;23;52.5;6;18.25;-3;1.25;9.75
+;12;26.75;Graf Gian (2003);;15;54.5;10;27.25;-2;0.5;10.0
+;8;36.75;Läuchli Janik;*;11;55.5;7;37.0;-1;0.25;9.75
o;8;46.5;Räbmatter Patrick;***;5;57.0;5;47.25;-3;0.75;8.75

12c;Krebs Clemens;*;;;;;;;;;55.25
o;;;Lisser Daniel;*;;;;;;;8.5
+;4;8.5;Furrer Mathias;;17;54.0;2;9.75;-2;1.25;9.75
+;6;18.25;Meyer Markus;;16;54.25;4;18.75;-2;0.5;9.75
o;7;28.0;Kropf Marcel;**;10;55.75;10;27.25;3;-0.75;8.5
-;9;36.5;Christ Dario (2003);;17;54.0;8;36.75;-1;0.25;8.75
+;13;45.25;Burren Dominik (2003);;17;54.0;12;45.5;-1;0.25;10.0

12d;Moser Matthias;*;;;;;;;;;55.25
+;;;Mangold Martin;*;;;;;;;9.75
o;2;9.75;Bächli Michael;**;34;20.0;1;10.0;-1;0.25;8.5
-;6;18.25;Kehr Damian (2001);;10;55.75;5;18.5;-1;0.25;8.75
+;11;27.0;Meyer Markus;;16;54.25;10;27.25;-1;0.25;9.75
o;8;36.75;Schmid Samuel;**;13;55.0;8;36.75;0;0.0;8.5
+;13;45.25;Büchi Christian;;17;54.0;12;45.5;-1;0.25;10.0

13a;Gerber Manuel;*;;;;;;;;;55.0
-;;;Leuthard Reto;**;;;;;;;8.75
+;3;8.75;Graber Colin;;15;54.5;1;10.0;-2;1.25;9.75
o;5;18.5;Gnägi Florian;***;8;56.25;7;17.5;2;-1.0;8.5
+;11;27.0;Kehr Damian (2001);;10;55.75;10;27.25;-1;0.25;9.75
+;8;36.75;Burren Patrick;*;11;55.5;6;37.25;-2;0.5;9.75
o;8;46.5;Hauri Urs;**;7;56.5;7;46.75;-1;0.25;8.5

13b;Lisser Beat;*;;;;;;;;;55.0
+;;;Vogel Remo (2001);*;;;;;;;9.75
o;2;9.75;Döbeli Andreas;*;3;57.5;1;10.0;-1;0.25;8.5
+;6;18.25;Herrmann Adrian;;22;52.75;5;18.5;-1;0.25;9.75
+;7;28.0;Reimann Marco;;11;55.5;6;28.25;-1;0.25;10.0
o;3;38.0;Räbmatter Patrick;***;5;57.0;6;37.25;3;-0.75;8.5
o;8;46.5;Döbeli Lukas;**;4;57.25;4;47.5;-4;1.0;8.5

13c;Reinhard Pirmin (2001);;;;;;;;;;55.0
+;;;Bachmann Sämi (2001);;;;;;;;9.75
o;2;9.75;Schmutz Adrian;*;16;54.25;4;8.5;2;-1.25;8.5
+;6;18.25;Allemann Robin (2002);;18;53.75;5;18.5;-1;0.25;10.0
o;6;28.25;Stüdeli Thomas;**;3;57.5;8;27.75;2;-0.5;8.5
o;8;36.75;Ris Jörn;*;16;54.25;12;35.75;4;-1.0;8.5
+;13;45.25;Steger Robert;;17;54.0;12;45.5;-1;0.25;9.75

13d;Kohler Adrian;*;;;;;;;;;55.0
+;;;Steinmann Yves;*;;;;;;;9.75
o;2;9.75;Bieri Christoph;***;5;57.0;2;9.75;0;0.0;8.5
+;6;18.25;Gisin Yanic;;28;35.5;5;18.5;-1;0.25;10.0
+;6;28.25;Schwob Marco;;13;55.0;7;28.0;1;-0.25;9.75
o;3;38.0;Döbeli Lukas;**;4;57.25;4;37.75;1;-0.25;8.5
o;8;46.5;Odermatt Adrian (2001);*;8;56.25;9;46.25;1;-0.25;8.5

13e;Schwob Marco;;;;;;;;;;55.0
+;;;Müller Simon;;;;;;;;9.75
+;2;9.75;Späti Jan (2002);;18;53.75;3;8.75;1;-1.0;9.75
o;3;19.5;Stegmüller Klemens;*;11;55.5;6;18.25;3;-1.25;8.5
o;7;28.0;Kohler Adrian;*;13;55.0;6;28.25;-1;0.25;8.5
o;9;36.5;Gnägi Damian;;13;55.0;10;36.25;1;-0.25;8.5
+;14;45.0;Bucher Yanik (2003);;19;53.5;15;44.75;1;-0.25;10.0

13f;Probst Gabriel;**;;;;;;;;;55.0
+;;;Burren Patrick;*;;;;;;;10.0
o;1;10.0;Hermann Oliver;*;7;56.5;2;9.75;1;-0.25;8.75
-;4;18.75;Müller Simon;;19;53.5;6;18.25;2;-0.5;9.0
+;8;27.75;Burkhardt Roy;;13;55.0;6;28.25;-2;0.5;9.75
-;5;37.5;Brand Christian;**;13;55.0;7;37.0;2;-0.5;9.0
o;8;46.5;Döbeli Andreas;*;3;57.5;4;47.5;-4;1.0;8.5

13g;Brand Christian;**;;;;;;;;;55.0
-;;;Anderegg David;*;;;;;;;8.75
-;3;8.75;Schaffner Samuel;**;35;17.5;3;8.75;0;0.0;8.75
+;7;17.5;Bader Thomas (2002);;20;53.25;4;18.75;-3;1.25;9.75
+;10;27.25;Büttler Adrian;;12;55.25;6;28.25;-4;1.0;9.75
-;7;37.0;Probst Gabriel;**;13;55.0;5;37.5;-2;0.5;9.0
-;10;46.0;Stegmüller Klemens;*;11;55.5;8;46.5;-2;0.5;9.0

13h;Streich Sascha (2001);;;;;;;;;;55.0
-;;;Schär Jonas;;;;;;;;8.75
-;3;8.75;Kehr Damian (2001);;10;55.75;2;9.75;-1;1.0;8.75
+;7;17.5;Hasler Luis (2002);;26;44.5;8;17.25;1;-0.25;10.0
-;9;27.5;Bader Andreas;**;14;54.75;8;27.75;-1;0.25;8.75
-;10;36.25;Burren Dominik (2003);;17;54.0;12;35.75;2;-0.5;8.75
+;14;45.0;Körkel Yannik;;21;53.0;16;44.5;2;-0.5;10.0

13i;Järmann Florian (2002);;;;;;;;;;55.0
o;;;Büttler Gian;;;;;;;;8.5
+;4;8.5;Allemann Robin (2002);;18;53.75;1;10.0;-3;1.5;9.75
o;6;18.25;Schmutz Adrian;*;16;54.25;6;18.25;0;0.0;8.5
+;12;26.75;Hermann Lukas 1;;29;35.25;12;26.75;0;0.0;9.75
o;9;36.5;Bader Andreas;**;14;54.75;9;36.5;0;0.0;8.5
+;14;45.0;Herrmann Adrian;;22;52.75;17;44.25;3;-0.75;10.0

13j;Burkhardt Roy;;;;;;;;;;55.0
+;;;Caviezel Nicolas (2003);;;;;;;;10.0
o;1;10.0;Schmutz Simon;*;8;56.25;3;8.75;2;-1.25;8.5
