3715-2018-07-01_112_Innerschweizerisches_Schwingfest-ST

1a;Stucki Christian;***;;;;;;;;;114.0
-;;;Linggi Bruno;**;;;;;;;8.75
+;7;8.75;Hofmann Florian;**;38;34.0;8;8.5;1;-0.25;10.0
o;8;18.75;Gloggner Philipp;***;8;57.0;8;18.75;0;0.0;8.5
+;13;27.25;Felder Seppi;*;30;43.0;19;25.75;6;-1.5;10.0
-;12;37.25;Bucher Christian;*;16;55.0;12;37.25;0;0.0;8.75
+;16;46.0;Reichmuth Armin;*;18;54.5;16;46.0;0;0.0;10.0

13a;Lang Sven;*;;;;;;;;;55.75
o;;;Arnold Marcel;*;;;;;;;8.5
-;8;8.5;Rohrer Ueli;*;17;54.75;7;8.75;-1;0.25;8.75
+;14;17.25;Blaser Theo;*;36;34.5;13;17.5;-1;0.25;10.0
o;13;27.25;Murer Andy;**;14;55.5;14;27.0;1;-0.25;8.5
+;18;35.75;Reichmuth Roland;*;19;54.25;18;35.75;0;0.0;10.0
+;17;45.75;Betschart Marcel;*;21;53.75;19;45.25;2;-0.5;10.0

13b;Burch Jonas;*;;;;;;;;;55.75
o;;;Bucher Christian;*;;;;;;;8.5
-;8;8.5;Suter Beat;;23;53.25;7;8.75;-1;0.25;8.75
+;14;17.25;Gwerder Andreas;*;24;53.0;15;17.0;1;-0.25;10.0
o;13;27.25;Müller Michael;**;12;56.0;13;27.25;0;0.0;8.5
+;18;35.75;Felder Seppi;*;30;43.0;23;34.25;5;-1.5;10.0
+;17;45.75;Moos Christoph;*;19;54.25;17;45.75;0;0.0;10.0

13c;Bieri Christian;**;;;;;;;;;55.75
o;;;Rohrer Marco;**;;;;;;;8.5
o;8;8.5;Kempf Elias;**;20;54.0;7;8.75;-1;0.25;8.75
-;14;17.25;Kennel Stefan;**;36;34.5;14;17.25;0;0.0;8.75
+;18;26.0;Bürgi Tobias;;36;34.5;18;26.0;0;0.0;9.75
+;18;35.75;Zimmermann Simon;**;18;54.5;17;36.0;-1;0.25;10.0
+;17;45.75;Ulrich Marco;*;19;54.25;18;45.5;1;-0.25;10.0

13d;Rhyner Michael;**;;;;;;;;;55.75
-;;;Gloggner Philipp;***;;;;;;;8.75
o;7;8.75;Fellmann Roman;*;7;57.25;4;10.0;-3;1.25;8.5
+;14;17.25;Schürpf Bruno;*;15;55.25;9;18.5;-5;1.25;9.75
-;14;27.0;Vogel Remo;**;17;54.75;12;27.5;-2;0.5;8.75
+;18;35.75;Wyrsch Silvio;*;15;55.25;14;36.75;-4;1.0;10.0
+;17;45.75;Thalmann Thomas;*;28;44.25;23;44.25;6;-1.5;10.0

13e;Hirsiger Alexander;*;;;;;;;;;55.75
+;;;Käslin Ruedi;*;;;;;;;9.75
o;5;9.75;Gisler Bruno;***;17;54.75;8;8.5;3;-1.25;8.5
+;10;18.25;Steiner Severin (2001);;34;35.25;10;18.25;0;0.0;10.0
+;9;28.25;Streiff Dominik;*;16;55.0;7;28.75;-2;0.5;9.75
-;9;38.0;Hurschler Thomas;**;8;57.0;8;38.25;-1;0.25;8.75
-;13;46.75;Höﬂiger Andreas;**;14;55.5;14;46.5;1;-0.25;9.0

13f;Erb Roger;**;;;;;;;;;55.75
o;;;Ulrich Andreas;***;;;;;;;8.5
+;8;8.5;Briker Michael;*;20;54.0;5;9.75;-3;1.25;10.0
+;9;18.5;Gwerder Michael (2000);*;8;57.0;5;19.75;-4;1.25;10.0
o;8;28.5;Schurtenberger Sven;***;6;57.75;7;28.75;-1;0.25;8.5
+;13;37.0;Odermatt Remo;*;19;54.25;13;37.0;0;0.0;10.0
-;12;47.0;Waser Dominik;**;13;55.75;12;47.0;0;0.0;8.75

13g;Waser Dominik;**;;;;;;;;;55.75
-;;;Kempf Elias;**;;;;;;;8.75
+;7;8.75;Grab Daniel;**;36;34.5;8;8.5;1;-0.25;9.75
+;9;18.5;Arnold Fabian;*;23;53.25;9;18.5;0;0.0;9.75
-;9;28.25;Räbmatter Patrick;***;17;54.75;13;27.25;4;-1.0;8.75
+;13;37.0;Zgraggen Fabian;*;19;54.25;13;37.0;0;0.0;10.0
-;12;47.0;Erb Roger;**;13;55.75;12;47.0;0;0.0;8.75

14a;Bernhard Lukas;*;;;;;;;;;55.5
-;;;Elsener Adrian;**;;;;;;;8.75
