3686-2019-08-11_20_Schwaegalp-Schwinget-ST

+;;;Baumann Rico;*;;;;;;;9.75
o;2;9.75;Bless Michael;***;4;56.75;4;8.75;2;-1.0;8.5
-;6;18.25;Biäsch Christian;*;16;53.5;5;18.5;-1;0.25;9.0
o;7;27.25;Rüegg Fabian;*;8;55.5;7;27.25;0;0.0;8.75
+;12;36.0;Lehmann Philipp;*;18;53.0;13;35.75;1;-0.25;9.75
-;12;45.75;Bernold Christian;**;12;54.5;12;45.75;0;0.0;8.75

12c;Reichmuth Armin;*;;;;;;;;;54.5
o;;;Kuster Thomas;*;;;;;;;8.5
-;5;8.5;Lanter Christian;*;24;34.25;5;8.5;0;0.0;8.75
-;9;17.25;Räbsamen Marcel;*;19;52.75;6;18.25;-3;1.0;8.75
+;12;26.0;Schudel Simon;*;23;34.5;13;25.75;1;-0.25;10.0
o;12;36.0;Dumelin David;**;9;55.25;10;36.5;-2;0.5;8.5
+;17;44.5;Rotach Lars;*;18;53.0;17;44.5;0;0.0;10.0

12d;Vollenweider Jeremy;**;;;;;;;;;54.5
+;;;Rohrer Ivan;**;;;;;;;9.75
-;2;9.75;Notz Beni;***;7;55.75;1;10.0;-1;0.25;8.75
o;5;18.5;Bürli Roger;**;11;54.75;6;18.25;1;-0.25;8.5
-;8;27.0;Moser Steven;**;13;54.25;8;27.0;0;0.0;8.75
-;13;35.75;Wey Nicola;*;17;53.25;12;36.0;-1;0.25;8.75
+;17;44.5;Odermatt Christian;**;16;53.5;15;45.0;-2;0.5;10.0

12e;Bernold Christian;**;;;;;;;;;54.5
+;;;Lang Sven;**;;;;;;;9.75
-;2;9.75;Ledermann Michael;*;22;35.0;4;8.75;2;-1.0;8.75
+;5;18.5;Egli Damian;**;7;55.75;4;18.75;-1;0.25;10.0
o;3;28.5;Mathis Marcel;***;2;57.25;3;28.5;0;0.0;8.5
-;8;37.0;Schläpfer Markus;**;13;54.25;9;36.75;1;-0.25;8.75
-;12;45.75;Brodard Augustin;**;12;54.5;12;45.75;0;0.0;8.75

12f;Giger Urs;*;;;;;;;;;54.5
-;;;Rohrer Ueli;*;;;;;;;8.75
+;4;8.75;Minder Florian;**;19;52.75;5;8.5;1;-0.25;10.0
o;4;18.75;Bösch Daniel;***;1;58.0;5;18.5;1;-0.25;8.75
o;6;27.5;Brun Jonas;**;6;56.0;7;27.25;1;-0.25;8.5
o;12;36.0;Oertig Dominik;**;9;55.25;9;36.75;-3;0.75;8.5
+;17;44.5;Straub Robin;*;18;53.0;17;44.5;0;0.0;10.0

12g;Wittenwiler Roman;*;;;;;;;;;54.5
-;;;Bühler Hannes;*;;;;;;;8.75
-;4;8.75;Gottofrey Marc;**;21;35.25;5;8.5;1;-0.25;8.75
+;8;17.5;Effinger Markus;*;20;35.5;9;17.25;1;-0.25;9.75
+;7;27.25;Hofer Sven;*;14;54.0;7;27.25;0;0.0;9.75
o;8;37.0;Egli Damian;**;7;55.75;8;37.0;0;0.0;8.75
-;12;45.75;Bernold Michael;*;13;54.25;13;45.5;1;-0.25;8.75

13a;Kuster Thomas;*;;;;;;;;;54.25
+;;;Reichmuth Armin;*;;;;;;;10.0
o;1;10.0;Müllestein Mike;***;2;57.25;4;8.75;3;-1.25;8.5
+;5;18.5;Arztmann Beda;**;14;54.0;5;18.5;0;0.0;9.75
-;4;28.25;Schlegel Werner (2002);**;12;54.5;4;28.25;0;0.0;8.75
-;8;37.0;Schnurrenberger Roman;**;11;54.75;7;37.25;-1;0.25;8.75
o;12;45.75;Waser Dominik;**;8;55.5;12;45.75;0;0.0;8.5

13b;Steinauer Adrian;**;;;;;;;;;54.25
-;;;Schläpfer Markus;**;;;;;;;8.75
+;4;8.75;Lehmann Philipp;*;18;53.0;2;9.75;-2;1.0;9.75
o;5;18.5;Roth Martin;**;8;55.5;5;18.5;0;0.0;8.75
+;7;27.25;Ott Damian;**;7;55.75;6;27.5;-1;0.25;10.0
o;7;37.25;Oettli Marco;**;6;56.0;7;37.25;0;0.0;8.5
o;12;45.75;Peng Mike;***;9;55.25;13;45.5;1;-0.25;8.5

13c;Bernold Michael;*;;;;;;;;;54.25
+;;;Lanter Christian;*;;;;;;;10.0
o;1;10.0;Zwyssig Raphael;***;7;55.75;4;8.75;3;-1.25;8.5
+;5;18.5;Ledermann Michael;*;22;35.0;8;17.5;3;-1.0;9.75
o;4;28.25;Kramer Lario;**;4;56.75;4;28.25;0;0.0;8.5
o;9;36.75;Bürli Roger;**;11;54.75;10;36.5;1;-0.25;8.75
-;13;45.5;Wittenwiler Roman;*;12;54.5;12;45.75;-1;0.25;8.75

13d;Baumann Rico;*;;;;;;;;;54.25
o;;;Brodard Augustin;**;;;;;;;8.5
+;5;8.5;Gottofrey Luc;*;20;35.5;5;8.5;0;0.0;10.0
o;5;18.5;Kramer Lario;**;4;56.75;6;18.25;1;-0.25;8.5
-;8;27.0;Dousse Michel;**;13;54.25;8;27.0;0;0.0;8.75
o;13;35.75;Waser Dominik;**;8;55.5;13;35.75;0;0.0;8.5
+;18;44.25;Minder Florian;**;19;52.75;18;44.25;0;0.0;10.0

13e;Dousse Michel;**;;;;;;;;;54.25
o;;;Geisser Lars;**;;;;;;;8.5
+;5;8.5;Bärtsch Fabian;*;25;34.0;5;8.5;0;0.0;10.0
o;5;18.5;Kuster Marcel;***;9;55.25;6;18.25;1;-0.25;8.5
-;8;27.0;Baumann Rico;*;13;54.25;8;27.0;0;0.0;8.75
+;13;35.75;Räbsamen Marcel;*;19;52.75;13;35.75;0;0.0;9.75
-;13;45.5;Jörger Marc;*;13;54.25;13;45.5;0;0.0;8.75

13f;Jörger Marc;*;;;;;;;;;54.25
+;;;Oettli Silvio;*;;;;;;;10.0
o;1;10.0;Hersche Martin;***;6;56.0;5;8.5;4;-1.5;8.5
+;5;18.5;Gwerder Andreas;**;20;35.5;5;18.5;0;0.0;9.75
o;4;28.25;Reichmuth Marco;**;3;57.0;3;28.5;-1;0.25;8.5
-;9;36.75;Poltera Andrin;*;15;53.75;10;36.5;1;-0.25;8.75
-;13;45.5;Dousse Michel;**;13;54.25;13;45.5;0;0.0;8.75

13g;Moser Steven;**;;;;;;;;;54.25
-;;;Schneider Domenic;***;;;;;;;8.75
+;4;8.75;Bühler Hannes;*;27;17.25;4;8.75;0;0.0;9.75
o;5;18.5;Dändliker Shane;**;5;56.5;5;18.5;0;0.0;8.5
-;8;27.0;Vollenweider Jeremy;**;12;54.5;8;27.0;0;0.0;8.75
