4045-2018-06-03_97_Urner_Kant_Schwingfest-ST

1a;Heinzer Stefan;**;;;;;;;;;111.75
-;13;17.0;Stadler Johannes;;18;54.0;8;18.25;-5;1.25;8.75
+;18;25.75;Briker Hannes;;22;52.75;12;27.25;-6;1.5;10.0
+;15;35.75;Hurschler Adrian;;14;55.0;12;36.5;-3;0.75;10.0
o;15;45.75;Bucher Roland;*;11;55.75;15;45.75;0;0.0;8.75

16l;Klauser Nico;;;;;;;;;;54.5
+;;;Käslin Valentin (2000);;;;;;;;9.75
-;3;9.75;Gisler Jonas (2001);;18;54.0;3;9.75;0;0.0;8.75
o;7;18.5;Lussi Marco;*;15;54.75;11;17.5;4;-1.0;8.5
+;13;27.0;Gander Benjamin (2000);;23;35.5;13;27.0;0;0.0;10.0
o;10;37.0;Muff Armin;**;13;55.25;11;36.75;1;-0.25;8.75
-;15;45.75;Ming Christian;*;16;54.5;15;45.75;0;0.0;8.75

16m;Lustenberger Florian (2002);;;;;;;;;;54.5
+;;;Rogenmoser Linus (2002);;;;;;;;10.0
-;2;10.0;Ming Hannes;;16;54.5;2;10.0;0;0.0;9.0
o;5;19.0;Durrer Robin;;8;56.5;3;19.75;-2;0.75;8.5
o;11;27.5;Hirsiger Alexander;*;15;54.75;11;27.5;0;0.0;8.5
o;14;36.0;Arnold Severin;*;11;55.75;15;35.75;1;-0.25;8.5
+;20;44.5;Arnold Sebastian;;22;52.75;21;44.25;1;-0.25;10.0

17a;Eﬃnger Peter;;;;;;;;;;54.25
o;;;Ottiger Lukas;;;;;;;;8.5
-;6;8.5;Zumstein Marcel;;18;54.0;5;8.75;-1;0.25;8.75
+;12;17.25;Roner Remo (2002);;28;34.0;13;17.0;1;-0.25;10.0
o;12;27.25;Waser Dominik;**;6;57.0;11;27.5;-1;0.25;8.5
-;15;35.75;Fellmann Simon;;20;53.5;14;36.0;-1;0.25;8.75
+;20;44.5;Gisler Noah (2002);;21;53.0;20;44.5;0;0.0;9.75

17b;Gasser Dominik 1;;;;;;;;;;54.25
+;;;Suter Lukas (2002);;;;;;;;10.0
-;2;10.0;Wyss Sven (2001);;23;35.5;3;9.75;1;-0.25;8.75
o;6;18.75;Lemmenmeier Lukas;*;13;55.25;7;18.5;1;-0.25;8.5
o;12;27.25;Villiger Cyrill;*;12;55.5;13;27.0;1;-0.25;8.5
-;15;35.75;Brunner Timon;;21;53.0;15;35.75;0;0.0;8.75
+;20;44.5;Gisler Lukas (2001);;21;53.0;20;44.5;0;0.0;9.75

17c;Graber Sandro;;;;;;;;;;54.25
-;;;Heinzer Josef;;;;;;;;8.75
+;5;8.75;Bühlmann Daniel (2000);;17;54.25;5;8.75;0;0.0;9.75
-;7;18.5;Wetzstein Adrian;*;30;26.0;12;17.25;5;-1.25;8.75
o;12;27.25;Hess Michael;*;14;55.0;13;27.0;1;-0.25;8.5
+;15;35.75;Arnold Sebastian;;22;52.75;15;35.75;0;0.0;9.75
-;16;45.5;Vogel Marcel;;18;54.0;17;45.25;1;-0.25;8.75

17d;Ziegler Moritz;;;;;;;;;;54.25
o;;;Ming Hannes;;;;;;;;8.75
-;5;8.75;Waser Christoph (2002);;22;52.75;5;8.75;0;0.0;8.75
+;11;17.5;Müller Ivo (2002);;24;35.25;8;18.25;-3;0.75;10.0
o;11;27.5;Felder Seppi;*;11;55.75;13;27.0;2;-0.5;8.5
o;14;36.0;Baumann Marco;;16;54.5;15;35.75;1;-0.25;8.5
+;20;44.5;Brunner Timon;;21;53.0;20;44.5;0;0.0;9.75

17e;Zanini David (2000);;;;;;;;;;54.25
+;;;Vogler Jonas;;;;;;;;10.0
+;2;10.0;Hürlimann Ueli (2001);;23;35.5;3;9.75;1;-0.25;9.75
o;3;19.75;Durrer Fabian;*;11;55.75;6;18.75;3;-1.0;8.5
o;8;28.25;Bättig Martin;*;8;56.5;11;27.5;3;-0.75;8.5
-;11;36.75;Burch Jonas;*;15;54.75;14;36.0;3;-0.75;8.75
-;16;45.5;Durrer Ueli;;17;54.25;16;45.5;0;0.0;8.75

17f;von Flüe Michael;;;;;;;;;;54.25
o;;;Barmet Sven;;;;;;;;8.5
+;6;8.5;Briker Hannes;;22;52.75;6;8.5;0;0.0;10.0
o;7;18.5;Widmer Adrian;*;10;56.0;11;17.5;4;-1.0;8.5
+;13;27.0;Herger Marco (2002);;23;35.5;13;27.0;0;0.0;10.0
o;10;37.0;Kälin Remo;*;14;55.0;12;36.5;2;-0.5;8.5
-;16;45.5;Bürgi Tobias;;15;54.75;15;45.75;-1;0.25;8.75

17g;von Euw Lukas (2002);;;;;;;;;;54.25
+;;;Herger Elias (2002);;;;;;;;10.0
o;2;10.0;Zürcher Ueli (2000);;14;55.0;2;10.0;0;0.0;8.5
o;7;18.5;Muff Armin;**;13;55.25;10;17.75;3;-0.75;8.5
+;13;27.0;Baumann Reto;;24;35.25;14;26.75;1;-0.25;9.75
o;11;36.75;Odermatt Remo;*;9;56.25;13;36.25;2;-0.5;8.5
-;17;45.25;Albert Thomas;;17;54.25;17;45.25;0;0.0;9.0

17h;Bühlmann Daniel (2000);;;;;;;;;;54.25
-;;;Britschgi Markus;;;;;;;;8.75
o;5;8.75;Graber Sandro;;17;54.25;5;8.75;0;0.0;8.5
+;12;17.25;Suter Lukas (2002);;24;35.25;13;17.0;1;-0.25;10.0
o;12;27.25;Rohrer Beat;*;16;54.5;16;26.25;4;-1.0;8.5
+;15;35.75;Waser Christoph (2002);;22;52.75;15;35.75;0;0.0;10.0
o;15;45.75;Ulrich Marco;*;13;55.25;17;45.25;2;-0.5;8.5

17i;Käslin Valentin (2000);;;;;;;;;;54.25
o;;;Klauser Nico;;;;;;;;8.5
-;6;8.5;Arnold Samuel (2001);;27;34.25;6;8.5;0;0.0;9.0
+;11;17.5;Arnold Sebastian;;22;52.75;13;17.0;2;-0.5;9.75
o;12;27.25;Ulrich Marco;*;13;55.25;13;27.0;1;-0.25;8.5
+;15;35.75;Mignola Michele (2000);;21;53.0;15;35.75;0;0.0;10.0
o;15;45.75;Schuler Alex;***;14;55.0;18;45.0;3;-0.75;8.5

17j;Gander Martin;;;;;;;;;;54.25
+;;;Stutzer Michael;;;;;;;;9.75
-;3;9.75;Vogel Marcel;;18;54.0;3;9.75;0;0.0;8.75
o;7;18.5;Waser Dominik;**;6;57.0;11;17.5;4;-1.0;8.5
-;13;27.0;Wicki Patrick;;23;35.5;14;26.75;1;-0.25;8.75
+;15;35.75;Forster Christian;;16;54.5;15;35.75;0;0.0;10.0
o;15;45.75;Villiger Cyrill;*;12;55.5;15;45.75;0;0.0;8.5

17k;Durrer Ueli;;;;;;;;;;54.25
+;;;Bucher André (2001);;;;;;;;9.75
-;3;9.75;Hurschler Adrian;;14;55.0;5;8.75;2;-1.0;8.75
o;7;18.5;Lang Sven;*;14;55.0;10;17.75;3;-0.75;8.5
+;13;27.0;Suter Bruno (2002);;23;35.5;13;27.0;0;0.0;10.0
o;10;37.0;Graber Michael;*;16;54.5;14;36.0;4;-1.0;8.5
-;16;45.5;Zanini David (2000);;17;54.25;16;45.5;0;0.0;8.75

17l;Mignola Lorenzo;;;;;;;;;;54.25
o;;;Bürgi Tobias;;;;;;;;8.5
o;6;8.5;Wyrsch Hansi;;22;52.75;5;8.75;-1;0.25;8.75
o;12;17.25;Bucher André (2001);;23;35.5;13;17.0;1;-0.25;8.5
+;18;25.75;Roner Remo (2002);;28;34.0;19;25.5;1;-0.25;10.0
+;15;35.75;Gisler Lukas (2001);;21;53.0;14;36.0;-1;0.25;10.0
o;15;45.75;Arnold Severin;*;11;55.75;15;45.75;0;0.0;8.5

17m;Albert Thomas;;;;;;;;;;54.25
+;;;Forster Christian;;;;;;;;10.0
o;2;10.0;Lemmenmeier Lukas;*;13;55.25;6;8.5;4;-1.5;8.5
o;7;18.5;Thalmann Adrian;;12;55.5;7;18.5;0;0.0;8.5
+;13;27.0;Stadler Johannes;;18;54.0;13;27.0;0;0.0;9.75
o;11;36.75;Widmer Adrian;*;10;56.0;14;36.0;3;-0.75;8.5
-;17;45.25;von Euw Lukas (2002);;17;54.25;17;45.25;0;0.0;9.0

18a;Gisler Jonas (2001);;;;;;;;;;54.0
+;;;Hodler Mathias;;;;;;;;9.75
-;3;9.75;Klauser Nico;;16;54.5;3;9.75;0;0.0;8.75
o;7;18.5;Hösli Fritz;*;12;55.5;12;17.25;5;-1.25;8.5
+;13;27.0;Brunner Timon;;21;53.0;12;27.25;-1;0.25;10.0
o;10;37.0;Gwerder Guido;**;10;56.0;12;36.5;2;-0.5;8.5
o;16;45.5;Wüest David (2000);;13;55.25;17;45.25;1;-0.25;8.5

18b;Zumstein Marcel;;;;;;;;;;54.0
-;;;Baumann Marco;;;;;;;;8.75
-;5;8.75;Eﬃnger Peter;;17;54.25;6;8.5;1;-0.25;8.75
+;11;17.5;Zberg Kilian (2002);;25;34.75;11;17.5;0;0.0;9.75
o;12;27.25;Elsener Marcel;*;13;55.25;14;26.75;2;-0.5;8.5
+;15;35.75;Crotta Robin (2001);;22;52.75;15;35.75;0;0.0;9.75
o;16;45.5;Briker Michael;*;12;55.5;16;45.5;0;0.0;8.5

18c;Kaufmann Jens;;;;;;;;;;54.0
o;;;Thalmann Adrian;;;;;;;;8.5
+;6;8.5;Hodler Mathias;;23;35.5;6;8.5;0;0.0;9.75
o;8;18.25;Elsener Marcel;*;13;55.25;13;17.0;5;-1.25;8.5
+;14;26.75;Vogel Laurin (2002);;23;35.5;13;27.0;-1;0.25;9.75
-;12;36.5;Ziegler Elias;;19;53.75;15;35.75;3;-0.75;9.0
o;16;45.5;Hess Michael;*;14;55.0;17;45.25;1;-0.25;8.5

18d;Spichtig Aldo;;;;;;;;;;54.0
+;;;Arnold Marco (2001);;;;;;;;10.0
o;2;10.0;Ming Christian 2;;12;55.5;2;10.0;0;0.0;8.5
-;7;18.5;Arnold Severin;*;11;55.75;7;18.5;0;0.0;8.75
o;12;27.25;Gander Michael;;14;55.0;13;27.0;1;-0.25;8.5
o;15;35.75;Bucher Roland;*;11;55.75;14;36.0;-1;0.25;8.5
+;21;44.25;Mignola Michele (2000);;21;53.0;21;44.25;0;0.0;9.75

18e;Hegner Ueli;*;;;;;;;;;54.0
+;;;Amgarten Martin;*;;;;;;;9.75
o;3;9.75;Hürlimann Mathias (2000);;7;56.75;3;9.75;0;0.0;8.5
o;8;18.25;Gloggner Philipp;***;11;55.75;11;17.5;3;-0.75;8.5
+;14;26.75;Rogenmoser Linus (2002);;23;35.5;13;27.0;-1;0.25;10.0
o;11;36.75;Gander Michael;;14;55.0;11;36.75;0;0.0;8.75
o;16;45.5;Hösli Fritz;*;12;55.5;15;45.75;-1;0.25;8.5

18f;Vogel Marcel;;;;;;;;;;54.0
+;;;Kempf Damian;;;;;;;;9.75
-;3;9.75;Gander Martin;;17;54.25;3;9.75;0;0.0;8.75
o;7;18.5;Kälin Remo;*;14;55.0;10;17.75;3;-0.75;8.5
+;13;27.0;Baumann Marco;;16;54.5;12;27.25;-1;0.25;9.75
o;11;36.75;Elsener Peter;**;13;55.25;11;36.75;0;0.0;8.5
-;17;45.25;Graber Sandro;;17;54.25;16;45.5;-1;0.25;8.75

18g;Wyrsch Silvio;*;;;;;;;;;54.0
-;;;Ulrich Marco;*;;;;;;;8.75
o;5;8.75;Elsener Peter;**;13;55.25;6;8.5;1;-0.25;8.5
+;12;17.25;Hürlimann Ueli (2001);;23;35.5;8;18.25;-4;1.0;9.75
+;13;27.0;Weber Ivo;;11;55.75;12;27.25;-1;0.25;10.0
o;10;37.0;Arnold Stefan;**;7;56.75;10;37.0;0;0.0;8.5
o;16;45.5;Käslin Ruedi;*;11;55.75;15;45.75;-1;0.25;8.5

18h;Wyrsch Gabriel (2001);;;;;;;;;;54.0
+;;;Gabriel Christian (2000);;;;;;;;10.0
o;2;10.0;Hürlimann Mathias (2000);;7;56.75;3;9.75;1;-0.25;8.5
o;7;18.5;Odermatt Remo;*;9;56.25;12;17.25;5;-1.25;8.5
+;13;27.0;Suter Raphael (2000);;23;35.5;13;27.0;0;0.0;10.0
o;10;37.0;Waser Reto;*;8;56.5;11;36.75;1;-0.25;8.5
o;16;45.5;Weber Ivo;;11;55.75;15;45.75;-1;0.25;8.5

18i;Stadler Johannes;;;;;;;;;;54.0
o;;;Ettlin Martin;;;;;;;;8.5
+;6;8.5;Suter Raphael (2000);;23;35.5;6;8.5;0;0.0;9.75
-;8;18.25;Gwerder Andreas;*;16;54.5;13;17.0;5;-1.25;8.75
o;13;27.0;Albert Thomas;;17;54.25;13;27.0;0;0.0;8.75
o;15;35.75;Hösli Fritz;*;12;55.5;15;35.75;0;0.0;8.5
+;21;44.25;Waser Christoph (2002);;22;52.75;21;44.25;0;0.0;9.75

18j;Barmet Sven;;;;;;;;;;54.0
+;;;von Flüe Michael;;;;;;;;10.0
+;2;10.0;Müller Ivo (2002);;24;35.25;3;9.75;1;-0.25;10.0
o;2;20.0;Heinzer Stefan;*;1;111.75;1;38.75;-1;18.75;8.5
o;7;28.5;Streiff Dominik;*;15;54.75;11;27.5;4;-1.0;8.5
o;10;37.0;Suter Beat;;13;55.25;10;37.0;0;0.0;8.5
o;16;45.5;Heinzer Stefan;**;1;111.75;1;93.0;-15;47.5;8.5

19a;Giger Janik (2002);;;;;;;;;;53.75
o;;;Steiner Severin (2001);;;;;;;;8.5
+;6;8.5;Crotta Robin (2001);;22;52.75;5;8.75;-1;0.25;9.75
o;8;18.25;Villiger Cyrill;*;12;55.5;13;17.0;5;-1.25;8.5
+;14;26.75;Imholz Elias;;28;34.0;19;25.5;5;-1.25;10.0
o;11;36.75;Heinzer Josef;;13;55.25;11;36.75;0;0.0;8.5
o;17;45.25;Huber Alex;*;12;55.5;16;45.5;-1;0.25;8.5

19b;Hürlimann Marco (2002);;;;;;;;;;53.75
+;;;Stadler Mike (2002);;;;;;;;10.0
o;2;10.0;Steiner Severin (2001);;11;55.75;2;10.0;0;0.0;8.5
o;7;18.5;Arnold Fabian;*;16;54.5;11;17.5;4;-1.0;8.5
+;13;27.0;Arnold Kilian (2002);;23;35.5;13;27.0;0;0.0;9.75
o;11;36.75;Lagler Christian;;11;55.75;10;37.0;-1;0.25;8.5
o;17;45.25;Lemmenmeier Lukas;*;13;55.25;16;45.5;-1;0.25;8.5

19c;von Wyl Simon;;;;;;;;;;53.75
o;;;Elsener Manuel;;;;;;;;8.5
+;6;8.5;Arnold Marco (2001);;26;34.5;6;8.5;0;0.0;10.0
o;7;18.5;Höﬂiger Andreas;**;6;57.0;12;17.25;5;-1.25;8.5
+;13;27.0;Mignola Michele (2000);;21;53.0;12;27.25;-1;0.25;9.75
o;11;36.75;Thalmann Adrian;;12;55.5;10;37.0;-1;0.25;8.5
o;17;45.25;Schürpf Bruno;*;11;55.75;15;45.75;-2;0.5;8.5

19d;Gisler Silvan (2002);;;;;;;;;;53.75
o;;;Betschart Michael;;;;;;;;8.5
o;6;8.5;Gabriel Christian (2000);;23;35.5;6;8.5;0;0.0;8.5
+;13;17.0;Bienz Manuel;;26;34.5;13;17.0;0;0.0;9.75
+;14;26.75;Vogler Jakob (2000);;23;35.5;13;27.0;-1;0.25;10.0
o;11;36.75;Lang Sven;*;14;55.0;13;36.25;2;-0.5;8.5
o;17;45.25;Hurschler Adrian;;14;55.0;18;45.0;1;-0.25;8.5

19e;von Ah Markus;;;;;;;;;;53.75
-;;;Weber Ivo;;;;;;;;8.75
+;5;8.75;Suter Raphael (2000);;23;35.5;6;8.5;1;-0.25;9.75
-;7;18.5;Schuler Daniel;*;13;55.25;11;17.5;4;-1.0;9.0
-;11;27.5;Graber Michael;*;16;54.5;12;27.25;1;-0.25;8.75
o;13;36.25;Gwerder Michael (2000);*;10;56.0;13;36.25;0;0.0;8.5
-;19;44.75;Ziegler Elias;;19;53.75;19;44.75;0;0.0;9.0

19f;Ulrich Damian;;;;;;;;;;53.75
o;;;Arnold Kilian (2002);;;;;;;;8.5
o;6;8.5;Della Torre Simon;;11;55.75;5;8.75;-1;0.25;8.5
+;13;17.0;Imholz Elias;;28;34.0;13;17.0;0;0.0;9.75
+;14;26.75;Kempf Fabian (2002);;27;34.25;18;25.75;4;-1.0;10.0
o;11;36.75;Amgarten Martin;*;15;54.75;13;36.25;2;-0.5;8.5
o;17;45.25;Müller Roger;*;12;55.5;16;45.5;-1;0.25;8.5

19g;Kempf David;;;;;;;;;;53.75
+;;;Gander Benjamin (2000);;;;;;;;9.75
o;3;9.75;Heinzer Josef;;13;55.25;5;8.75;2;-1.0;8.5
o;8;18.25;Kälin Roland;**;12;55.5;12;17.25;4;-1.0;8.5
+;14;26.75;Gabriel Christian (2000);;23;35.5;13;27.0;-1;0.25;10.0
o;11;36.75;Scherrer Fabian (2002);;12;55.5;10;37.0;-1;0.25;8.5
o;17;45.25;Doppmann Ueli;;11;55.75;15;45.75;-2;0.5;8.5

19h;Vogler Jonas;;;;;;;;;;53.75
o;;;Zanini David (2000);;;;;;;;8.5
+;6;8.5;Arnold Sebastian;;22;52.75;6;8.5;0;0.0;9.75
o;8;18.25;Felder Seppi;*;11;55.75;13;17.0;5;-1.25;8.5
+;14;26.75;Zberg Kilian (2002);;25;34.75;16;26.25;2;-0.5;9.75
o;12;36.5;Arnold Andreas;*;10;56.0;14;36.0;2;-0.5;8.75
o;17;45.25;Steiner Severin (2001);;11;55.75;15;45.75;-2;0.5;8.5

19i;Ziegler Elias;;;;;;;;;;53.75
o;;;Suter Bruno (2002);;;;;;;;8.75
o;5;8.75;Bucher Thomas;;14;55.0;5;8.75;0;0.0;8.5
+;12;17.25;Zgraggen Sandro (2001);;28;34.0;13;17.0;1;-0.25;10.0
o;12;27.25;Amgarten Martin;*;15;54.75;16;26.25;4;-1.0;8.5
-;15;35.75;Kaufmann Jens;;18;54.0;12;36.5;-3;0.75;9.0
-;19;44.75;von Ah Markus;;19;53.75;19;44.75;0;0.0;9.0

19j;Meier Daniel (2000);;;;;;;;;;53.75
+;;;Roner Remo (2002);;;;;;;;10.0
+;2;10.0;Herger Simon 1 (2002);;29;27.0;2;10.0;0;0.0;9.75
o;3;19.75;Herger Matthias;**;5;57.25;5;19.0;2;-0.75;8.5
o;8;28.25;Stöckli Damian;*;10;56.0;11;27.5;3;-0.75;8.5
o;11;36.75;Ming Hannes;;16;54.5;14;36.0;3;-0.75;8.5
o;17;45.25;Bissig Fabian;;12;55.5;16;45.5;-1;0.25;8.5

20a;Fellmann Simon;;;;;;;;;;53.5
-;;;Beffa Mario;;;;;;;;8.75
+;5;8.75;Müller Patrick;;23;35.5;6;8.5;1;-0.25;10.0
o;6;18.75;Gwerder Guido;**;10;56.0;9;18.0;3;-0.75;8.75
o;11;27.5;Käslin Ruedi;*;11;55.75;12;27.25;1;-0.25;8.5
-;14;36.0;Eﬃnger Peter;;17;54.25;15;35.75;1;-0.25;8.75
-;19;44.75;Britschgi Markus;;16;54.5;15;45.75;-4;1.0;8.75

21a;Gisler Lukas (2001);;;;;;;;;;53.0
-;;;Gisler Noah (2002);;;;;;;;9.0
-;4;9.0;Zberg Kilian (2002);;25;34.75;5;8.75;1;-0.25;8.75
o;10;17.75;Briker Hannes;;22;52.75;12;17.25;2;-0.5;8.5
+;16;26.25;Arnold Samuel (2001);;27;34.25;18;25.75;2;-0.5;9.75
o;14;36.0;Mignola Lorenzo;;17;54.25;15;35.75;1;-0.25;8.5
o;20;44.5;Gasser Dominik 1;;17;54.25;20;44.5;0;0.0;8.5

21b;Brunner Timon;;;;;;;;;;53.0
-;;;Waser Christoph (2002);;;;;;;;8.75
+;5;8.75;Dittli Mathias (2002);;23;35.5;5;8.75;0;0.0;10.0
o;6;18.75;Zurﬂuh Roman;**;7;56.75;7;18.5;1;-0.25;8.5
o;12;27.25;Gisler Jonas (2001);;18;54.0;13;27.0;1;-0.25;8.5
-;15;35.75;Gasser Dominik 1;;17;54.25;15;35.75;0;0.0;8.75
o;20;44.5;Ziegler Moritz;;17;54.25;20;44.5;0;0.0;8.5

21c;Mignola Michele (2000);;;;;;;;;;53.0
o;;;Müller Ivo (2002);;;;;;;;8.75
+;5;8.75;Herger Elias (2002);;28;34.0;6;8.5;1;-0.25;10.0
o;6;18.75;Wyrsch Marco;**;7;56.75;7;18.5;1;-0.25;8.5
o;12;27.25;von Wyl Simon;;19;53.75;13;27.0;1;-0.25;8.5
o;15;35.75;Käslin Valentin (2000);;17;54.25;15;35.75;0;0.0;8.5
o;21;44.25;Spichtig Aldo;;18;54.0;21;44.25;0;0.0;8.75

21d;Gisler Noah (2002);;;;;;;;;;53.0
-;;;Gisler Lukas (2001);;;;;;;;9.0
o;4;9.0;Weber Ivo;;11;55.75;5;8.75;1;-0.25;8.5
+;11;17.5;Odermatt Fabian (2002);;24;35.25;8;18.25;-3;0.75;10.0
o;11;27.5;Müller Roger;*;12;55.5;13;27.0;2;-0.5;8.5
o;14;36.0;Britschgi Markus;;16;54.5;15;35.75;1;-0.25;8.5
o;20;44.5;Eﬃnger Peter;;17;54.25;20;44.5;0;0.0;8.5

22a;Wyrsch Hansi;;;;;;;;;;52.75
o;;;Doppmann Ueli;;;;;;;;8.75
+;5;8.75;Mignola Lorenzo;;17;54.25;6;8.5;1;-0.25;10.0
o;6;18.75;Hasler Florian;**;7;56.75;7;18.5;1;-0.25;8.5
o;12;27.25;Schürpf Bruno;*;11;55.75;12;27.25;0;0.0;8.5
o;15;35.75;Weber Ivo;;11;55.75;14;36.0;-1;0.25;8.5
o;21;44.25;Forster Christian;;16;54.5;20;44.5;-1;0.25;8.5

22b;Crotta Robin (2001);;;;;;;;;;52.75
-;;;Dittli Mathias (2002);;;;;;;;8.75
o;5;8.75;Giger Janik (2002);;19;53.75;6;8.5;1;-0.25;8.5
o;12;17.25;Jauch Marco (2002);;24;35.25;13;17.0;1;-0.25;8.5
+;18;25.75;Stadler Mike (2002);;27;34.25;19;25.5;1;-0.25;10.0
o;15;35.75;Zumstein Marcel;;18;54.0;15;35.75;0;0.0;8.5
o;21;44.25;Arnold Fabian;*;16;54.5;20;44.5;-1;0.25;8.5

22c;Briker Hannes;;;;;;;;;;52.75
o;;;Gander Michael;;;;;;;;8.5
o;6;8.5;von Flüe Michael;;17;54.25;6;8.5;0;0.0;8.75
+;12;17.25;Gisler Lukas (2001);;21;53.0;10;17.75;-2;0.5;10.0
o;12;27.25;Gwerder Andreas;*;16;54.5;18;25.75;6;-1.5;8.5
o;15;35.75;Hurschler Adrian;;14;55.0;12;36.5;-3;0.75;8.5
o;21;44.25;Burch Jonas;*;15;54.75;19;44.75;-2;0.5;8.5

22d;Arnold Sebastian;;;;;;;;;;52.75
o;;;Scherrer Fabian (2002);;;;;;;;8.5
o;6;8.5;Vogler Jonas;;19;53.75;6;8.5;0;0.0;8.5
o;13;17.0;Käslin Valentin (2000);;17;54.25;11;17.5;-2;0.5;8.75
+;18;25.75;Stutzer Michael;;23;35.5;13;27.0;-5;1.25;10.0
o;15;35.75;Graber Sandro;;17;54.25;15;35.75;0;0.0;8.5
o;21;44.25;Lustenberger Florian (2002);;16;54.5;20;44.5;-1;0.25;8.5

22e;Waser Christoph (2002);;;;;;;;;;52.75
-;;;Brunner Timon;;;;;;;;8.75
-;5;8.75;Ziegler Moritz;;17;54.25;5;8.75;0;0.0;8.75
+;11;17.5;Arnold Samuel (2001);;27;34.25;12;17.25;1;-0.25;9.75
o;12;27.25;Bucher Christian;*;13;55.25;14;26.75;2;-0.5;8.5
o;15;35.75;Bühlmann Daniel (2000);;17;54.25;15;35.75;0;0.0;8.5
o;21;44.25;Stadler Johannes;;18;54.0;21;44.25;0;0.0;8.5

23a;Gisler Mario (2000);;;;;;;;;;35.5
-;;;Durrer Lukas;;;;;;;;8.75
o;5;8.75;Wicki Patrick;;23;35.5;6;8.5;1;-0.25;8.5
o;12;17.25;Britschgi Markus;;16;54.5;12;17.25;0;0.0;8.5
+;18;25.75;Odermatt Fabian (2002);;24;35.25;14;26.75;-4;1.0;9.75

23b;Gabriel Christian (2000);;;;;;;;;;35.5
o;;;Wyrsch Gabriel (2001);;;;;;;;8.5
+;6;8.5;Gisler Silvan (2002);;19;53.75;6;8.5;0;0.0;10.0
o;7;18.5;Waser Reto;*;8;56.5;8;18.25;1;-0.25;8.5
o;13;27.0;Kempf David;;19;53.75;14;26.75;1;-0.25;8.5

23c;Gasser Dominik 2;;;;;;;;;;35.5
o;;;Lagler Christian;;;;;;;;8.5
o;6;8.5;Wüest David (2000);;13;55.25;5;8.75;-1;0.25;8.5
+;13;17.0;Kempf Fabian (2002);;27;34.25;13;17.0;0;0.0;10.0
o;13;27.0;Scherer Niklaus;*;13;55.25;13;27.0;0;0.0;8.5

23d;Wicki Patrick;;;;;;;;;;35.5
o;;;Durrer Robin;;;;;;;;8.5
+;6;8.5;Gisler Mario (2000);;23;35.5;5;8.75;-1;0.25;9.75
o;8;18.25;Bucher Christian;*;13;55.25;13;17.0;5;-1.25;8.5
-;14;26.75;Gander Martin;;17;54.25;13;27.0;-1;0.25;8.75

23e;Wyss Sven (2001);;;;;;;;;;35.5
+;;;Imholz Elias;;;;;;;;9.75
-;3;9.75;Gasser Dominik 1;;17;54.25;2;10.0;-1;0.25;8.75
o;7;18.5;Bieri Christian;**;6;57.0;11;17.5;4;-1.0;8.5
o;13;27.0;Della Torre Simon;;11;55.75;12;27.25;-1;0.25;8.5

23f;Gander Benjamin (2000);;;;;;;;;;35.5
o;;;Kempf David;;;;;;;;8.5
+;6;8.5;Stadler Mike (2002);;27;34.25;6;8.5;0;0.0;10.0
o;7;18.5;Hirsiger Alexander;*;15;54.75;10;17.75;3;-0.75;8.5
o;13;27.0;Klauser Nico;;16;54.5;13;27.0;0;0.0;8.5

23g;Dittli Mathias (2002);;;;;;;;;;35.5
-;;;Crotta Robin (2001);;;;;;;;8.75
o;5;8.75;Brunner Timon;;21;53.0;5;8.75;0;0.0;8.5
+;12;17.25;Stadler Mike (2002);;27;34.25;13;17.0;1;-0.25;9.75
o;13;27.0;Doppmann Ueli;;11;55.75;12;27.25;-1;0.25;8.5

23h;Rogenmoser Linus (2002);;;;;;;;;;35.5
o;;;Lustenberger Florian (2002);;;;;;;;8.5
o;6;8.5;Herger Marco (2002);;23;35.5;6;8.5;0;0.0;8.5
+;13;17.0;Herger Elias (2002);;28;34.0;13;17.0;0;0.0;10.0
o;13;27.0;Hegner Ueli;*;18;54.0;14;26.75;1;-0.25;8.5

23i;Bucher André (2001);;;;;;;;;;35.5
o;;;Durrer Ueli;;;;;;;;8.5
o;6;8.5;Bissig Fabian;;12;55.5;5;8.75;-1;0.25;8.5
+;13;17.0;Mignola Lorenzo;;17;54.25;12;17.25;-1;0.25;10.0
o;13;27.0;Briker Michael;*;12;55.5;13;27.0;0;0.0;8.5

23j;Suter Raphael (2000);;;;;;;;;;35.5
o;;;Stadler Johannes;;;;;;;;8.5
o;6;8.5;von Ah Markus;;19;53.75;5;8.75;-1;0.25;8.5
+;13;17.0;Arnold Marco (2001);;26;34.5;13;17.0;0;0.0;10.0
o;13;27.0;Wyrsch Gabriel (2001);;18;54.0;13;27.0;0;0.0;8.5

23k;Hodler Mathias;;;;;;;;;;35.5
o;;;Gisler Jonas (2001);;;;;;;;8.5
o;6;8.5;Kaufmann Jens;;18;54.0;6;8.5;0;0.0;8.5
+;13;17.0;Müller Patrick;;23;35.5;13;17.0;0;0.0;10.0
o;13;27.0;Beffa Mario;;11;55.75;12;27.25;-1;0.25;8.5

23l;Stutzer Michael;;;;;;;;;;35.5
o;;;Gander Martin;;;;;;;;8.75
+;5;8.75;Jauch Marco (2002);;24;35.25;6;8.5;1;-0.25;9.75
