3395-2016-07-31_Bruenigschwinget-ST

1a;Sempach Thomas;***;;;;;;;;;58.5
-;;;Betschart Remo;**;;;;;;;8.75
o;4;8.75;Rohrer Marco;**;15;54.25;5;8.5;1;-0.25;8.5
o;10;17.25;Reichmuth Armin;*;13;54.75;8;17.75;-2;0.5;8.5
o;15;25.75;Schletti Andreas (1998);*;26;35.25;16;25.5;1;-0.25;8.5

30b;Klossner Adrian;*;;;;;;;;;34.25
-;;;Schärli Pius;*;;;;;;;8.75
o;4;8.75;Cardinaux Victor;**;15;54.25;5;8.5;1;-0.25;8.5
o;10;17.25;Kälin Roland;**;12;55.0;7;18.25;-3;1.0;8.5
o;15;25.75;Steffen Gustav;*;8;56.0;14;26.0;-1;0.25;8.5

30c;Wittwer Jan;*;;;;;;;;;34.25
o;;;Gwerder Christian;**;;;;;;;8.5
o;5;8.5;Guisolan Marc;**;25;35.75;5;8.5;0;0.0;8.5
o;11;17.0;Piemontesi Pascal;**;13;54.75;8;17.75;-3;0.75;8.5
-;16;25.5;Gerber Thomas;*;29;34.5;15;25.75;-1;0.25;8.75

30d;Bütikofer Lukas;*;;;;;;;;;34.25
o;;;Graber Michael;*;;;;;;;8.75
o;4;8.75;Brun Jonas;**;8;56.0;2;9.75;-2;1.0;8.5
o;10;17.25;Schenk Thomas;*;22;52.5;11;17.0;1;-0.25;8.5
o;15;25.75;Pulfer Thomas;*;21;52.75;16;25.5;1;-0.25;8.5

31a;Urfer Simon;*;;;;;;;;;34.0
o;;;Gloggner Reto;**;;;;;;;8.5
o;5;8.5;Egli Pirmin;**;19;53.25;4;8.75;-1;0.25;8.5
o;11;17.0;Rohrer Marco;**;15;54.25;7;18.25;-4;1.25;8.5
o;16;25.5;Betschart Remo;**;15;54.25;15;25.75;-1;0.25;8.5

31b;Gwerder Andreas;*;;;;;;;;;34.0
o;;;Binggeli Dominik;*;;;;;;;8.5
o;5;8.5;von Weissenfluh Kilian;*;9;55.75;4;8.75;-1;0.25;8.5
o;11;17.0;Steffen Konrad;*;16;54.0;11;17.0;0;0.0;8.5
o;16;25.5;Röthlisberger Simon;**;10;55.5;15;25.75;-1;0.25;8.5

32a;Weyermann Florian;*;;;;;;;;;27.25
o;;;Odermatt Christian;**;;;;;;;8.5
o;5;8.5;Bucher Roland;*;11;55.25;2;9.75;-3;1.25;8.75
+;10;17.25;Betschart Remo;**;15;54.25;10;17.25;0;0.0;10.0

33a;Suppiger Werner;**;;;;;;;;;17.75
-;;;Gehrig Philipp;**;;;;;;;9.0
-;3;9.0;Tschanz Richard;*;20;53.0;4;8.75;1;-0.25;8.75

