3578-2016-04-24_97_Zuger_Kantonal_Schwingfest-ST

1a;Heinzer Stefan;*;;;;;;;;;111.0
+;7;18.5;Corvi Dominik;;17;54.0;6;18.75;-1;0.25;10.0
-;5;28.5;Laimbacher Philipp;***;3;57.5;5;28.5;0;0.0;8.75
+;8;37.25;Neyer Sven;;17;54.0;9;37.0;1;-0.25;9.75
-;7;47.0;Steinauer Adrian;**;8;56.25;6;47.25;-1;0.25;8.75

11a;Zimmermann Martin;*;;;;;;;;;55.5
+;;;Gwerder Andreas;*;;;;;;;10.0
o;2;10.0;Nötzli Bruno;***;13;55.0;5;8.75;3;-1.25;8.5
+;7;18.5;Stutzer Michael (1999);;24;35.5;7;18.5;0;0.0;9.75
-;6;28.25;Bürgler André;*;16;54.25;8;27.75;2;-0.5;8.75
+;9;37.0;Gwerder Marco;;18;53.75;10;36.75;1;-0.25;10.0
o;7;47.0;Herger Matthias;**;8;56.25;10;46.25;3;-0.75;8.5

11b;Ulrich Marco;;;;;;;;;;55.5
+;;;Baumann Marco;;;;;;;;9.75
o;3;9.75;Kempf Damian;;17;54.0;3;9.75;0;0.0;8.75
o;7;18.5;Bucher Roland;*;12;55.25;12;17.25;5;-1.25;8.5
+;11;27.0;Staub Devin (1998);;25;35.25;12;26.75;1;-0.25;10.0
o;9;37.0;Reichmuth Pirmin;**;6;56.75;9;37.0;0;0.0;8.5
+;13;45.5;Elsener Manuel;;17;54.0;13;45.5;0;0.0;10.0

11c;Briker Michael;*;;;;;;;;;55.5
+;;;Kennel Beat;*;;;;;;;9.75
o;3;9.75;Steinauer Adrian;**;8;56.25;6;8.5;3;-1.25;8.5
+;8;18.25;Schindler Thomas;;12;55.25;7;18.5;-1;0.25;9.75
-;7;28.0;Gwerder Christian;**;11;55.5;7;28.0;0;0.0;8.75
-;10;36.75;Märchy Sepp;;18;53.75;13;36.0;3;-0.75;9.0
+;12;45.75;Elsener Marcel;;15;54.5;12;45.75;0;0.0;9.75

11d;Widmer Thomas;;;;;;;;;;55.5
o;;;Ulrich Marcel;;;;;;;;8.5
+;6;8.5;Reichmuth Lukas (2000);;22;52.75;6;8.5;0;0.0;10.0
o;7;18.5;Gwerder Andreas;*;12;55.25;8;18.25;1;-0.25;8.5
+;11;27.0;Stutzer Michael (1999);;24;35.5;11;27.0;0;0.0;9.75
-;10;36.75;Fassbind René;*;15;54.5;13;36.0;3;-0.75;8.75
+;13;45.5;Grab Martin jun. (1999);;18;53.75;14;45.25;1;-0.25;10.0

11e;Omlin Toni;*;;;;;;;;;55.5
o;;;Kennel Stefan;*;;;;;;;8.5
+;6;8.5;Kenel Franz-Toni;*;14;54.75;5;8.75;-1;0.25;9.75
+;8;18.25;Heinzer Florian;;23;35.75;7;18.5;-1;0.25;9.75
-;7;28.0;Nötzli Bruno;***;13;55.0;10;27.25;3;-0.75;8.75
+;10;36.75;Baumann Lukas;;16;54.25;13;36.0;3;-0.75;10.0
-;8;46.75;Bucher Roland;*;12;55.25;9;46.5;1;-0.25;8.75

11f;Moos Christoph;;;;;;;;;;55.5
+;;;Schilter Daniel;;;;;;;;10.0
-;2;10.0;Zimmermann Daniel;*;15;54.5;6;8.5;4;-1.5;8.75
-;6;18.75;Egli David;*;9;56.0;7;18.5;1;-0.25;8.75
+;9;27.5;Imfeld Beat;;21;53.0;9;27.5;0;0.0;9.75
o;8;37.25;Heinzer Stefan;*;1;111.0;1;73.0;-7;35.75;8.5
+;12;45.75;Gwerder Michael (2000);;16;54.25;12;45.75;0;0.0;9.75

11g;Zemp Thomas;*;;;;;;;;;55.5
+;;;Fassbind René;*;;;;;;;10.0
-;2;10.0;Inderbitzin Daniel;*;12;55.25;2;10.0;0;0.0;8.75
+;6;18.75;Gwerder Dominik;;18;53.75;4;19.5;-2;0.75;9.75
-;5;28.5;Steinauer Adrian;**;8;56.25;5;28.5;0;0.0;8.75
+;8;37.25;Imfeld Beat;;21;53.0;13;36.0;5;-1.25;9.75
o;7;47.0;Bürgler Lukas;;7;56.5;8;46.75;1;-0.25;8.5

11h;Gwerder Christian;**;;;;;;;;;55.5
-;;;Theiler Beat;*;;;;;;;9.0
-;4;9.0;Schnider Markus;*;19;53.5;5;8.75;1;-0.25;9.0
+;9;18.0;Hillebrandt Patrick;;24;35.5;7;18.5;-2;0.5;10.0
-;7;28.0;Briker Michael;*;11;55.5;7;28.0;0;0.0;8.75
+;10;36.75;Ambühl Joel (1998);;13;55.0;10;36.75;0;0.0;10.0
-;8;46.75;Reichmuth Armin;*;7;56.5;4;47.75;-4;1.0;8.75

11i;Hurschler Adrian;;;;;;;;;;55.5
+;;;Kennel Roger (1999);;;;;;;;10.0
o;2;10.0;Suter Paul;;16;54.25;2;10.0;0;0.0;8.5
o;7;18.5;Kenel Franz-Toni;*;14;54.75;12;17.25;5;-1.25;8.5
+;11;27.0;Schilter Daniel;;24;35.5;11;27.0;0;0.0;10.0
o;9;37.0;Küttel Pirmin;**;6;56.75;9;37.0;0;0.0;8.5
+;13;45.5;Gwerder Marco;;18;53.75;14;45.25;1;-0.25;10.0

11j;Kennel Beat;*;;;;;;;;;55.5
o;;;Briker Michael;*;;;;;;;8.5
o;6;8.5;Nietlispach Pascal;**;4;57.25;5;8.75;-1;0.25;8.5
+;13;17.0;Cotting Ivo (1999);;25;35.25;8;18.25;-5;1.25;10.0
+;11;27.0;Lustenberger Josef;;25;35.25;12;26.75;1;-0.25;9.75
+;10;36.75;Durrer Fabian (1999);;16;54.25;10;36.75;0;0.0;10.0
o;8;46.75;Reichmuth Pirmin;**;6;56.75;7;47.0;-1;0.25;8.75

11k;Wittwer Jan;*;;;;;;;;;55.5
-;;;Elsener Adrian;**;;;;;;;8.75
o;5;8.75;Gwerder Dario;;4;57.25;2;10.0;-3;1.25;8.5
+;12;17.25;Gwerder Marco;;18;53.75;7;18.5;-5;1.25;10.0
+;10;27.25;Gwerder Carlo;**;10;55.75;10;27.25;0;0.0;9.75
+;9;37.0;Reichmuth Roland;;17;54.0;9;37.0;0;0.0;9.75
-;8;46.75;Schuler Philipp;**;9;56.0;7;47.0;-1;0.25;8.75

11l;Hasler Florian;**;;;;;;;;;55.5
+;;;Hösli Fritz;*;;;;;;;10.0
o;2;10.0;Lengacher Jonas;**;31;28.5;3;9.75;1;-0.25;8.5
+;7;18.5;Bucher Thomas;;13;55.0;6;18.75;-1;0.25;9.75
+;6;28.25;Kempf Damian;;17;54.0;6;28.25;0;0.0;10.0
o;4;38.25;Laimbacher Philipp;***;3;57.5;7;37.5;3;-0.75;8.5
-;8;46.75;Betschart Rainer;**;9;56.0;6;47.25;-2;0.5;8.75

11m;Nötzli Reto;***;;;;;;;;;55.5
+;;;Waser Dominik;**;;;;;;;10.0
-;2;10.0;Kennel Stefan;*;14;54.75;2;10.0;0;0.0;9.0
-;5;19.0;Grab Martin;***;6;56.75;3;19.75;-2;0.75;8.75
-;8;27.75;Kälin Roland;**;10;55.75;6;28.25;-2;0.5;9.0
-;10;36.75;Bürgler Lukas;;7;56.5;6;37.75;-4;1.0;9.0
+;12;45.75;Fink Bruno;*;16;54.25;12;45.75;0;0.0;9.75

11n;Elsener Adrian;**;;;;;;;;;55.5
-;;;Wittwer Jan;*;;;;;;;8.75
-;5;8.75;Bürgler André;*;16;54.25;5;8.75;0;0.0;9.0
+;10;17.75;Gwerder Beni;;15;54.5;7;18.5;-3;0.75;9.75
+;9;27.5;Nauer Robin;;13;55.0;7;28.0;-2;0.5;9.75
o;8;37.25;Küttel Pirmin;**;6;56.75;9;37.0;1;-0.25;8.5
