3975-2017-07-30_124_Bruenigschwinget-ST

1a;Reusser Philipp;***;;;;;;;;;57.25
-;2;9.75;Ulrich Andreas;***;7;55.75;4;8.75;2;-1.0;8.75
o;5;18.5;Eugster Ruedi;**;12;54.5;10;17.25;5;-1.25;8.5
o;9;27.0;Egli Pirmin;**;7;55.75;6;28.0;-3;1.0;8.5
+;13;35.5;Roth Martin;*;11;54.75;10;36.25;-3;0.75;10.0
+;12;45.5;Inderbitzin Daniel;*;14;54.0;12;45.5;0;0.0;9.75

9d;von Weissenfluh Kilian;**;;;;;;;;;55.25
-;;;Fankhauser Marco;**;;;;;;;8.75
o;4;8.75;Koch Thomas;*;15;53.75;4;8.75;0;0.0;8.5
+;10;17.25;Linggi Bruno;**;18;53.0;10;17.25;0;0.0;10.0
+;8;27.25;Inderbitzin Daniel;*;14;54.0;8;27.25;0;0.0;10.0
-;6;37.25;Schuler Alex;***;21;46.25;6;37.25;0;0.0;9.0
-;9;46.25;Arnold Stefan;**;6;56.0;6;47.0;-3;0.75;9.0

10a;Sommer Roman;*;;;;;;;;;55.0
+;;;Bühler Hannes;*;;;;;;;9.75
-;2;9.75;Burkhalter Stefan;***;8;55.5;5;8.5;3;-1.25;8.75
+;5;18.5;Hasler Florian;**;14;54.0;5;18.5;0;0.0;9.75
o;5;28.25;Arnold Stefan;**;6;56.0;3;28.75;-2;0.5;8.5
o;8;36.75;Käslin Benno;*;10;55.0;8;36.75;0;0.0;8.5
+;13;45.25;Blaser Theo;*;15;53.75;13;45.25;0;0.0;9.75

10b;Dober Adrian;**;;;;;;;;;55.0
o;;;Weyermann Florian;*;;;;;;;8.5
+;5;8.5;Roth Dominik;**;14;54.0;4;8.75;-1;0.25;9.75
o;6;18.25;Kuster Marcel;***;19;52.75;10;17.25;4;-1.0;8.5
-;10;26.75;Kämpf Alexander;**;17;53.25;9;27.0;-1;0.25;8.75
+;13;35.5;Schletti Andreas;*;20;52.5;13;35.5;0;0.0;9.75
+;13;45.25;Zbinden Adrian;*;19;52.75;17;44.25;4;-1.0;9.75

10c;Roschi Ruedi;**;;;;;;;;;55.0
-;;;Steinauer Adrian;**;;;;;;;8.75
+;4;8.75;Eugster Ruedi;**;12;54.5;4;8.75;0;0.0;10.0
-;4;18.75;Imhof Andi;***;11;54.75;5;18.5;1;-0.25;8.75
-;7;27.5;Ettlin Stefan;*;17;53.25;7;27.5;0;0.0;9.0
o;9;36.5;Nötzli Reto;***;8;55.5;6;37.25;-3;0.75;8.5
+;14;45.0;Odermatt Christian;**;15;53.75;13;45.25;-1;0.25;10.0

10d;Gloggner Reto;**;;;;;;;;;55.0
+;;;Wüthrich Niklaus;**;;;;;;;10.0
o;1;10.0;Hersche Martin;***;4;56.5;1;10.0;0;0.0;8.5
+;5;18.5;Gwerder Michael (2000);*;16;53.5;5;18.5;0;0.0;9.75
o;5;28.25;Wenger Kilian;***;2;57.0;5;28.25;0;0.0;8.5
+;8;36.75;Ramseier Fritz;**;12;54.5;6;37.25;-2;0.5;9.75
o;8;46.5;Zenger Niklaus;***;3;56.75;7;46.75;-1;0.25;8.5

10e;Käslin Benno;*;;;;;;;;;55.0
+;;;Leuenberger Michael;*;;;;;;;10.0
o;1;10.0;Reusser Philipp;***;1;57.25;4;8.75;3;-1.25;8.5
o;5;18.5;Walther Marcel;*;22;44.0;11;17.0;6;-1.5;8.5
+;9;27.0;Wickli Beat;**;24;35.25;10;26.75;1;-0.25;9.75
+;8;36.75;Sommer Roman;*;10;55.0;8;36.75;0;0.0;9.75
o;8;46.5;Giger Samuel;***;5;56.25;8;46.5;0;0.0;8.5

10f;Rohrer Ivan;**;;;;;;;;;55.0
-;;;Geisser Lars;**;;;;;;;8.75
-;4;8.75;Fankhauser Reto;*;24;35.25;4;8.75;0;0.0;9.0
-;8;17.75;Zbinden Adrian;*;19;52.75;5;18.5;-3;0.75;8.75
