5235-2021-08-22_Fete_Cantonale_Fribourgeoise-ST

1a;Schuler Christian;***;;;;;;;;;58.75
+;8;17.5;Pasquier Loïc;;12;55.0;6;18.25;-2;0.75;9.75
+;9;27.25;Tschachtli Sven;**;10;55.5;9;27.25;0;0.0;9.75
-;9;37.0;Hayoz Quentin;*;6;56.5;5;38.0;-4;1.0;8.75
+;12;45.75;Cotting Alexandre;;13;54.75;10;46.25;-2;0.5;10.0

9d;Haenni Stéphane;**;;;;;;;;;55.75
-;;;Baeriswyl Christoph;**;;;;;;;8.75
+;5;8.75;Bapst Richard;;12;55.0;1;10.0;-4;1.25;10.0
+;4;18.75;Stoll Thomas;;5;56.75;2;19.75;-2;1.0;9.75
o;4;28.5;Steinauer Adrian;**;6;56.5;5;28.25;1;-0.25;8.5
-;9;37.0;Ducry Antoine;**;8;56.0;8;37.25;-1;0.25;8.75
+;12;45.75;Clément Aurélien (2003);;15;54.25;12;45.75;0;0.0;10.0

9e;Matthey Mickaël;**;;;;;;;;;55.75
-;;;Tschachtli Sven;**;;;;;;;9.0
+;4;9.0;Maire Pascal (2004);;13;54.75;2;9.75;-2;0.75;9.75
+;4;18.75;Tornare Philippe (2004);;20;52.75;5;18.5;1;-0.25;10.0
o;3;28.75;Kramer Lario;***;3;57.25;3;28.75;0;0.0;8.5
o;8;37.25;Stoll Thomas;;5;56.75;4;38.25;-4;1.0;8.5
+;12;45.75;Loup Alexandre;*;15;54.25;12;45.75;0;0.0;10.0

10a;Balimann Sandro;*;;;;;;;;;55.5
-;;;Piemontesi Pascal;**;;;;;;;8.75
+;5;8.75;Zbinden Samuel;;17;53.75;2;9.75;-3;1.0;9.75
+;5;18.5;Egger Benoît;;8;56.0;5;18.5;0;0.0;10.0
+;4;28.5;Ambresin Cyril;**;11;55.25;5;28.25;1;-0.25;10.0
o;3;38.5;Gapany Benjamin;***;2;58.0;1;39.5;-2;1.0;8.5
o;7;47.0;Emonet Frédéric;**;5;56.75;8;46.75;1;-0.25;8.5

10b;Loup Grégoire;;;;;;;;;;55.5
+;;;Quartenoud Samuel;;;;;;;;10.0
+;1;10.0;Cotting Florian;*;17;53.75;6;8.5;5;-1.5;10.0
o;1;20.0;Gapany Benjamin;***;2;58.0;1;20.0;0;0.0;8.5
+;4;28.5;Cotting Alexandre;;13;54.75;6;28.0;2;-0.5;10.0
o;3;38.5;Borcard Johann;**;6;56.5;5;38.0;2;-0.5;8.5
o;7;47.0;Dorsaz Théo;;4;57.0;7;47.0;0;0.0;8.5

10c;Berset Cyril;*;;;;;;;;;55.5
