4718-2021-08-08_Zuercher_Kantonalschwingfest2-ST

1a;Schmid Dominik;**;;;;;;;;;109.25
18e;Nock Benjamin;*;;;;;;;;;54.25
-;;;Schwyn Adrian;*;;;;;;;8.75
+;5;8.75;Wild Thomas;;8;56.75;2;10.0;-3;1.25;10.0
+;6;18.75;Vollenweider Loïc (2004);;16;54.75;2;20.0;-4;1.25;9.75
o;6;28.5;Krähenbühl Tobias;***;7;57.0;10;27.5;4;-1.0;8.5
o;10;37.0;Kurmann Patrick (2003);;11;56.0;9;37.25;-1;0.25;8.5
-;15;45.5;Niederer Andreas;;16;54.75;13;46.0;-2;0.5;8.75

18f;Pianta Christian;*;;;;;;;;;54.25
o;;;Good Marco;*;;;;;;;8.5
+;6;8.5;Burkhard Tobias;;7;57.0;2;10.0;-4;1.5;10.0
o;7;18.5;Krähenbühl Tobias;***;7;57.0;9;17.75;2;-0.75;8.5
+;12;27.0;Bucher Roman (2003);;17;54.5;6;28.5;-6;1.5;9.75
-;11;36.75;Schweizer Christof;*;12;55.75;10;37.0;-1;0.25;8.75
-;15;45.5;Lüthi Manuel (2003);*;18;54.25;15;45.5;0;0.0;8.75

18g;Hänni Marc;;;;;;;;;;54.25
o;;;Wüthrich Hans;;;;;;;;8.5
+;6;8.5;Lacher Tobias (2005);;14;55.25;6;8.5;0;0.0;10.0
+;7;18.5;Ueltschi Patric;*;20;53.75;12;17.0;5;-1.5;10.0
o;6;28.5;Mettler Valentin;*;15;55.0;12;27.0;6;-1.5;8.5
o;10;37.0;Büchler Livio;;14;55.25;10;37.0;0;0.0;8.75
o;14;45.75;Elmer Adrian;*;12;55.75;14;45.75;0;0.0;8.5

18h;Lüthi Manuel (2003);*;;;;;;;;;54.25
+;;;Dörig Erich;*;;;;;;;9.75
-;3;9.75;Lengacher Gian (2003);;18;54.25;2;10.0;-1;0.25;8.75
o;7;18.5;Koller Fabian;*;13;55.5;6;18.75;-1;0.25;8.5
+;12;27.0;Affentranger Martin;;18;54.25;12;27.0;0;0.0;10.0
o;10;37.0;Notz Armin;*;14;55.25;10;37.0;0;0.0;8.5
-;15;45.5;Pianta Christian;*;18;54.25;15;45.5;0;0.0;8.75

18i;Rhyner Beni;;;;;;;;;;54.25
o;;;Götti Samuel;;;;;;;;8.5
+;6;8.5;Heiniger Reto (2005);;26;52.25;6;8.5;0;0.0;10.0
o;7;18.5;Schmidlin Tobias;*;11;56.0;10;17.5;3;-1.0;8.5
o;12;27.0;Kiener Raphael;;13;55.5;7;28.25;-5;1.25;8.75
+;15;35.75;Anliker Nino (2005);;24;52.75;16;35.5;1;-0.25;9.75
o;15;45.5;Peter Philipp;;13;55.5;15;45.5;0;0.0;8.75

18j;Brülisauer Thomas (2003);;;;;;;;;;54.25
o;;;Grimm Michael;;;;;;;;8.5
o;6;8.5;Faraj Daniel;;24;52.75;6;8.5;0;0.0;8.5
o;12;17.0;Waldmeier Marco (2005);;18;54.25;12;17.0;0;0.0;8.75
o;16;25.75;Zimmermann Amir;;19;54.0;16;25.75;0;0.0;8.5
+;20;34.25;Widmer Patrick (2005);;26;52.25;21;34.0;1;-0.25;10.0
+;20;44.25;Brand Roman (2003);;27;51.25;24;42.75;4;-1.5;10.0

18k;Waldmeier Marco (2005);;;;;;;;;;54.25
o;;;Wild Thomas;;;;;;;;8.5
o;6;8.5;Freund Samuel (2004);;20;53.75;6;8.5;0;0.0;8.5
+;12;17.0;Brülisauer Thomas (2003);;18;54.25;12;17.0;0;0.0;9.75
+;13;26.75;Bernhardsgrütter Stefan (2005);;26;52.25;13;26.75;0;0.0;10.0
-;11;36.75;Götti Samuel;;12;55.75;11;36.75;0;0.0;8.75
o;15;45.5;Nüesch Sandro (2005);;13;55.5;15;45.5;0;0.0;8.75

18l;Tschudi Mario;;;;;;;;;;54.25
+;;;Bader Sandro;;;;;;;;10.0
o;2;10.0;Heierli Pascal;*;12;55.75;5;8.75;3;-1.25;8.5
+;7;18.5;Fuster Arjuna (2003);;19;54.0;7;18.5;0;0.0;10.0
o;6;28.5;Signer Andy (2003);*;11;56.0;9;27.75;3;-0.75;8.5
o;10;37.0;Schläpfer Matthias;*;12;55.75;9;37.25;-1;0.25;8.5
-;15;45.5;Bleiker Ueli (2004);;15;55.0;16;45.25;1;-0.25;8.75

19a;Flück Bruno;;;;;;;;;;54.0
+;;;Heiniger Reto (2005);;;;;;;;10.0
o;2;10.0;Schmid Dominik;**;1;109.25;1;17.25;-1;7.25;8.5
o;7;18.5;Keller Dominic;;16;54.75;8;18.25;1;-0.25;8.5
+;12;27.0;Fuster Arjuna (2003);;19;54.0;12;27.0;0;0.0;10.0
o;10;37.0;Oettli Silvio;*;9;56.5;11;36.75;1;-0.25;8.5
o;15;45.5;Schweizer Christof;*;12;55.75;14;45.75;-1;0.25;8.5

19b;Grimm Michael;;;;;;;;;;54.0
+;;;Brülisauer Thomas (2003);;;;;;;;10.0
o;2;10.0;Krähenbühl Lukas;*;9;56.5;6;8.5;4;-1.5;8.5
+;7;18.5;Magani Flurin;;20;53.75;8;18.25;1;-0.25;10.0
o;6;28.5;Heierli Pascal;*;12;55.75;11;27.25;5;-1.25;8.5
o;10;37.0;Gemsch Stefan;;16;54.75;12;36.5;2;-0.5;8.5
o;15;45.5;Götti Samuel;;12;55.75;14;45.75;-1;0.25;8.5

19c;Ulrich Damian;;;;;;;;;;54.0
+;;;Bachmann Janos (2004);;;;;;;;9.75
-;3;9.75;Plüer Fabian (2003);;12;55.75;2;10.0;-1;0.25;8.75
o;7;18.5;Good Marco;*;9;56.5;7;18.5;0;0.0;8.5
+;12;27.0;Wittenwiler Mathias (2003);;24;52.75;11;27.25;-1;0.25;10.0
o;10;37.0;Hobi Ignaz;*;12;55.75;14;36.0;4;-1.0;8.5
o;15;45.5;Heierli Pascal;*;12;55.75;14;45.75;-1;0.25;8.5

19d;Fuster Arjuna (2003);;;;;;;;;;54.0
+;;;Studerus Jan;;;;;;;;10.0
o;2;10.0;Lenherr Cédric (2003);*;13;55.5;5;8.75;3;-1.25;8.5
o;7;18.5;Tschudi Mario;;18;54.25;7;18.5;0;0.0;8.5
o;12;27.0;Flück Bruno;;19;54.0;12;27.0;0;0.0;8.5
+;16;35.5;Stadelmann Lukas (2004);;24;52.75;16;35.5;0;0.0;10.0
o;15;45.5;Vetterli Sven (2003);;20;53.75;16;45.25;1;-0.25;8.5

19e;Müller Christian;;;;;;;;;;54.0
+;;;Heierli Dorian;;;;;;;;9.75
o;3;9.75;Schlegel Reto;*;16;54.75;6;8.5;3;-1.25;8.5
+;8;18.25;Schiess Christian;;14;55.25;8;18.25;0;0.0;10.0
o;7;28.25;Odermatt Michi;;9;56.5;7;28.25;0;0.0;8.5
o;11;36.75;Hauser Simon;;9;56.5;11;36.75;0;0.0;8.5
o;16;45.25;Stähli Jan;;15;55.0;16;45.25;0;0.0;8.75

19f;Forrer Marco (2003);;;;;;;;;;54.0
o;;;Kammermann Dominik;;;;;;;;8.5
+;6;8.5;Lusti Remo;;14;55.25;6;8.5;0;0.0;10.0
o;7;18.5;Wettstein Daniel;*;12;55.75;7;18.5;0;0.0;8.75
+;11;27.25;Zollinger Silvan (2004);;18;54.25;11;27.25;0;0.0;9.75
o;10;37.0;Kolb This (2003);*;9;56.5;10;37.0;0;0.0;8.5
o;15;45.5;Schnyder Christian;;13;55.5;15;45.5;0;0.0;8.5

19g;Zimmermann Amir;;;;;;;;;;54.0
-;;;Egli Joel;;;;;;;;8.75
o;5;8.75;Bütler Roman (2004);;26;52.25;6;8.5;1;-0.25;8.5
o;11;17.25;Studerus Jan;;16;54.75;11;17.25;0;0.0;8.5
+;16;25.75;Brülisauer Thomas (2003);;18;54.25;16;25.75;0;0.0;9.75
+;16;35.5;Inauen Ivo;;20;53.75;16;35.5;0;0.0;10.0
o;15;45.5;Koller Fabian;*;13;55.5;15;45.5;0;0.0;8.5

19h;Nef Tobias (2005);;;;;;;;;;54.0
o;;;Stadelmann Valentin;;;;;;;;8.5
+;6;8.5;Arnold Lukas;;25;52.5;6;8.5;0;0.0;9.75
o;8;18.25;Kunz Daniel;*;14;55.25;12;17.0;4;-1.25;8.5
-;13;26.75;Anliker Nino (2005);;24;52.75;13;26.75;0;0.0;8.75
o;16;35.5;Siegenthaler Joël (2003);;19;54.0;16;35.5;0;0.0;8.5
+;21;44.0;Heiniger Reto (2005);;26;52.25;22;43.75;1;-0.25;10.0

19i;Düring Dominik (2003);;;;;;;;;;54.0
o;;;Burkhard Tobias;;;;;;;;8.5
+;6;8.5;Brand Roman (2003);;27;51.25;6;8.5;0;0.0;10.0
o;7;18.5;Schwyn Adrian;*;11;56.0;6;18.75;-1;0.25;8.5
o;12;27.0;Plüer Fabian (2003);;12;55.75;11;27.25;-1;0.25;8.75
+;15;35.75;Bader Sandro;;22;53.25;16;35.5;1;-0.25;9.75
o;15;45.5;Schwyn Patrick;;13;55.5;15;45.5;0;0.0;8.5

19j;Feldmann Patrik (2005);;;;;;;;;;54.0
+;;;Landolt Cla;;;;;;;;10.0
o;2;10.0;Schnurrenberger Roman;**;6;57.25;4;9.0;2;-1.0;8.5
+;7;18.5;Götti Samuel;;12;55.75;7;18.5;0;0.0;10.0
o;6;28.5;Schweizer Christof;*;12;55.75;11;27.25;5;-1.25;8.5
o;10;37.0;Wild Thomas;;8;56.75;10;37.0;0;0.0;8.5
o;15;45.5;Kuster Thomas;*;9;56.5;11;46.5;-4;1.0;8.5

19k;Baumann Nico;;;;;;;;;;54.0
o;;;Galli Cedric;;;;;;;;8.5
o;6;8.5;Bader Sandro;;22;53.25;6;8.5;0;0.0;8.5
+;12;17.0;Widmer Patrick (2005);;26;52.25;12;17.0;0;0.0;10.0
o;12;27.0;Stadelmann Valentin;;20;53.75;12;27.0;0;0.0;8.5
o;16;35.5;Frei Felix (2003);;21;53.5;17;35.25;1;-0.25;8.5
+;21;44.0;Bütler Roman (2004);;26;52.25;22;43.75;1;-0.25;10.0

19l;Sprecher Martin;;;;;;;;;;54.0
+;;;Lusti Remo;;;;;;;;10.0
o;2;10.0;Riget Florian;*;8;56.75;3;9.75;1;-0.25;8.5
+;7;18.5;Affentranger Martin;;18;54.25;7;18.5;0;0.0;9.75
o;7;28.25;Rüegg Patrick;;9;56.5;7;28.25;0;0.0;8.5
-;11;36.75;Bleiker Ueli (2004);;15;55.0;12;36.5;1;-0.25;8.75
o;15;45.5;Mettler Valentin;*;15;55.0;16;45.25;1;-0.25;8.5

19m;Spörndli Cyril (2003);;;;;;;;;;54.0
o;;;Kurmann Patrick (2003);;;;;;;;8.5
o;6;8.5;Ulrich Pascal;;15;55.0;6;8.5;0;0.0;8.5
+;12;17.0;Tremp Ruedi (2003);;23;53.0;11;17.25;-1;0.25;9.75
o;13;26.75;Ueltschi Patric;*;20;53.75;17;25.5;4;-1.25;8.75
o;16;35.5;Diem Hansruedi;;15;55.0;12;36.5;-4;1.0;8.5
+;21;44.0;Frei Felix (2003);;21;53.5;17;45.0;-4;1.0;10.0

19n;Siegenthaler Joël (2003);;;;;;;;;;54.0
+;;;Inauen Ivo;;;;;;;;9.75
o;3;9.75;Elmer Adrian;*;12;55.75;5;8.75;2;-1.0;8.5
o;8;18.25;Peter Philipp;;13;55.5;7;18.5;-1;0.25;8.75
o;12;27.0;Götti Samuel;;12;55.75;12;27.0;0;0.0;8.5
+;16;35.5;Nef Tobias (2005);;19;54.0;16;35.5;0;0.0;10.0
o;15;45.5;Battaglia Ursin;**;13;55.5;15;45.5;0;0.0;8.5

20a;Inauen Ivo;;;;;;;;;;53.75
o;;;Siegenthaler Joël (2003);;;;;;;;8.5
o;6;8.5;Bachmann Janos (2004);;15;55.0;6;8.5;0;0.0;8.5
o;12;17.0;Lusti Remo;;14;55.25;12;17.0;0;0.0;8.5
+;17;25.5;Plüer Dario (2005);;27;51.25;17;25.5;0;0.0;10.0
o;16;35.5;Zimmermann Amir;;19;54.0;16;35.5;0;0.0;8.5
+;21;44.0;Arnold Lukas;;25;52.5;21;44.0;0;0.0;9.75

20b;Magani Flurin;;;;;;;;;;53.75
o;;;Anliker Andri (2003);;;;;;;;8.5
+;6;8.5;Zemp Fabian (2004);;28;51.0;6;8.5;0;0.0;9.75
o;8;18.25;Grimm Michael;;19;54.0;7;18.5;-1;0.25;8.5
+;13;26.75;Bütler Roman (2004);;26;52.25;13;26.75;0;0.0;10.0
o;11;36.75;Lacher Tobias (2005);;14;55.25;11;36.75;0;0.0;8.5
o;16;45.25;Kunz Daniel;*;14;55.25;16;45.25;0;0.0;8.5

20c;Stadelmann Valentin;;;;;;;;;;53.75
+;;;Nef Tobias (2005);;;;;;;;10.0
o;2;10.0;Vollenweider Loïc (2004);;16;54.75;2;10.0;0;0.0;8.5
o;7;18.5;Notz Armin;*;14;55.25;11;17.25;4;-1.25;8.5
+;12;27.0;Baumann Nico;;19;54.0;12;27.0;0;0.0;9.75
o;11;36.75;Keller Dominic;;16;54.75;12;36.5;1;-0.25;8.5
o;16;45.25;Plüer Fabian (2003);;12;55.75;14;45.75;-2;0.5;8.5

20d;Heierli Dorian;;;;;;;;;;53.75
o;;;Müller Christian;;;;;;;;8.5
+;6;8.5;Widmer Patrick (2005);;26;52.25;6;8.5;0;0.0;10.0
o;7;18.5;Winzeler Simon;;12;55.75;7;18.5;0;0.0;8.5
+;12;27.0;Bader Sandro;;22;53.25;12;27.0;0;0.0;9.75
o;11;36.75;Kühne Cyrill (2004);;14;55.25;11;36.75;0;0.0;8.5
o;16;45.25;Gartmann Mauro;**;16;54.75;18;44.75;2;-0.5;8.5

20e;Ueltschi Patric;*;;;;;;;;;53.75
o;;;Wey Nicola;*;;;;;;;8.5
o;6;8.5;Reichmuth Beat;;9;56.5;2;10.0;-4;1.5;8.5
o;12;17.0;Hänni Marc;;18;54.25;7;18.5;-5;1.5;8.5
+;17;25.5;Spörndli Cyril (2003);;19;54.0;13;26.75;-4;1.25;10.0
o;16;35.5;Kiener Raphael;;13;55.5;10;37.0;-6;1.5;8.5
+;21;44.0;Binggeli Yannick (2005);;25;52.5;21;44.0;0;0.0;9.75

20f;Landolt Cla;;;;;;;;;;53.75
o;;;Feldmann Patrik (2005);;;;;;;;8.5
-;6;8.5;Tremp Ruedi (2003);;23;53.0;6;8.5;0;0.0;8.75
+;11;17.25;Zumstein Silvan;;24;52.75;12;17.0;1;-0.25;9.75
o;12;27.0;Gosswiler Livio;*;12;55.75;12;27.0;0;0.0;8.5
+;16;35.5;Zemp Stefan;;25;52.5;16;35.5;0;0.0;9.75
o;16;45.25;Koller Andreas;;16;54.75;18;44.75;2;-0.5;8.5

20g;Eichhorn Alexander;;;;;;;;;;53.75
o;;;Nüesch Sandro (2005);;;;;;;;8.5
+;6;8.5;Zumstein Silvan;;24;52.75;6;8.5;0;0.0;9.75
o;8;18.25;Kuster Thomas;*;9;56.5;8;18.25;0;0.0;8.5
o;13;26.75;Schiess Christian;;14;55.25;13;26.75;0;0.0;8.5
+;17;35.25;Bütler Roman (2004);;26;52.25;17;35.25;0;0.0;10.0
o;16;45.25;Schlegel Reto;*;16;54.75;18;44.75;2;-0.5;8.5

20h;Freund Samuel (2004);;;;;;;;;;53.75
o;;;Hauser Simon;;;;;;;;8.5
+;6;8.5;Waldmeier Marco (2005);;18;54.25;6;8.5;0;0.0;10.0
o;7;18.5;Bürgler Patrick;*;8;56.75;7;18.5;0;0.0;8.5
o;12;27.0;Kunz Daniel;*;14;55.25;12;27.0;0;0.0;8.5
o;16;35.5;Affentranger Martin;;18;54.25;16;35.5;0;0.0;8.5
+;21;44.0;Zemp Stefan;;25;52.5;21;44.0;0;0.0;9.75

20i;Vetterli Sven (2003);;;;;;;;;;53.75
+;;;Zemp Fabian (2004);;;;;;;;10.0
o;2;10.0;Schwyn Patrick;;13;55.5;2;10.0;0;0.0;8.5
o;7;18.5;Hegner Ueli;*;3;58.0;7;18.5;0;0.0;8.5
o;12;27.0;Burkhard Tobias;;7;57.0;11;27.25;-1;0.25;8.5
+;16;35.5;Fuster Arjuna (2003);;19;54.0;16;35.5;0;0.0;9.75
o;16;45.25;Bleiker Ueli (2004);;15;55.0;16;45.25;0;0.0;8.5

21a;Frei Felix (2003);;;;;;;;;;53.5
+;;;Lacher Tobias (2005);;;;;;;;9.75
o;3;9.75;Schwyn Adrian;*;11;56.0;5;8.75;2;-1.0;8.5
o;8;18.25;Gemsch Stefan;;16;54.75;8;18.25;0;0.0;8.5
o;13;26.75;Inauen Maurus (2003);;30;36.75;13;26.75;0;0.0;8.5
+;17;35.25;Baumann Nico;;19;54.0;16;35.5;-1;0.25;9.75
o;17;45.0;Spörndli Cyril (2003);;19;54.0;21;44.0;4;-1.0;8.5

21b;Graf Dominik (2005);;;;;;;;;;53.5
o;;;Affentranger Martin;;;;;;;;8.5
-;6;8.5;Mathys Stefan (2005);;29;42.75;6;8.5;0;0.0;8.75
-;11;17.25;Küchler Severin;;23;53.0;12;17.0;1;-0.25;8.75
+;15;26.0;Widmer Patrick (2005);;26;52.25;17;25.5;2;-0.5;10.0
o;14;36.0;Schmidlin Tobias;*;11;56.0;14;36.0;0;0.0;8.5
-;19;44.5;Bader Sandro;;22;53.25;20;44.25;1;-0.25;9.0

22a;Bader Sandro;;;;;;;;;;53.25
o;;;Tschudi Mario;;;;;;;;8.5
+;6;8.5;Baumann Nico;;19;54.0;6;8.5;0;0.0;10.0
o;7;18.5;Joos Enrico (2003);*;16;54.75;10;17.5;3;-1.0;8.5
o;12;27.0;Heierli Dorian;;20;53.75;12;27.0;0;0.0;8.5
o;16;35.5;Düring Dominik (2003);;19;54.0;15;35.75;-1;0.25;8.75
-;20;44.25;Graf Dominik (2005);;21;53.5;19;44.5;-1;0.25;9.0

23a;Tremp Ruedi (2003);;;;;;;;;;53.0
o;;;Kiener Raphael;;;;;;;;8.5
-;6;8.5;Landolt Cla;;20;53.75;6;8.5;0;0.0;8.75
o;11;17.25;Spörndli Cyril (2003);;19;54.0;12;17.0;1;-0.25;8.5
-;16;25.75;Küchler Severin;;23;53.0;16;25.75;0;0.0;8.75
+;19;34.5;Mathys Stefan (2005);;29;42.75;20;34.25;1;-0.25;10.0
o;19;44.5;Lusti Remo;;14;55.25;16;45.25;-3;0.75;8.5

23b;Egli Joel;;;;;;;;;;53.0
-;;;Zimmermann Amir;;;;;;;;8.75
o;5;8.75;Anliker Nino (2005);;24;52.75;6;8.5;1;-0.25;8.75
+;10;17.5;Mathys Stefan (2005);;29;42.75;11;17.25;1;-0.25;10.0
o;10;27.5;Anliker Andri (2003);;15;55.0;9;27.75;-1;0.25;8.5
o;14;36.0;Studerus Jan;;16;54.75;14;36.0;0;0.0;8.5
o;19;44.5;Bachmann Janos (2004);;15;55.0;16;45.25;-3;0.75;8.5

23c;Küchler Severin;;;;;;;;;;53.0
o;;;Schwyn Patrick;;;;;;;;8.5
o;6;8.5;Büchler Livio;;14;55.25;6;8.5;0;0.0;8.5
-;12;17.0;Graf Dominik (2005);;21;53.5;11;17.25;-1;0.25;8.75
-;16;25.75;Tremp Ruedi (2003);;23;53.0;16;25.75;0;0.0;8.75
o;19;34.5;Bachmann Janos (2004);;15;55.0;17;35.25;-2;0.75;8.5
+;23;43.0;Bernhardsgrütter Stefan (2005);;26;52.25;22;43.75;-1;0.75;10.0

24a;Faraj Daniel;;;;;;;;;;52.75
o;;;Lengacher Gian (2003);;;;;;;;8.5
+;6;8.5;Brülisauer Thomas (2003);;18;54.25;6;8.5;0;0.0;9.75
o;8;18.25;Straub Paul;;14;55.25;7;18.5;-1;0.25;8.5
o;13;26.75;Walser Simon (2004);;14;55.25;12;27.0;-1;0.25;8.5
-;17;35.25;Arnold Lukas;;25;52.5;17;35.25;0;0.0;8.75
-;21;44.0;Zumstein Silvan;;24;52.75;21;44.0;0;0.0;8.75

24b;Stadelmann Lukas (2004);;;;;;;;;;52.75
o;;;Plüer Fabian (2003);;;;;;;;8.5
+;6;8.5;Plüer Dario (2005);;27;51.25;6;8.5;0;0.0;10.0
o;7;18.5;Bucher Roman (2003);;17;54.5;7;18.5;0;0.0;8.5
o;12;27.0;Fuster Sepp;*;11;56.0;12;27.0;0;0.0;8.5
o;16;35.5;Fuster Arjuna (2003);;19;54.0;16;35.5;0;0.0;8.5
-;21;44.0;Anliker Nino (2005);;24;52.75;21;44.0;0;0.0;8.75

24c;Anliker Nino (2005);;;;;;;;;;52.75
o;;;Ziegler Andreas;;;;;;;;8.5
+;6;8.5;Egli Joel;;23;53.0;5;8.75;-1;0.25;9.75
o;8;18.25;Fuster Sepp;*;11;56.0;12;17.0;4;-1.25;8.5
-;13;26.75;Nef Tobias (2005);;19;54.0;13;26.75;0;0.0;8.75
o;16;35.5;Rhyner Beni;;18;54.25;15;35.75;-1;0.25;8.5
-;21;44.0;Stadelmann Lukas (2004);;24;52.75;21;44.0;0;0.0;8.75

24d;Zumstein Silvan;;;;;;;;;;52.75
o;;;Reichmuth Beat;;;;;;;;8.5
o;6;8.5;Eichhorn Alexander;;20;53.75;6;8.5;0;0.0;8.5
o;12;17.0;Landolt Cla;;20;53.75;11;17.25;-1;0.25;8.5
+;17;25.5;Binggeli Yannick (2005);;25;52.5;17;25.5;0;0.0;10.0
o;16;35.5;Schnyder Christian;;13;55.5;16;35.5;0;0.0;8.5
-;21;44.0;Faraj Daniel;;24;52.75;21;44.0;0;0.0;8.75

24e;Wittenwiler Mathias (2003);;;;;;;;;;52.75
+;;;Koller Andreas;;;;;;;;9.75
-;3;9.75;Zollinger Silvan (2004);;18;54.25;3;9.75;0;0.0;9.0
o;6;18.75;Schuler Martin;*;7;57.0;6;18.75;0;0.0;8.5
o;11;27.25;Ulrich Damian;;19;54.0;12;27.0;1;-0.25;8.5
o;15;35.75;Battaglia Ursin;**;13;55.5;15;35.75;0;0.0;8.5
o;20;44.25;Sieber Marc;;14;55.25;16;45.25;-4;1.0;8.5

25a;Binggeli Yannick (2005);;;;;;;;;;52.5
o;;;Schiess Christian;;;;;;;;8.5
o;6;8.5;Peter Philipp;;13;55.5;6;8.5;0;0.0;8.5
o;12;17.0;Diem Hansruedi;;15;55.0;12;17.0;0;0.0;8.5
o;17;25.5;Zumstein Silvan;;24;52.75;17;25.5;0;0.0;8.5
+;21;34.0;Zemp Fabian (2004);;28;51.0;21;34.0;0;0.0;10.0
o;21;44.0;Ueltschi Patric;*;20;53.75;21;44.0;0;0.0;8.5

25b;Arnold Lukas;;;;;;;;;;52.5
o;;;Bleiker Ueli (2004);;;;;;;;8.5
o;6;8.5;Nef Tobias (2005);;19;54.0;6;8.5;0;0.0;8.5
+;12;17.0;Zemp Fabian (2004);;28;51.0;12;17.0;0;0.0;9.75
o;13;26.75;Lacher Tobias (2005);;14;55.25;13;26.75;0;0.0;8.5
-;17;35.25;Faraj Daniel;;24;52.75;17;35.25;0;0.0;8.75
o;21;44.0;Inauen Ivo;;20;53.75;21;44.0;0;0.0;8.5

25c;Zemp Stefan;;;;;;;;;;52.5
o;;;Straub Paul;;;;;;;;8.5
o;6;8.5;Walser Simon (2004);;14;55.25;6;8.5;0;0.0;8.5
o;12;17.0;Lacher Tobias (2005);;14;55.25;12;17.0;0;0.0;8.5
+;17;25.5;Brand Roman (2003);;27;51.25;17;25.5;0;0.0;10.0
o;16;35.5;Landolt Cla;;20;53.75;16;35.5;0;0.0;8.5
o;21;44.0;Freund Samuel (2004);;20;53.75;21;44.0;0;0.0;8.5

26a;Bernhardsgrütter Stefan (2005);;;;;;;;;;52.25
o;;;Stähli Jan;;;;;;;;8.5
o;6;8.5;Schmid Dominik;;1;109.25;1;17.25;-5;8.75;8.5
+;12;17.0;Heiniger Reto (2005);;26;52.25;12;17.0;0;0.0;9.75
o;13;26.75;Waldmeier Marco (2005);;18;54.25;13;26.75;0;0.0;8.5
o;17;35.25;Lusti Remo;;14;55.25;16;35.5;-1;0.25;8.5
o;22;43.75;Küchler Severin;;23;53.0;23;43.0;1;-0.75;8.5

26b;Bütler Roman (2004);;;;;;;;;;52.25
o;;;Zumbach Michael;;;;;;;;8.5
+;6;8.5;Zimmermann Amir;;19;54.0;5;8.75;-1;0.25;9.75
o;8;18.25;Büchler Livio;;14;55.25;7;18.5;-1;0.25;8.5
o;13;26.75;Magani Flurin;;20;53.75;13;26.75;0;0.0;8.5
o;17;35.25;Eichhorn Alexander;;20;53.75;17;35.25;0;0.0;8.5
o;22;43.75;Baumann Nico;;19;54.0;21;44.0;-1;0.25;8.5

26c;Widmer Patrick (2005);;;;;;;;;;52.25
o;;;Vollenweider Loïc (2004);;;;;;;;8.5
o;6;8.5;Heierli Dorian;;20;53.75;6;8.5;0;0.0;8.5
o;12;17.0;Baumann Nico;;19;54.0;12;17.0;0;0.0;8.5
o;17;25.5;Graf Dominik (2005);;21;53.5;15;26.0;-2;0.5;8.5
o;21;34.0;Brülisauer Thomas (2003);;18;54.25;20;34.25;-1;0.25;8.5
+;25;42.5;Zemp Fabian (2004);;28;51.0;25;42.5;0;0.0;9.75

26d;Heiniger Reto (2005);;;;;;;;;;52.25
o;;;Flück Bruno;;;;;;;;8.5
o;6;8.5;Rhyner Beni;;18;54.25;6;8.5;0;0.0;8.5
o;12;17.0;Bernhardsgrütter Stefan (2005);;26;52.25;12;17.0;0;0.0;8.5
+;17;25.5;Zemp Fabian (2004);;28;51.0;17;25.5;0;0.0;9.75
o;17;35.25;Sieber Marc;;14;55.25;17;35.25;0;0.0;8.5
o;22;43.75;Nef Tobias (2005);;19;54.0;21;44.0;-1;0.25;8.5

27a;Plüer Dario (2005);;;;;;;;;;51.25
o;;;Baumann Elia;;;;;;;;8.5
o;6;8.5;Stadelmann Lukas (2004);;24;52.75;6;8.5;0;0.0;8.5
o;12;17.0;Inauen Maurus (2003);;30;36.75;12;17.0;0;0.0;8.5
o;17;25.5;Inauen Ivo;;20;53.75;17;25.5;0;0.0;8.5
-;21;34.0;Brand Roman (2003);;27;51.25;21;34.0;0;0.0;8.75
o;24;42.75;Zollinger Silvan (2004);;18;54.25;20;44.25;-4;1.5;8.5

27b;Brand Roman (2003);;;;;;;;;;51.25
o;;;Niederer Andreas;;;;;;;;8.5
o;6;8.5;Düring Dominik (2003);;19;54.0;6;8.5;0;0.0;8.5
o;12;17.0;Koller Andreas;;16;54.75;11;17.25;-1;0.25;8.5
o;17;25.5;Zemp Stefan;;25;52.5;17;25.5;0;0.0;8.5
-;21;34.0;Plüer Dario (2005);;27;51.25;21;34.0;0;0.0;8.75
o;24;42.75;Brülisauer Thomas (2003);;18;54.25;20;44.25;-4;1.5;8.5

28a;Zemp Fabian (2004);;;;;;;;;;51.0
o;;;Vetterli Sven (2003);;;;;;;;8.5
o;6;8.5;Magani Flurin;;20;53.75;6;8.5;0;0.0;8.5
o;12;17.0;Arnold Lukas;;25;52.5;12;17.0;0;0.0;8.5
o;17;25.5;Heiniger Reto (2005);;26;52.25;17;25.5;0;0.0;8.5
o;21;34.0;Binggeli Yannick (2005);;25;52.5;21;34.0;0;0.0;8.5
o;25;42.5;Widmer Patrick (2005);;26;52.25;25;42.5;0;0.0;8.5

29a;Mathys Stefan (2005);;;;;;;;;;42.75
o;;;Graf Nicola (2003);;;;;;;;8.5
-;6;8.5;Graf Dominik (2005);;21;53.5;6;8.5;0;0.0;8.75
o;11;17.25;Egli Joel;;23;53.0;10;17.5;-1;0.25;8.5
o;16;25.75;Schmid Dominik;;1;109.25;1;55.25;-15;29.5;8.5
o;20;34.25;Tremp Ruedi (2003);;23;53.0;19;34.5;-1;0.25;8.5

30a;Inauen Maurus (2003);;;;;;;;;;36.75
o;;;Odermatt Michi;;;;;;;;8.5
