3969-2018-06-17_Buendner-Glarner_Kantonalschwingfest-ST

1a;Orlik Armon;***;;;;;;;;;60.0
-;9;27.25;Peng Mike;***;30;35.0;12;26.25;3;-1.0;8.75
-;13;36.0;Keller Lukas;;15;54.5;14;35.75;1;-0.25;8.75
-;17;44.75;Reichmuth Beat;;18;53.75;16;45.0;-1;0.25;8.75

19c;Held Florian;;;;;;;;;;53.5
o;;;Poltera Andrin;;;;;;;;8.5
+;5;8.5;Fässler Tobias (2002);;29;35.25;5;8.5;0;0.0;9.75
o;7;18.25;Bärtsch Fabian (2000);;11;55.5;6;18.5;-1;0.25;8.5
+;11;26.75;Baumgartner Joël;;29;35.25;11;26.75;0;0.0;9.75
o;11;36.5;Breitenmoser Manuel;*;12;55.25;12;36.25;1;-0.25;8.5
o;16;45.0;Schuler Martin;;16;54.25;18;44.5;2;-0.5;8.5

20a;Mettler Valentin;*;;;;;;;;;53.0
-;;;Gartmann Mauro;*;;;;;;;8.75
+;4;8.75;Furrer Matthias;;18;53.75;2;9.75;-2;1.0;10.0
-;5;18.75;Fontana Michael;*;17;54.0;5;18.75;0;0.0;8.75
o;8;27.5;Gosswiler Livio (2000);;6;56.75;5;28.5;-3;1.0;8.5
o;13;36.0;Koch Reto;*;10;55.75;13;36.0;0;0.0;8.5
o;18;44.5;Inauen Andreas;*;17;54.0;19;44.25;1;-0.25;8.5

21a;Sprecher Martin (2000);;;;;;;;;;52.75
o;;;Bollhalder Manuel (2001);;;;;;;;8.5
-;5;8.5;Glättli Benny;;32;34.5;5;8.5;0;0.0;8.75
+;9;17.25;Baumann Nico (2002);;34;34.0;10;17.0;1;-0.25;9.75
o;10;27.0;Vestner Bruno;*;9;56.0;11;26.75;1;-0.25;8.75
o;14;35.75;Ochsner Reto (2000);;17;54.0;14;35.75;0;0.0;8.5
o;19;44.25;Dändliker Hansheinrich;;17;54.0;20;44.0;1;-0.25;8.5

21b;Ritter Fabio (2001);;;;;;;;;;52.75
o;;;Dobler Lorenz (2000);;;;;;;;8.5
+;5;8.5;Hugener Adrian (2000);;17;54.0;5;8.5;0;0.0;9.75
o;7;18.25;Büsser André;*;13;55.0;9;17.25;2;-1.0;8.5
-;11;26.75;Schönenberger Björn;;30;35.0;12;26.25;1;-0.5;8.75
-;15;35.5;Nüesch Remo (2001);;16;54.25;15;35.5;0;0.0;8.75
o;19;44.25;Wildhaber Jannik;;26;45.25;15;45.25;-4;1.0;8.5

21c;Niederberger Marc Ursin (2002);;;;;;;;;;52.75
-;;;Ochsner Reto (2000);;;;;;;;8.75
-;4;8.75;Schönenberger Björn;;30;35.0;4;8.75;0;0.0;8.75
+;8;17.5;Frey Aaron;;33;34.25;10;17.0;2;-0.5;9.75
o;9;27.25;Frick Andreas;*;10;55.75;10;27.0;1;-0.25;8.5
o;14;35.75;Tschudi Mario (2001);;25;45.75;14;35.75;0;0.0;8.5
o;19;44.25;Hugener Adrian (2000);;17;54.0;20;44.0;1;-0.25;8.5

22a;Tanner Markus (2002);;;;;;;;;;52.5
o;;;Laager Michael (2001);;;;;;;;8.5
+;5;8.5;Meier Adrian (2000);;34;34.0;5;8.5;0;0.0;9.75
o;7;18.25;Bürgi Reto;*;13;55.0;7;18.25;0;0.0;8.5
o;11;26.75;Wildhaber Jannik;;26;45.25;11;26.75;0;0.0;8.75
o;15;35.5;Ackermann Roman;;18;53.75;15;35.5;0;0.0;8.5
o;20;44.0;Rotach Lars (2000);;17;54.0;19;44.25;-1;0.25;8.5

22b;Dobler Mathias;;;;;;;;;;52.5
o;;;Hauser Simon;;;;;;;;8.5
o;5;8.5;Burkhard Tobias;;12;55.25;5;8.5;0;0.0;8.5
o;10;17.0;Keller Lukas;;15;54.5;8;17.5;-2;0.5;8.5
+;15;25.5;Meier Adrian (2000);;34;34.0;15;25.5;0;0.0;10.0
o;15;35.5;Buff Alwin;;18;53.75;15;35.5;0;0.0;8.5
o;20;44.0;Bärtsch Andreas (2002);;16;54.25;19;44.25;-1;0.25;8.5

22c;Bertogg Severin (2001);;;;;;;;;;52.5
o;;;Nock Benjamin (2001);;;;;;;;8.5
o;5;8.5;Rhyner Beni;;12;55.25;5;8.5;0;0.0;8.5
o;10;17.0;Hugener Adrian (2000);;17;54.0;10;17.0;0;0.0;8.5
+;15;25.5;Baumann Nico (2002);;34;34.0;15;25.5;0;0.0;10.0
o;15;35.5;Laager Andreas;;17;54.0;15;35.5;0;0.0;8.5
o;20;44.0;Nüesch Remo (2001);;16;54.25;19;44.25;-1;0.25;8.5

23a;Jörger Corsin;;;;;;;;;;47.0
o;;;Kammermann Dominik;;;;;;;;8.75
+;4;8.75;Ochsner Reto (2000);;17;54.0;4;8.75;0;0.0;9.75
-;6;18.5;Morger Adrian;*;31;34.75;9;17.25;3;-1.25;8.75
+;9;27.25;Rotach Lars (2000);;17;54.0;10;27.0;1;-0.25;9.75
+;9;37.0;Buchmann Michael;;16;54.25;10;36.75;1;-0.25;10.0

24a;Jöhl Christian;*;;;;;;;;;46.75
o;;;Schäppi Urs;*;;;;;;;8.5
+;5;8.5;Thoma Luca (2000);;10;55.75;1;10.0;-4;1.5;10.0
+;6;18.5;Rütsche Stefan;*;29;35.25;7;18.25;1;-0.25;10.0
o;5;28.5;Holenstein Christian;*;12;55.25;6;28.25;1;-0.25;8.5
+;9;37.0;Wehrli Jan (2002);;13;55.0;11;36.5;2;-0.5;9.75

24b;Schmid Dominik;**;;;;;;;;;46.75
+;;;Schlegel Reto;*;;;;;;;9.75
o;2;9.75;Orlik Armon;***;1;60.0;1;10.0;-1;0.25;8.5
+;7;18.25;Bärtsch Fabian (2000);;11;55.5;6;18.5;-1;0.25;10.0
o;6;28.25;Schnurrenberger Roman;**;5;57.0;5;28.5;-1;0.25;8.75
+;9;37.0;Wettstein Daniel;;13;55.0;5;38.0;-4;1.0;9.75

25a;Rohner Lukas (2000);;;;;;;;;;45.75
+;;;Bossert Alain (2001);;;;;;;;9.75
o;2;9.75;Wittenwiler Roman;*;16;54.25;4;8.75;2;-1.0;8.5
+;7;18.25;Laager Andreas;;17;54.0;6;18.5;-1;0.25;9.75
o;7;28.0;Keller Werner;;14;54.75;7;28.0;0;0.0;8.75
-;10;36.75;Pianta Christian;;14;54.75;9;37.0;-1;0.25;9.0
o;13;45.75;Ziegler Andreas (2002);;12;55.25;15;45.25;2;-0.5;0.0

25b;Tschudi Mario (2001);;;;;;;;;;45.75
o;;;Schmid Reto;;;;;;;;8.5
+;5;8.5;Bossert Alain (2001);;29;35.25;5;8.5;0;0.0;10.0
o;6;18.5;Jörger Marc;*;6;56.75;6;18.5;0;0.0;8.5
-;10;27.0;Ochsner Reto (2000);;17;54.0;10;27.0;0;0.0;8.75
+;14;35.75;Niederberger Marc Ursin (2002);;21;52.75;14;35.75;0;0.0;10.0

26a;Wildhaber Jannik;;;;;;;;;;45.25
o;;;Marty Jaime (2000);;;;;;;;8.5
o;5;8.5;Reichmuth Beat;;18;53.75;4;8.75;-1;0.25;8.5
+;10;17.0;Tanner Markus (2002);;22;52.5;7;18.25;-3;1.25;9.75
o;11;26.75;Schwyn Adrian;*;18;53.75;10;27.0;-1;0.25;8.5
+;16;35.25;Ritter Fabio (2001);;21;52.75;15;35.5;-1;0.25;10.0

27a;Biäsch Christian;*;;;;;;;;;37.0
+;;;Burkhard Tobias;;;;;;;;10.0
o;1;10.0;Burkhalter Stefan;***;5;57.0;5;8.5;4;-1.5;8.5
+;6;18.5;Rhyner Beni;;12;55.25;7;18.25;1;-0.25;10.0
o;5;28.5;Schnurrenberger Roman;**;5;57.0;5;28.5;0;0.0;8.5

28a;Kammermann Dominik;;;;;;;;;;35.75
+;;;Jörger Corsin;;;;;;;;10.0
-;1;10.0;Breitenmoser Manuel;*;12;55.25;4;8.75;3;-1.25;8.75
o;5;18.75;Wettstein Daniel;;13;55.0;6;18.5;1;-0.25;8.5
o;9;27.25;Vestner Roman;*;14;54.75;12;26.25;3;-1.0;8.5

29a;Bürgler Patrick;;;;;;;;;;35.25
o;;;Pianta Christian;;;;;;;;8.5
o;5;8.5;Rotach Lars (2000);;17;54.0;4;8.75;-1;0.25;8.5
+;10;17.0;Langenegger Beat;;29;35.25;10;17.0;0;0.0;9.75
o;11;26.75;Kuster Thomas;*;12;55.25;11;26.75;0;0.0;8.5

29b;Langenegger Beat;;;;;;;;;;35.25
o;;;Flütsch Marco;;;;;;;;8.5
o;5;8.5;Aebli Nino (2000);;14;54.75;4;8.75;-1;0.25;8.5
o;10;17.0;Bürgler Patrick;;29;35.25;10;17.0;0;0.0;8.5
+;15;25.5;Tobler Pius (2001);;34;34.0;15;25.5;0;0.0;9.75

29c;Wagner Andreas (2002);;;;;;;;;;35.25
+;;;Baumann Nico (2002);;;;;;;;9.75
o;2;9.75;Frick Andreas;*;10;55.75;5;8.5;3;-1.25;8.5
o;7;18.25;Laager Michael (2001);;18;53.75;7;18.25;0;0.0;8.5
o;11;26.75;Rhyner Beni;;12;55.25;11;26.75;0;0.0;8.5

29d;Dobler Lorenz (2000);;;;;;;;;;35.25
+;;;Ritter Fabio (2001);;;;;;;;9.75
o;2;9.75;Nägeli Roman;*;13;55.0;4;8.75;2;-1.0;8.5
o;7;18.25;Burkhard Tobias;;12;55.25;6;18.5;-1;0.25;8.5
o;11;26.75;Wehrli Jan (2002);;13;55.0;11;26.75;0;0.0;8.5

29e;Held Simon (2002);;;;;;;;;;35.25
o;;;Baumgartner Joël;;;;;;;;8.5
o;5;8.5;Ackermann Roman;;18;53.75;5;8.5;0;0.0;8.5
+;10;17.0;Meier Adrian (2000);;34;34.0;10;17.0;0;0.0;9.75
o;11;26.75;Furrer Matthias;;18;53.75;11;26.75;0;0.0;8.5

29f;Burch Dean (2001);;;;;;;;;;35.25
+;;;Gerber Noel (2002);;;;;;;;9.75
o;2;9.75;Gasser Peter;*;17;54.0;4;8.75;2;-1.0;8.5
o;7;18.25;Horner Sämi;;16;54.25;5;18.75;-2;0.5;8.5
o;11;26.75;Riedi Thomas;;11;55.5;11;26.75;0;0.0;8.5

29g;Baumgartner Joël;;;;;;;;;;35.25
+;;;Held Simon (2002);;;;;;;;9.75
o;2;9.75;Arztmann Beda;*;13;55.0;4;8.75;2;-1.0;8.5
o;7;18.25;Gosswiler Livio (2000);;6;56.75;5;18.75;-2;0.5;8.5
o;11;26.75;Held Florian;;19;53.5;11;26.75;0;0.0;8.5

29h;Schmidlin Tobias (2001);;;;;;;;;;35.25
+;;;Fässler Tobias (2002);;;;;;;;9.75
o;2;9.75;Schlegel Reto;*;15;54.5;5;8.5;3;-1.25;8.5
o;7;18.25;Pianta Christian;;14;54.75;6;18.5;-1;0.25;8.5
o;11;26.75;Schnyder Christian;;13;55.0;10;27.0;-1;0.25;8.5

29i;Fässler Tobias (2002);;;;;;;;;;35.25
o;;;Schmidlin Tobias (2001);;;;;;;;8.5
o;5;8.5;Held Florian;;19;53.5;5;8.5;0;0.0;8.5
+;10;17.0;Müller Patrick;;34;34.0;10;17.0;0;0.0;9.75
o;11;26.75;Tremp Remo;;14;54.75;11;26.75;0;0.0;8.5

29j;Gerber Noel (2002);;;;;;;;;;35.25
o;;;Burch Dean (2001);;;;;;;;8.5
+;5;8.5;Gallati Nils (2002);;33;34.25;5;8.5;0;0.0;9.75
o;7;18.25;Breitenmoser Manuel;*;12;55.25;8;17.5;1;-0.75;8.5
o;11;26.75;Nüesch Remo (2001);;16;54.25;14;25.75;3;-1.0;8.5

29k;Raffl Nino (2002);;;;;;;;;;35.25
o;;;Thoma Nils;;;;;;;;8.5
o;5;8.5;Buff Alwin;;18;53.75;5;8.5;0;0.0;8.5
o;10;17.0;Tremp Remo;;14;54.75;10;17.0;0;0.0;8.5
+;15;25.5;Müller Patrick;;34;34.0;15;25.5;0;0.0;9.75

29l;Bossert Alain (2001);;;;;;;;;;35.25
o;;;Rohner Lukas (2000);;;;;;;;8.5
o;5;8.5;Tschudi Mario (2001);;25;45.75;5;8.5;0;0.0;8.5
+;10;17.0;Gallati Nils (2002);;33;34.25;10;17.0;0;0.0;9.75
o;11;26.75;Schuhmacher Pascal (2002);;19;53.5;11;26.75;0;0.0;8.5

29m;Rütsche Stefan;*;;;;;;;;;35.25
o;;;Ammann Rico;*;;;;;;;8.5
+;5;8.5;Pianta Christian;;14;54.75;1;10.0;-4;1.5;9.75
o;7;18.25;Jöhl Christian;*;24;46.75;6;18.5;-1;0.25;8.5
o;11;26.75;Landolt Reto;*;13;55.0;8;27.5;-3;0.75;8.5

30a;Schönenberger Björn;;;;;;;;;;35.0
-;;;von Wyl Simon;;;;;;;;8.75
-;4;8.75;Niederberger Marc Ursin (2002);;21;52.75;4;8.75;0;0.0;8.75
-;8;17.5;Glättli Benny;;32;34.5;9;17.25;1;-0.25;8.75
-;12;26.25;Ritter Fabio (2001);;21;52.75;11;26.75;-1;0.5;8.75

30b;Peng Mike;***;;;;;;;;;35.0
-;;;Steiner Michael;**;;;;;;;8.75
-;4;8.75;Burch Jonas;*;5;57.0;2;9.75;-2;1.0;8.75
-;8;17.5;Marty Jaime (2000);;12;55.25;5;18.75;-3;1.25;8.75
-;12;26.25;Elmer Adrian;*;19;53.5;9;27.25;-3;1.0;8.75

31a;Morger Adrian;*;;;;;;;;;34.75
o;;;Burch Jonas;*;;;;;;;8.5
-;5;8.5;Gosswiler Livio (2000);;6;56.75;1;10.0;-4;1.5;8.75
-;9;17.25;Jörger Corsin;;23;47.0;6;18.5;-3;1.25;8.75
-;13;26.0;Notz Armin;*;16;54.25;11;26.75;-2;0.75;8.75

32a;Glättli Benny;;;;;;;;;;34.5
o;;;Thoma Luca (2000);;;;;;;;8.5
-;5;8.5;Sprecher Martin (2000);;21;52.75;5;8.5;0;0.0;8.75
-;9;17.25;Schönenberger Björn;;30;35.0;8;17.5;-1;0.25;8.75
o;13;26.0;Ziegler Andreas (2002);;12;55.25;11;26.75;-2;0.75;8.5

33a;Frey Aaron;;;;;;;;;;34.25
o;;;Horner Sämi;;;;;;;;8.5
o;5;8.5;Wehrli Jan (2002);;13;55.0;5;8.5;0;0.0;8.5
o;10;17.0;Niederberger Marc Ursin (2002);;21;52.75;8;17.5;-2;0.5;8.5
-;15;25.5;Gallati Nils (2002);;33;34.25;15;25.5;0;0.0;8.75

33b;Gallati Nils (2002);;;;;;;;;;34.25
o;;;Furrer Matthias;;;;;;;;8.5
o;5;8.5;Gerber Noel (2002);;29;35.25;5;8.5;0;0.0;8.5
o;10;17.0;Bossert Alain (2001);;29;35.25;10;17.0;0;0.0;8.5
-;15;25.5;Frey Aaron;;33;34.25;15;25.5;0;0.0;8.75

34a;Müller Patrick;;;;;;;;;;34.0
o;;;Dändliker Hansheinrich;;;;;;;;8.5
o;5;8.5;Laager Andreas;;17;54.0;5;8.5;0;0.0;8.5
o;10;17.0;Fässler Tobias (2002);;29;35.25;10;17.0;0;0.0;8.5
o;15;25.5;Raffl Nino (2002);;29;35.25;15;25.5;0;0.0;8.5

34b;Baumann Nico (2002);;;;;;;;;;34.0
o;;;Wagner Andreas (2002);;;;;;;;8.5
o;5;8.5;Schnyder Christian;;13;55.0;5;8.5;0;0.0;8.5
o;10;17.0;Sprecher Martin (2000);;21;52.75;9;17.25;-1;0.25;8.5
o;15;25.5;Bertogg Severin (2001);;22;52.5;15;25.5;0;0.0;8.5

34c;Tobler Pius (2001);;;;;;;;;;34.0
o;;;Schuhmacher Pascal (2002);;;;;;;;8.5
o;5;8.5;Kirchmeier Christof;;17;54.0;5;8.5;0;0.0;8.5
o;10;17.0;Ochsner Reto (2000);;17;54.0;9;17.25;-1;0.25;8.5
o;15;25.5;Langenegger Beat;;29;35.25;15;25.5;0;0.0;8.5

34d;Meier Adrian (2000);;;;;;;;;;34.0
o;;;Inauen Aurel;;;;;;;;8.5
o;5;8.5;Tanner Markus (2002);;22;52.5;5;8.5;0;0.0;8.5
o;10;17.0;Held Simon (2002);;29;35.25;10;17.0;0;0.0;8.5
o;15;25.5;Dobler Mathias;;22;52.5;15;25.5;0;0.0;8.5

35a;Gwerder Andreas;**;;;;;;;;;27.0
o;;;Eugster Ruedi;**;;;;;;;8.5
+;5;8.5;Thoma Nils;;18;53.75;2;9.75;-3;1.25;10.0
o;6;18.5;Fausch Kjetil;*;11;55.5;7;18.25;1;-0.25;8.5

36a;von Wyl Simon;;;;;;;;;;26.0
-;;;Schönenberger Björn;;;;;;;;8.75
o;4;8.75;Schuler Martin;;16;54.25;4;8.75;0;0.0;8.5
-;9;17.25;Nüesch Remo (2001);;16;54.25;10;17.0;1;-0.25;8.75

