2856-2015-05-31_101_St_Galler_Kantonalschwingfest-ST

1a;Bösch Daniel;***;;;;;;;;;58.0
-;12;45.75;Alder Christian (1997);;15;54.5;12;45.75;0;0.0;8.75

15h;Horner Sämi;;;;;;;;;;54.5
o;;;Rutz Kaspar;;;;;;;;8.5
+;5;8.5;Sonderegger Damian (1997);;23;35.25;5;8.5;0;0.0;10.0
o;5;18.5;Bäbler Sandro;**;15;54.5;9;17.5;4;-1.0;8.5
+;10;27.0;Stauffacher Martin (1998);;20;53.0;9;27.25;-1;0.25;10.0
o;8;37.0;Bernold Christian;*;7;56.5;9;36.75;1;-0.25;8.5
-;13;45.5;Arnold Christian;;16;54.25;13;45.5;0;0.0;9.0

15i;Bernold Edi;**;;;;;;;;;54.5
-;;;Bäbler Dominik;*;;;;;;;8.75
+;4;8.75;Büsser André;;13;55.0;2;9.75;-2;1.0;9.75
o;5;18.5;Bösch Roman;**;5;57.0;5;18.5;0;0.0;8.5
+;10;27.0;Gartmann Mauro;;14;54.75;7;27.75;-3;0.75;10.0
-;8;37.0;Fontana Michael;;16;54.25;8;37.0;0;0.0;9.0
o;11;46.0;Sprecher Sandro;*;9;56.0;11;46.0;0;0.0;8.5

15j;Vollmeier Sandro;;;;;;;;;;54.5
o;;;Raymann David;;;;;;;;8.75
+;4;8.75;Castelli Fabio (1999);;16;54.25;5;8.5;1;-0.25;10.0
-;4;18.75;Bösch Dominik;;17;54.0;4;18.75;0;0.0;8.75
o;8;27.5;Battaglia Ursin;**;9;56.0;7;27.75;-1;0.25;8.5
+;12;36.0;Scherrer Pascal;;17;54.0;9;36.75;-3;0.75;10.0
o;11;46.0;Hersche Daniel;;10;55.75;11;46.0;0;0.0;8.5

15k;Raymann David;;;;;;;;;;54.5
+;;;Vollmeier Sandro;;;;;;;;10.0
o;1;10.0;Manser Bruno;*;13;55.0;4;8.75;3;-1.25;8.5
+;5;18.5;Ulmann Fabian (1999);;23;35.25;6;18.25;1;-0.25;10.0
-;4;28.5;Vestner Bruno;*;10;55.75;10;27.0;6;-1.5;9.0
o;6;37.5;Schrepfer Chris;;11;55.5;7;37.25;1;-0.25;8.5
o;11;46.0;Castelberg Marius;;10;55.75;12;45.75;1;-0.25;8.5

16a;Pfiffner Ivo;;;;;;;;;;54.25
o;;;Castelberg Marius;;;;;;;;8.75
+;4;8.75;Hersche Daniel;;10;55.75;4;8.75;0;0.0;9.75
o;5;18.5;Kuster Thomas;*;12;55.25;5;18.5;0;0.0;8.5
-;10;27.0;Breitenmoser Manuel;;11;55.5;10;27.0;0;0.0;8.75
+;13;35.75;Jud Andreas (1997);;18;53.75;14;35.5;1;-0.25;10.0
o;12;45.75;Fässler Patrick;;10;55.75;12;45.75;0;0.0;8.5

16b;Bürgler Patrick;;;;;;;;;;54.25
-;;;Hobi Ignaz;;;;;;;;8.75
o;4;8.75;Egli Patrick;;17;54.0;1;10.0;-3;1.25;8.5
+;10;17.25;Wildhaber Jannik (1999);;25;34.25;10;17.25;0;0.0;10.0
+;9;27.25;Bleiker Daniel;;21;52.75;9;27.25;0;0.0;10.0
o;7;37.25;Rüegg Roman;*;5;57.0;7;37.25;0;0.0;8.5
o;12;45.75;Roth Andreas;;11;55.5;12;45.75;0;0.0;8.5

16c;Beeler Matthias;;;;;;;;;;54.25
o;;;Büsser André;;;;;;;;8.5
-;5;8.5;Zahner Stefan;;24;34.75;4;8.75;-1;0.25;8.75
+;10;17.25;Klee Sandro (1999);;26;34.0;11;17.0;1;-0.25;10.0
o;9;27.25;Egger Ralf (1998);;17;54.0;10;27.0;1;-0.25;8.5
-;13;35.75;Stauffacher Martin (1998);;20;53.0;13;35.75;0;0.0;8.75
+;17;44.5;Raymann Jan (1999);;22;52.5;19;44.0;2;-0.5;9.75

16d;Schmid Patrick (1997);;;;;;;;;;54.25
-;;;Schmucki Ivo;;;;;;;;8.75
+;4;8.75;Roth Michael (1999);;21;52.75;2;9.75;-2;1.0;10.0
o;4;18.75;Bäbler Dominik;*;13;55.0;5;18.5;1;-0.25;8.5
-;9;27.25;Scherrer Willi;;13;55.0;8;27.5;-1;0.25;8.75
+;12;36.0;Betschart Ueli;;18;53.75;9;36.75;-3;0.75;9.75
o;12;45.75;Huber Pascal;*;11;55.5;12;45.75;0;0.0;8.5

16e;Wild Stefan;;;;;;;;;;54.25
-;;;Schudel Simon;;;;;;;;8.75
+;4;8.75;Artho Roman (1998);;23;35.25;2;9.75;-2;1.0;10.0
+;4;18.75;Zingg Christoph;;15;54.5;4;18.75;0;0.0;10.0
o;3;28.75;Coray Beda;*;2;57.75;5;28.25;2;-0.5;8.5
o;7;37.25;Bleiker Reto;*;11;55.5;8;37.0;1;-0.25;8.5
o;12;45.75;Vestner Bruno;*;10;55.75;12;45.75;0;0.0;8.5

16f;Arnold Christian;;;;;;;;;;54.25
-;;;Schönenberger Björn;;;;;;;;8.75
+;4;8.75;Giger Markus;;18;53.75;5;8.5;1;-0.25;9.75
o;5;18.5;Rütsche Stefan;*;12;55.25;5;18.5;0;0.0;8.5
o;10;27.0;Lieberherr Michael (1999);;11;55.5;10;27.0;0;0.0;8.5
+;14;35.5;Roth Michael (1999);;21;52.75;14;35.5;0;0.0;10.0
-;13;45.5;Horner Sämi;;15;54.5;13;45.5;0;0.0;8.75

16g;Fontana Michael;;;;;;;;;;54.25
o;;;Breitenmoser Simon;;;;;;;;8.5
+;5;8.5;Lozza Roman;;11;55.5;2;9.75;-3;1.25;10.0
+;5;18.5;Näf Bruno;*;17;54.0;5;18.5;0;0.0;10.0
o;4;28.5;Riget Tobias;**;7;56.5;4;28.5;0;0.0;8.5
-;8;37.0;Bernold Edi;**;15;54.5;8;37.0;0;0.0;8.75
o;12;45.75;Bänziger Peter;;10;55.75;12;45.75;0;0.0;8.5

16h;Frei Hanspeter (1999);;;;;;;;;;54.25
o;;;Schönenberger Philipp;;;;;;;;8.5
o;5;8.5;Schiess Christian;;14;54.75;4;8.75;-1;0.25;8.5
+;11;17.0;Heierli Pascal (1999);;16;54.25;10;17.25;-1;0.25;10.0
o;10;27.0;Oertig Simon;;10;55.75;10;27.0;0;0.0;8.5
+;14;35.5;Baumgartner Joël;;17;54.0;14;35.5;0;0.0;10.0
o;13;45.5;Wild Thomas;;13;55.0;14;45.25;1;-0.25;8.75

16i;Heierli Pascal (1999);;;;;;;;;;54.25
o;;;Artho Roman (1998);;;;;;;;8.75
o;4;8.75;Herrsche Lars (1998);;23;35.25;5;8.5;1;-0.25;8.5
o;10;17.25;Frei Hanspeter (1999);;16;54.25;11;17.0;1;-0.25;8.5
+;14;25.75;Klee Sandro (1999);;26;34.0;15;25.5;1;-0.25;10.0
o;13;35.75;Castelli Fabio (1999);;16;54.25;13;35.75;0;0.0;8.5
+;18;44.25;Haller Mathias (1999);;22;52.5;19;44.0;1;-0.25;10.0

16j;Castelli Fabio (1999);;;;;;;;;;54.25
o;;;Schrepfer Roy;;;;;;;;8.5
o;5;8.5;Vollmeier Sandro;;15;54.5;4;8.75;-1;0.25;8.5
+;11;17.0;Stüble Martin (1999);;26;34.0;11;17.0;0;0.0;10.0
o;10;27.0;Alder Christian (1997);;15;54.5;9;27.25;-1;0.25;8.75
+;13;35.75;Heierli Pascal (1999);;16;54.25;13;35.75;0;0.0;10.0
o;12;45.75;Breitenmoser Simon;;11;55.5;12;45.75;0;0.0;8.5

16k;Hobi Ignaz;;;;;;;;;;54.25
-;;;Bürgler Patrick;;;;;;;;8.75
+;4;8.75;Bommer Christoph (1997);;17;54.0;1;10.0;-3;1.25;10.0
o;4;18.75;Sprecher Sandro;*;9;56.0;9;17.5;5;-1.25;8.75
o;8;27.5;Schnyder Christian;;15;54.5;9;27.25;1;-0.25;8.5
o;12;36.0;Knöpfel Markus;;9;56.0;12;36.0;0;0.0;8.5
+;17;44.5;Langenegger Beat (1997);;20;53.0;17;44.5;0;0.0;9.75

17a;Kammermann Dominik;;;;;;;;;;54.0
-;;;Alder Armin;;;;;;;;8.75
+;4;8.75;Baumann Simon;;18;53.75;2;9.75;-2;1.0;9.75
o;5;18.5;Kid Simon;**;5;57.0;4;18.75;-1;0.25;8.5
+;10;27.0;Schudel Simon;;12;55.25;10;27.0;0;0.0;10.0
o;8;37.0;Kohler Fredi;**;6;56.75;8;37.0;0;0.0;8.5
o;13;45.5;Breitenmoser Manuel;;11;55.5;12;45.75;-1;0.25;8.5

17b;Riedi Thomas;;;;;;;;;;54.0
o;;;Wild Thomas;;;;;;;;8.5
+;5;8.5;Stüble Martin (1999);;26;34.0;5;8.5;0;0.0;10.0
o;5;18.5;Kohler Fredi;**;6;56.75;10;17.25;5;-1.25;8.5
+;10;27.0;Baumgartner Joël;;17;54.0;10;27.0;0;0.0;9.75
-;9;36.75;Bischof Martin;;12;55.25;10;36.5;1;-0.25;8.75
o;13;45.5;Lieberherr Michael (1999);;11;55.5;13;45.5;0;0.0;8.5

17c;Jecklin Alexsandro (1998);;;;;;;;;;54.0
-;;;Beeler Sepp;;;;;;;;8.75
+;4;8.75;Müller Loris (1999);;25;34.25;4;8.75;0;0.0;9.75
o;5;18.5;Scherer Christian;*;5;57.0;6;18.25;1;-0.25;8.5
o;10;27.0;Zingg Christoph;;15;54.5;9;27.25;-1;0.25;8.5
+;14;35.5;Ott Matthias (1999);;17;54.0;14;35.5;0;0.0;10.0
o;13;45.5;Oertig Simon;;10;55.75;12;45.75;-1;0.25;8.5

17d;Bommer Christoph (1997);;;;;;;;;;54.0
+;;;Wenger Dominic (1999);;;;;;;;10.0
o;1;10.0;Hobi Ignaz;;16;54.25;4;8.75;3;-1.25;8.5
+;5;18.5;Herrsche Lars (1998);;23;35.25;6;18.25;1;-0.25;10.0
o;4;28.5;Manser Bruno;*;13;55.0;10;27.0;6;-1.5;8.5
o;8;37.0;Scheiwiller Andreas;*;11;55.5;7;37.25;-1;0.25;8.5
o;13;45.5;Koch Thomas (1997);;12;55.25;13;45.5;0;0.0;8.5

17e;Tremp Remo (1999);;;;;;;;;;54.0
o;;;Schegg Michael;;;;;;;;8.5
+;5;8.5;Schuler Sandro (1999);;23;35.25;5;8.5;0;0.0;10.0
o;5;18.5;Horner Peter;**;7;56.5;6;18.25;1;-0.25;8.5
o;10;27.0;Castelberg Andri;;17;54.0;10;27.0;0;0.0;8.5
-;14;35.5;Langenegger Beat (1997);;20;53.0;14;35.5;0;0.0;8.75
+;18;44.25;Beeler Sepp;;21;52.75;18;44.25;0;0.0;9.75

17f;Baumgartner Joël;;;;;;;;;;54.0
+;;;Bühlmann Joel (1998);;;;;;;;10.0
o;1;10.0;Bäbler Dominik;*;13;55.0;4;8.75;3;-1.25;8.5
o;5;18.5;Schönenberger Philipp;;13;55.0;5;18.5;0;0.0;8.5
o;10;27.0;Riedi Thomas;;17;54.0;10;27.0;0;0.0;8.5
o;14;35.5;Frei Hanspeter (1999);;16;54.25;14;35.5;0;0.0;8.5
+;19;44.0;Winet Mathias (1999);;22;52.5;19;44.0;0;0.0;10.0

17g;Ott Matthias (1999);;;;;;;;;;54.0
o;;;Güntensperger Marcel;*;;;;;;;8.5
o;5;8.5;Scherrer Willi;;13;55.0;4;8.75;-1;0.25;8.5
o;11;17.0;Baumann Simon;;18;53.75;6;18.25;-5;1.25;8.5
+;15;25.5;Wenger Dominic (1999);;26;34.0;15;25.5;0;0.0;10.0
o;14;35.5;Jecklin Alexsandro (1998);;17;54.0;14;35.5;0;0.0;8.5
+;19;44.0;Mettler Tobias (1999);;22;52.5;19;44.0;0;0.0;10.0

17h;Dobler Mathias (1997);;;;;;;;;;54.0
o;;;Bischof Martin;;;;;;;;8.5
o;5;8.5;Bernold Michael (1999);;14;54.75;4;8.75;-1;0.25;8.75
+;10;17.25;Mettler Tobias (1999);;22;52.5;10;17.25;0;0.0;9.75
+;10;27.0;Jud Andreas (1997);;18;53.75;10;27.0;0;0.0;10.0
o;8;37.0;Bäbler Sandro;**;15;54.5;12;36.0;4;-1.0;8.5
o;13;45.5;Rütsche Werner;;12;55.25;13;45.5;0;0.0;8.5

17i;Egger Ralf (1998);;;;;;;;;;54.0
+;;;Hofstetter Beat (1997);;;;;;;;10.0
o;1;10.0;Thoma Christoph (1997);;15;54.5;4;8.75;3;-1.25;8.5
o;5;18.5;Güntensperger Marcel;*;6;56.75;5;18.5;0;0.0;8.5
+;10;27.0;Beeler Matthias;;16;54.25;9;27.25;-1;0.25;10.0
o;8;37.0;Gmür Pirmin;*;5;57.0;6;37.5;-2;0.5;8.5
o;13;45.5;Bleiker Roman;;13;55.0;14;45.25;1;-0.25;8.5

17j;Näf Bruno;*;;;;;;;;;54.0
-;;;Elmer Daniel;*;;;;;;;8.75
+;4;8.75;Pianta Christian (1997);;12;55.25;2;9.75;-2;1.0;9.75
o;5;18.5;Fontana Michael;;16;54.25;5;18.5;0;0.0;8.5
+;10;27.0;Raschle Adrian;;12;55.25;5;28.25;-5;1.25;10.0
o;8;37.0;Zwyssig Raphael;***;7;56.5;9;36.75;1;-0.25;8.5
o;13;45.5;Oertle Daniel;;12;55.25;13;45.5;0;0.0;8.5

17k;Egli Patrick;;;;;;;;;;54.0
+;;;Mettler Florian (1997);;;;;;;;10.0
+;1;10.0;Bürgler Patrick;;16;54.25;4;8.75;3;-1.25;9.75
o;2;19.75;Rychen Roger;**;6;56.75;5;18.5;3;-1.25;8.5
o;5;28.25;Kuster Thomas;*;12;55.25;4;28.5;-1;0.25;8.5
o;9;36.75;Schmucki Ivo;;10;55.75;6;37.5;-3;0.75;8.5
-;14;45.25;Giger Markus;;18;53.75;15;45.0;1;-0.25;8.75

17l;Castelberg Andri;;;;;;;;;;54.0
o;;;Ueltschi Patric;;;;;;;;8.5
o;5;8.5;Oertig Simon;;10;55.75;4;8.75;-1;0.25;8.5
+;11;17.0;Oppliger Matthias (1999);;26;34.0;11;17.0;0;0.0;10.0
+;10;27.0;Tremp Remo (1999);;17;54.0;10;27.0;0;0.0;9.75
o;9;36.75;Bernold Beat;*;14;54.75;11;36.25;2;-0.5;8.75
o;13;45.5;Streuli Martin;*;9;56.0;11;46.0;-2;0.5;8.5

17m;Roth Peter (1998);;;;;;;;;;54.0
+;;;Herrsche Lars (1998);;;;;;;;10.0
o;1;10.0;Schudel Simon;;12;55.25;4;8.75;3;-1.25;8.5
o;5;18.5;Schrepfer Roy;;11;55.5;5;18.5;0;0.0;8.5
o;10;27.0;Bernold Michael (1999);;14;54.75;8;27.5;-2;0.5;8.5
+;14;35.5;Haller Mathias (1999);;22;52.5;14;35.5;0;0.0;10.0
o;13;45.5;Knöpfel Markus;;9;56.0;11;46.0;-2;0.5;8.5

17n;Scherrer Pascal;;;;;;;;;;54.0
+;;;Winet Mathias (1999);;;;;;;;9.75
o;2;9.75;Schmucki Ivo;;10;55.75;4;8.75;2;-1.0;8.5
o;6;18.25;Städler Dario;;18;53.75;6;18.25;0;0.0;8.5
+;11;26.75;Hofstetter Beat (1997);;23;35.25;11;26.75;0;0.0;10.0
o;9;36.75;Vollmeier Sandro;;15;54.5;12;36.0;3;-0.75;8.5
o;14;45.25;Mathis Patrick;;12;55.25;13;45.5;-1;0.25;8.75

17o;Bösch Dominik;;;;;;;;;;54.0
+;;;Schnyder Christian;;;;;;;;9.75
-;2;9.75;Oertle Daniel;;12;55.25;3;9.0;1;-0.75;9.0
-;4;18.75;Vollmeier Sandro;;15;54.5;4;18.75;0;0.0;8.75
-;8;27.5;Bernold Beat;*;14;54.75;8;27.5;0;0.0;8.75
-;11;36.25;Giger Markus;;18;53.75;12;36.0;1;-0.25;9.0
-;14;45.25;Städler Dario;;18;53.75;15;45.0;1;-0.25;8.75

18a;Plump Martin;*;;;;;;;;;53.75
o;;;Baumann Rico;*;;;;;;;8.5
+;5;8.5;Rütsche Werner;;12;55.25;1;10.0;-4;1.5;9.75
+;6;18.25;Wicki Cédric;;12;55.25;5;18.5;-1;0.25;9.75
-;6;28.0;Truniger Manuel;;9;56.0;4;28.5;-2;0.5;8.75
o;9;36.75;Manser Bruno;*;13;55.0;9;36.75;0;0.0;8.5
o;14;45.25;Inauen Andreas;*;12;55.25;14;45.25;0;0.0;8.5

18b;Jud Andreas (1997);;;;;;;;;;53.75
+;;;Schuler Sandro (1999);;;;;;;;10.0
o;1;10.0;Rüegg Fabian;;3;57.5;3;9.0;2;-1.0;8.5
o;5;18.5;Eugster Ruedi;**;3;57.5;4;18.75;-1;0.25;8.5
o;10;27.0;Dobler Mathias (1997);;17;54.0;10;27.0;0;0.0;8.5
o;14;35.5;Pfiffner Ivo;;16;54.25;13;35.75;-1;0.25;8.5
+;19;44.0;Bleiker Daniel;;21;52.75;18;44.25;-1;0.25;9.75

18c;Winet Jonas (1999);;;;;;;;;;53.75
o;;;Roth Ruedi (1997);;;;;;;;8.5
o;5;8.5;Langenegger Beat (1997);;20;53.0;5;8.5;0;0.0;8.5
o;11;17.0;Giger Markus;;18;53.75;11;17.0;0;0.0;8.5
+;15;25.5;Bühlmann Joel (1998);;26;34.0;15;25.5;0;0.0;10.0
+;14;35.5;Thoma Nils (1999);;22;52.5;14;35.5;0;0.0;9.75
o;14;45.25;Gerig Marcel;;12;55.25;14;45.25;0;0.0;8.5

18d;Signer Patrick (1999);;;;;;;;;;53.75
o;;;Schmuki Michael;;;;;;;;8.5
o;5;8.5;Zingg Christoph;;15;54.5;4;8.75;-1;0.25;8.5
+;11;17.0;Eisenring Daniel (1997);;25;34.25;10;17.25;-1;0.25;9.75
+;11;26.75;Ulmann Fabian (1999);;23;35.25;11;26.75;0;0.0;10.0
o;9;36.75;Meier Remo;**;14;54.75;12;36.0;3;-0.75;8.5
o;14;45.25;Elmer Daniel;*;14;54.75;16;44.75;2;-0.5;8.5

18e;Baumann Simon;;;;;;;;;;53.75
+;;;Stieger Daniel (1999);;;;;;;;9.75
o;2;9.75;Kammermann Dominik;;17;54.0;4;8.75;2;-1.0;8.5
+;6;18.25;Ott Matthias (1999);;17;54.0;11;17.0;5;-1.25;10.0
o;5;28.25;Huber Pascal;*;11;55.5;9;27.25;4;-1.0;8.5
o;9;36.75;Schmid Dominik;*;10;55.75;7;37.25;-2;0.5;8.5
o;14;45.25;Baumgartner Alexander (1997);;12;55.25;13;45.5;-1;0.25;8.5

18f;Städler Dario;;;;;;;;;;53.75
+;;;Sonderegger Damian (1997);;;;;;;;9.75
o;2;9.75;Holenstein Christian;*;10;55.75;5;8.5;3;-1.25;8.5
+;6;18.25;Scherrer Pascal;;17;54.0;6;18.25;0;0.0;9.75
o;6;28.0;Bäbler Dominik;*;13;55.0;5;28.25;-1;0.25;8.5
o;10;36.5;Büsser André;;13;55.0;10;36.5;0;0.0;8.5
-;15;45.0;Bösch Dominik;;17;54.0;14;45.25;-1;0.25;8.75

18g;Giger Markus;;;;;;;;;;53.75
o;;;Litscher Manuel;;;;;;;;8.5
o;5;8.5;Arnold Christian;;16;54.25;4;8.75;-1;0.25;8.5
+;11;17.0;Winet Jonas (1999);;18;53.75;11;17.0;0;0.0;10.0
-;10;27.0;Schiess Christian;;14;54.75;9;27.25;-1;0.25;9.0
-;12;36.0;Bösch Dominik;;17;54.0;11;36.25;-1;0.25;9.0
-;15;45.0;Egli Patrick;;17;54.0;14;45.25;-1;0.25;8.75

18h;Nigg Kaspar (1997);;;;;;;;;;53.75
o;;;Lieberherr Michael (1999);;;;;;;;8.5
+;5;8.5;Wenger Dominic (1999);;26;34.0;5;8.5;0;0.0;9.75
o;6;18.25;Gschwend Walter;*;10;55.75;9;17.5;3;-0.75;8.5
+;11;26.75;Artho Roman (1998);;23;35.25;11;26.75;0;0.0;10.0
o;9;36.75;Ueltschi Patric;;11;55.5;8;37.0;-1;0.25;8.5
o;14;45.25;Bischof Martin;;12;55.25;14;45.25;0;0.0;8.5

18i;Steiner Michael (1998);;;;;;;;;;53.75
+;;;Oppliger Marco;;;;;;;;9.75
o;2;9.75;Rütsche Stefan;*;12;55.25;4;8.75;2;-1.0;8.5
o;6;18.25;Bänziger Peter;;10;55.75;4;18.75;-2;0.5;8.5
+;11;26.75;Müller Loris (1999);;25;34.25;14;25.75;3;-1.0;10.0
o;9;36.75;Horner Peter;**;7;56.5;9;36.75;0;0.0;8.5
o;14;45.25;Schönenberger Philipp;;13;55.0;14;45.25;0;0.0;8.5

18j;Mettler Florian (1997);;;;;;;;;;53.75
o;;;Egli Patrick;;;;;;;;8.5
+;5;8.5;Raymann Jan (1999);;22;52.5;4;8.75;-1;0.25;9.75
o;6;18.25;Schmuki Michael;;10;55.75;6;18.25;0;0.0;8.5
+;11;26.75;Roth Markus;;23;35.25;11;26.75;0;0.0;10.0
o;9;36.75;Rychen Roger;**;6;56.75;8;37.0;-1;0.25;8.5
o;14;45.25;Egger Matthias (1997);;13;55.0;14;45.25;0;0.0;8.5

18k;Nigg Jakob (1999);;;;;;;;;;53.75
o;;;Alder Christian (1997);;;;;;;;8.5
+;5;8.5;Bühlmann Joel (1998);;26;34.0;5;8.5;0;0.0;10.0
o;5;18.5;Vogel Beat;*;7;56.5;5;18.5;0;0.0;8.5
o;10;27.0;Gerig Marcel;;12;55.25;10;27.0;0;0.0;8.5
o;14;35.5;Gysel Hansruedi;;12;55.25;14;35.5;0;0.0;8.5
+;19;44.0;Thoma Nils (1999);;22;52.5;19;44.0;0;0.0;9.75

18l;Betschart Ueli;;;;;;;;;;53.75
+;;;Roth Markus;;;;;;;;9.75
o;2;9.75;Kid Simon;**;5;57.0;4;8.75;2;-1.0;8.5
o;6;18.25;Gartmann Mauro;;14;54.75;8;17.75;2;-0.5;8.5
+;11;26.75;Schuler Sandro (1999);;23;35.25;11;26.75;0;0.0;10.0
o;9;36.75;Schmid Patrick (1997);;16;54.25;12;36.0;3;-0.75;8.5
o;14;45.25;Gysel Hansruedi;;12;55.25;14;45.25;0;0.0;8.5

18m;Städler Lars;;;;;;;;;;53.75
+;;;Klee Sandro (1999);;;;;;;;10.0
o;1;10.0;Rüegg Roman;*;5;57.0;4;8.75;3;-1.25;8.5
o;5;18.5;Rütsche Werner;;12;55.25;5;18.5;0;0.0;8.5
+;10;27.0;Haller Mathias (1999);;22;52.5;10;27.0;0;0.0;9.75
o;9;36.75;Orlik Curdin;**;4;57.25;7;37.25;-2;0.5;8.5
o;14;45.25;Scherrer Willi;;13;55.0;15;45.0;1;-0.25;8.5

19a;Büsser Remo;;;;;;;;;;53.5
-;;;Bernold Michael (1999);;;;;;;;8.75
+;4;8.75;Eisenring Daniel (1997);;25;34.25;4;8.75;0;0.0;10.0
-;4;18.75;Scheiwiller Andreas;*;11;55.5;5;18.5;1;-0.25;8.75
-;8;27.5;Bischof Martin;;12;55.25;7;27.75;-1;0.25;8.75
-;11;36.25;Scherrer Willi;;13;55.0;11;36.25;0;0.0;8.75
o;15;45.0;Raschle Adrian;;12;55.25;14;45.25;-1;0.25;8.5

19b;Schiesser Patrik (1998);;;;;;;;;;53.5
o;;;Rütsche Werner;;;;;;;;8.5
+;5;8.5;Oppliger Matthias (1999);;26;34.0;5;8.5;0;0.0;9.75
o;6;18.25;Büsser André;;13;55.0;6;18.25;0;0.0;8.5
+;11;26.75;Sonderegger Damian (1997);;23;35.25;11;26.75;0;0.0;9.75
o;10;36.5;Rütsche Stefan;*;12;55.25;3;38.25;-7;1.75;8.5
o;15;45.0;Schiess Christian;;14;54.75;16;44.75;1;-0.25;8.5

20a;Stauffacher Martin (1998);;;;;;;;;;53.0
o;;;Ulmann Fabian (1999);;;;;;;;8.75
+;4;8.75;Wildhaber Jannik (1999);;25;34.25;4;8.75;0;0.0;10.0
o;4;18.75;Bleiker Reto;*;11;55.5;4;18.75;0;0.0;8.5
o;9;27.25;Horner Sämi;;15;54.5;10;27.0;1;-0.25;8.5
-;13;35.75;Beeler Matthias;;16;54.25;13;35.75;0;0.0;8.75
o;17;44.5;Thoma Christoph (1997);;15;54.5;17;44.5;0;0.0;8.5

20b;Langenegger Beat (1997);;;;;;;;;;53.0
o;;;Baumgartner Alexander (1997);;;;;;;;8.5
+;5;8.5;Winet Jonas (1999);;18;53.75;5;8.5;0;0.0;10.0
o;5;18.5;Coray Beda;*;2;57.75;6;18.25;1;-0.25;8.5
o;10;27.0;Rüegg Fabian;;3;57.5;8;27.5;-2;0.5;8.5
-;14;35.5;Tremp Remo (1999);;17;54.0;14;35.5;0;0.0;9.0
o;17;44.5;Hobi Ignaz;;16;54.25;17;44.5;0;0.0;8.5

21a;Bleiker Daniel;;;;;;;;;;52.75
-;;;Müller Loris (1999);;;;;;;;8.75
+;4;8.75;Beeler Sepp;;21;52.75;4;8.75;0;0.0;10.0
o;4;18.75;Roth Andreas;;11;55.5;4;18.75;0;0.0;8.5
o;9;27.25;Bürgler Patrick;;16;54.25;9;27.25;0;0.0;8.5
o;13;35.75;Castelberg Marius;;10;55.75;13;35.75;0;0.0;8.5
o;18;44.25;Jud Andreas (1997);;18;53.75;19;44.0;1;-0.25;8.5

21b;Roth Michael (1999);;;;;;;;;;52.75
+;;;Stüble Martin (1999);;;;;;;;9.75
o;2;9.75;Schmid Patrick (1997);;16;54.25;4;8.75;2;-1.0;8.5
o;6;18.25;Ueltschi Patric;;11;55.5;6;18.25;0;0.0;8.5
o;11;26.75;Bleiker Roman;;13;55.0;10;27.0;-1;0.25;8.75
o;14;35.5;Arnold Christian;;16;54.25;14;35.5;0;0.0;8.5
-;19;44.0;Oppliger Marco;;21;52.75;19;44.0;0;0.0;8.75

21c;Oppliger Marco;;;;;;;;;;52.75
o;;;Steiner Michael (1998);;;;;;;;8.5
o;5;8.5;Wicki Cédric;;12;55.25;5;8.5;0;0.0;8.5
+;11;17.0;Winet Mathias (1999);;22;52.5;11;17.0;0;0.0;10.0
o;10;27.0;Lozza Roman;;11;55.5;10;27.0;0;0.0;8.5
o;14;35.5;Egger Matthias (1997);;13;55.0;14;35.5;0;0.0;8.5
-;19;44.0;Roth Michael (1999);;21;52.75;19;44.0;0;0.0;8.75

21d;Beeler Sepp;;;;;;;;;;52.75
-;;;Jecklin Alexsandro (1998);;;;;;;;8.75
o;4;8.75;Bleiker Daniel;;21;52.75;4;8.75;0;0.0;8.5
o;10;17.25;Gysel Hansruedi;;12;55.25;11;17.0;1;-0.25;8.5
+;14;25.75;Oppliger Matthias (1999);;26;34.0;15;25.5;1;-0.25;10.0
o;13;35.75;Mathis Patrick;;12;55.25;13;35.75;0;0.0;8.5
o;18;44.25;Tremp Remo (1999);;17;54.0;18;44.25;0;0.0;8.5

21e;Bircher Luca (1999);;;;;;;;;;52.75
o;;;Harder Benj;;;;;;;;8.5
+;5;8.5;Winet Mathias (1999);;22;52.5;5;8.5;0;0.0;10.0
-;5;18.5;Bischof Martin;;12;55.25;3;19.0;-2;0.5;8.75
o;9;27.25;Streuli Martin;*;9;56.0;8;27.5;-1;0.25;8.5
o;13;35.75;Fässler Patrick;;10;55.75;13;35.75;0;0.0;8.5
o;18;44.25;Bischof Remo;;15;54.5;17;44.5;-1;0.25;8.5

22a;Haller Mathias (1999);;;;;;;;;;52.5
+;;;Oppliger Matthias (1999);;;;;;;;10.0
o;1;10.0;Roth Andreas;;11;55.5;4;8.75;3;-1.25;8.5
o;5;18.5;Baumann Rico;*;10;55.75;6;18.25;1;-0.25;8.5
o;10;27.0;Städler Lars;;18;53.75;10;27.0;0;0.0;8.5
o;14;35.5;Roth Peter (1998);;17;54.0;14;35.5;0;0.0;8.5
o;19;44.0;Heierli Pascal (1999);;16;54.25;18;44.25;-1;0.25;8.5

22b;Winet Mathias (1999);;;;;;;;;;52.5
o;;;Scherrer Pascal;;;;;;;;8.5
o;5;8.5;Bircher Luca (1999);;21;52.75;5;8.5;0;0.0;8.5
