3705-2022-07-17_Bernisch-Kantonales_Schwingfest_Stockhorn-Arena-ST

1a;Walther Adrian;**;;;;;;;;;58.75
o;5;8.5;Schlüchter Colin;*;5;57.0;1;10.0;-4;1.5;8.5
+;11;17.0;Röthlisberger Florian;;16;54.0;6;18.5;-5;1.5;10.0
+;10;27.0;Rutsch Remo (2004);*;15;54.25;10;27.0;0;0.0;9.75
+;10;36.75;Oberli Pascal;;16;54.0;9;37.0;-1;0.25;10.0
o;7;46.75;Aeschbacher Matthias;***;6;56.75;6;47.0;-1;0.25;8.5

11f;Schenk Thomas;*;;;;;;;;;55.25
+;;;Schenkel Remo;*;;;;;;;9.75
o;2;9.75;Matthey Mickaël;**;14;54.5;5;8.5;3;-1.25;8.5
+;7;18.25;Rutsch Remo (2004);*;15;54.25;6;18.5;-1;0.25;9.75
-;7;28.0;Kämpf Alexander;**;13;54.75;4;28.75;-3;0.75;8.75
o;10;36.75;Thomet Adrian;**;16;54.0;14;35.75;4;-1.0;8.5
+;13;45.25;Walther Nicolas;;20;53.0;16;44.5;3;-0.75;10.0

11g;Steffen Konrad;*;;;;;;;;;55.25
+;;;Tschan Matthias;*;;;;;;;9.75
o;2;9.75;Kämpf Bernhard;***;7;56.5;2;9.75;0;0.0;8.5
+;7;18.25;Wiedmer Marco;;12;55.0;4;19.0;-3;0.75;9.75
+;7;28.0;Rychen Roger;***;10;55.5;11;26.75;4;-1.25;10.0
o;5;38.0;Roschi Ruedi;**;8;56.25;6;37.75;1;-0.25;8.5
o;8;46.5;Thöni Ivan;*;9;55.75;10;46.0;2;-0.5;8.75

11h;Gäumann Stefan;**;;;;;;;;;55.25
o;;;Roschi Ruedi;**;;;;;;;8.5
o;5;8.5;Kropf Thomas;**;10;55.5;2;9.75;-3;1.25;8.5
+;11;17.0;Stucki Jürg;;20;53.0;6;18.5;-5;1.5;10.0
+;10;27.0;Wenger Marcel;*;26;34.75;13;26.25;3;-0.75;10.0
o;9;37.0;Schwander Severin;**;9;55.75;8;37.25;-1;0.25;8.5
+;12;45.5;Camenzind Ivan;*;15;54.25;11;45.75;-1;0.25;9.75

12a;Stucki Fabian (2005);;;;;;;;;;55.0
-;;;Wittwer Mathias;;;;;;;;9.0
-;3;9.0;Zosso Remo;**;27;34.5;5;8.5;2;-0.5;8.75
+;8;17.75;Zingrich Jan;*;24;35.25;7;18.25;-1;0.5;9.75
+;8;27.5;Steudler Kevin;*;20;53.0;10;27.0;2;-0.5;10.0
-;7;37.5;Wittwer Josias;**;14;54.5;8;37.25;1;-0.25;8.75
-;9;46.25;Matthey Mickaël;**;14;54.5;11;45.75;2;-0.5;8.75

12b;Blaser Roman;*;;;;;;;;;55.0
+;;;Kämpf Marcel;*;;;;;;;9.75
o;2;9.75;Collaud Romain;**;9;55.75;5;8.5;3;-1.25;8.5
-;7;18.25;Wyss Kaspar;*;16;54.0;7;18.25;0;0.0;8.75
o;10;27.0;Wittwer Josias;**;14;54.5;9;27.25;-1;0.25;8.5
+;15;35.5;Wicki Cédric;;21;52.75;15;35.5;0;0.0;9.75
+;13;45.25;Stucki Jürg;;20;53.0;16;44.5;3;-0.75;9.75

12c;Klopfenstein Jan;;;;;;;;;;55.0
+;;;Engel Manfred;;;;;;;;9.75
o;2;9.75;Steffen Valentin;*;11;55.25;4;8.75;2;-1.0;8.5
+;7;18.25;Sommer Martin;*;20;53.0;7;18.25;0;0.0;10.0
o;6;28.25;Gobeli Patrick;**;3;57.5;5;28.5;-1;0.25;8.5
o;10;36.75;Gnägi Damian;*;15;54.25;14;35.75;4;-1.0;8.5
+;13;45.25;Stucki Jürg;;20;53.0;16;44.5;3;-0.75;9.75

12d;Scheidegger Marc;;;;;;;;;;55.0
+;;;Dummermuth Ueli;;;;;;;;9.75
o;2;9.75;Nägeli Leandro;*;16;54.0;4;8.75;2;-1.0;8.5
o;7;18.25;Thomet Adrian;**;16;54.0;11;17.0;4;-1.25;8.5
+;11;26.75;Niederhäuser Martin;;27;34.5;14;26.0;3;-0.75;9.75
-;11;36.5;Kämpf Marcel;*;26;34.75;18;34.75;7;-1.75;8.75
+;13;45.25;Hehlen Nico;*;16;54.0;12;45.5;-1;0.25;9.75

12e;Wiedmer Marco;;;;;;;;;;55.0
-;;;Wüthrich Philip;*;;;;;;;9.0
+;3;9.0;Fankhauser Thomas;*;32;17.25;4;8.75;1;-0.25;10.0
o;4;19.0;Steffen Konrad;*;11;55.25;7;18.25;3;-0.75;8.5
-;8;27.5;Kämpf Nicolas;;19;53.25;10;27.0;2;-0.5;9.0
+;11;36.5;Sommer Martin;*;20;53.0;15;35.5;4;-1.0;10.0
