5509-2022-05-01_Zuger_Kantonal_Schwingfest-ST

1a;Wicki Joel;***;;;;;;;;;58.5
-;;;Durrer Ueli;;;;;;;;8.75
+;4;8.75;Arnold Robin;;17;54.0;4;8.75;0;0.0;10.0
o;5;18.75;Arnold Stefan;**;7;56.5;6;18.5;1;-0.25;8.5
o;10;27.25;Bühler Ramon;;12;55.25;11;27.0;1;-0.25;8.75
+;13;36.0;Ettlin Michael;;16;54.25;13;36.0;0;0.0;9.75
o;12;45.75;Kennel Beat;**;10;55.75;12;45.75;0;0.0;8.5

16h;Hegner Ueli;*;;;;;;;;;54.25
o;;;Reichmuth Roland;*;;;;;;;8.5
-;5;8.5;Wallimann Remo;*;26;36.0;5;8.5;0;0.0;8.75
+;11;17.25;Wittwer Roy;;13;55.0;7;18.25;-4;1.0;9.75
+;11;27.0;Niederberger Sven (2006);;22;52.75;10;27.25;-1;0.25;10.0
o;9;37.0;Bucher Christian;**;6;56.75;8;37.25;-1;0.25;8.5
-;13;45.5;Betschart Roger;;16;54.25;13;45.5;0;0.0;8.75

16i;Von Euw Adi;;;;;;;;;;54.25
+;;;Langenegger Gerhard;;;;;;;;10.0
o;1;10.0;Hürlimann Ueli;;12;55.25;2;9.75;1;-0.25;8.75
o;5;18.75;Reichmuth Roland;*;2;58.0;6;18.5;1;-0.25;8.5
o;10;27.25;Zurfluh Roman;**;6;56.75;8;27.75;-2;0.5;8.5
+;14;35.75;Koch Emanuel (2006);;23;52.5;15;35.5;1;-0.25;10.0
o;12;45.75;Gisler Silvan;;11;55.5;12;45.75;0;0.0;8.5

16j;Thalmann Adrian;;;;;;;;;;54.25
-;;;Gasser Dominik 1;;;;;;;;8.75
o;4;8.75;Suter Lukas;;19;53.5;4;8.75;0;0.0;8.5
+;11;17.25;Gabriel Christian;;33;34.25;11;17.25;0;0.0;9.75
+;11;27.0;Lüthi Manuel;*;17;54.0;11;27.0;0;0.0;10.0
o;9;37.0;Gander Martin;;9;56.0;7;37.5;-2;0.5;8.75
o;12;45.75;Lagler Christian;*;10;55.75;12;45.75;0;0.0;8.5

16k;Betschart Roger;;;;;;;;;;54.25
o;;;Hürlimann Ueli;;;;;;;;8.5
o;5;8.5;Vogel Laurin;;11;55.5;4;8.75;-1;0.25;8.5
+;12;17.0;Hotz Basil;;33;34.25;12;17.0;0;0.0;10.0
-;11;27.0;Bienz Romeo;*;28;35.5;12;26.75;1;-0.25;8.75
+;14;35.75;Kauflin Andrin (2004);;23;52.5;15;35.5;1;-0.25;9.75
-;13;45.5;Hegner Ueli;*;16;54.25;13;45.5;0;0.0;8.75

16l;Elsener Manuel;;;;;;;;;;54.25
+;;;Reichlin Reto;;;;;;;;10.0
-;1;10.0;von Ah Markus;;17;54.0;2;9.75;1;-0.25;8.75
o;5;18.75;Zumbach Michael;;16;54.25;7;18.25;2;-0.5;8.5
o;10;27.25;Schürpf Bruno;*;9;56.0;11;27.0;1;-0.25;8.5
+;14;35.75;von Rickenbach Carlo (2005);;16;54.25;14;35.75;0;0.0;10.0
o;12;45.75;Züger Benjamin (2004);;11;55.5;13;45.5;1;-0.25;8.5

16m;Arnold Marcel;*;;;;;;;;;54.25
-;;;Schärli Reto;*;;;;;;;8.75
o;4;8.75;Lustenberger Josef;*;7;56.5;5;8.5;1;-0.25;8.5
o;11;17.25;Bucher André;;11;55.5;6;18.5;-5;1.25;8.75
+;15;26.0;Waser David;;34;34.0;17;25.5;2;-0.5;10.0
o;13;36.0;Wittwer Roy;;13;55.0;11;36.5;-2;0.5;8.5
+;17;44.5;Suter Michael;;21;53.0;17;44.5;0;0.0;9.75

16n;Beffa Mario;;;;;;;;;;54.25
+;;;Meier Andreas;;;;;;;;10.0
+;1;10.0;Langenegger Ruedi;;23;52.5;1;10.0;0;0.0;9.75
o;2;19.75;Fankhauser Marco;**;5;57.0;5;18.75;3;-1.0;8.5
o;6;28.25;Schärli Reto;*;9;56.0;8;27.75;2;-0.5;8.5
-;10;36.75;Zumbach Michael;;16;54.25;10;36.75;0;0.0;8.75
-;13;45.5;Egli Matthias;;16;54.25;13;45.5;0;0.0;8.75

16o;Durrer Ueli;;;;;;;;;;54.25
-;;;Hurschler Adrian;;;;;;;;8.75
+;4;8.75;Andermatt Reto;;15;54.5;5;8.5;1;-0.25;9.75
+;6;18.5;Reichlin Reto;;29;35.25;7;18.25;1;-0.25;10.0
-;5;28.5;Elsener Adrian;**;25;36.25;9;27.5;4;-1.0;8.75
o;8;37.25;Waser Dominik;**;4;57.25;8;37.25;0;0.0;8.5
o;12;45.75;Elmiger Andreas;*;11;55.5;12;45.75;0;0.0;8.5

16p;von Rickenbach Carlo (2005);;;;;;;;;;54.25
+;;;Meier Marcel;;;;;;;;9.75
o;2;9.75;Lüthy Ralph;;11;55.5;1;10.0;-1;0.25;8.5
o;7;18.25;Lüthi Manuel;*;17;54.0;12;17.0;5;-1.25;8.75
-;11;27.0;Baumann Marco;;20;53.25;11;27.0;0;0.0;8.75
o;14;35.75;Elsener Manuel;;16;54.25;14;35.75;0;0.0;8.5
+;18;44.25;Koch Emanuel (2006);;23;52.5;19;44.0;1;-0.25;10.0

17a;Schuler Daniel;*;;;;;;;;;54.0
o;;;Elsener Marcel;*;;;;;;;8.5
-;5;8.5;Betschart Marcel;*;10;55.75;4;8.75;-1;0.25;8.75
+;11;17.25;Christen Silvan;;29;35.25;7;18.25;-4;1.0;9.75
-;11;27.0;Kempf Damian;;19;53.5;9;27.5;-2;0.5;8.75
o;14;35.75;Bühler Ramon;;12;55.25;10;36.75;-4;1.0;8.5
+;18;44.25;Arnold Severin;*;22;52.75;18;44.25;0;0.0;9.75

17b;Meier Andreas;;;;;;;;;;54.0
o;;;Beffa Mario;;;;;;;;8.5
o;5;8.5;Suter Samuel;;4;57.25;4;8.75;-1;0.25;8.5
+;12;17.0;Birrer Jonas (2006);;33;34.25;12;17.0;0;0.0;10.0
o;11;27.0;Zimmermann Daniel;*;12;55.25;16;25.75;5;-1.25;8.5
+;15;35.5;Pfyl Reto (2006);;20;53.25;14;35.75;-1;0.25;10.0
o;13;45.5;Kälin Roland;**;10;55.75;12;45.75;-1;0.25;8.5

17c;Kiser Dominik (2006);;;;;;;;;;54.0
o;;;Köpfli Mario (2005);;;;;;;;8.5
+;5;8.5;Langenegger Gerhard;;34;34.0;5;8.5;0;0.0;10.0
o;6;18.5;Elmiger Andreas;*;11;55.5;10;17.5;4;-1.0;8.5
o;11;27.0;Hodler Mathias;;18;53.75;11;27.0;0;0.0;8.5
o;15;35.5;Gisler Silvan;;11;55.5;13;36.0;-2;0.5;8.5
+;19;44.0;Kauflin Andrin (2004);;23;52.5;19;44.0;0;0.0;10.0

17d;Schnellmann Alexander (2004);;;;;;;;;;54.0
-;;;Staub Ivan;;;;;;;;8.75
-;4;8.75;Rogenmoser Linus;;15;54.5;5;8.5;1;-0.25;8.75
+;10;17.5;Kathriner Andreas;;22;52.75;11;17.25;1;-0.25;9.75
o;10;27.25;Bieri Christian;**;18;53.75;14;26.25;4;-1.0;8.5
o;14;35.75;Betschart Marcel;*;10;55.75;14;35.75;0;0.0;8.5
+;18;44.25;Arnold Kilian;;20;53.25;17;44.5;-1;0.25;9.75

17e;Schwyzer Sebastian (2004);;;;;;;;;;54.0
-;;;Durrer Markus;;;;;;;;8.75
+;4;8.75;Schmid Pius;;29;35.25;5;8.5;1;-0.25;9.75
-;6;18.5;Bieri Christian;**;18;53.75;11;17.25;5;-1.25;9.0
-;9;27.5;Ettlin Stefan;**;11;55.5;12;26.75;3;-0.75;9.0
-;11;36.5;Appert Silvan;;12;55.25;12;36.25;1;-0.25;9.0
o;13;45.5;Zimmermann Daniel;*;12;55.25;13;45.5;0;0.0;8.5

17f;Binggeli Stefan;**;;;;;;;;;54.0
-;;;Elsener Adrian;**;;;;;;;8.75
-;4;8.75;Zurfluh Michael;*;11;55.5;4;8.75;0;0.0;8.75
+;10;17.5;Suter Samuel;;4;57.25;5;18.75;-5;1.25;9.75
-;10;27.25;Hürlimann Ueli;;12;55.25;7;28.0;-3;0.75;9.0
-;12;36.25;Bieri Christian;**;18;53.75;13;36.0;1;-0.25;9.0
-;14;45.25;Rogenmoser Linus;;15;54.5;12;45.75;-2;0.5;8.75

17g;Lüthi Manuel;*;;;;;;;;;54.0
o;;;Durrer Nando;*;;;;;;;8.5
o;5;8.5;Bürgi Reto;*;5;57.0;4;8.75;-1;0.25;8.5
+;12;17.0;von Rickenbach Carlo (2005);;16;54.25;7;18.25;-5;1.25;10.0
o;11;27.0;Thalmann Adrian;;16;54.25;11;27.0;0;0.0;8.5
+;15;35.5;Kathriner Andreas;;22;52.75;14;35.75;-1;0.25;10.0
o;13;45.5;Rohrer Ivan;**;11;55.5;12;45.75;-1;0.25;8.5

17h;von Ah Markus;;;;;;;;;;54.0
+;;;Rogenmoser Luca;;;;;;;;9.75
-;2;9.75;Elsener Manuel;;16;54.25;1;10.0;-1;0.25;8.75
+;6;18.5;Koch Emanuel (2006);;23;52.5;6;18.5;0;0.0;10.0
o;5;28.5;Bucher Christian;**;6;56.75;9;27.5;4;-1.0;8.5
o;9;37.0;Achermann Christoph;*;12;55.25;9;37.0;0;0.0;8.5
o;13;45.5;Vogel Laurin;;11;55.5;13;45.5;0;0.0;8.5

17i;Würsch Lars;*;;;;;;;;;54.0
o;;;Moos Christoph;*;;;;;;;8.5
o;5;8.5;Müller Luca (2004);*;8;56.25;4;8.75;-1;0.25;8.5
o;12;17.0;Rogenmoser Ryan;;13;55.0;7;18.25;-5;1.25;8.5
+;17;25.5;Schmid Pius;;29;35.25;12;26.75;-5;1.25;10.0
+;15;35.5;Süssmeier Kay (2006);;18;53.75;15;35.5;0;0.0;10.0
o;13;45.5;Betschart Marcel;*;10;55.75;12;45.75;-1;0.25;8.5

17j;Arnold Sebastian;;;;;;;;;;54.0
o;;;Klauser Nico;;;;;;;;8.5
o;5;8.5;Gut Koni;;11;55.5;4;8.75;-1;0.25;8.5
+;12;17.0;Stübi Nevio (2006);;34;34.0;12;17.0;0;0.0;10.0
o;11;27.0;Wicki David;*;11;55.5;10;27.25;-1;0.25;8.5
+;15;35.5;Köpfli Mario (2005);;29;35.25;16;35.25;1;-0.25;10.0
o;13;45.5;Gmür Pirmin;**;10;55.75;12;45.75;-1;0.25;8.5

17k;Klauser Nico;;;;;;;;;;54.0
+;;;Arnold Sebastian;;;;;;;;10.0
o;1;10.0;Felder Ivan (2004);;14;54.75;3;9.0;2;-1.0;8.5
o;6;18.5;Wyrsch Marco;**;9;56.0;10;17.5;4;-1.0;8.5
+;11;27.0;Reichmuth Marco (2005);;29;35.25;12;26.75;1;-0.25;10.0
o;9;37.0;Scherrer Fabian;*;6;56.75;8;37.25;-1;0.25;8.5
o;13;45.5;von Rickenbach Pirmin;;11;55.5;13;45.5;0;0.0;8.5

17l;Lüscher Elias (2006);;;;;;;;;;54.0
+;;;Rogenmoser Franco (2004);;;;;;;;10.0
o;1;10.0;Hürlimann Marco;;13;55.0;2;9.75;1;-0.25;8.5
o;6;18.5;Keller Janik;*;14;54.75;10;17.5;4;-1.0;8.75
o;10;27.25;Lussi Marco;**;11;55.5;10;27.25;0;0.0;8.5
+;14;35.75;Langenegger Ruedi;;23;52.5;15;35.5;1;-0.25;9.75
o;13;45.5;Gut Koni;;11;55.5;13;45.5;0;0.0;8.5

17m;Arnold Robin;;;;;;;;;;54.0
-;;;Suter Lukas;;;;;;;;8.75
o;4;8.75;Hurschler Adrian;;16;54.25;4;8.75;0;0.0;8.5
+;11;17.25;Stübi Noël (2004);;33;34.25;12;17.0;1;-0.25;9.75
-;11;27.0;Gwerder Andreas;*;18;53.75;12;26.75;1;-0.25;8.75
o;14;35.75;Rogenmoser Linus;;15;54.5;14;35.75;0;0.0;8.5
+;18;44.25;Rogenmoser Franco (2004);;23;52.5;19;44.0;1;-0.25;9.75

18a;Bissig Joris;;;;;;;;;;53.75
o;;;Häfliger Patrick;;;;;;;;8.5
+;5;8.5;Wesemann Micha;;34;34.0;5;8.5;0;0.0;10.0
o;6;18.5;Betschart Marcel;*;10;55.75;10;17.5;4;-1.0;8.5
+;11;27.0;Bucher Sandro;;18;53.75;11;27.0;0;0.0;9.75
o;10;36.75;Bucher André;;11;55.5;9;37.0;-1;0.25;8.5
o;14;45.25;Felder Ivan (2004);;14;54.75;15;45.0;1;-0.25;8.5

18b;Wiss Ivan (2004);;;;;;;;;;53.75
-;;;Forster Christian;;;;;;;;8.75
+;4;8.75;Niederberger Sven (2006);;22;52.75;4;8.75;0;0.0;10.0
-;5;18.75;Langensand Stefan;*;13;55.0;7;18.25;2;-0.5;9.0
-;8;27.75;Zurfluh Michael;*;11;55.5;9;27.5;1;-0.25;8.75
-;11;36.5;Barmettler Severin (2005);;19;53.5;12;36.25;1;-0.25;8.75
o;14;45.25;Bühler Patrice;;11;55.5;13;45.5;-1;0.25;8.5

18c;Bieri Christian;**;;;;;;;;;53.75
-;;;Kennel Beat;**;;;;;;;8.75
o;4;8.75;Durrer Jonas;*;11;55.5;4;8.75;0;0.0;8.5
-;11;17.25;Schwyzer Sebastian (2004);;17;54.0;6;18.5;-5;1.25;9.0
+;14;26.25;Schnellmann Alexander (2004);;17;54.0;10;27.25;-4;1.0;9.75
-;13;36.0;Binggeli Stefan;**;17;54.0;12;36.25;-1;0.25;9.0
-;15;45.0;Zumbach Michael;;16;54.25;13;45.5;-2;0.5;8.75

18d;Elmer Daniel;*;;;;;;;;;53.75
o;;;Bucher Roland;*;;;;;;;8.5
+;5;8.5;Suter Beat;*;14;54.75;4;8.75;-1;0.25;9.75
o;7;18.25;Marti Simon;;4;57.25;4;19.0;-3;0.75;8.5
+;12;26.75;Kauflin Andrin (2004);;23;52.5;11;27.0;-1;0.25;10.0
o;10;36.75;Lustenberger Marc;*;6;56.75;8;37.25;-2;0.5;8.5
o;14;45.25;Zurfluh Michael;*;11;55.5;13;45.5;-1;0.25;8.5

18e;Bucher Sandro;;;;;;;;;;53.75
-;;;Lienhard Ramon (2004);;;;;;;;8.75
+;4;8.75;Büeler Ivo (2004);;32;34.5;4;8.75;0;0.0;9.75
o;6;18.5;Nietlispach Pascal;**;7;56.5;6;18.5;0;0.0;8.5
o;11;27.0;Meier Daniel;;14;54.75;10;27.25;-1;0.25;8.5
o;15;35.5;Bissig Joris;;18;53.75;10;36.75;-5;1.25;8.5
+;19;44.0;Langenegger Ruedi;;23;52.5;19;44.0;0;0.0;9.75

18f;Hodler Mathias;;;;;;;;;;53.75
+;;;Schnüriger Kevin (2004);;;;;;;;10.0
o;1;10.0;Gander Martin;;9;56.0;1;10.0;0;0.0;8.5
o;6;18.5;Hess Michael;*;26;36.0;11;17.25;5;-1.25;8.5
+;11;27.0;Kiser Dominik (2006);;17;54.0;11;27.0;0;0.0;9.75
o;10;36.75;Hurschler Tobias;;10;55.75;8;37.25;-2;0.5;8.5
o;14;45.25;Langensand Stefan;*;13;55.0;15;45.0;1;-0.25;8.5

18g;Zimmermann Gian (2004);;;;;;;;;;53.75
+;;;Briker Raphael (2006);;;;;;;;9.75
o;2;9.75;Birchler Fabian;;12;55.25;2;9.75;0;0.0;8.5
o;7;18.25;Kessler Joel;*;10;55.75;11;17.25;4;-1.0;8.5
+;12;26.75;Eberli Jonas (2005);;29;35.25;12;26.75;0;0.0;9.75
o;11;36.5;Ettlin Stefan;**;11;55.5;14;35.75;3;-0.75;8.5
-;15;45.0;Gasser Dominik 1;;19;53.5;16;44.75;1;-0.25;8.75

18h;Epp Elias;;;;;;;;;;53.75
+;;;Andermatt Reto;;;;;;;;10.0
o;1;10.0;Marti Simon;;4;57.25;3;9.0;2;-1.0;8.5
+;6;18.5;Kauflin Andrin (2004);;23;52.5;6;18.5;0;0.0;9.75
o;6;28.25;Kennel Beat;**;10;55.75;9;27.5;3;-0.75;8.5
o;10;36.75;Scherrer Patrick;;11;55.5;8;37.25;-2;0.5;8.5
o;14;45.25;Keller Janik;*;14;54.75;15;45.0;1;-0.25;8.5

18i;Gwerder Andreas;*;;;;;;;;;53.75
o;;;Hürlimann Mathias;*;;;;;;;8.5
o;5;8.5;Schärli Reto;*;9;56.0;4;8.75;-1;0.25;8.5
+;12;17.0;Staub Ivan;;31;34.75;9;17.75;-3;0.75;9.75
-;12;26.75;Arnold Robin;;17;54.0;11;27.0;-1;0.25;8.75
+;15;35.5;Suter Nicola (2005);;23;52.5;15;35.5;0;0.0;9.75
o;14;45.25;Wyss Christian;*;12;55.25;14;45.25;0;0.0;8.5

18j;Furrer Jens;;;;;;;;;;53.75
+;;;Stübi Nevio (2006);;;;;;;;10.0
o;1;10.0;Bühlmann Daniel;;16;54.25;1;10.0;0;0.0;8.5
+;6;18.5;Ulrich Ronny (2006);;29;35.25;7;18.25;1;-0.25;9.75
o;6;28.25;Kälin Roland;**;10;55.75;10;27.25;4;-1.0;8.5
o;10;36.75;Rogenmoser Ryan;;13;55.0;11;36.5;1;-0.25;8.5
o;14;45.25;Moos Christoph;*;16;54.25;17;44.5;3;-0.75;8.5

18k;Süssmeier Kay (2006);;;;;;;;;;53.75
o;;;Gisler Silvan;;;;;;;;8.5
o;5;8.5;Wittwer Roy;;13;55.0;5;8.5;0;0.0;8.5
o;12;17.0;Appert Silvan;;12;55.25;9;17.75;-3;0.75;8.5
+;17;25.5;Stübi Nevio (2006);;34;34.0;17;25.5;0;0.0;10.0
o;15;35.5;Würsch Lars;*;17;54.0;15;35.5;0;0.0;8.5
+;19;44.0;Kaiser Sandro;;20;53.25;17;44.5;-2;0.5;9.75

18l;Bürgi Simon;;;;;;;;;;53.75
+;;;Horat Dominic;;;;;;;;10.0
o;1;10.0;Röthlin Pascal;;8;56.25;1;10.0;0;0.0;8.5
o;6;18.5;Briker Raphael (2006);;14;54.75;7;18.25;1;-0.25;8.5
o;11;27.0;Troxler Jonas;*;16;54.25;12;26.75;1;-0.25;8.5
+;15;35.5;Britschgi Marcel;;24;44.25;14;35.75;-1;0.25;9.75
o;14;45.25;Niederberger Markus;*;14;54.75;16;44.75;2;-0.5;8.5

19a;Gasser Dominik 1;;;;;;;;;;53.5
-;;;Thalmann Adrian;;;;;;;;8.75
+;4;8.75;Birrer Jonas (2006);;33;34.25;5;8.5;1;-0.25;10.0
-;5;18.75;Elsener Adrian;**;25;36.25;6;18.5;1;-0.25;8.75
o;9;27.5;Bucher Roland;*;6;56.75;9;27.5;0;0.0;8.5
-;13;36.0;Wyrsch Gabriel;;14;54.75;13;36.0;0;0.0;8.75
-;16;44.75;Zimmermann Gian (2004);;18;53.75;15;45.0;-1;0.25;8.75

19b;Suter Lukas;;;;;;;;;;53.5
-;;;Arnold Robin;;;;;;;;8.75
+;4;8.75;Thalmann Adrian;;16;54.25;4;8.75;0;0.0;9.75
o;6;18.5;Kenel Franz-Toni;*;5;57.0;6;18.5;0;0.0;8.5
-;11;27.0;Gisler Silvan;;11;55.5;11;27.0;0;0.0;9.0
o;13;36.0;Ulrich Michael;;14;54.75;11;36.5;-2;0.5;8.5
-;17;44.5;Pfyl Reto (2006);;20;53.25;18;44.25;1;-0.25;9.0

19c;Hüsler Matthias;;;;;;;;;;53.5
+;;;Suter Nicola (2005);;;;;;;;9.75
-;2;9.75;Durrer Markus;;30;35.0;4;8.75;2;-1.0;9.0
o;5;18.75;Durrer Fabian;*;11;55.5;7;18.25;2;-0.5;8.5
-;10;27.25;Barmettler Severin (2005);;19;53.5;9;27.5;-1;0.25;9.0
o;12;36.25;Hürlimann Marco;;13;55.0;11;36.5;-1;0.25;8.75
o;15;45.0;Schilter Daniel;*;14;54.75;15;45.0;0;0.0;8.5

19d;Barmettler Severin (2005);;;;;;;;;;53.5
-;;;Egli Matthias;;;;;;;;8.75
-;4;8.75;Staub Ivan;;31;34.75;4;8.75;0;0.0;9.0
+;9;17.75;Arnold Severin;*;22;52.75;12;17.0;3;-0.75;9.75
-;9;27.5;Hüsler Matthias;;19;53.5;10;27.25;1;-0.25;8.75
-;12;36.25;Wiss Ivan (2004);;18;53.75;11;36.5;-1;0.25;8.75
o;15;45.0;Gabriel Simon;;13;55.0;14;45.25;-1;0.25;8.5

19e;Kempf Damian;;;;;;;;;;53.5
-;;;Wicki Patrick;;;;;;;;8.75
-;4;8.75;Hurschler Tobias;;10;55.75;1;10.0;-3;1.25;8.75
+;10;17.5;Meier Marcel;;29;35.25;12;17.0;2;-0.5;10.0
-;9;27.5;Schuler Daniel;*;17;54.0;11;27.0;2;-0.5;8.75
-;12;36.25;Felder Ivan (2004);;14;54.75;12;36.25;0;0.0;8.75
o;15;45.0;Appert Silvan;;12;55.25;14;45.25;-1;0.25;8.5

20a;Arnold Kilian;;;;;;;;;;53.25
o;;;Riebli Leon;;;;;;;;8.5
-;5;8.5;Suter Michael;;21;53.0;5;8.5;0;0.0;8.75
+;11;17.25;Büeler Ivo (2004);;32;34.5;11;17.25;0;0.0;10.0
o;10;27.25;Barmettler Renato;*;10;55.75;11;27.0;1;-0.25;8.5
-;14;35.75;Baumann Marco;;20;53.25;14;35.75;0;0.0;8.75
o;17;44.5;Schnellmann Alexander (2004);;17;54.0;18;44.25;1;-0.25;8.75

20b;Pfyl Reto (2006);;;;;;;;;;53.25
-;;;Arnold Matthias (2006);;;;;;;;8.75
o;4;8.75;Rogenmoser Luca;;29;35.25;5;8.5;1;-0.25;8.5
-;11;17.25;Lienhard Ramon (2004);;31;34.75;11;17.25;0;0.0;8.75
+;15;26.0;Langenegger Gerhard;;34;34.0;17;25.5;2;-0.5;9.75
o;14;35.75;Meier Andreas;;17;54.0;15;35.5;1;-0.25;8.5
-;18;44.25;Suter Lukas;;19;53.5;17;44.5;-1;0.25;9.0

20c;Kaiser Sandro;;;;;;;;;;53.25
-;;;Gabriel Christian;;;;;;;;8.75
o;4;8.75;Meier Daniel;;14;54.75;4;8.75;0;0.0;8.5
-;11;17.25;Suter Michael;;21;53.0;11;17.25;0;0.0;8.75
+;15;26.0;Büeler Ivo (2004);;32;34.5;15;26.0;0;0.0;10.0
o;13;36.0;Zimmermann Daniel;*;12;55.25;15;35.5;2;-0.5;8.5
o;17;44.5;Süssmeier Kay (2006);;18;53.75;19;44.0;2;-0.5;8.75

20d;Baumann Marco;;;;;;;;;;53.25
o;;;Amrhyn Jonas;;;;;;;;8.5
+;5;8.5;Britschgi Marcel;;24;44.25;5;8.5;0;0.0;10.0
o;6;18.5;Kennel Beat;**;10;55.75;9;17.75;3;-0.75;8.5
-;11;27.0;von Rickenbach Carlo (2005);;16;54.25;11;27.0;0;0.0;8.75
-;14;35.75;Arnold Kilian;;20;53.25;14;35.75;0;0.0;8.75
-;17;44.5;Forster Christian;;21;53.0;18;44.25;1;-0.25;8.75

21a;Forster Christian;;;;;;;;;;53.0
-;;;Wiss Ivan (2004);;;;;;;;8.75
+;4;8.75;Schnüriger Kevin (2004);;33;34.25;5;8.5;1;-0.25;10.0
o;5;18.75;Scherrer Fabian;*;6;56.75;6;18.5;1;-0.25;8.5
o;10;27.25;Riget Tobias;**;9;56.0;9;27.5;-1;0.25;8.5
o;14;35.75;Gisler Noah;;15;54.5;13;36.0;-1;0.25;8.5
-;18;44.25;Baumann Marco;;20;53.25;17;44.5;-1;0.25;8.75

21b;Suter Michael;;;;;;;;;;53.0
o;;;Zumstein Patrick;;;;;;;;8.5
-;5;8.5;Arnold Kilian;;20;53.25;5;8.5;0;0.0;8.75
-;11;17.25;Kaiser Sandro;;20;53.25;11;17.25;0;0.0;8.75
+;15;26.0;Arnold Matthias (2006);;33;34.25;16;25.75;1;-0.25;9.75
-;14;35.75;Arnold Severin;*;22;52.75;15;35.5;1;-0.25;8.75
o;17;44.5;Arnold Marcel;*;16;54.25;17;44.5;0;0.0;8.5

22a;Niederberger Sven (2006);;;;;;;;;;52.75
-;;;Büeler Ivo (2004);;;;;;;;8.75
o;4;8.75;Wiss Ivan (2004);;18;53.75;4;8.75;0;0.0;8.5
+;11;17.25;Wesemann Micha;;34;34.0;12;17.0;1;-0.25;10.0
o;10;27.25;Hegner Ueli;*;16;54.25;11;27.0;1;-0.25;8.5
o;14;35.75;Andermatt Reto;;15;54.5;14;35.75;0;0.0;8.5
o;18;44.25;Schnellmann Adrian (2004);;12;55.25;13;45.5;-5;1.25;8.5

22b;Kathriner Andreas;;;;;;;;;;52.75
o;;;Langenegger Ruedi;;;;;;;;8.5
-;5;8.5;Wyttenbach Silvan (2005);;32;34.5;5;8.5;0;0.0;8.75
o;11;17.25;Schnellmann Alexander (2004);;17;54.0;10;17.5;-1;0.25;8.5
+;16;25.75;Gabriel Christian;;33;34.25;16;25.75;0;0.0;10.0
o;14;35.75;Lüthi Manuel;*;17;54.0;15;35.5;1;-0.25;8.5
o;18;44.25;Wyrsch Gabriel;;14;54.75;16;44.75;-2;0.5;8.5

22c;Arnold Severin;*;;;;;;;;;52.75
o;;;Riebli Urs;*;;;;;;;8.5
o;5;8.5;Elsener Adrian;**;25;36.25;4;8.75;-1;0.25;8.5
o;12;17.0;Barmettler Severin (2005);;19;53.5;9;17.75;-3;0.75;8.5
+;17;25.5;Reichlin Reto;;29;35.25;12;26.75;-5;1.25;10.0
-;15;35.5;Suter Michael;;21;53.0;14;35.75;-1;0.25;8.75
o;18;44.25;Schuler Daniel;*;17;54.0;18;44.25;0;0.0;8.5

23a;Rogenmoser Franco (2004);;;;;;;;;;52.5
o;;;Lüscher Elias (2006);;;;;;;;8.5
+;5;8.5;Waser David;;34;34.0;5;8.5;0;0.0;10.0
o;6;18.5;Lussi Marco;**;11;55.5;10;17.5;4;-1.0;8.5
o;11;27.0;Schuler Alex;;8;56.25;8;27.75;-3;0.75;8.5
o;15;35.5;Gut Koni;;11;55.5;14;35.75;-1;0.25;8.5
o;19;44.0;Arnold Robin;;17;54.0;18;44.25;-1;0.25;8.5

23b;Langenegger Ruedi;;;;;;;;;;52.5
+;;;Kathriner Andreas;;;;;;;;10.0
o;1;10.0;Beffa Mario;;16;54.25;1;10.0;0;0.0;8.5
o;6;18.5;Zurfluh Michael;*;11;55.5;10;17.5;4;-1.0;8.5
o;11;27.0;Wicki Patrick;;15;54.5;10;27.25;-1;0.25;8.5
o;15;35.5;Lüscher Elias (2006);;17;54.0;14;35.75;-1;0.25;8.5
o;19;44.0;Bucher Sandro;;18;53.75;19;44.0;0;0.0;8.5

23c;Suter Nicola (2005);;;;;;;;;;52.5
o;;;Hüsler Matthias;;;;;;;;8.5
o;5;8.5;Wicki Patrick;;15;54.5;4;8.75;-1;0.25;8.5
o;12;17.0;Britschgi Marcel;;24;44.25;11;17.25;-1;0.25;8.5
+;17;25.5;Wesemann Micha;;34;34.0;17;25.5;0;0.0;10.0
o;15;35.5;Gwerder Andreas;*;18;53.75;15;35.5;0;0.0;8.5
o;19;44.0;Ettlin Michael;;16;54.25;17;44.5;-2;0.5;8.5

23d;Kauflin Andrin (2004);;;;;;;;;;52.5
+;;;Schmid Pius;;;;;;;;10.0
o;1;10.0;Durrer Lukas;;13;55.0;2;9.75;1;-0.25;8.5
o;6;18.5;Epp Elias;;18;53.75;6;18.5;0;0.0;8.5
o;11;27.0;Elmer Daniel;*;18;53.75;12;26.75;1;-0.25;8.5
o;15;35.5;Betschart Roger;;16;54.25;14;35.75;-1;0.25;8.5
o;19;44.0;Kiser Dominik (2006);;17;54.0;19;44.0;0;0.0;8.5

23e;Koch Emanuel (2006);;;;;;;;;;52.5
+;;;Birrer Jonas (2006);;;;;;;;10.0
o;1;10.0;Bühler Patrice;;11;55.5;4;8.75;3;-1.25;8.5
o;6;18.5;von Ah Markus;;17;54.0;6;18.5;0;0.0;8.5
o;11;27.0;Lagler Christian;*;10;55.75;10;27.25;-1;0.25;8.5
