3489-2017-06-18_102_Basellandschaftliches_Kantonalschwingfest-ST

1a;Wicki Joel;**;;;;;;;;;58.75
+;5;8.5;Peterhans Alex (2000);;28;44.0;5;8.5;0;0.0;9.75
o;7;18.25;Räber Lukas;;11;55.75;6;18.5;-1;0.25;8.5
o;11;26.75;Huber Fabian;;22;53.0;15;25.75;4;-1.0;8.5

29b;Loosli Adrian;;;;;;;;;;35.25
o;;;Abt Robin;;;;;;;;8.5
o;5;8.5;Gisin Yanic;;14;55.0;4;8.75;-1;0.25;8.5
o;11;17.0;Fehlmann Silvan;;18;54.0;11;17.0;0;0.0;8.5
+;16;25.5;Herrmann Adrian (2000);;32;34.0;16;25.5;0;0.0;9.75

29c;Regenass Reto (2000);;;;;;;;;;35.25
+;;;Peterhans Alex (2000);;;;;;;;9.75
o;2;9.75;Mangold Michael;*;8;56.5;5;8.5;3;-1.25;8.5
o;7;18.25;Mangold Martin;;16;54.5;5;18.75;-2;0.5;8.5
o;11;26.75;Schmutz Simon (2000);;25;45.5;10;27.0;-1;0.25;8.5

30a;Bader Stefan (1999);;;;;;;;;;34.5
o;;;Grieder Nonda (1999);;;;;;;;8.5
o;5;8.5;Aerni Lars;;15;54.75;4;8.75;-1;0.25;8.5
-;11;17.0;Körkel Yannik;;21;53.25;11;17.0;0;0.0;9.0
o;14;26.0;Burren Patrick (1999);;19;53.75;12;26.5;-2;0.5;8.5

31a;Jakober Daniel;;;;;;;;;;34.25
o;;;Büttler Gian (2000);;;;;;;;8.75
o;4;8.75;Kohler Adrian;;12;55.5;4;8.75;0;0.0;8.5
o;10;17.25;Widmer Dino;;12;55.5;10;17.25;0;0.0;8.5
o;15;25.75;Rohrbach Jérôme (2000);;17;54.25;15;25.75;0;0.0;8.5

31b;Zagarella Davide (1999);;;;;;;;;;34.25
-;;;Huber Fabian;;;;;;;;8.75
o;4;8.75;Binggeli Silvan (1999);;18;54.0;5;8.5;1;-0.25;8.5
o;10;17.25;Müller Jan;;23;52.75;11;17.0;1;-0.25;8.5
o;15;25.75;Körkel Yannik;;21;53.25;14;26.0;-1;0.25;8.5

32a;Buser Thomas;;;;;;;;;;34.0
o;;;Gerber Valentin (1999);;;;;;;;8.5
o;5;8.5;Müller Simon;;16;54.5;5;8.5;0;0.0;8.5
o;11;17.0;Peterhans Alex (2000);;28;44.0;11;17.0;0;0.0;8.5
o;16;25.5;Reinhard Pirmin (2001);;17;54.25;9;27.25;-7;1.75;8.5

32b;Lazic Serge (2000);;;;;;;;;;34.0
o;;;Burtschi Michael;;;;;;;;8.5
o;5;8.5;Schaub Adrian (1999);;23;52.75;5;8.5;0;0.0;8.5
o;11;17.0;Imobersteg Tobias;;21;53.25;11;17.0;0;0.0;8.5
o;16;25.5;Eggenschwiler Fabian;;24;52.5;16;25.5;0;0.0;8.5

32c;Herrmann Adrian (2000);;;;;;;;;;34.0
o;;;Tschan Raphael (2000);;;;;;;;8.5
o;5;8.5;Lazic Marco (2000);;23;52.75;5;8.5;0;0.0;8.5
o;11;17.0;Meier Fabian;;18;54.0;11;17.0;0;0.0;8.5
o;16;25.5;Loosli Adrian;;29;35.25;16;25.5;0;0.0;8.5

33a;Dobler Florian;;;;;;;;;;27.0
o;;;Portmann Roger;;;;;;;;8.5
+;5;8.5;Meier Fabian;;18;54.0;5;8.5;0;0.0;10.0
o;6;18.5;Hermann Oliver;*;13;55.25;7;18.25;1;-0.25;8.5

34a;Weber Roger;;;;;;;;;;25.75
-;;;Burren Patrick (1999);;;;;;;;8.75
o;4;8.75;Graber Colin;;11;55.75;4;8.75;0;0.0;8.5
o;10;17.25;Widmer David;;12;55.5;8;17.75;-2;0.5;8.5

35a;Brugger Jonas (1999);;;;;;;;;;17.0
o;;;Burkhardt Roy;;;;;;;;8.5
o;5;8.5;Studer Remo;;18;54.0;4;8.75;-1;0.25;8.5

35b;Seiser Kay-Steve (2000);;;;;;;;;;17.0
o;;;Läuchli Janik (2000);;;;;;;;8.5
o;5;8.5;Lisser Beat;;17;54.25;5;8.5;0;0.0;8.5

36a;Räbmatter Patrick;***;;;;;;;;;8.75
-;;;Henzer Andreas;**;;;;;;;8.75

37a;Hermann Lukas 1 (2000);;;;;;;;;;8.5
o;;;Bieri Florian (2001);;;;;;;;8.5

37b;Strebel Joel;**;;;;;;;;;8.5
o;;;Stalder Remo;***;;;;;;;8.5

