2964-2015-05-10_111_Ob-_und_Nidwaldener_Kantonalschwingfest-ST

1a;Bernhard Lukas;*;;;;;;;;;57.5
-;4;8.75;Rohrer Marco;**;3;57.0;2;9.75;-2;1.0;8.75
+;9;17.5;Durrer Robin;;8;55.75;5;18.75;-4;1.25;10.0
+;7;27.5;Spichtig Clemens;;19;53.0;7;27.5;0;0.0;9.75
+;7;37.25;Niederberger Martin;*;13;54.5;6;37.5;-1;0.25;9.75
-;8;47.0;Imfeld Peter;***;8;55.75;8;47.0;0;0.0;8.75

8l;Herger Lukas;;;;;;;;;;55.75
-;;;Käslin Ruedi;;;;;;;;8.75
+;4;8.75;Gasser Dominik 2 (1998);;23;35.5;4;8.75;0;0.0;10.0
+;5;18.75;Amgarten Roman;*;15;54.0;5;18.75;0;0.0;9.75
o;3;28.5;Rohrer Marco;**;3;57.0;3;28.5;0;0.0;8.75
+;7;37.25;Gasser René;;17;53.5;10;36.5;3;-0.75;10.0
o;7;47.25;Hess Dominik;;3;57.0;7;47.25;0;0.0;8.5

9a;Schaffner Samuel;**;;;;;;;;;55.5
o;;;Rohrer Marco;**;;;;;;;8.5
o;5;8.5;Imfeld Peter;***;8;55.75;5;8.5;0;0.0;8.5
+;11;17.0;Rohrer Ueli (1999);;16;53.75;7;18.25;-4;1.25;10.0
+;9;27.0;Enz Remo (1998);;23;35.5;9;27.0;0;0.0;10.0
o;8;37.0;Gassmann Michael;*;4;56.75;8;37.0;0;0.0;8.5
+;14;45.5;Amgarten Martin;;13;54.5;13;45.75;-1;0.25;10.0

9b;Imfeld Beat;;;;;;;;;;55.5
-;;;Suter Beat;;;;;;;;8.75
+;4;8.75;Walker Sebastian;;20;52.75;4;8.75;0;0.0;9.75
+;6;18.5;Walker Marcel (1997);;24;35.25;7;18.25;1;-0.25;10.0
o;3;28.5;Bieri Christoph;***;5;56.5;7;27.5;4;-1.0;8.5
+;8;37.0;Durrer Hans;;10;55.25;9;36.75;1;-0.25;10.0
o;8;47.0;Kempf Elias;**;3;57.0;8;47.0;0;0.0;8.5

9c;Gander Martin (1997);;;;;;;;;;55.5
-;;;Bissig Markus (1999);;;;;;;;8.75
o;4;8.75;Gasser René;;17;53.5;5;8.5;1;-0.25;8.5
+;10;17.25;Durrer Noldi;;23;35.5;10;17.25;0;0.0;10.0
+;8;27.25;Zumstein Patrick;;13;54.5;8;27.25;0;0.0;9.75
o;8;37.0;Schärli Lukas;**;12;54.75;12;36.0;4;-1.0;8.5
+;14;45.5;von Deschwanden Patrick;;14;54.25;14;45.5;0;0.0;10.0

9d;von Ah Markus;;;;;;;;;;55.5
+;;;Büchi Christian;;;;;;;;10.0
-;1;10.0;Styger Mike (1999);;9;55.5;1;10.0;0;0.0;8.75
o;5;18.75;Stöckli Stefan;*;11;55.0;9;17.5;4;-1.25;8.5
+;8;27.25;Kempf David (1998);;24;35.25;10;26.75;2;-0.5;9.75
o;8;37.0;Arnold Severin;*;13;54.5;11;36.25;3;-0.75;8.5
+;14;45.5;Herger Andreas (1997);;15;54.0;14;45.5;0;0.0;10.0

9e;Widmer David;;;;;;;;;;55.5
-;;;Amgarten Martin;;;;;;;;8.75
+;4;8.75;Durrer Nando (1999);;15;54.0;2;9.75;-2;1.0;9.75
o;6;18.5;Rohrer Ivan;*;4;56.75;7;18.25;1;-0.25;8.5
+;9;27.0;Berchtold Lukas;;24;35.25;10;26.75;1;-0.25;9.75
-;9;36.75;Zumstein Marcel;;13;54.5;8;37.0;-1;0.25;8.75
+;14;45.5;Odermatt Beat;;15;54.0;14;45.5;0;0.0;10.0

9f;Fleischmann Fabian;;;;;;;;;;55.5
-;;;Lemmenmeier Lukas (1997);;;;;;;;8.75
+;4;8.75;Käslin Ueli (1999);;23;35.5;5;8.5;1;-0.25;9.75
-;6;18.5;Portmann Daniel;;12;54.75;6;18.5;0;0.0;8.75
o;8;27.25;Scherer Adrian;*;10;55.25;9;27.0;1;-0.25;8.5
+;13;35.75;Kempf Damian;;14;54.25;13;35.75;0;0.0;10.0
+;13;45.75;Fink Bruno;;16;53.75;15;45.25;2;-0.5;9.75

9g;Styger Mike (1999);;;;;;;;;;55.5
+;;;Hess Christian;;;;;;;;10.0
-;1;10.0;von Ah Markus;;9;55.5;1;10.0;0;0.0;8.75
o;5;18.75;Odermatt Christian;**;5;56.5;7;18.25;2;-0.5;8.5
-;8;27.25;Rohrer André;;13;54.5;7;27.5;-1;0.25;8.75
+;12;36.0;Walker Sebastian;;20;52.75;13;35.75;1;-0.25;9.75
+;13;45.75;Rohrer Bärti;;14;54.25;13;45.75;0;0.0;9.75

9h;Aeschlimann Martin;;;;;;;;;;55.5
+;;;Kempf Damian;;;;;;;;10.0
o;1;10.0;Kempf Elias;**;3;57.0;4;8.75;3;-1.25;8.5
o;6;18.5;Würsch Lars;;10;55.25;5;18.75;-1;0.25;8.5
+;9;27.0;Bissig Markus (1999);;23;35.5;9;27.0;0;0.0;10.0
o;8;37.0;Barmettler Peter;*;8;55.75;8;37.0;0;0.0;8.5
+;14;45.5;von Flüe Michael (1997);;15;54.0;14;45.5;0;0.0;10.0

9i;Fankhauser Hans-Jakob;*;;;;;;;;;55.5
o;;;Rohrer Ivan;*;;;;;;;8.5
o;5;8.5;Wyrsch Marco;*;4;56.75;2;9.75;-3;1.25;8.5
+;11;17.0;Rohrer Henry;;24;35.25;7;18.25;-4;1.25;10.0
+;9;27.0;Della Torre Reto;;23;35.5;9;27.0;0;0.0;9.75
