4345-2019-05-26_115_Ob-_und_Nidw_Kant_Schwingfest-ST

1a;Rohrer Marco;**;;;;;;;;;111.25
+;3;9.75;Gander Adrian;*;14;54.75;5;8.75;2;-1.0;9.75
-;4;19.5;Muff Armin;**;9;56.0;6;18.75;2;-0.75;8.75
+;8;28.25;Suter Lukas (2002);;18;53.75;8;28.25;0;0.0;9.75
-;5;38.0;Rohrer Ivan;**;9;56.0;8;37.25;3;-0.75;8.75
-;9;46.75;Imfeld Beat;;7;56.5;6;47.5;-3;0.75;9.0

10b;Gisler Jonas (2001);*;;;;;;;;;55.75
+;;;Amgarten Martin;*;;;;;;;10.0
o;2;10.0;Nötzli Reto;***;8;56.25;5;8.75;3;-1.25;8.5
-;7;18.5;Wallimann Remo;;8;56.25;4;19.5;-3;1.0;8.75
+;12;27.25;Widmer Simon;;12;55.25;8;28.25;-4;1.0;10.0
-;8;37.25;Reichmuth Lukas;*;14;54.75;8;37.25;0;0.0;8.75
+;12;46.0;Zimmermann Raffael;;15;54.5;12;46.0;0;0.0;9.75

10c;Achermann Simon;;;;;;;;;;55.75
+;;;Barmettler Renato (2003);;;;;;;;10.0
+;2;10.0;Facchini Oscar;;24;35.5;2;10.0;0;0.0;9.75
-;3;19.75;Durrer Robin;*;16;54.25;7;18.5;4;-1.25;8.75
-;7;28.5;Hess Dominik;*;10;55.75;11;27.5;4;-1.0;8.75
o;8;37.25;Reichmuth Marco;**;4;57.25;8;37.25;0;0.0;8.5
+;13;45.75;Hürlimann Ueli (2001);;18;53.75;15;45.25;2;-0.5;10.0

10d;Niederberger Markus;*;;;;;;;;;55.75
-;;;Arnold Marcel;*;;;;;;;8.75
o;5;8.75;Suter Beat;;12;55.25;2;10.0;-3;1.25;8.5
+;12;17.25;Amrein Joel (2003);;17;54.0;8;18.25;-4;1.0;10.0
+;12;27.25;Suter Samuel;;12;55.25;9;28.0;-3;0.75;10.0
o;8;37.25;Nötzli Reto;***;8;56.25;11;36.5;3;-0.75;8.5
+;13;45.75;Muff Reto;;16;54.25;13;45.75;0;0.0;10.0

10e;Hess Dominik;*;;;;;;;;;55.75
-;;;Schürpf Bruno;*;;;;;;;9.0
o;4;9.0;Arnold Stefan;**;7;56.5;3;9.75;-1;0.75;8.5
+;11;17.5;Hürlimann Ueli (2001);;18;53.75;9;18.0;-2;0.5;10.0
-;11;27.5;Achermann Simon;;10;55.75;7;28.5;-4;1.0;8.75
+;12;36.25;Spichtig Aldo;;16;54.25;14;35.75;2;-0.5;9.75
+;12;46.0;Giger Janik (2002);;15;54.5;12;46.0;0;0.0;9.75

10f;Durrer Markus;;;;;;;;;;55.75
-;;;Klauser Nico;;;;;;;;9.0
+;4;9.0;Wagner Andreas (2002);;24;35.5;5;8.75;1;-0.25;9.75
o;6;18.75;Reichmuth Roland;*;11;55.5;8;18.25;2;-0.5;8.5
o;12;27.25;Wiget Ueli;;17;54.0;13;27.0;1;-0.25;8.75
+;13;36.0;Achermann Ueli (2001);;21;53.0;13;36.0;0;0.0;9.75
+;13;45.75;Doppmann Ueli;;15;54.5;13;45.75;0;0.0;10.0

10g;Scheuber Lutz;**;;;;;;;;;55.75
+;;;Herger Matthias;**;;;;;;;9.75
o;3;9.75;Orlik Armon;***;2;58.5;3;9.75;0;0.0;8.5
+;8;18.25;Lüthy Ralph;;11;55.5;6;18.75;-2;0.5;10.0
+;8;28.25;Fellmann Roman;**;6;56.75;8;28.25;0;0.0;9.75
-;5;38.0;Ambühl Joel;**;7;56.5;6;37.75;1;-0.25;8.75
-;9;46.75;Zurﬂuh Roman;**;8;56.25;7;47.25;-2;0.5;9.0

10h;Gasser Stefan;**;;;;;;;;;55.75
-;;;Gwerder Dario;**;;;;;;;8.75
+;5;8.75;Blaser Theo;*;9;56.0;5;8.75;0;0.0;10.0
-;6;18.75;Nötzli Reto;***;8;56.25;6;18.75;0;0.0;8.75
+;11;27.5;Lustenberger Florian (2002);;11;55.5;7;28.5;-4;1.0;9.75
+;8;37.25;Suter Beat;;12;55.25;4;38.25;-4;1.0;9.75
o;8;47.0;Van Messel Noe (2002);*;5;57.0;7;47.25;-1;0.25;8.75

10i;Stöckli Damian;*;;;;;;;;;55.75
+;;;Käslin Benno;*;;;;;;;9.75
o;3;9.75;Odermatt Christian;**;7;56.5;3;9.75;0;0.0;8.5
+;8;18.25;von Ah Markus;;16;54.25;6;18.75;-2;0.5;9.75
