2965-2017-07-09_Bernisch-Kantonales_Schwingfest-ST

1a;Wenger Kilian;***;;;;;;;;;58.25
-;6;18.5;Schlüchter Colin;*;11;55.25;7;18.25;1;-0.25;8.75
o;9;27.25;Jäggi Lukas;*;14;54.5;8;27.5;-1;0.25;8.5
o;13;35.75;Sommer Martin;;15;54.25;13;35.75;0;0.0;8.75
o;16;44.5;Haenni Stéphane;**;13;54.75;15;44.75;-1;0.25;8.75

20a;Binggeli Dominik;*;;;;;;;;;53.0
o;;;Blaser Roman;*;;;;;;;8.5
+;5;8.5;Galli Markus;;17;53.75;2;9.75;-3;1.25;10.0
o;6;18.5;Voggensperger Janic;**;8;56.0;8;17.75;2;-0.75;8.5
o;10;27.0;Fankhauser Kurt;**;14;54.5;8;27.5;-2;0.5;8.5
-;14;35.5;Wehrli Christian;*;14;54.5;13;35.75;-1;0.25;8.75
o;17;44.25;Wittwer Josias;*;17;53.75;18;44.0;1;-0.25;8.75

20b;Tschan Matthias;;;;;;;;;;53.0
o;;;Aebi Roger;;;;;;;;8.5
+;5;8.5;Wyss Sandro;;28;34.25;4;8.75;-1;0.25;10.0
o;6;18.5;Zürcher Kurt;*;15;54.25;6;18.5;0;0.0;8.5
o;10;27.0;Zbinden Adrian;*;16;54.0;10;27.0;0;0.0;8.5
-;14;35.5;Gehrig Kilian;;21;52.75;15;35.25;1;-0.25;9.0
o;16;44.5;Schenk Adrian;*;16;54.0;17;44.25;1;-0.25;8.5

20c;Müller Marc;;;;;;;;;;53.0
-;;;Wyss Sandro;;;;;;;;8.75
o;4;8.75;Gehrig Kilian;;21;52.75;5;8.5;1;-0.25;8.5
-;10;17.25;Blaser Jan;*;27;34.5;11;17.0;1;-0.25;8.75
+;13;26.0;Heiniger Michael;*;28;34.25;14;25.75;1;-0.25;10.0
o;12;36.0;Gnägi Christian;*;15;54.25;13;35.75;1;-0.25;8.5
o;16;44.5;Pulfer Thomas;*;14;54.5;16;44.5;0;0.0;8.5

20d;Joss David;*;;;;;;;;;53.0
-;;;Scheidegger Adrian;*;;;;;;;8.75
o;4;8.75;Leuenberger Michael;*;10;55.5;4;8.75;0;0.0;8.5
o;10;17.25;Wehrli Christian;*;14;54.5;9;17.5;-1;0.25;8.5
+;14;25.75;Wenger Ruedi (1999);;28;34.25;14;25.75;0;0.0;10.0
-;13;35.75;Roth Robin (2000);*;16;54.0;14;35.5;1;-0.25;8.75
o;16;44.5;Michel Jonas;*;14;54.5;15;44.75;-1;0.25;8.5

21a;Niederhäuser Martin;;;;;;;;;;52.75
o;;;Neukomm Thierry;;;;;;;;8.5
+;5;8.5;Schütz Hansueli;;26;34.75;4;8.75;-1;0.25;9.75
o;7;18.25;Wenger Marcel (1999);*;12;55.0;7;18.25;0;0.0;8.5
-;11;26.75;Roth Robin (2000);*;16;54.0;11;26.75;0;0.0;8.75
-;14;35.5;Aellen Philipp;;16;54.0;15;35.25;1;-0.25;8.75
o;17;44.25;Bremgartner Marcel;*;16;54.0;17;44.25;0;0.0;8.5

21b;Kohli Patrick;;;;;;;;;;52.75
-;;;Mosimann Fabian;;;;;;;;8.75
+;4;8.75;Vögeli Luca (1999);;21;52.75;5;8.5;1;-0.25;9.75
o;6;18.5;Sommer Roman;*;11;55.25;7;18.25;1;-0.25;8.5
o;10;27.0;Klossner Adrian;*;16;54.0;10;27.0;0;0.0;8.75
o;13;35.75;Kämpf Marcel;*;9;55.75;12;36.0;-1;0.25;8.5
o;17;44.25;Santschi Hans;;16;54.0;17;44.25;0;0.0;8.5

21c;Gehrig Kilian;;;;;;;;;;52.75
o;;;Schaad Remo;;;;;;;;8.5
+;5;8.5;Müller Marc;;20;53.0;4;8.75;-1;0.25;9.75
o;7;18.25;Reust Markus;*;15;54.25;9;17.5;2;-0.75;8.5
o;11;26.75;Schletti Andreas;*;14;54.5;10;27.0;-1;0.25;8.5
-;15;35.25;Tschan Matthias;;20;53.0;14;35.5;-1;0.25;9.0
o;17;44.25;Flühmann Michel;*;15;54.25;17;44.25;0;0.0;8.5

21d;Vögeli Luca (1999);;;;;;;;;;52.75
o;;;Dummermuth Ueli;;;;;;;;8.5
o;5;8.5;Kohli Patrick;;21;52.75;4;8.75;-1;0.25;8.75
o;10;17.25;Berger Ueli;*;16;54.0;10;17.25;0;0.0;8.5
+;14;25.75;Wyss Sandro;;28;34.25;14;25.75;0;0.0;10.0
o;13;35.75;Kestenholz Christian;;15;54.25;13;35.75;0;0.0;8.5
o;17;44.25;Lehmann Ueli;;16;54.0;17;44.25;0;0.0;8.5

22a;Berger Lorenz;*;;;;;;;;;52.5
+;;;Blaser Jan;*;;;;;;;10.0
o;1;10.0;Gehrig Damian;***;13;54.75;4;8.75;3;-1.25;8.5
o;6;18.5;Ramseier Thomas;*;12;55.0;7;18.25;1;-0.25;8.5
o;10;27.0;Walther Marcel;*;16;54.0;10;27.0;0;0.0;8.5
o;14;35.5;Dummermuth Ueli;;15;54.25;13;35.75;-1;0.25;8.5
o;18;44.0;Siegenthaler Tobias;*;16;54.0;17;44.25;-1;0.25;8.5

22b;Eggimann Marco;;;;;;;;;;52.5
+;;;Gnägi Lionel;;;;;;;;9.75
o;2;9.75;Zbinden Adrian;*;16;54.0;4;8.75;2;-1.0;8.5
o;7;18.25;Steffen Valentin;*;11;55.25;7;18.25;0;0.0;8.5
-;11;26.75;Galli Markus;;17;53.75;11;26.75;0;0.0;8.75
o;14;35.5;Neukomm Thierry;;17;53.75;14;35.5;0;0.0;8.5
o;18;44.0;Aellen Philipp;;16;54.0;18;44.0;0;0.0;8.5

22c;Röthlisberger Florian (1999);;;;;;;;;;52.5
o;;;Hadorn Marco (1999);;;;;;;;8.5
o;5;8.5;Aellen Philipp;;16;54.0;5;8.5;0;0.0;8.5
o;11;17.0;Pulfer Thomas;*;14;54.5;10;17.25;-1;0.25;8.5
+;15;25.5;Gnägi Lionel;;29;34.0;15;25.5;0;0.0;10.0
o;14;35.5;Nufer Sämi;;17;53.75;15;35.25;1;-0.25;8.5
o;18;44.0;Roth Robin (2000);*;16;54.0;17;44.25;-1;0.25;8.5

23a;Kämpf Lorenz;*;;;;;;;;;35.75
-;;;Scheuner Michael;*;;;;;;;8.75
+;4;8.75;Gerber Ueli;*;27;34.5;4;8.75;0;0.0;10.0
o;5;18.75;Reusser Philipp;***;11;55.25;5;18.75;0;0.0;8.5
o;9;27.25;Gasser Dominik (2000);;10;55.5;10;27.0;1;-0.25;8.5

24a;Kappeler Niklaus;*;;;;;;;;;35.5
o;;;Ramseier Thomas;*;;;;;;;8.75
+;4;8.75;Bernhard Marco;;27;34.5;4;8.75;0;0.0;9.75
o;6;18.5;Graber Bruno;**;14;54.5;6;18.5;0;0.0;8.5
o;10;27.0;Zehnder Jürg;*;16;54.0;11;26.75;1;-0.25;8.5

25a;Schüpbach Janick;*;;;;;;;;;35.0
o;;;Wenger Marcel (1999);*;;;;;;;8.5
-;5;8.5;Graber Alfred;*;14;54.5;5;8.5;0;0.0;8.75
-;10;17.25;Schütz Hansueli;;26;34.75;10;17.25;0;0.0;8.75
-;13;26.0;Nufer Sämi;;17;53.75;12;26.25;-1;0.25;9.0

26a;Mosimann Fabian;;;;;;;;;;34.75
-;;;Kohli Patrick;;;;;;;;9.0
o;3;9.0;Staub Maël;*;13;54.75;5;8.5;2;-0.5;8.5
o;9;17.5;Schaad Remo;;16;54.0;7;18.25;-2;0.75;8.5
-;13;26.0;Burger Fredy;*;26;34.75;13;26.0;0;0.0;8.75

26b;Walther Patrick;*;;;;;;;;;34.75
o;;;Zaugg Christian;*;;;;;;;8.75
o;4;8.75;Sommer Roman;*;11;55.25;5;8.5;1;-0.25;8.75
-;9;17.5;Dubler Mike (1999);;26;34.75;10;17.25;1;-0.25;8.75
o;12;26.25;Heeb Thierry;;18;53.5;11;26.75;-1;0.5;8.5

26c;Dubler Mike (1999);;;;;;;;;;34.75
-;;;Wenger Ruedi (1999);;;;;;;;8.75
o;4;8.75;Stämpfli Lorenz;;19;53.25;5;8.5;1;-0.25;8.5
-;10;17.25;Walther Patrick;*;26;34.75;9;17.5;-1;0.25;8.75
-;13;26.0;Scheidegger Adrian;*;27;34.5;14;25.75;1;-0.25;8.75

26d;Schütz Hansueli;;;;;;;;;;34.75
-;;;Sommer Martin;;;;;;;;8.75
o;4;8.75;Niederhäuser Martin;;21;52.75;5;8.5;1;-0.25;8.5
-;10;17.25;Schüpbach Janick;*;25;35.0;10;17.25;0;0.0;8.75
-;13;26.0;Gerber Ueli;*;27;34.5;14;25.75;1;-0.25;8.75

26e;Burger Fredy;*;;;;;;;;;34.75
-;;;Urfer Simon;*;;;;;;;8.75
-;4;8.75;Bremgartner Marcel;*;16;54.0;5;8.5;1;-0.25;8.75
o;9;17.5;Schletti Andreas;*;14;54.5;10;17.25;1;-0.25;8.5
-;13;26.0;Mosimann Fabian;;26;34.75;13;26.0;0;0.0;8.75

27a;Gerber Ueli;*;;;;;;;;;34.5
-;;;Vonlanthen Cyril;*;;;;;;;8.75
o;4;8.75;Kämpf Lorenz;*;23;35.75;4;8.75;0;0.0;8.5
o;10;17.25;Bremgartner Marcel;*;16;54.0;10;17.25;0;0.0;8.5
-;14;25.75;Schütz Hansueli;;26;34.75;13;26.0;-1;0.25;8.75

27b;Blaser Jan;*;;;;;;;;;34.5
o;;;Berger Lorenz;*;;;;;;;8.5
o;5;8.5;Luginbühl Hanspeter;**;11;55.25;4;8.75;-1;0.25;8.5
-;11;17.0;Müller Marc;;20;53.0;10;17.25;-1;0.25;8.75
-;14;25.75;Bühler Marcel;;27;34.5;14;25.75;0;0.0;8.75

27c;Zangger Dominik;*;;;;;;;;;34.5
-;;;Wehrli Christian;*;;;;;;;8.75
-;4;8.75;Scheuner Michael;*;13;54.75;4;8.75;0;0.0;8.75
o;9;17.5;Kämpf Alexander;**;13;54.75;9;17.5;0;0.0;8.5
o;13;26.0;Hadorn Christian;*;11;55.25;11;26.75;-2;0.75;8.5

27d;Scheidegger Adrian;*;;;;;;;;;34.5
-;;;Joss David;*;;;;;;;8.75
o;4;8.75;Graber Bruno;**;14;54.5;4;8.75;0;0.0;8.5
o;10;17.25;Grossen John;;12;55.0;6;18.5;-4;1.25;8.5
-;14;25.75;Dubler Mike (1999);;26;34.75;13;26.0;-1;0.25;8.75

27e;Vonlanthen Cyril;*;;;;;;;;;34.5
-;;;Gerber Ueli;*;;;;;;;8.75
-;4;8.75;Kropf Thomas;*;14;54.5;5;8.5;1;-0.25;8.75
o;9;17.5;Fankhauser Kurt;**;14;54.5;8;17.75;-1;0.25;8.5
o;13;26.0;Scheuner Michael;*;13;54.75;12;26.25;-1;0.25;8.5

27f;Bühler Marcel;;;;;;;;;;34.5
o;;;Galli Markus;;;;;;;;8.5
-;5;8.5;Sommer Martin;;15;54.25;4;8.75;-1;0.25;8.75
o;10;17.25;Schenk Adrian;*;16;54.0;11;17.0;1;-0.25;8.5
-;14;25.75;Blaser Jan;*;27;34.5;14;25.75;0;0.0;8.75

27g;Bernhard Marco;;;;;;;;;;34.5
-;;;Kappeler Ruedi;;;;;;;;8.75
o;4;8.75;Kappeler Niklaus;*;24;35.5;4;8.75;0;0.0;8.75
o;9;17.5;Siegenthaler Tobias;*;16;54.0;10;17.25;1;-0.25;8.5
o;13;26.0;Aeschlimann Martin;;11;55.25;11;26.75;-2;0.75;8.5

28a;Wenger Ruedi (1999);;;;;;;;;;34.25
-;;;Dubler Mike (1999);;;;;;;;8.75
o;4;8.75;Roth Robin (2000);*;16;54.0;5;8.5;1;-0.25;8.5
o;10;17.25;Heeb Thierry;;18;53.5;11;17.0;1;-0.25;8.5
o;14;25.75;Joss David;*;20;53.0;14;25.75;0;0.0;8.5

28b;Heiniger Michael;*;;;;;;;;;34.25
o;;;Gerber Thomas;*;;;;;;;8.5
o;5;8.5;Wittwer Jan;*;10;55.5;4;8.75;-1;0.25;8.5
-;11;17.0;Nufer Sämi;;17;53.75;9;17.5;-2;0.5;8.75
o;14;25.75;Müller Marc;;20;53.0;13;26.0;-1;0.25;8.5

28c;Wyss Sandro;;;;;;;;;;34.25
-;;;Müller Marc;;;;;;;;8.75
o;4;8.75;Tschan Matthias;;20;53.0;5;8.5;1;-0.25;8.5
o;10;17.25;Graber Alfred;*;14;54.5;10;17.25;0;0.0;8.5
o;14;25.75;Vögeli Luca (1999);;21;52.75;14;25.75;0;0.0;8.5

29a;Gnägi Lionel;;;;;;;;;;34.0
o;;;Eggimann Marco;;;;;;;;8.5
o;5;8.5;Kappeler Ruedi;;16;54.0;4;8.75;-1;0.25;8.5
o;11;17.0;Flühmann Michel;*;15;54.25;11;17.0;0;0.0;8.5
o;15;25.5;Röthlisberger Florian (1999);;22;52.5;15;25.5;0;0.0;8.5

30a;Sempach Matthias;***;;;;;;;;;10.0
+;;;Giger Samuel;***;;;;;;;10.0

31a;Mathys Simon;**;;;;;;;;;8.5
o;;;Wüthrich Niklaus;**;;;;;;;8.5

