3080-2015-04-26_92_Schwyzer_Kantonales_Schwing-_und_Aelplerfest-ST

1a;Müllestein Mike;**;;;;;;;;;58.75
-;7;27.75;Suter David;**;6;56.75;4;28.5;-3;0.75;8.75
+;10;36.5;Heinzer Josef;;13;55.0;10;36.5;0;0.0;10.0
+;10;46.5;Theiler Beat;*;10;55.75;7;47.25;-3;0.75;9.75

9a;Inderbitzin Daniel;*;;;;;;;;;56.0
-;;;Waser Dominik;*;;;;;;;8.75
-;4;8.75;Reichmuth Marco (1997);;11;55.5;2;9.75;-2;1.0;8.75
+;10;17.5;Baumann Marco;;20;53.25;7;18.25;-3;0.75;9.75
+;9;27.25;Würsch Lars;;17;54.0;9;27.25;0;0.0;10.0
+;7;37.25;Schmid David;**;11;55.5;7;37.25;0;0.0;10.0
o;7;47.25;Bernhard Lukas;*;6;56.75;9;46.75;2;-0.5;8.75

9b;Corvi Dominik;;;;;;;;;;56.0
+;;;Moos Thomas;;;;;;;;10.0
-;1;10.0;Zimmermann Martin;*;14;54.75;4;8.75;3;-1.25;8.75
+;5;18.75;Inderbitzin Patrick;;24;35.5;6;18.5;1;-0.25;10.0
o;3;28.75;Bernhard Lukas;*;6;56.75;6;28.0;3;-0.75;8.5
+;7;37.25;Kälin Benedikt;;12;55.25;8;37.0;1;-0.25;10.0
-;7;47.25;Kenel Franz-Toni;*;10;55.75;8;47.0;1;-0.25;8.75

9c;Hess Dominik;;;;;;;;;;56.0
+;;;Bösch Dario (1999);;;;;;;;10.0
o;1;10.0;Gwerder Guido;**;11;55.5;3;9.0;2;-1.0;8.5
-;6;18.5;Küttel Samuel (1997);;15;54.5;6;18.5;0;0.0;8.75
-;9;27.25;Schindler Thomas;;15;54.5;10;27.0;1;-0.25;9.0
+;11;36.25;Inderbitzin Michael;;19;53.5;11;36.25;0;0.0;9.75
+;12;46.0;Zimmermann Daniel;*;14;54.75;12;46.0;0;0.0;10.0

9d;Schuler Christian;***;;;;;;;;;56.0
+;;;Müller Bruno;***;;;;;;;10.0
+;1;10.0;Reichmuth Armin;*;15;54.5;2;9.75;1;-0.25;10.0
+;1;20.0;Laimbacher Philipp;***;3;57.5;1;20.0;0;0.0;9.75
-;1;29.75;Laimbacher Adrian;***;3;57.5;1;29.75;0;0.0;8.75
o;2;38.5;Müllestein Mike;**;1;58.75;1;38.75;-1;0.25;8.75
o;7;47.25;Bieri Marcel;**;6;56.75;8;47.0;1;-0.25;8.75

9e;Suter Paul;;;;;;;;;;56.0
+;;;Rogenmoser Manuel (1999);;;;;;;;10.0
-;1;10.0;Föhn Pirmin;*;14;54.75;4;8.75;3;-1.25;9.0
o;4;19.0;Wicki Joel (1997);**;5;57.0;6;18.5;2;-0.5;8.5
+;8;27.5;Meier Marcel;;24;35.5;10;27.0;2;-0.5;10.0
o;6;37.5;Schuler Alex;**;5;57.0;6;37.5;0;0.0;8.5
+;12;46.0;Moos Christoph;;15;54.5;12;46.0;0;0.0;10.0

9f;Wyrsch Marco;*;;;;;;;;;56.0
-;;;Gwerder Christian;**;;;;;;;8.75
-;4;8.75;Betschart Daniel;;11;55.5;1;10.0;-3;1.25;8.75
+;10;17.5;Bellmont Ruedi;;24;35.5;7;18.25;-3;0.75;10.0
+;8;27.5;Effinger Peter;;15;54.5;8;27.5;0;0.0;9.75
-;7;37.25;Villiger Cyrill;*;15;54.5;8;37.0;1;-0.25;8.75
+;12;46.0;Schindler Thomas;;15;54.5;12;46.0;0;0.0;10.0

10a;Gwerder Dario (1997);;;;;;;;;;55.75
+;;;Baumann Marco;;;;;;;;10.0
+;1;10.0;Elsener Manuel;;17;54.0;1;10.0;0;0.0;10.0
o;1;20.0;Steinauer Adrian;**;6;56.75;5;18.75;4;-1.25;8.75
o;3;28.75;Kennel Stefan;*;6;56.75;4;28.5;1;-0.25;8.5
+;7;37.25;Bürgler Lukas;;13;55.0;6;37.5;-1;0.25;10.0
o;7;47.25;Schuler Alex;**;5;57.0;7;47.25;0;0.0;8.5

10b;Zurfluh Roman;;;;;;;;;;55.75
+;;;Inderbitzin Michael;;;;;;;;10.0
-;1;10.0;Schuler Philipp;**;7;56.5;3;9.0;2;-1.0;9.0
o;4;19.0;Ulrich Andreas;***;2;58.25;6;18.5;2;-0.5;8.5
o;8;27.5;Villiger Cyrill;*;15;54.5;10;27.0;2;-0.5;8.5
+;12;36.0;Bruhin Fredi (1997);;14;54.75;10;36.5;-2;0.5;9.75
+;13;45.75;Grab Martin (1999);;17;54.0;14;45.5;1;-0.25;10.0

10c;Elsener Peter;**;;;;;;;;;55.75
-;;;Schuler Philipp;**;;;;;;;9.0
+;3;9.0;Laimbacher Alex;;12;55.25;1;10.0;-2;1.0;10.0
-;4;19.0;Schelbert Ralf;;5;57.0;1;20.0;-3;1.0;9.0
+;6;28.0;Gyr Roland;;12;55.25;5;28.25;-1;0.25;9.75
-;5;37.75;Bernhard Lukas;*;6;56.75;5;37.75;0;0.0;9.0
-;9;46.75;Gwerder Guido;**;11;55.5;10;46.5;1;-0.25;9.0

10d;Bucher Thomas;;;;;;;;;;55.75
+;;;Betschart Ernst;;;;;;;;10.0
o;1;10.0;Gwerder Christian;**;14;54.75;4;8.75;3;-1.25;8.75
o;5;18.75;Kennel Beat;*;8;56.25;7;18.25;2;-0.5;8.75
+;8;27.5;Keller Janik;;12;55.25;9;27.25;1;-0.25;9.75
o;7;37.25;Blaser Theo;;4;57.25;7;37.25;0;0.0;8.75
+;12;46.0;Arnold Marcel;;15;54.5;12;46.0;0;0.0;9.75

10e;Fassbind René;;;;;;;;;;55.75
+;;;Mangold Martin;;;;;;;;10.0
-;1;10.0;Bircher Vital;*;14;54.75;4;8.75;3;-1.25;8.75
+;5;18.75;Betschart Michael;;17;54.0;7;18.25;2;-0.5;9.75
o;4;28.5;Gloggner Philipp;***;13;55.0;8;27.5;4;-1.0;8.5
-;8;37.0;Elsener Kilian (1997);;16;54.25;8;37.0;0;0.0;8.75
+;13;45.75;Müller Dominik;;16;54.25;13;45.75;0;0.0;10.0

10f;Lüönd Andreas;**;;;;;;;;;55.75
-;;;Elsener Adrian;*;;;;;;;8.75
+;4;8.75;Staub Devin (1998);;25;35.25;2;9.75;-2;1.0;10.0
+;5;18.75;Arnold Marcel;;15;54.5;5;18.75;0;0.0;10.0
o;3;28.75;Müller Bruno;***;6;56.75;4;28.5;1;-0.25;8.5
-;7;37.25;Moos Christoph;;15;54.5;7;37.25;0;0.0;8.75
+;12;46.0;Schlachter Lukas;*;17;54.0;14;45.5;2;-0.5;9.75

10g;Kenel Franz-Toni;*;;;;;;;;;55.75
-;;;Theiler Beat;*;;;;;;;8.75
+;4;8.75;Elsener Kilian (1997);;16;54.25;1;10.0;-3;1.25;9.75
+;6;18.5;Hurschler Michael;;14;54.75;5;18.75;-1;0.25;10.0
+;4;28.5;Odermatt Sepp;**;12;55.25;5;28.25;1;-0.25;10.0
o;2;38.5;Suppiger René;**;7;56.5;4;38.0;2;-0.5;8.5
-;8;47.0;Corvi Dominik;;9;56.0;7;47.25;-1;0.25;8.75

10h;Theiler Beat;*;;;;;;;;;55.75
-;;;Kenel Franz-Toni;*;;;;;;;8.75
+;4;8.75;Bürgi Tobias;;12;55.25;1;10.0;-3;1.25;10.0
+;5;18.75;Blaser Theo;;4;57.25;2;19.75;-3;1.0;10.0
o;3;28.75;Ulrich Andreas;***;2;58.25;4;28.5;1;-0.25;8.5
+;7;37.25;Betschart Michael;;17;54.0;9;36.75;2;-0.5;10.0
o;7;47.25;Kempf Elias;**;8;56.25;10;46.5;3;-0.75;8.5

10i;Waser Dominik;*;;;;;;;;;55.75
-;;;Inderbitzin Daniel;*;;;;;;;8.75
+;4;8.75;Küttel Samuel (1997);;15;54.5;1;10.0;-3;1.25;9.75
+;6;18.5;Gwerder Andreas;;4;57.25;4;19.0;-2;0.5;10.0
-;4;28.5;Nötzli Bruno;***;4;57.25;3;28.75;-1;0.25;8.75
+;7;37.25;Heinzer Ronny;;15;54.5;11;36.25;4;-1.0;10.0
o;7;47.25;Wicki Joel (1997);**;5;57.0;8;47.0;1;-0.25;8.5

10j;Gwerder Beni;;;;;;;;;;55.75
+;;;Flühler Markus;;;;;;;;9.75
o;2;9.75;Forster Adrian;**;5;57.0;4;8.75;2;-1.0;8.75
o;6;18.5;Elsener Kilian (1997);;16;54.25;6;18.5;0;0.0;8.5
o;10;27.0;Ulrich Martin;;13;55.0;10;27.0;0;0.0;8.75
+;13;35.75;Betschart Patrick (1999);;20;53.25;11;36.25;-2;0.5;10.0
+;13;45.75;Klauser Nico;;16;54.25;13;45.75;0;0.0;10.0

11a;Schmid David;**;;;;;;;;;55.5
o;;;Steinauer Adrian;**;;;;;;;8.75
o;4;8.75;Grab Daniel;;6;56.75;1;10.0;-3;1.25;8.5
+;11;17.25;Bruhin Fredi (1997);;14;54.75;7;18.25;-4;1.0;10.0
+;9;27.25;Suter Kari;;21;53.0;9;27.25;0;0.0;10.0
