3727-2017-06-04_Fete_Cantonale_Fribourgeoise-ST

1a;Aeschbacher Matthias;**;;;;;;;;;59.25
o;6;46.75;Kramer Lario;**;3;57.0;4;47.25;-2;0.5;8.5

10k;Torche Bastian;;;;;;;;;;55.25
o;;;Vonlanthen Alexandre;;;;;;;;8.5
+;5;8.5;Roth Simon (2000);;20;52.5;5;8.5;0;0.0;10.0
o;6;18.5;Emonet Fabien;**;13;54.5;9;17.0;3;-1.5;8.5
o;9;27.0;Cotting Florian;;15;54.0;9;27.0;0;0.0;8.5
+;14;35.5;Buchs Remo (1999);;20;52.5;14;35.5;0;0.0;10.0
+;11;45.5;Pürro David (2001);;17;53.5;13;45.0;2;-0.5;9.75

10l;Wieland Janis;;;;;;;;;;55.25
+;;;Monney Branighan;;;;;;;;10.0
o;1;10.0;Piemontesi Pascal;**;3;57.0;5;8.5;4;-1.5;8.5
+;6;18.5;Taillard Virgile;;14;54.25;6;18.5;0;0.0;10.0
+;4;28.5;Guisolan Marc;**;4;56.75;4;28.5;0;0.0;9.75
o;3;38.25;Roth Dominik;**;3;57.0;6;37.5;3;-0.75;8.5
o;6;46.75;Gottofrey Luc;;4;56.75;5;47.0;-1;0.25;8.5

11a;Barras François;*;;;;;;;;;55.0
-;;;Zimmermann Mario;*;;;;;;;8.75
+;4;8.75;Von Niederhäusern Martin;;14;54.25;1;10.0;-3;1.25;9.75
o;6;18.5;Moser Steven;**;3;57.0;5;18.75;-1;0.25;8.5
+;9;27.0;Schwab Marc;;16;53.75;9;27.0;0;0.0;9.75
+;9;36.75;Kyburz Silas;;9;55.5;9;36.75;0;0.0;9.75
