5628-2022-07-24_Fete_Cantonale_Fribourgeoise-ST

1a;Kramer Lario;***;;;;;;;;;59.5
o;8;27.0;Mermillod Jérôme (2004);;15;54.0;8;27.0;0;0.0;8.5
+;14;35.5;Messerli Niklaus;;21;52.5;14;35.5;0;0.0;9.75
+;14;45.25;Fankhauser Tom (2006);;14;54.25;13;45.5;-1;0.25;9.75

11c;Jacquaz Fabien (2006);;;;;;;;;;55.0
o;;;Buchs Noah (2004);;;;;;;;8.5
+;5;8.5;Imstepf Sandro;;21;52.5;5;8.5;0;0.0;9.75
o;6;18.25;Dorsaz Théo;*;8;55.75;8;17.25;2;-1.0;8.5
-;9;26.75;Berger Alan;;16;53.75;9;26.75;0;0.0;8.75
+;14;35.5;Reichenbach Ryan;;21;52.5;14;35.5;0;0.0;9.75
+;14;45.25;Zbinden Samuel;;16;53.75;14;45.25;0;0.0;9.75

11d;Chofflon Anthony;;;;;;;;;;55.0
+;;;Glauser Matis (2005);;;;;;;;9.75
-;2;9.75;Sonnay Thomas;**;14;54.25;4;8.75;2;-1.0;8.75
o;5;18.5;Ducry Antoine;**;10;55.25;6;18.25;1;-0.25;8.5
+;8;27.0;Moos Loïc;;17;53.5;9;26.75;1;-0.25;9.75
o;9;36.75;Bapst Ludovic;;11;55.0;9;36.75;0;0.0;8.5
+;14;45.25;Jeannin Jess;;16;53.75;14;45.25;0;0.0;9.75

11e;Portmann Fabio;*;;;;;;;;;55.0
o;;;Pasquier Loïc;*;;;;;;;8.5
o;5;8.5;Collaud Bastien (2005);;10;55.25;2;9.75;-3;1.25;8.5
+;9;17.0;Moos Loïc;;17;53.5;6;18.25;-3;1.25;9.75
+;9;26.75;Burri Flemming;;16;53.75;8;27.0;-1;0.25;10.0
o;9;36.75;Rogivue Théo;*;10;55.25;9;36.75;0;0.0;8.5
+;14;45.25;Röthlisberger Sven;;15;54.0;13;45.5;-1;0.25;9.75

11f;Bapst Ludovic;;;;;;;;;;55.0
+;;;Germanier Joel;;;;;;;;10.0
o;1;10.0;Borcard Clovis;*;27;27.25;3;9.0;2;-1.0;8.5
+;5;18.5;Cottier Marco;;15;54.0;5;18.5;0;0.0;9.75
