3386-2016-05-16_Glarner-Buendner_Kantonalschwingfest-ST

1a;Orlik Armon;**;;;;;;;;;58.75
o;12;17.0;Oetiker Ronny;;18;53.75;10;17.5;-2;0.5;8.5
+;15;25.5;Rhyner Beni (1999);;29;34.25;14;25.75;-1;0.25;10.0
o;14;35.5;Lanter Christian (1998);;11;55.5;14;35.5;0;0.0;8.5
o;19;44.0;Held Florian;;17;54.0;19;44.0;0;0.0;8.5

23a;Bottlang Michael;;;;;;;;;;45.5
+;;;Mathis Patrick;;;;;;;;10.0
o;1;10.0;Orlik Curdin;**;9;56.0;4;8.75;3;-1.25;8.5
+;6;18.5;Vollmeier Sandro;;18;53.75;6;18.5;0;0.0;9.75
o;6;28.25;Höfliger Andreas;**;9;56.0;10;27.25;4;-1.0;8.5
o;9;36.75;Bärtsch Jann (2000);;13;55.0;9;36.75;0;0.0;8.75

24a;Frauchiger Remo;;;;;;;;;;44.5
o;;;Elmer Adrian;;;;;;;;8.5
-;5;8.5;Biäsch Christian;;14;54.75;4;8.75;-1;0.25;8.75
+;11;17.25;Giger Lorenz (2000);;18;53.75;11;17.25;0;0.0;10.0
o;10;27.25;Freuler Franz;**;16;54.25;10;27.25;0;0.0;8.75
o;12;36.0;Wittenwiler Roman (1998);;14;54.75;12;36.0;0;0.0;8.5

25a;Langenegger Beat;;;;;;;;;;44.25
-;;;Frei Hanspeter (1999);;;;;;;;8.75
o;4;8.75;Bernold Michael (1999);;11;55.5;4;8.75;0;0.0;8.75
+;10;17.5;Meier Michi;;27;35.25;12;17.0;2;-0.5;9.75
o;10;27.25;Hasler Florian;**;11;55.5;10;27.25;0;0.0;8.5
o;13;35.75;Lieberherr Michael (1999);;11;55.5;9;36.75;-4;1.0;8.5

26a;Kunz Daniel;;;;;;;;;;44.0
+;;;Gysel Hansruedi;;;;;;;;10.0
o;1;10.0;Rychen Roger;**;2;58.0;3;9.0;2;-1.0;8.5
o;6;18.5;Fuster Sepp;;16;54.25;5;18.75;-1;0.25;8.5
o;11;27.0;Bircher Luca (1999);;11;55.5;11;27.0;0;0.0;8.5
o;14;35.5;Kammermann Dominik;;11;55.5;13;35.75;-1;0.25;8.5

27a;Sonderegger Patrik (2000);;;;;;;;;;35.25
+;;;Laager Andreas (1999);;;;;;;;9.75
o;2;9.75;Kammermann Thomas;*;16;54.25;4;8.75;2;-1.0;8.5
o;7;18.25;Roth Martin;*;12;55.25;8;18.0;1;-0.25;8.5
o;12;26.75;Meier Michi;;27;35.25;15;25.5;3;-1.25;8.5

27b;Schröttenthaler Micha (1998);;;;;;;;;;35.25
o;;;Pianta Christian;;;;;;;;8.5
+;5;8.5;Laager Andreas (1999);;28;34.5;5;8.5;0;0.0;9.75
o;7;18.25;Schiesser Patrik (1998);;20;53.0;10;17.5;3;-0.75;8.5
o;12;26.75;Riedi Thomas;;12;55.25;11;27.0;-1;0.25;8.5

27c;Langenegger Remo;;;;;;;;;;35.25
o;;;Schwyn Patrick (1999);;;;;;;;8.5
+;5;8.5;Meier Michi;;27;35.25;5;8.5;0;0.0;9.75
o;7;18.25;Schudel Simon;*;10;55.75;6;18.5;-1;0.25;8.5
o;12;26.75;Aliesch Noah (1998);;19;53.5;12;26.75;0;0.0;8.5

27d;Mathis Patrick;;;;;;;;;;35.25
o;;;Bottlang Michael;;;;;;;;8.5
o;5;8.5;Schwyn Adrian;;21;52.75;4;8.75;-1;0.25;8.5
+;12;17.0;Wirth Adrian;;28;34.5;12;17.0;0;0.0;9.75
o;12;26.75;Thoma Christoph;;16;54.25;14;25.75;2;-1.0;8.5

27e;Meier Michi;;;;;;;;;;35.25
o;;;Bleiker Daniel;;;;;;;;8.5
o;5;8.5;Langenegger Remo;;27;35.25;5;8.5;0;0.0;8.5
o;12;17.0;Langenegger Beat;;25;44.25;10;17.5;-2;0.5;8.5
+;15;25.5;Sonderegger Patrik (2000);;27;35.25;12;26.75;-3;1.25;9.75

27f;Schönenberger Christian;;;;;;;;;;35.25
+;;;Ackermann Roman;;;;;;;;9.75
o;2;9.75;Eugster Ruedi;**;8;56.25;3;9.0;1;-0.75;8.5
o;7;18.25;Kamer Hanspeter;*;5;57.0;11;17.25;4;-1.0;8.5
o;12;26.75;Bernold Michael (1999);;11;55.5;9;27.5;-3;0.75;8.5

27g;Schwyn Patrick (1999);;;;;;;;;;35.25
+;;;Langenegger Remo;;;;;;;;9.75
o;2;9.75;Gmür Pirmin;*;12;55.25;4;8.75;2;-1.0;8.5
o;7;18.25;Bäbler Dominik;*;11;55.5;11;17.25;4;-1.0;8.5
o;12;26.75;Oertle Daniel;;11;55.5;12;26.75;0;0.0;8.5

28a;Laager Andreas (1999);;;;;;;;;;34.5
o;;;Sonderegger Patrik (2000);;;;;;;;8.5
o;5;8.5;Schröttenthaler Micha (1998);;27;35.25;5;8.5;0;0.0;8.5
o;12;17.0;Schneider Noel (2000);;18;53.75;12;17.0;0;0.0;8.5
-;15;25.5;Ochsner Reto (2000);;28;34.5;14;25.75;-1;0.25;9.0

28b;Wirth Adrian;;;;;;;;;;34.5
o;;;Horner Sämi;;;;;;;;8.5
o;5;8.5;Bärtsch Jann (2000);;13;55.0;5;8.5;0;0.0;8.5
o;12;17.0;Mathis Patrick;;27;35.25;12;17.0;0;0.0;8.75
-;14;25.75;Dudli Gallus;;29;34.25;15;25.5;1;-0.25;8.75

28c;Moser Yanick (1999);;;;;;;;;;34.5
-;;;Schiesser Patrik (1998);;;;;;;;8.75
o;4;8.75;Danner Daniel;;15;54.5;4;8.75;0;0.0;8.5
-;11;17.25;Kamm Fritz (1999);;29;34.25;12;17.0;1;-0.25;8.75
o;13;26.0;Giger Lorenz (2000);;18;53.75;14;25.75;1;-0.25;8.5

28d;Ochsner Reto (2000);;;;;;;;;;34.5
o;;;Schnyder Christian;;;;;;;;8.5
o;5;8.5;Ackermann Roman;;22;52.5;5;8.5;0;0.0;8.5
-;12;17.0;Rhyner Beni (1999);;29;34.25;12;17.0;0;0.0;8.75
-;14;25.75;Laager Andreas (1999);;28;34.5;15;25.5;1;-0.25;8.75

29a;Kamm Fritz (1999);;;;;;;;;;34.25
o;;;Ott Damian (2000);;;;;;;;8.5
o;5;8.5;Held Florian;;17;54.0;5;8.5;0;0.0;8.5
-;12;17.0;Moser Yanick (1999);;28;34.5;11;17.25;-1;0.25;8.75
o;14;25.75;Signer Walter (1998);;22;52.5;15;25.5;1;-0.25;8.5

29b;Dudli Gallus;;;;;;;;;;34.25
o;;;Hersche Daniel;;;;;;;;8.5
o;5;8.5;Koch Reto;;10;55.75;4;8.75;-1;0.25;8.5
o;12;17.0;Biäsch Christian;;14;54.75;10;17.5;-2;0.5;8.5
-;15;25.5;Wirth Adrian;;28;34.5;14;25.75;-1;0.25;8.75

29c;Rhyner Beni (1999);;;;;;;;;;34.25
o;;;Lötscher Abraham (2000);;;;;;;;8.5
o;5;8.5;Sprecher Martin (2000);;22;52.5;5;8.5;0;0.0;8.5
-;12;17.0;Ochsner Reto (2000);;28;34.5;12;17.0;0;0.0;8.75
o;14;25.75;Manser Adrian (1998);;22;52.5;15;25.5;1;-0.25;8.5

29d;Rütsche Stefan;*;;;;;;;;;34.25
o;;;Sprecher Sandro;*;;;;;;;8.5
o;5;8.5;Koch Thomas;;12;55.25;2;9.75;-3;1.25;8.5
-;12;17.0;Gosswiler Livio (2000);;17;54.0;7;18.25;-5;1.25;8.75
o;14;25.75;Stahel Felix;*;16;54.25;13;26.0;-1;0.25;8.5

30a;Hirt Pascal;**;;;;;;;;;18.75
-;;;Bäbler Sandro;**;;;;;;;8.75
+;4;8.75;Salnajs Leo (1998);;17;54.0;1;10.0;-3;1.25;10.0

31a;Herger Matthias;**;;;;;;;;;9.75
+;;;Schläpfer Markus;**;;;;;;;9.75

