5221-2022-07-10_Appenzeller_Kantonalschwingfest-ST

1a;Zwyssig Raphael;***;;;;;;;;;58.75
-;14;45.5;Fässler Tobias;;17;54.25;14;45.5;0;0.0;8.75

17d;Raymann Jan;;;;;;;;;;54.25
o;;;Habegger Andrin (2005);;;;;;;;8.5
-;5;8.5;Signer Walter;;12;55.5;2;9.75;-3;1.25;8.75
+;10;17.25;Hüppin Lukas (2004);;19;53.75;7;18.25;-3;1.0;9.75
-;11;27.0;Inauen Maurus;;16;54.5;10;27.25;-1;0.25;8.75
+;14;35.75;Schoch René;;22;52.75;14;35.75;0;0.0;10.0
o;13;45.75;Hug Jan;;9;56.25;11;46.25;-2;0.5;8.5

17e;Mannhart Jan;*;;;;;;;;;54.25
o;;;Schmid Patrick;*;;;;;;;8.5
+;5;8.5;Kühne Cyrill (2004);;30;18.25;2;9.75;-3;1.25;10.0
o;6;18.5;Giger Urs;*;10;56.0;5;18.75;-1;0.25;8.5
o;11;27.0;Inauen Aurel;;13;55.25;6;28.25;-5;1.25;8.5
+;15;35.5;Bleiker Andreas;;21;53.0;14;35.75;-1;0.25;9.75
-;15;45.25;Lengacher Gian;;16;54.5;14;45.5;-1;0.25;9.0

17f;Bossert Luc (2006);;;;;;;;;;54.25
o;;;Schoch Cornel;;;;;;;;8.5
-;5;8.5;Nef Tobias (2005);;20;53.5;5;8.5;0;0.0;8.75
+;10;17.25;Schoch René;;22;52.75;11;17.0;1;-0.25;10.0
+;10;27.25;Dobler Mathias;;13;55.25;11;27.0;1;-0.25;10.0
o;8;37.25;Mösli Marcel;;11;55.75;7;37.5;-1;0.25;8.5
o;13;45.75;Rust Emanuel;;14;55.0;16;45.0;3;-0.75;8.5

17g;Thoma Luca;;;;;;;;;;54.25
+;;;Müller Christian;;;;;;;;10.0
o;1;10.0;Bernold Christian;**;6;57.0;5;8.5;4;-1.5;8.5
-;6;18.5;Fässler Tobias;;17;54.25;7;18.25;1;-0.25;8.75
o;10;27.25;Bickel Roman;*;13;55.25;12;26.75;2;-0.5;8.5
-;14;35.75;Rüger Damian;;18;54.0;15;35.5;1;-0.25;8.75
+;18;44.5;Trümpy Thomas (2006);;18;54.0;14;45.5;-4;1.0;9.75

17h;Fässler Tobias;;;;;;;;;;54.25
+;;;Zehnder Josef;;;;;;;;9.75
o;2;9.75;Kuster Thomas;**;7;56.75;4;8.75;2;-1.0;8.5
-;7;18.25;Thoma Luca;;17;54.25;6;18.5;-1;0.25;8.75
+;11;27.0;Tobler Michael (2004);;23;52.5;11;27.0;0;0.0;10.0
o;9;37.0;Giger Urs;*;10;56.0;8;37.25;-1;0.25;8.5
-;14;45.5;Signer Tobias (2004);;17;54.25;14;45.5;0;0.0;8.75

18a;Willi Renato;;;;;;;;;;54.0
o;;;Imhof Gregor;;;;;;;;8.5
o;5;8.5;Ziegler Max (2006);;19;53.75;5;8.5;0;0.0;8.5
+;11;17.0;Rüger Damian;;18;54.0;11;17.0;0;0.0;10.0
o;11;27.0;Oettli Reto (2005);;18;54.0;11;27.0;0;0.0;8.5
+;15;35.5;Tobler Michael (2004);;23;52.5;15;35.5;0;0.0;10.0
o;14;45.5;Bickel Roman;*;13;55.25;15;45.25;1;-0.25;8.5

18b;Knellwolf Sebastian;;;;;;;;;;54.0
o;;;Keller Stefan;;;;;;;;8.5
+;5;8.5;Jäger Elia (2006);;27;34.25;5;8.5;0;0.0;10.0
o;6;18.5;Keller Manuel;*;14;55.0;9;17.5;3;-1.0;8.5
+;11;27.0;Tobler Tobias (2005);;21;53.0;11;27.0;0;0.0;10.0
o;9;37.0;Kiener Raphael;;11;55.75;8;37.25;-1;0.25;8.5
o;14;45.5;Gasenzer Christian (2004);;14;55.0;16;45.0;2;-0.5;8.5

18c;Schiess Daniel;;;;;;;;;;54.0
+;;;Bossert Alain;;;;;;;;9.75
o;2;9.75;Elmer Daniel;*;7;56.75;5;8.5;3;-1.25;8.5
-;7;18.25;Peter Philipp;;14;55.0;9;17.5;2;-0.75;9.0
o;10;27.25;Bollhalder Manuel;*;12;55.5;11;27.0;1;-0.25;8.5
o;14;35.75;Schmid Michael;;15;54.75;13;36.0;-1;0.25;8.5
+;19;44.25;Spörndli Cyril;;22;52.75;19;44.25;0;0.0;9.75

18d;Müller Christian;;;;;;;;;;54.0
o;;;Thoma Luca;;;;;;;;8.5
+;5;8.5;Zehnder Josef;;25;35.25;5;8.5;0;0.0;10.0
o;6;18.5;Neff Florian;*;11;55.75;6;18.5;0;0.0;8.5
+;11;27.0;Signer Walter;;12;55.5;11;27.0;0;0.0;9.75
-;10;36.75;Ackermann Roman;;12;55.5;10;36.75;0;0.0;8.75
o;14;45.5;Keller Cedric;;12;55.5;14;45.5;0;0.0;8.5

18e;Signer Sandro (2006);;;;;;;;;;54.0
o;;;Signer Peter (2006);;;;;;;;8.5
+;5;8.5;Wenger Dominic;;28;34.0;5;8.5;0;0.0;10.0
o;6;18.5;Rust Emanuel;;14;55.0;7;18.25;1;-0.25;8.5
o;11;27.0;Keller Stefan;;12;55.5;10;27.25;-1;0.25;8.5
o;15;35.5;Stark Walter (2006);;19;53.75;15;35.5;0;0.0;8.75
+;19;44.25;Schoch René;;22;52.75;19;44.25;0;0.0;9.75

18f;Meier Adrian (2005);;;;;;;;;;54.0
+;;;Manser Maurin (2006);;;;;;;;10.0
o;1;10.0;Bühler Hannes;*;7;56.75;5;8.5;4;-1.5;8.5
o;6;18.5;Gasenzer Christian (2004);;14;55.0;7;18.25;1;-0.25;8.5
o;11;27.0;Müller Jano (2005);;12;55.5;11;27.0;0;0.0;8.5
o;15;35.5;Bachmann Janos (2004);;14;55.0;15;35.5;0;0.0;8.5
+;20;44.0;Speck Beda (2006);;23;52.5;20;44.0;0;0.0;10.0

18g;Mösli Timo (2006);;;;;;;;;;54.0
+;;;Widmer Ramon (2006);;;;;;;;10.0
o;1;10.0;Lengacher Gian;;16;54.5;4;8.75;3;-1.25;8.5
o;6;18.5;Furrer Damian;;19;53.75;7;18.25;1;-0.25;8.5
-;11;27.0;Waldmeier Marco (2005);;18;54.0;11;27.0;0;0.0;8.75
o;14;35.75;Keller Neel (2004);;13;55.25;15;35.5;1;-0.25;8.5
+;19;44.25;Bossert Alain;;22;52.75;19;44.25;0;0.0;9.75

18h;Oettli Reto (2005);;;;;;;;;;54.0
o;;;Tanner Adrian;;;;;;;;8.5
+;5;8.5;Meier Christian;;19;53.75;2;9.75;-3;1.25;10.0
o;6;18.5;Hinrichs Silvio (2004);;13;55.25;5;18.75;-1;0.25;8.5
+;11;27.0;Willi Renato;;18;54.0;11;27.0;0;0.0;10.0
o;9;37.0;Fejzaj Naim;**;6;57.0;8;37.25;-1;0.25;8.5
o;14;45.5;Diem Hansruedi;;12;55.5;13;45.75;-1;0.25;8.5

18i;Rüger Damian;;;;;;;;;;54.0
o;;;Wehrli Jan;;;;;;;;8.5
o;5;8.5;Nüesch Sandro (2005);;12;55.5;2;9.75;-3;1.25;8.5
o;11;17.0;Willi Renato;;18;54.0;11;17.0;0;0.0;8.5
+;16;25.5;Bernhardsgrütter Stefan (2005);;27;34.25;15;25.75;-1;0.25;10.0
-;15;35.5;Thoma Luca;;17;54.25;14;35.75;-1;0.25;8.75
+;19;44.25;Inauen Ivo;;22;52.75;19;44.25;0;0.0;9.75

18j;Trümpy Thomas (2006);;;;;;;;;;54.0
o;;;Nüesch Sandro (2005);;;;;;;;8.5
+;5;8.5;Schoch René;;22;52.75;5;8.5;0;0.0;10.0
o;6;18.5;Büchler Livio;;6;57.0;6;18.5;0;0.0;8.5
+;11;27.0;Koch Sämi (2006);;19;53.75;11;27.0;0;0.0;10.0
o;9;37.0;Keller Werner;*;5;57.25;7;37.5;-2;0.5;8.5
o;14;45.5;Thoma Luca;;17;54.25;18;44.5;4;-1.0;8.5

18k;Tobler Marco;;;;;;;;;;54.0
o;;;Hug Jan;;;;;;;;8.5
o;5;8.5;Bernhard Thomas;;19;53.75;5;8.5;0;0.0;8.5
o;11;17.0;Stolz Jonas (2006);;25;35.25;11;17.0;0;0.0;8.5
+;16;25.5;Zingg Elias (2006);;28;34.0;16;25.5;0;0.0;10.0
+;15;35.5;Inauen Andrin (2006);;23;52.5;15;35.5;0;0.0;10.0
o;14;45.5;Bachmann Janos (2004);;14;55.0;15;45.25;1;-0.25;8.5

18l;Studerus Jan;;;;;;;;;;54.0
+;;;Bleiker Andreas;;;;;;;;10.0
o;1;10.0;Signer Andy;**;13;55.25;4;8.75;3;-1.25;8.5
o;6;18.5;Elmer Daniel;*;7;56.75;6;18.5;0;0.0;8.5
+;11;27.0;Signer Peter (2006);;19;53.75;11;27.0;0;0.0;10.0
o;9;37.0;Nüesch Sandro (2005);;12;55.5;9;37.0;0;0.0;8.5
o;14;45.5;Ackermann Roman;;12;55.5;14;45.5;0;0.0;8.5

18m;Stadelmann Patrick;;;;;;;;;;54.0
-;;;Kolb Kilian (2005);;;;;;;;8.75
o;4;8.75;Bösch Mario (2006);;13;55.25;2;9.75;-2;1.0;8.5
+;10;17.25;Schildknecht Jannic (2004);;22;52.75;6;18.5;-4;1.25;10.0
o;10;27.25;Sprecher Martin;;15;54.75;9;27.5;-1;0.25;8.5
+;14;35.75;Inauen Ivo;;22;52.75;14;35.75;0;0.0;9.75
o;14;45.5;Oertle Daniel;*;16;54.5;17;44.75;3;-0.75;8.5

18n;Mock Ramon (2006);;;;;;;;;;54.0
+;;;Signer Felix (2006);;;;;;;;10.0
o;1;10.0;Bachmann Janos (2004);;14;55.0;4;8.75;3;-1.25;8.5
o;6;18.5;Peter Philipp;;14;55.0;9;17.5;3;-1.0;8.5
+;11;27.0;Inauen Ivo;;22;52.75;11;27.0;0;0.0;10.0
o;9;37.0;Joos Enrico;*;10;56.0;7;37.5;-2;0.5;8.5
o;14;45.5;Mösli Reto;;13;55.25;15;45.25;1;-0.25;8.5

18o;Hobi Ignaz;*;;;;;;;;;54.0
+;;;Oertle Daniel;*;;;;;;;9.75
o;2;9.75;Koch Thomas;**;2;58.0;1;10.0;-1;0.25;8.5
+;7;18.25;Keller Stefan;;12;55.5;5;18.75;-2;0.5;10.0
o;6;28.25;Büchler Livio;;6;57.0;5;28.5;-1;0.25;8.5
o;10;36.75;Kuster Thomas;**;7;56.75;8;37.25;-2;0.5;8.5
-;15;45.25;Signer Ramon;;17;54.25;14;45.5;-1;0.25;8.75

18p;Waldmeier Marco (2005);;;;;;;;;;54.0
o;;;Signer Walter;;;;;;;;8.5
o;5;8.5;Rust Emanuel;;14;55.0;5;8.5;0;0.0;8.5
+;11;17.0;Keller Tami (2006);;25;35.25;11;17.0;0;0.0;10.0
-;11;27.0;Mösli Timo (2006);;18;54.0;11;27.0;0;0.0;8.75
o;14;35.75;Inauen Maurus;;16;54.5;13;36.0;-1;0.25;8.5
+;19;44.25;Schildknecht Jannic (2004);;22;52.75;19;44.25;0;0.0;9.75

19a;Signer Patrick;;;;;;;;;;53.75
o;;;Müller Josias (2006);;;;;;;;8.5
+;5;8.5;Schefer Sandro (2006);;27;34.25;5;8.5;0;0.0;9.75
o;7;18.25;Wartmann Otto;;13;55.25;7;18.25;0;0.0;8.5
-;12;26.75;Schiess Christian;;16;54.5;11;27.0;-1;0.25;8.75
+;15;35.5;Bossert Alain;;22;52.75;14;35.75;-1;0.25;9.75
o;15;45.25;Baumann Rico;*;15;54.75;17;44.75;2;-0.5;8.5

19b;Furrer Damian;;;;;;;;;;53.75
+;;;Fässler Michael;;;;;;;;9.75
o;2;9.75;Brülisauer Dominik;;7;56.75;1;10.0;-1;0.25;8.5
+;7;18.25;Mösli Timo (2006);;18;54.0;6;18.5;-1;0.25;9.75
-;7;28.0;Oertle Daniel;*;16;54.5;9;27.5;2;-0.5;8.75
o;10;36.75;Lenherr Jonas (2005);;12;55.5;8;37.25;-2;0.5;8.5
o;15;45.25;Tanner Adrian;;13;55.25;15;45.25;0;0.0;8.5

19c;Brülisauer Thomas;;;;;;;;;;53.75
+;;;Jäger Elia (2006);;;;;;;;9.75
+;2;9.75;Spörndli Cyril;;22;52.75;5;8.5;3;-1.25;9.75
o;3;19.5;Ulmann Fabian;*;7;56.75;6;18.5;3;-1.0;8.5
o;7;28.0;Joos Enrico;*;10;56.0;9;27.5;2;-0.5;8.5
o;11;36.5;Horner Sämi;;11;55.75;13;36.0;2;-0.5;8.5
o;16;45.0;Keller Neel (2004);;13;55.25;15;45.25;-1;0.25;8.75

19d;Weder Yanick;;;;;;;;;;53.75
o;;;Hüppin Lukas (2004);;;;;;;;8.5
o;5;8.5;Dörig Maurus (2004);;14;55.0;2;9.75;-3;1.25;8.5
+;11;17.0;Gaccioli Benjamin;;28;34.0;11;17.0;0;0.0;10.0
o;11;27.0;Schmid Robin (2006);;13;55.25;11;27.0;0;0.0;8.5
o;15;35.5;Signer Walter;;12;55.5;15;35.5;0;0.0;8.5
+;20;44.0;Tobler Michael (2004);;23;52.5;20;44.0;0;0.0;9.75

19e;Magani Flurin;;;;;;;;;;53.75
o;;;Bösch Mario (2006);;;;;;;;8.5
+;5;8.5;Signer Peter (2006);;19;53.75;1;10.0;-4;1.5;9.75
o;7;18.25;Oertle Daniel;*;16;54.5;9;17.5;2;-0.75;8.5
+;12;26.75;Schläpfer Andrin;;20;53.5;11;27.0;-1;0.25;9.75
o;11;36.5;Giger Florian;;13;55.25;10;36.75;-1;0.25;8.5
-;16;45.0;Hüppin Lukas (2004);;19;53.75;16;45.0;0;0.0;8.75

19f;Meier Christian;;;;;;;;;;53.75
+;;;Koch Sämi (2006);;;;;;;;9.75
o;2;9.75;Oettli Reto (2005);;18;54.0;5;8.5;3;-1.25;8.75
o;6;18.5;Jörger Corsin;*;8;56.5;6;18.5;0;0.0;8.5
+;11;27.0;Ziegler Max (2006);;19;53.75;11;27.0;0;0.0;9.75
o;10;36.75;Schmid Gian;;11;55.75;9;37.0;-1;0.25;8.5
o;15;45.25;Schmid Robin (2006);;13;55.25;14;45.5;-1;0.25;8.5

19g;Koch Sämi (2006);;;;;;;;;;53.75
o;;;Meier Christian;;;;;;;;8.5
+;5;8.5;Bernhardsgrütter Stefan (2005);;27;34.25;5;8.5;0;0.0;10.0
o;6;18.5;Imhof Gregor;;12;55.5;7;18.25;1;-0.25;8.5
o;11;27.0;Trümpy Thomas (2006);;18;54.0;11;27.0;0;0.0;8.5
+;15;35.5;Ziegler Max (2006);;19;53.75;15;35.5;0;0.0;9.75
o;15;45.25;Keller Stefan;;12;55.5;13;45.75;-2;0.5;8.5

19h;Hüppin Lukas (2004);;;;;;;;;;53.75
+;;;Weder Yanick;;;;;;;;9.75
o;2;9.75;Ziegler Andreas;;14;55.0;5;8.5;3;-1.25;8.5
o;7;18.25;Raymann Jan;;17;54.25;10;17.25;3;-1.0;8.5
+;12;26.75;Stolz Jonas (2006);;25;35.25;12;26.75;0;0.0;9.75
o;11;36.5;Jörger Corsin;*;8;56.5;10;36.75;-1;0.25;8.5
-;16;45.0;Magani Flurin;;19;53.75;16;45.0;0;0.0;8.75

19i;Bernhard Thomas;;;;;;;;;;53.75
o;;;Büchler Livio;;;;;;;;8.5
+;5;8.5;Tobler Marco;;18;54.0;5;8.5;0;0.0;9.75
+;7;18.25;Dobler Mathias;;13;55.25;6;18.5;-1;0.25;10.0
o;6;28.25;Fuster Sepp;*;7;56.75;5;28.5;-1;0.25;8.5
o;10;36.75;Ruppanner Philipp;;13;55.25;10;36.75;0;0.0;8.5
o;15;45.25;Inauen Andreas;*;13;55.25;15;45.25;0;0.0;8.5

19j;Signer Peter (2006);;;;;;;;;;53.75
+;;;Signer Sandro (2006);;;;;;;;10.0
o;1;10.0;Magani Flurin;;19;53.75;5;8.5;4;-1.5;8.5
o;6;18.5;Koster Patrick;;20;53.5;7;18.25;1;-0.25;8.5
o;11;27.0;Studerus Jan;;18;54.0;11;27.0;0;0.0;8.5
+;15;35.5;Speck Beda (2006);;23;52.5;15;35.5;0;0.0;9.75
o;15;45.25;Signer Walter;;12;55.5;14;45.5;-1;0.25;8.5

19k;Streule Marco;;;;;;;;;;53.75
+;;;Inauen Andrin (2006);;;;;;;;9.75
o;2;9.75;Giger Florian;;13;55.25;5;8.5;3;-1.25;8.5
o;7;18.25;Bickel Roman;*;13;55.25;11;17.0;4;-1.25;8.5
+;12;26.75;Signer Felix (2006);;25;35.25;12;26.75;0;0.0;10.0
o;10;36.75;Schlegel Reto;*;12;55.5;9;37.0;-1;0.25;8.5
o;15;45.25;Bösch Mario (2006);;13;55.25;14;45.5;-1;0.25;8.5

19l;Schoch Cornel;;;;;;;;;;53.75
+;;;Bossert Luc (2006);;;;;;;;9.75
o;2;9.75;Jörger Corsin;*;8;56.5;5;8.5;3;-1.25;8.5
+;7;18.25;Bernhardsgrütter Stefan (2005);;27;34.25;10;17.25;3;-1.0;9.75
o;7;28.0;Kiener Raphael;;11;55.75;10;27.25;3;-0.75;8.75
o;10;36.75;Kurmann Patrick;*;6;57.0;9;37.0;-1;0.25;8.5
o;15;45.25;Wartmann Otto;;13;55.25;15;45.25;0;0.0;8.5

19m;Ziegler Max (2006);;;;;;;;;;53.75
o;;;Hinrichs Silvio (2004);;;;;;;;8.5
+;5;8.5;Willi Renato;;18;54.0;5;8.5;0;0.0;10.0
o;6;18.5;Mösli Marcel;;11;55.75;6;18.5;0;0.0;8.5
o;11;27.0;Meier Christian;;19;53.75;11;27.0;0;0.0;8.5
o;15;35.5;Koch Sämi (2006);;19;53.75;15;35.5;0;0.0;8.5
+;20;44.0;Inauen Andrin (2006);;23;52.5;20;44.0;0;0.0;9.75

19n;Stark Walter (2006);;;;;;;;;;53.75
+;;;Schmid Robin (2006);;;;;;;;10.0
o;1;10.0;Kolb Kilian (2005);;17;54.25;4;8.75;3;-1.25;8.5
o;6;18.5;Fuster Arjuna;;12;55.5;7;18.25;1;-0.25;8.5
o;11;27.0;Vetterli Sven;;14;55.0;11;27.0;0;0.0;8.5
+;15;35.5;Signer Sandro (2006);;18;54.0;15;35.5;0;0.0;9.75
o;15;45.25;Inauen Silvan;;13;55.25;15;45.25;0;0.0;8.5

20a;Nef Tobias (2005);;;;;;;;;;53.5
o;;;Kühne Cyrill (2004);;;;;;;;8.5
-;5;8.5;Bossert Luc (2006);;17;54.25;5;8.5;0;0.0;8.75
+;10;17.25;Jäger Elia (2006);;27;34.25;11;17.0;1;-0.25;10.0
o;10;27.25;Nock Benjamin;*;16;54.5;11;27.0;1;-0.25;8.5
-;14;35.75;Schiess Christian;;16;54.5;14;35.75;0;0.0;8.75
-;18;44.5;Schläpfer Andrin;;20;53.5;18;44.5;0;0.0;9.0

20b;Schläpfer Andrin;;;;;;;;;;53.5
o;;;Inauen Silvan;;;;;;;;8.5
+;5;8.5;Zingg Elias (2006);;28;34.0;5;8.5;0;0.0;10.0
o;6;18.5;Magani Flurin;;19;53.75;7;18.25;1;-0.25;8.5
o;11;27.0;Lüthi Manuel;*;11;55.75;11;27.0;0;0.0;8.5
-;15;35.5;Tobler Tobias (2005);;21;53.0;15;35.5;0;0.0;9.0
-;18;44.5;Nef Tobias (2005);;20;53.5;18;44.5;0;0.0;9.0

20c;Koster Patrick;;;;;;;;;;53.5
o;;;Signer Tobias (2004);;;;;;;;8.5
+;5;8.5;Stadelmann Lukas (2004);;26;34.5;5;8.5;0;0.0;9.75
+;7;18.25;Signer Peter (2006);;19;53.75;6;18.5;-1;0.25;9.75
o;7;28.0;Landolt Reto;*;13;55.25;11;27.0;4;-1.0;8.5
o;11;36.5;Burkhalter Thomas;*;12;55.5;9;37.0;-2;0.5;8.5
o;16;45.0;Joos Roman (2005);;13;55.25;15;45.25;-1;0.25;8.5

21a;Bleiker Andreas;;;;;;;;;;53.0
o;;;Studerus Jan;;;;;;;;8.75
-;4;8.75;Bossert Alain;;22;52.75;4;8.75;0;0.0;8.75
o;9;17.5;Spörndli Cyril;;22;52.75;10;17.25;1;-0.25;8.5
+;14;26.0;Wenger Dominic;;28;34.0;16;25.5;2;-0.5;9.75
o;14;35.75;Mannhart Jan;*;17;54.25;15;35.5;1;-0.25;8.75
o;18;44.5;Schiess Christian;;16;54.5;18;44.5;0;0.0;8.5

21b;Tobler Tobias (2005);;;;;;;;;;53.0
o;;;Joos Roman (2005);;;;;;;;8.5
o;5;8.5;Wolfer David;;25;35.25;5;8.5;0;0.0;8.5
+;11;17.0;Wenger Dominic;;28;34.0;11;17.0;0;0.0;10.0
o;11;27.0;Knellwolf Sebastian;;18;54.0;11;27.0;0;0.0;8.5
-;15;35.5;Schläpfer Andrin;;20;53.5;15;35.5;0;0.0;9.0
o;18;44.5;Fässler Michael;;16;54.5;18;44.5;0;0.0;8.5

21c;Walser Aaron (2006);;;;;;;;;;53.0
o;;;Fuster Arjuna;;;;;;;;8.75
+;4;8.75;Speck Beda (2006);;23;52.5;1;10.0;-3;1.25;10.0
o;5;18.75;Fejzaj Naim;**;6;57.0;6;18.5;1;-0.25;8.5
o;10;27.25;Kolb Kilian (2005);;17;54.25;10;27.25;0;0.0;8.5
-;14;35.75;Fässler Michael;;16;54.5;14;35.75;0;0.0;8.75
o;18;44.5;Dobler Mathias;;13;55.25;15;45.25;-3;0.75;8.5

22a;Inauen Ivo;;;;;;;;;;52.75
o;;;Schiess Christian;;;;;;;;8.5
+;5;8.5;Stolz Jonas (2006);;25;35.25;5;8.5;0;0.0;10.0
o;6;18.5;Ackermann Rico;*;10;56.0;8;17.75;2;-0.75;8.5
o;11;27.0;Mock Ramon (2006);;18;54.0;11;27.0;0;0.0;8.75
o;14;35.75;Stadelmann Patrick;;18;54.0;14;35.75;0;0.0;8.5
o;19;44.25;Rüger Damian;;18;54.0;19;44.25;0;0.0;8.5

22b;Schoch René;;;;;;;;;;52.75
o;;;Schmid Gian;;;;;;;;8.5
o;5;8.5;Trümpy Thomas (2006);;18;54.0;5;8.5;0;0.0;8.5
o;11;17.0;Bossert Luc (2006);;17;54.25;10;17.25;-1;0.25;8.75
+;15;25.75;Jäger Elia (2006);;27;34.25;15;25.75;0;0.0;10.0
o;14;35.75;Raymann Jan;;17;54.25;14;35.75;0;0.0;8.5
o;19;44.25;Signer Sandro (2006);;18;54.0;19;44.25;0;0.0;8.5

22c;Spörndli Cyril;;;;;;;;;;52.75
o;;;Gasenzer Christian (2004);;;;;;;;8.5
o;5;8.5;Brülisauer Thomas;;19;53.75;2;9.75;-3;1.25;8.75
+;10;17.25;Bleiker Andreas;;21;53.0;9;17.5;-1;0.25;10.0
o;10;27.25;Kuster Thomas;**;7;56.75;10;27.25;0;0.0;8.5
o;14;35.75;Dobler Mathias;;13;55.25;15;35.5;1;-0.25;8.5
o;19;44.25;Schiess Daniel;;18;54.0;19;44.25;0;0.0;8.5

22d;Bossert Alain;;;;;;;;;;52.75
o;;;Schiess Daniel;;;;;;;;8.75
-;4;8.75;Bleiker Andreas;;21;53.0;4;8.75;0;0.0;8.75
o;9;17.5;Tanner Adrian;;13;55.25;7;18.25;-2;0.75;8.5
+;14;26.0;Gaccioli Benjamin;;28;34.0;16;25.5;2;-0.5;9.75
o;14;35.75;Signer Patrick;;19;53.75;15;35.5;1;-0.25;8.5
o;19;44.25;Mösli Timo (2006);;18;54.0;19;44.25;0;0.0;8.5

22e;Schildknecht Jannic (2004);;;;;;;;;;52.75
+;;;Schefer Sandro (2006);;;;;;;;10.0
o;1;10.0;Dumelin David;**;5;57.25;4;8.75;3;-1.25;8.5
o;6;18.5;Stadelmann Patrick;;18;54.0;10;17.25;4;-1.25;8.75
o;10;27.25;Müller Josias (2006);;15;54.75;9;27.5;-1;0.25;8.5
o;14;35.75;Ackermann Rico;*;10;56.0;12;36.25;-2;0.5;8.5
o;19;44.25;Waldmeier Marco (2005);;18;54.0;19;44.25;0;0.0;8.5

23a;Tobler Michael (2004);;;;;;;;;;52.5
+;;;Wolfer David;;;;;;;;9.75
o;2;9.75;Schmid Michael;;15;54.75;4;8.75;2;-1.0;8.75
o;6;18.5;Bleiker Ueli (2004);*;12;55.5;10;17.25;4;-1.25;8.5
o;11;27.0;Fässler Tobias;;17;54.25;11;27.0;0;0.0;8.5
o;15;35.5;Willi Renato;;18;54.0;15;35.5;0;0.0;8.5
o;20;44.0;Weder Yanick;;19;53.75;20;44.0;0;0.0;8.5

23b;Speck Beda (2006);;;;;;;;;;52.5
+;;;Keller Tami (2006);;;;;;;;10.0
o;1;10.0;Walser Aaron (2006);;21;53.0;4;8.75;3;-1.25;8.5
o;6;18.5;Keller Cedric;;12;55.5;7;18.25;1;-0.25;8.5
o;11;27.0;Mösli Reto;;13;55.25;12;26.75;1;-0.25;8.5
o;15;35.5;Signer Peter (2006);;19;53.75;15;35.5;0;0.0;8.5
o;20;44.0;Meier Adrian (2005);;18;54.0;20;44.0;0;0.0;8.5

23c;Inauen Andrin (2006);;;;;;;;;;52.5
o;;;Streule Marco;;;;;;;;8.75
+;4;8.75;Widmer Ramon (2006);;25;35.25;5;8.5;1;-0.25;9.75
o;6;18.5;Ziegler Andreas;;14;55.0;7;18.25;1;-0.25;8.5
o;11;27.0;Lengacher Gian;;16;54.5;11;27.0;0;0.0;8.5
o;15;35.5;Tobler Marco;;18;54.0;15;35.5;0;0.0;8.5
o;20;44.0;Ziegler Max (2006);;19;53.75;20;44.0;0;0.0;8.5

24a;Kuhn Roman;*;;;;;;;;;35.5
o;;;Brülisauer Dominik;;;;;;;;8.5
o;5;8.5;Inauen Silvan;;13;55.25;2;9.75;-3;1.25;8.5
o;11;17.0;Giger Florian;;13;55.25;7;18.25;-4;1.25;8.5
+;16;25.5;Käppeli Remo;;25;35.25;12;26.75;-4;1.25;10.0

25a;Signer Felix (2006);;;;;;;;;;35.25
o;;;Mock Ramon (2006);;;;;;;;8.5
o;5;8.5;Schmid Robin (2006);;13;55.25;5;8.5;0;0.0;8.5
+;11;17.0;Manser Maurin (2006);;28;34.0;11;17.0;0;0.0;9.75
o;12;26.75;Streule Marco;;19;53.75;12;26.75;0;0.0;8.5

25b;Widmer Ramon (2006);;;;;;;;;;35.25
o;;;Mösli Timo (2006);;;;;;;;8.5
o;5;8.5;Inauen Andrin (2006);;23;52.5;4;8.75;-1;0.25;8.5
+;11;17.0;Zingg Elias (2006);;28;34.0;11;17.0;0;0.0;9.75
o;12;26.75;Joos Roman (2005);;13;55.25;12;26.75;0;0.0;8.5

25c;Zehnder Josef;;;;;;;;;;35.25
o;;;Fässler Tobias;;;;;;;;8.5
o;5;8.5;Müller Christian;;18;54.0;5;8.5;0;0.0;8.5
+;11;17.0;Schefer Sandro (2006);;27;34.25;11;17.0;0;0.0;9.75
o;12;26.75;Signer Ramon;;17;54.25;11;27.0;-1;0.25;8.5

25d;Wolfer David;;;;;;;;;;35.25
o;;;Tobler Michael (2004);;;;;;;;8.5
+;5;8.5;Tobler Tobias (2005);;21;53.0;5;8.5;0;0.0;9.75
o;7;18.25;Giger Lorenz;;7;56.75;6;18.5;-1;0.25;8.5
o;12;26.75;Fässler Michael;;16;54.5;14;26.0;2;-0.75;8.5

25e;Stolz Jonas (2006);;;;;;;;;;35.25
o;;;Dörig Maurus (2004);;;;;;;;8.5
o;5;8.5;Inauen Ivo;;22;52.75;5;8.5;0;0.0;8.5
+;11;17.0;Tobler Marco;;18;54.0;11;17.0;0;0.0;9.75
o;12;26.75;Hüppin Lukas (2004);;19;53.75;12;26.75;0;0.0;8.5

25f;Käppeli Remo;;;;;;;;;;35.25
o;;;Vetterli Sven;;;;;;;;8.5
+;5;8.5;Keller Tami (2006);;25;35.25;5;8.5;0;0.0;9.75
o;7;18.25;Diem Hansruedi;;12;55.5;6;18.5;-1;0.25;8.5
