3685-2019-08-04_112_Nordwestschweizerisches_Schwingfest-ST

1a;Schmid David;***;;;;;;;;;58.5
+;8;37.0;Graf Gian (2003);;15;54.25;9;36.75;1;-0.25;10.0
o;6;47.0;Bieri Marcel;**;2;58.25;3;48.25;-3;1.25;8.5

10k;Brügger Joël;;;;;;;;;;55.5
+;;;Büchi Christian;;;;;;;;10.0
o;1;10.0;Burren Patrick;*;15;54.25;3;8.75;2;-1.25;8.5
+;6;18.5;Furrer Mathias;;16;54.0;7;18.25;1;-0.25;10.0
o;3;28.5;Hermann Oliver;*;5;56.75;4;28.25;1;-0.25;8.5
+;8;37.0;Bearda Samuel;**;14;54.5;12;36.0;4;-1.0;10.0
o;6;47.0;Stoll Simon;**;6;56.5;7;46.75;1;-0.25;8.5

11a;Henzer Andreas;**;;;;;;;;;55.25
-;;;Bearda Samuel;**;;;;;;;8.75
o;3;8.75;Mathys Simon;**;11;55.25;4;8.5;1;-0.25;8.5
+;10;17.25;Reinhard Pirmin (2001);;21;46.25;6;18.5;-4;1.25;9.75
+;9;27.0;Ris Jörn;*;15;54.25;8;27.25;-1;0.25;9.75
+;9;36.75;Hitz Florian;;12;55.0;9;36.75;0;0.0;10.0
o;7;46.75;Nötzli Reto;***;4;57.0;5;47.25;-2;0.5;8.5

11b;Brun Samuel;**;;;;;;;;;55.25
+;;;Schmid Samuel;**;;;;;;;10.0
o;1;10.0;Nötzli Reto;***;4;57.0;3;8.75;2;-1.25;8.5
+;6;18.5;Büttler Gian;;15;54.25;1;20.0;-5;1.5;9.75
-;4;28.25;Schwenkfelder Lukas;*;13;54.75;7;27.5;3;-0.75;8.75
o;8;37.0;Stalder Remo;***;5;56.75;8;37.0;0;0.0;8.5
+;12;45.5;Schär Jonas;;13;54.75;9;46.25;-3;0.75;9.75

11c;Mathys Simon;**;;;;;;;;;55.25
o;;;Schmid David;***;;;;;;;8.5
+;4;8.5;Henzer Andreas;**;11;55.25;3;8.75;-1;0.25;10.0
+;6;18.5;Leuthard Reto;**;8;56.0;5;18.75;-1;0.25;9.75
-;4;28.25;Voggensperger Janic;**;10;55.5;3;28.5;-1;0.25;8.75
+;8;37.0;Klausner Yanick;**;12;55.0;4;38.0;-4;1.0;9.75
o;7;46.75;Strebel Joel;**;5;56.75;7;46.75;0;0.0;8.5

11d;Bieri Christoph;***;;;;;;;;;55.25
-;;;Gobeli Patrick;**;;;;;;;8.75
+;3;8.75;Studer Remo;*;10;55.5;1;10.0;-2;1.25;10.0
-;5;18.75;Kocher Remo;**;7;56.25;5;18.75;0;0.0;9.0
+;6;27.75;Schmutz Simon;*;15;54.25;5;28.0;-1;0.25;10.0
o;5;37.75;Schneider Domenic;***;10;55.5;9;36.75;4;-1.0;8.5
-;9;46.25;Kohler Adrian;*;10;55.5;7;46.75;-2;0.5;9.0

11e;Nussbaumer Gabriel;;;;;;;;;;55.25
+;;;Burren Dominik (2003);;;;;;;;10.0
o;1;10.0;Hauri Urs;**;4;57.0;3;8.75;2;-1.25;8.5
+;6;18.5;Steinmann Yves;*;14;54.5;6;18.5;0;0.0;10.0
o;3;28.5;Stoll Simon;**;6;56.5;3;28.5;0;0.0;8.5
+;8;37.0;Bader Thomas (2002);;14;54.5;8;37.0;0;0.0;9.75
o;7;46.75;Hermann Oliver;*;5;56.75;7;46.75;0;0.0;8.5

11f;Odermatt Adrian (2001);*;;;;;;;;;55.25
+;;;Stadler Kevin (2002);*;;;;;;;9.75
-;2;9.75;Gottofrey Marc;**;14;54.5;3;8.75;1;-1.0;9.0
o;5;18.75;Stoll Simon;**;6;56.5;6;18.5;1;-0.25;8.5
+;8;27.25;Bachmann Sämi (2001);;16;54.0;3;28.5;-5;1.25;9.75
+;8;37.0;Rüegger Aaron;*;22;46.0;12;36.0;4;-1.0;9.75
o;7;46.75;Thürig Mario;***;4;57.0;6;47.0;-1;0.25;8.5

11g;Burkhardt Roy;;;;;;;;;;55.25
+;;;Huber Fabian;;;;;;;;9.75
+;2;9.75;Müller Christian;;18;53.5;2;9.75;0;0.0;10.0
o;2;19.75;Hügli Kaj;**;5;56.75;6;18.5;4;-1.25;8.5
o;4;28.25;Leuthard Reto;**;8;56.0;8;27.25;4;-1.0;8.5
+;9;36.75;Burren Dominik (2003);;15;54.25;13;35.75;4;-1.0;10.0
o;7;46.75;Hauri Urs;**;4;57.0;6;47.0;-1;0.25;8.5

11h;Stüdeli Thomas;**;;;;;;;;;55.25
o;;;Hermann Oliver;*;;;;;;;8.5
+;4;8.5;Brugger Jonas;;17;53.75;1;10.0;-3;1.5;9.75
+;7;18.25;Burren Patrick;*;15;54.25;6;18.5;-1;0.25;10.0
o;4;28.25;Schneider Domenic;***;10;55.5;9;27.0;5;-1.25;8.5
+;9;36.75;Kehr Damian (2001);;12;55.0;9;36.75;0;0.0;10.0
o;7;46.75;Vieira Tiago;**;3;57.25;5;47.25;-2;0.5;8.5

11i;Mangold Martin;*;;;;;;;;;55.25
-;;;Gerber Manuel;*;;;;;;;8.75
+;3;8.75;Lisser Beat;*;35;26.75;4;8.5;1;-0.25;9.75
o;6;18.5;Streich Sascha (2001);;14;54.5;5;18.75;-1;0.25;8.75
o;8;27.25;Nyffenegger Florian (2001);;12;55.0;10;26.75;2;-0.5;8.5
+;13;35.75;Bachmann Sämi (2001);;16;54.0;8;37.0;-5;1.25;9.75
+;12;45.5;Arnold Kornel;*;17;53.75;13;45.25;1;-0.25;9.75

12a;Kehr Damian (2001);;;;;;;;;;55.0
+;;;Vogt Marco (2003);;;;;;;;9.75
+;2;9.75;Nyffenegger Florian (2001);;12;55.0;2;9.75;0;0.0;10.0
o;2;19.75;Voggensperger Janic;**;10;55.5;6;18.5;4;-1.25;8.5
o;4;28.25;Gottofrey Marc;**;14;54.5;10;26.75;6;-1.5;8.5
o;9;36.75;Stüdeli Thomas;**;11;55.25;9;36.75;0;0.0;8.5
+;13;45.25;Büttler Gian;;15;54.25;11;45.75;-2;0.5;9.75

12b;Gerber Andrj;*;;;;;;;;;55.0
-;;;Burren Patrick;*;;;;;;;8.75
+;3;8.75;Hasler Luis (2002);;13;54.75;1;10.0;-2;1.25;9.75
-;6;18.5;Schär Jonas;;13;54.75;5;18.75;-1;0.25;9.0
-;7;27.5;Widmer David;**;12;55.0;7;27.5;0;0.0;9.0
-;10;36.5;Stadler Kevin (2002);*;18;53.5;12;36.0;2;-0.5;8.75
+;13;45.25;Furrer Mathias;;16;54.0;13;45.25;0;0.0;9.75

12c;Nyffenegger Florian (2001);;;;;;;;;;55.0
+;;;Lazic Serge;;;;;;;;9.75
o;2;9.75;Kehr Damian (2001);;12;55.0;2;9.75;0;0.0;8.5
o;7;18.25;Burren Dominik (2003);;15;54.25;9;17.5;2;-0.75;8.5
+;10;26.75;Mangold Martin;*;11;55.25;8;27.25;-2;0.5;10.0
o;9;36.75;Kohler Adrian;*;10;55.5;9;36.75;0;0.0;8.5
+;13;45.25;Müller Christian;;18;53.5;14;45.0;1;-0.25;9.75

12d;Klausner Yanick;**;;;;;;;;;55.0
+;;;Stoll Simon;**;;;;;;;9.75
+;2;9.75;Stegmüller Klemens;*;13;54.75;3;8.75;1;-1.0;9.75
o;3;19.5;Notz Beni;***;4;57.0;6;18.5;3;-1.0;8.5
+;5;28.0;Streich Sascha (2001);;14;54.5;2;28.75;-3;0.75;10.0
o;4;38.0;Mathys Simon;**;11;55.25;8;37.0;4;-1.0;8.5
o;8;46.5;Gobeli Patrick;**;5;56.75;7;46.75;-1;0.25;8.5

12e;Hitz Florian;;;;;;;;;;55.0
+;;;Grieder Nonda;;;;;;;;10.0
o;1;10.0;Stoll Simon;**;6;56.5;4;8.5;3;-1.5;8.5
o;6;18.5;Kropf Marcel;**;10;55.5;6;18.5;0;0.0;8.5
+;9;27.0;Meier Lian (2002);;28;35.5;9;27.0;0;0.0;9.75
o;9;36.75;Henzer Andreas;**;11;55.25;9;36.75;0;0.0;8.5
+;13;45.25;Rohrbach Jérôme;;15;54.25;12;45.5;-1;0.25;9.75

12f;Widmer David;**;;;;;;;;;55.0
o;;;Leuthard Reto;**;;;;;;;8.5
-;4;8.5;Streich Sascha (2001);;14;54.5;1;10.0;-3;1.5;9.0
+;9;17.5;Rickenbacher Cedric (2002);;28;35.5;6;18.5;-3;1.0;10.0
-;7;27.5;Gerber Andrj;*;12;55.0;7;27.5;0;0.0;8.75
+;11;36.25;Gisin Yanic;;19;53.0;12;36.0;1;-0.25;10.0
o;9;46.25;Döbeli Lukas;**;5;56.75;6;47.0;-3;0.75;8.75

13a;Meyer Markus;;;;;;;;;;54.75
+;;;Herrmann Adrian;;;;;;;;10.0
o;1;10.0;Probst Gabriel;**;23;45.75;4;8.5;3;-1.5;8.5
+;6;18.5;Hermann Lukas 1;;28;35.5;6;18.5;0;0.0;9.75
-;4;28.25;Schillig Willi;**;8;56.0;8;27.25;4;-1.0;8.75
-;8;37.0;Krebs Clemens;*;18;53.5;12;36.0;4;-1.0;8.75
-;11;45.75;Wüthrich Jonas (2003);;14;54.5;12;45.5;1;-0.25;9.0

13b;Hasler Luis (2002);;;;;;;;;;54.75
+;;;Schwob Marco;;;;;;;;10.0
o;1;10.0;Gerber Andrj;*;12;55.0;3;8.75;2;-1.25;8.5
+;6;18.5;Brugger Jonas;;17;53.75;6;18.5;0;0.0;10.0
-;3;28.5;Haenni Stéphane;**;9;55.75;9;27.0;6;-1.5;8.75
-;7;37.25;Probst Gabriel;**;23;45.75;12;36.0;5;-1.25;9.0
o;9;46.25;Voggensperger Lars (2001);*;10;55.5;11;45.75;2;-0.5;8.5

13c;Schär Jonas;;;;;;;;;;54.75
-;;;Ris Jörn;*;;;;;;;8.75
+;3;8.75;Hermann Lukas 1;;28;35.5;1;10.0;-2;1.25;10.0
