3896-2022-06-26_Fete_Romande-ST

1a;Schurtenberger Sven;***;;;;;;;;;58.5
o;6;18.5;Riedo Fredy;*;10;56.0;6;18.5;0;0.0;8.5
+;10;27.0;Schwab Livio (2005);;14;55.0;10;27.0;0;0.0;9.75
-;8;36.75;Dorsaz Théo;*;21;53.25;11;36.0;3;-0.75;8.75
+;13;45.5;Neyroud Geoffrey;;18;54.0;13;45.5;0;0.0;9.75

13g;Rogivue Théo;*;;;;;;;;;55.25
o;;;Grossenbacher Simon;*;;;;;;;8.5
+;5;8.5;Burri Flemming;;19;53.75;1;10.0;-4;1.5;10.0
+;6;18.5;Siegenthaler Leo (2005);*;6;57.0;6;18.5;0;0.0;10.0
o;4;28.5;Roschi Ruedi;**;8;56.5;6;28.0;2;-0.5;8.5
+;7;37.0;Chofflon Anthony;;18;54.0;7;37.0;0;0.0;9.75
o;8;46.75;Gapany Benjamin;***;5;57.25;6;47.25;-2;0.5;8.5

13h;Perret Loïc;;;;;;;;;;55.25
+;;;Portmann Fabio;*;;;;;;;9.75
+;2;9.75;Monney Branighan;;11;55.75;5;8.5;3;-1.25;10.0
o;2;19.75;Grossenbacher Simon;*;12;55.5;6;18.5;4;-1.25;8.5
o;5;28.25;Bucher Roman;;13;55.25;5;28.25;0;0.0;8.5
+;8;36.75;Fankhauser Yanik;;19;53.75;8;36.75;0;0.0;10.0
o;8;46.75;Dousse Michel;**;5;57.25;6;47.25;-2;0.5;8.5

13i;Emonet Frédéric;**;;;;;;;;;55.25
o;;;Varone Luc;*;;;;;;;8.5
+;5;8.5;Fankhauser Tom (2006);;16;54.5;1;10.0;-4;1.5;10.0
o;6;18.5;Arnold Stefan;**;7;56.75;6;18.5;0;0.0;8.5
+;10;27.0;Berger Dilan;;16;54.5;9;27.25;-1;0.25;9.75
o;8;36.75;Wieland Timon;;14;55.0;8;36.75;0;0.0;8.5
+;14;45.25;Loup Alexandre;*;18;54.0;13;45.5;-1;0.25;10.0

13j;Zbinden Silvan (2004);;;;;;;;;;55.25
+;;;Perroud Florian;;;;;;;;9.75
o;2;9.75;Hofer Sven;**;7;56.75;5;8.5;3;-1.25;8.5
+;7;18.25;Wieland Timon;;14;55.0;6;18.5;-1;0.25;9.75
-;6;28.0;Borcard Clovis;*;11;55.75;9;27.25;3;-0.75;8.75
o;8;36.75;Hügli Kaj;**;13;55.25;7;37.0;-1;0.25;8.5
+;14;45.25;Germanier Joel;;18;54.0;13;45.5;-1;0.25;10.0

13k;Berger Sascha;;;;;;;;;;55.25
o;;;Collaud Bastien (2005);;;;;;;;8.5
o;5;8.5;Borcard Clovis;*;11;55.75;4;8.75;-1;0.25;8.5
+;11;17.0;Sudan Jonathan;;27;34.25;10;17.25;-1;0.25;10.0
+;10;27.0;Cottier Marco;;17;54.25;10;27.0;0;0.0;9.75
-;8;36.75;Schläfli Hugo;*;17;54.25;13;35.5;5;-1.25;8.75
+;13;45.5;Fankhauser Yanik;;19;53.75;14;45.25;1;-0.25;9.75

13l;Loup Grégoire;;;;;;;;;;55.25
+;;;Berger Alan;;;;;;;;9.75
o;2;9.75;Tornare Paul;*;12;55.5;4;8.75;2;-1.0;8.5
-;7;18.25;Röthlisberger Sven;;23;52.75;6;18.5;-1;0.25;8.75
-;10;27.0;Aeschbacher Ivo;;17;54.25;11;26.75;1;-0.25;8.75
+;12;35.75;Nicolet Bastien (2004);;16;54.5;11;36.0;-1;0.25;9.75
+;13;45.5;Portmann Fabio;*;16;54.5;12;45.75;-1;0.25;9.75

13m;Barras André;*;;;;;;;;;55.25
o;;;Gottofrey Marc;**;;;;;;;8.5
+;5;8.5;Neyroud Geoffrey;;18;54.0;2;9.75;-3;1.25;10.0
o;6;18.5;Moser Steven;**;6;57.0;6;18.5;0;0.0;8.5
+;10;27.0;Fontaine Anthony (2006);;26;36.75;5;28.25;-5;1.25;9.75
-;8;36.75;Monney Branighan;;11;55.75;7;37.0;-1;0.25;8.75
+;13;45.5;Suchet Jonathan (2005);;18;54.0;13;45.5;0;0.0;9.75

13n;Bucher Roman;;;;;;;;;;55.25
+;;;Bapst Ludovic;;;;;;;;10.0
+;1;10.0;Hayoz Paul;*;17;54.25;4;8.75;3;-1.25;9.75
o;2;19.75;Gottofrey Marc;**;7;56.75;6;18.5;4;-1.25;8.5
+;5;28.25;Perret Loïc;;13;55.25;5;28.25;0;0.0;9.75
o;4;38.0;Droxler Jonathan;**;9;56.25;4;38.0;0;0.0;8.5
o;9;46.5;Matthey Mickaël;**;6;57.0;6;47.25;-3;0.75;8.75

14a;Lauber Grégoire;;;;;;;;;;55.0
