4094-2018-04-22_99_Zuger_Kantonales_Schwingfest-ST

1a;Grab Martin;***;;;;;;;;;59.25
8d;Elsener Marcel;;;;;;;;;;56.5
+;;;Bruder Adrian;;;;;;;;9.75
+;2;9.75;Schmidiger Marco;*;16;54.5;4;8.75;2;-1.0;9.75
-;3;19.5;Kennel Stefan;**;9;56.25;6;18.5;3;-1.0;9.0
+;4;28.5;Gisler Noah (2002);;18;54.0;4;28.5;0;0.0;10.0
-;3;38.5;Zurfluh Roman;**;12;55.5;7;37.5;4;-1.0;9.0
-;6;47.5;Zurfluh Michael;*;8;56.5;6;47.5;0;0.0;9.0

8e;Wetzstein Adrian;;;;;;;;;;56.5
+;;;Ulrich Pascal;;;;;;;;9.75
+;2;9.75;Suter Bruno (2002);;13;55.25;1;10.0;-1;0.25;10.0
o;2;19.75;Schuler Philipp;**;7;56.75;5;18.75;3;-1.0;8.5
+;5;28.25;Elmiger Andreas;;12;55.5;5;28.25;0;0.0;9.75
-;5;38.0;Arnold Lukas;;10;56.0;4;38.25;-1;0.25;8.75
+;9;46.75;Niederberger Markus;*;11;55.75;8;47.0;-1;0.25;9.75

8f;Fink Bruno;*;;;;;;;;;56.5
+;;;Schilter Daniel;*;;;;;;;10.0
o;1;10.0;Bieri Marcel;**;3;58.25;4;8.75;3;-1.25;8.5
+;6;18.5;Hürlimann Ueli (2001);;19;53.75;3;19.5;-3;1.0;10.0
+;4;28.5;Ettlin Michael;;16;54.5;4;28.5;0;0.0;9.75
+;4;38.25;Heinzer Ronny;*;14;55.0;7;37.5;3;-0.75;9.75
o;4;48.0;Hurschler Thomas;**;7;56.75;8;47.0;4;-1.0;8.5

9a;Vogel Remo;**;;;;;;;;;56.25
+;;;Langenstein Philip;**;;;;;;;9.75
+;2;9.75;Murer Remo;*;18;54.0;2;9.75;0;0.0;10.0
-;2;19.75;Heinzer Ronny;*;14;55.0;5;18.75;3;-1.0;8.75
-;4;28.5;Reichmuth Lukas (2000);;6;57.0;1;29.75;-3;1.25;9.0
-;7;37.5;Kennel Stefan;**;9;56.25;7;37.5;0;0.0;8.75
+;11;46.25;Betschart Daniel;;16;54.5;12;46.0;1;-0.25;10.0

9b;Arnold Andreas;*;;;;;;;;;56.25
o;;;Bucher Christian;*;;;;;;;8.5
+;5;8.5;Gerber Peter;*;12;55.5;5;8.5;0;0.0;9.75
+;7;18.25;Gut Koni;;14;55.0;5;18.75;-2;0.5;9.75
+;6;28.0;Hürlimann Ueli (2001);;19;53.75;6;28.0;0;0.0;10.0
o;5;38.0;Schurtenberger Sven;***;6;57.0;9;37.0;4;-1.0;8.5
+;10;46.5;Elmiger Matthias;;16;54.5;12;46.0;2;-0.5;9.75

9c;Streiff Dominik;*;;;;;;;;;56.25
+;;;Achermann Christoph;*;;;;;;;10.0
-;1;10.0;Suppiger Werner;**;8;56.5;2;9.75;1;-0.25;8.75
+;5;18.75;Kaufmann Reto (2002);;20;53.25;4;19.0;-1;0.25;10.0
-;3;28.75;Zurfluh Michael;*;8;56.5;4;28.5;1;-0.25;9.0
+;6;37.75;Würsch Lars;;10;56.0;3;38.5;-3;0.75;10.0
o;5;47.75;Fankhauser Erich;***;5;57.25;7;47.25;2;-0.5;8.5

9d;Kennel Stefan;**;;;;;;;;;56.25
-;;;Fessler Linus;**;;;;;;;8.75
+;4;8.75;Rohrer Beat;*;32;26.0;4;8.75;0;0.0;9.75
-;6;18.5;Elsener Marcel;;8;56.5;3;19.5;-3;1.0;9.0
+;8;27.5;Zimmermann Raffael (2000);;15;54.75;8;27.5;0;0.0;10.0
-;7;37.5;Vogel Remo;**;9;56.25;7;37.5;0;0.0;8.75
+;11;46.25;Muff André;*;10;56.0;7;47.25;-4;1.0;10.0

9e;Erb Roger;**;;;;;;;;;56.25
-;;;Linggi Bruno;**;;;;;;;8.75
+;4;8.75;Hurschler Adrian;;16;54.5;1;10.0;-3;1.25;10.0
o;5;18.75;Grab Martin;***;1;59.25;3;19.5;-2;0.75;8.5
+;9;27.25;Thalmann Adrian;;16;54.5;9;27.25;0;0.0;10.0
-;8;37.25;Gwerder Carlo;**;15;54.75;8;37.25;0;0.0;9.0
+;11;46.25;Doppmann Urs;*;10;56.0;7;47.25;-4;1.0;10.0

9f;Fässler Dominic;**;;;;;;;;;56.25
o;;;Bernhard Lukas;*;;;;;;;8.5
-;5;8.5;Langenstein Philip;**;13;55.25;4;8.75;-1;0.25;9.0
-;9;17.5;Steiner Severin (2001);;15;54.75;5;18.75;-4;1.25;8.75
+;13;26.25;Blumenthal Lino (2002);;26;35.5;10;27.0;-3;0.75;10.0
+;12;36.25;Herger Simon;;21;53.0;13;36.0;1;-0.25;10.0
+;11;46.25;Arnold Stefan;**;12;55.5;8;47.0;-3;0.75;10.0

9g;Linggi Bruno;**;;;;;;;;;56.25
-;;;Erb Roger;**;;;;;;;8.75
+;4;8.75;Kammermann Christoph;*;16;54.5;4;8.75;0;0.0;10.0
-;5;18.75;Stucki Christian;;8;56.5;3;19.5;-2;0.75;9.0
+;7;27.75;Durrer Fabian;;23;47.25;3;28.75;-4;1.0;9.75
-;7;37.5;Muff Armin;**;16;54.5;9;37.0;2;-0.5;8.75
+;11;46.25;Gisler Stefan;;12;55.5;14;45.5;3;-0.75;10.0

10a;Muff André;*;;;;;;;;;56.0
-;;;Rohrer Ivan;**;;;;;;;8.75
+;4;8.75;Ming Christian;*;13;55.25;5;8.5;1;-0.25;10.0
o;5;18.75;Inderbitzin Daniel;*;7;56.75;2;19.75;-3;1.0;8.75
+;8;27.5;Bucher Thomas;;10;56.0;4;28.5;-4;1.0;9.75
+;8;37.25;Hürlimann Marco (2002);;19;53.75;10;36.75;2;-0.5;10.0
o;7;47.25;Kennel Stefan;**;9;56.25;11;46.25;4;-1.0;8.75

10b;Doppmann Urs;*;;;;;;;;;56.0
-;;;Kenel Franz-Toni;*;;;;;;;8.75
+;4;8.75;Suter Beat;;15;54.75;2;9.75;-2;1.0;9.75
o;6;18.5;Müllestein Mike;***;2;58.5;5;18.75;-1;0.25;8.75
+;9;27.25;Gut Koni;;14;55.0;9;27.25;0;0.0;10.0
+;8;37.25;Ulrich Marcel;;19;53.75;10;36.75;2;-0.5;10.0
