5354-2022-05-15_97_Schwyzer_Kantonales_Schwing-_und_Aelplerfest-ST

1a;Schuler Alex;***;;;;;;;;;111.25
+;6;8.5;Blättler Ronnie (2004);;29;35.25;3;9.75;-3;1.25;10.0
-;7;18.5;Suter Pirmin;**;11;56.0;6;18.75;-1;0.25;9.0
-;11;27.5;Gander Martin;;12;55.75;8;28.25;-3;0.75;8.75
+;12;36.25;Gasser Dominik 1;;18;54.25;8;37.25;-4;1.0;10.0
+;12;46.25;Suter Beat;*;16;54.75;12;46.25;0;0.0;9.75

11g;Ulrich Michael;*;;;;;;;;;56.0
+;;;Wyrsch Gabriel;;;;;;;;10.0
-;2;10.0;Zemp Christian (2004);*;16;54.75;5;8.75;3;-1.25;9.0
o;5;19.0;Wandeler Roman;*;9;56.5;7;18.5;2;-0.5;8.5
+;11;27.5;Jung Valentin;;18;54.25;12;27.25;1;-0.25;9.75
o;8;37.25;Bucher Roland;*;8;56.75;9;37.0;1;-0.25;8.75
+;13;46.0;Achermann Ueli;;20;53.75;16;45.25;3;-0.75;10.0

11h;Suter Pirmin;**;;;;;;;;;56.0
-;;;Röthlisberger Simon;*;;;;;;;9.0
+;4;9.0;Schmid Joel;;20;53.75;2;10.0;-2;1.0;9.75
-;6;18.75;Stöckli Damian;*;11;56.0;7;18.5;1;-0.25;9.0
+;10;27.75;Arnold Elias (2006);;18;54.25;7;28.5;-3;0.75;9.75
o;7;37.5;Wandeler Roman;*;9;56.5;5;38.0;-2;0.5;8.5
+;13;46.0;von Wyl Simon;;17;54.5;13;46.0;0;0.0;10.0

12a;Huser Christian;;;;;;;;;;55.75
+;;;Gabriel Christian;;;;;;;;10.0
-;2;10.0;Inderbitzin Daniel;*;16;54.75;5;8.75;3;-1.25;8.75
o;6;18.75;Steffen Konrad;*;12;55.75;8;18.25;2;-0.5;8.5
+;12;27.25;Schuler Mike (2006);;28;35.5;13;27.0;1;-0.25;10.0
o;8;37.25;Steiner Severin;;10;56.25;7;37.5;-1;0.25;8.5
+;14;45.75;Gasser Dominik 1;;18;54.25;14;45.75;0;0.0;10.0

12b;Schnellmann Alexander (2004);;;;;;;;;;55.75
+;;;Koller Robin (2006);;;;;;;;10.0
o;2;10.0;Schärli Reto;*;15;55.0;5;8.75;3;-1.25;8.5
