4026-2018-08-12_Schaffhauser_Kantonalschwingfest-ST

1a;Bless Michael;***;;;;;;;;;60.0
+;11;17.0;Inauen Severin (2002);;24;35.25;11;17.0;0;0.0;10.0
o;8;27.0;Wolfer Lukas;*;12;55.25;8;27.0;0;0.0;8.5
o;13;35.5;Inauen Marco;;12;55.25;13;35.5;0;0.0;8.5
o;19;44.0;Brülisauer Dominik (2001);;16;54.25;18;44.25;-1;0.25;8.75

22a;Falch Urs (2001);;;;;;;;;;52.5
o;;;Hobi Ignaz;;;;;;;;8.5
o;5;8.5;Schweingruber Thomas;;17;54.0;4;8.75;-1;0.25;8.5
o;11;17.0;Sprecher Martin (2000);;24;35.25;11;17.0;0;0.0;8.5
+;13;25.5;Oberhänsli Kilian;;26;34.0;13;25.5;0;0.0;10.0
o;13;35.5;Arnold Christian;;18;53.75;13;35.5;0;0.0;8.5
o;19;44.0;Ruppanner Philipp (2000);;17;54.0;19;44.0;0;0.0;8.5

22b;Zemp Stefan (2002);;;;;;;;;;52.5
o;;;Giger Lorenz (2000);;;;;;;;8.5
o;5;8.5;Ruppanner Philipp (2000);;17;54.0;5;8.5;0;0.0;8.5
+;11;17.0;Grob Rachen (2002);;26;34.0;11;17.0;0;0.0;10.0
o;8;27.0;Stadelmann Patrick (2000);;12;55.25;8;27.0;0;0.0;8.5
o;13;35.5;Müller Christian (2001);;17;54.0;13;35.5;0;0.0;8.5
o;19;44.0;Ackermann Roman;;17;54.0;18;44.25;-1;0.25;8.5

22c;Frauenfelder Florian (2001);;;;;;;;;;52.5
o;;;Keller Dominic;;;;;;;;8.5
+;5;8.5;Inauen Severin (2002);;24;35.25;5;8.5;0;0.0;10.0
o;6;18.5;Glauser Thomas;**;14;54.75;6;18.5;0;0.0;8.5
o;8;27.0;Wehrli Jan (2002);;17;54.0;8;27.0;0;0.0;8.5
o;13;35.5;Jörger Corsin;;11;55.5;12;35.75;-1;0.25;8.5
o;19;44.0;Schmid Reto;;16;54.25;18;44.25;-1;0.25;8.5

23a;Mathis Patrick;;;;;;;;;;36.75
o;;;Lanter Christian;;;;;;;;8.5
+;5;8.5;Scherrer Willi;;15;54.5;4;8.75;-1;0.25;9.75
+;7;18.25;Hänni Marc (2001);;12;55.25;6;18.5;-1;0.25;10.0
o;4;28.25;Oettli Marco;*;8;56.25;4;28.25;0;0.0;8.5

24a;Manser Dominik;;;;;;;;;;35.25
+;;;Schmidlin Tobias (2001);;;;;;;;9.75
o;2;9.75;Ochsner Reto (2000);;13;55.0;2;9.75;0;0.0;8.5
o;7;18.25;Schwyn Adrian;*;7;56.5;6;18.5;-1;0.25;8.5
o;9;26.75;Kirchmeier Christof;;19;53.5;9;26.75;0;0.0;8.5

24b;Sprecher Martin (2000);;;;;;;;;;35.25
o;;;Fässler Michael;;;;;;;;8.5
o;5;8.5;Müller Christian (2001);;17;54.0;5;8.5;0;0.0;8.5
+;11;17.0;Falch Urs (2001);;22;52.5;11;17.0;0;0.0;9.75
o;9;26.75;Manser Adrian;;18;53.75;9;26.75;0;0.0;8.5

24c;Gerig Marcel;;;;;;;;;;35.25
o;;;Junker Nik;;;;;;;;8.5
+;5;8.5;Galli Cedric (2001);;14;54.75;5;8.5;0;0.0;9.75
o;7;18.25;Ackermann Remo;*;9;56.0;6;18.5;-1;0.25;8.5
o;9;26.75;Inauen Marco;;12;55.25;12;25.75;3;-1.0;8.5

24d;Baumann Simon;;;;;;;;;;35.25
o;;;Jörger Corsin;;;;;;;;8.5
o;5;8.5;Schmid Reto;;16;54.25;4;8.75;-1;0.25;8.5
o;11;17.0;Ackermann Roman;;17;54.0;10;17.25;-1;0.25;8.5
+;13;25.5;Inauen Aurel;;10;55.75;7;27.25;-6;1.75;9.75

24e;Biser Niklaus;;;;;;;;;;35.25
o;;;Schwyn Patrick;;;;;;;;8.5
o;5;8.5;Schudel Simon;*;5;57.0;5;8.5;0;0.0;8.5
+;11;17.0;Baumann Nico (2002);;24;35.25;7;18.25;-4;1.25;9.75
o;9;26.75;Giger Lorenz (2000);;17;54.0;9;26.75;0;0.0;8.5

24f;Signer Ramon (2002);;;;;;;;;;35.25
o;;;Winzeler Dominik (2000);;;;;;;;8.5
o;5;8.5;Lötscher Abraham (2000);;16;54.25;4;8.75;-1;0.25;8.5
+;11;17.0;Glättli Benny;;25;34.25;10;17.25;-1;0.25;9.75
o;9;26.75;Imhof Gregor (2001);;19;53.5;9;26.75;0;0.0;8.5

24g;Baumann Nico (2002);;;;;;;;;;35.25
+;;;Grob Rachen (2002);;;;;;;;9.75
o;2;9.75;Ritter Fabio (2001);;18;53.75;2;9.75;0;0.0;8.5
o;7;18.25;Biser Niklaus;;24;35.25;11;17.0;4;-1.25;8.5
o;9;26.75;Inauen Severin (2002);;24;35.25;13;25.5;4;-1.25;8.5

24h;Furrer Matthias;;;;;;;;;;35.25
o;;;Zumbach Michael;;;;;;;;8.5
+;5;8.5;Steiner Lukas (2002);;21;52.75;5;8.5;0;0.0;9.75
o;7;18.25;Schlegel Sandro;**;2;57.75;7;18.25;0;0.0;8.5
o;9;26.75;Hobi Ignaz;;12;55.25;9;26.75;0;0.0;8.5

24i;Wild Thomas;;;;;;;;;;35.25
+;;;Glättli Benny;;;;;;;;9.75
o;2;9.75;Jöhl Christian;*;12;55.25;5;8.5;3;-1.25;8.5
o;7;18.25;Fässler Michael;;12;55.25;7;18.25;0;0.0;8.5
o;9;26.75;Galli Cedric (2001);;14;54.75;9;26.75;0;0.0;8.5

24j;Inauen Severin (2002);;;;;;;;;;35.25
o;;;Winzeler Simon (2000);;;;;;;;8.5
o;5;8.5;Frauenfelder Florian (2001);;22;52.5;5;8.5;0;0.0;8.5
o;11;17.0;Steiner Lukas (2002);;21;52.75;11;17.0;0;0.0;8.5
+;13;25.5;Baumann Nico (2002);;24;35.25;9;26.75;-4;1.25;9.75

24k;Bossert Alain (2001);;;;;;;;;;35.25
o;;;Signer Walter;;;;;;;;8.5
o;5;8.5;Bleiker Daniel;;12;55.25;5;8.5;0;0.0;8.5
+;11;17.0;Oberhänsli Kilian;;26;34.0;11;17.0;0;0.0;9.75
o;9;26.75;Schnyder Christian;;17;54.0;8;27.0;-1;0.25;8.5

25a;Glättli Benny;;;;;;;;;;34.25
o;;;Wild Thomas;;;;;;;;8.5
-;5;8.5;Dobler Lorenz (2000);;20;53.0;5;8.5;0;0.0;8.75
o;10;17.25;Signer Ramon (2002);;24;35.25;11;17.0;1;-0.25;8.5
o;12;25.75;Rotach Lars (2000);;15;54.5;11;26.0;-1;0.25;8.5

25b;Rüegger Remo;;;;;;;;;;34.25
o;;;Hänni Marc (2001);;;;;;;;8.5
o;5;8.5;Manser Adrian;;18;53.75;5;8.5;0;0.0;8.5
-;11;17.0;Rotach Lars (2000);;15;54.5;10;17.25;-1;0.25;8.75
o;12;25.75;Arnold Christian;;18;53.75;13;25.5;1;-0.25;8.5

26a;Oberhänsli Kilian;;;;;;;;;;34.0
o;;;Kiener Raphael (2000);;;;;;;;8.5
o;5;8.5;Burkhard Tobias;;12;55.25;5;8.5;0;0.0;8.5
o;11;17.0;Bossert Alain (2001);;24;35.25;11;17.0;0;0.0;8.5
o;13;25.5;Falch Urs (2001);;22;52.5;13;25.5;0;0.0;8.5

26b;Rickenmann Ramon (2001);;;;;;;;;;34.0
o;;;Bürgler Patrick;;;;;;;;8.5
o;5;8.5;Held Simon (2002);;18;53.75;5;8.5;0;0.0;8.5
o;11;17.0;Dobler Lorenz (2000);;20;53.0;10;17.25;-1;0.25;8.5
o;13;25.5;Rust Emanuel;;20;53.0;12;25.75;-1;0.25;8.5

26c;Grob Rachen (2002);;;;;;;;;;34.0
o;;;Baumann Nico (2002);;;;;;;;8.5
o;5;8.5;Sieber Marc (2000);;21;52.75;5;8.5;0;0.0;8.5
o;11;17.0;Zemp Stefan (2002);;22;52.5;11;17.0;0;0.0;8.5
o;13;25.5;Langenegger Beat;;16;54.25;13;25.5;0;0.0;8.5

27a;Zbinden Marc;*;;;;;;;;;17.25
-;;;Kammermann Thomas;*;;;;;;;8.75
o;4;8.75;Kobler Janosch (2000);;13;55.0;2;9.75;-2;1.0;8.5

28a;Bickel Roman;*;;;;;;;;;17.0
o;;;Giger Urs;*;;;;;;;8.5
o;5;8.5;Holenstein Christian;*;10;55.75;4;8.75;-1;0.25;8.5

29a;Knup Stephan;;;;;;;;;;8.5
o;;;Kirchmeier Christof;;;;;;;;8.5

