3338-2018-06-24_Fete_Alpestre_Lac_Noir-Bergschwinget_Schwarzsee2-ST

+;;;Emonet Frédéric;**;;;;;;;9.75
o;2;9.75;Kramer Lario;**;4;57.75;1;10.0;-1;0.25;8.5
+;7;18.25;Lötscher Adrian;*;17;54.0;10;17.25;3;-1.0;9.75
+;7;28.0;Guisolan Marc;**;17;54.0;10;27.25;3;-0.75;10.0
-;5;38.0;Staudenmann Fabian (2000);**;8;56.25;6;37.75;1;-0.25;8.75
o;9;46.75;Bieri Christoph;***;9;56.0;12;46.0;3;-0.75;8.5

12d;Studinger Stephan;**;;;;;;;;;55.25
o;;;Gobeli Patrick;*;;;;;;;8.5
+;5;8.5;Leuenberger Michael;*;13;55.0;1;10.0;-4;1.5;9.75
o;7;18.25;Borcard Johann;**;24;44.5;8;17.75;1;-0.5;8.5
+;12;26.75;Lerch Jimmy;*;25;35.5;11;27.0;-1;0.25;10.0
-;10;36.75;Wittwer Jan;*;17;54.0;10;36.75;0;0.0;8.75
+;14;45.5;Fankhauser Kurt;**;16;54.25;13;45.75;-1;0.25;9.75

13a;Hermann Oliver;*;;;;;;;;;55.0
+;;;Hofer Sven;*;;;;;;;9.75
o;2;9.75;Anderegg Simon;***;3;58.0;4;8.75;2;-1.0;8.5
+;7;18.25;Loup Alexandre;*;28;34.5;10;17.25;3;-1.0;9.75
-;7;28.0;Wittwer Jan;*;17;54.0;7;28.0;0;0.0;8.75
o;10;36.75;Luginbühl Hanspeter;**;9;56.0;7;37.5;-3;0.75;8.5
+;15;45.25;Ramseier Fritz;**;15;54.5;13;45.75;-2;0.5;9.75

13b;Brand Christian;**;;;;;;;;;55.0
+;;;Ducrest Etienne;*;;;;;;;9.75
o;2;9.75;Stucki Christian;***;1;58.5;4;8.75;2;-1.0;8.5
o;7;18.25;Leuenberger Michael;*;13;55.0;6;18.5;-1;0.25;8.5
+;12;26.75;Kramer Dorian;*;27;35.0;13;26.25;1;-0.5;9.75
-;11;36.5;Marti Stefan;**;10;55.75;9;37.0;-2;0.5;8.75
+;15;45.25;Mauron Olivier;*;22;52.5;20;44.0;5;-1.25;9.75

13c;Leuenberger Michael;*;;;;;;;;;55.0
+;;;Dousse Michel;**;;;;;;;10.0
o;1;10.0;Studinger Stephan;**;12;55.25;5;8.5;4;-1.5;8.5
+;6;18.5;Brand Christian;**;13;55.0;7;18.25;1;-0.25;9.75
o;6;28.25;Kramer Lario;**;4;57.75;6;28.25;0;0.0;8.5
o;10;36.75;Widmer Tobias;**;8;56.25;7;37.5;-3;0.75;8.5
+;15;45.25;Lötscher Adrian;*;17;54.0;20;44.0;5;-1.25;9.75

13d;Moser Steven;**;;;;;;;;;55.0
o;;;Mathys Simon;**;;;;;;;8.5
-;5;8.5;Stoll Simon;*;13;55.0;5;8.5;0;0.0;8.75
