5623-2022-06-12_Fete_Cantonale_Vaudoise-ST

1a;Gapany Benjamin;***;;;;;;;;;59.5
o;4;8.5;Tornare Paul;;7;56.75;4;8.5;0;0.0;8.5
+;8;17.0;Massy Louis (2004);;25;51.0;8;17.0;0;0.0;10.0
+;10;27.0;Minder Florian;**;27;43.5;12;26.5;2;-0.5;9.75
+;11;36.75;Barras François;*;12;55.25;11;36.75;0;0.0;9.75
-;9;46.5;Borcard Clovis;*;14;54.75;11;46.0;2;-0.5;8.75

12i;Loup Grégoire;;;;;;;;;;55.25
+;;;Neyroud Geoffrey;;;;;;;;9.75
-;2;9.75;Crettaz Olivier;*;15;54.5;3;8.75;1;-1.0;8.75
+;5;18.5;Wenger Marco;;18;53.75;6;18.25;1;-0.25;9.75
o;6;28.25;Moser Steven;**;3;58.0;7;28.0;1;-0.25;8.5
+;11;36.75;Zbinden Samuel;;14;54.75;12;36.5;1;-0.25;10.0
o;8;46.75;Tschumi Lukas;*;7;56.75;7;47.0;-1;0.25;8.5

12j;Zbinden Dario (2004);*;;;;;;;;;55.25
o;;;Ducry Antoine;**;;;;;;;8.5
+;4;8.5;Capt Stéphane;;19;53.5;2;9.75;-2;1.25;10.0
-;5;18.5;Grossenbacher Simon;*;9;56.0;6;18.25;1;-0.25;9.0
+;8;27.5;Berger Alan;;17;54.0;6;28.25;-2;0.75;10.0
-;8;37.5;Collaud Bastien (2005);;10;55.75;10;37.0;2;-0.5;9.0
-;9;46.5;Loup Alexandre;*;12;55.25;9;46.5;0;0.0;8.75

13a;Monney Branighan;;;;;;;;;;55.0
+;;;Tornare Paul;;;;;;;;9.75
o;2;9.75;Haenni Stéphane;**;10;55.75;3;8.75;1;-1.0;8.5
+;6;18.25;Neuenschwander Levin;;17;54.0;6;18.25;0;0.0;9.75
-;7;28.0;Crettaz Olivier;*;15;54.5;9;27.25;2;-0.75;8.75
o;11;36.75;Tschumi Daniel (2005);;11;55.5;11;36.75;0;0.0;8.5
+;14;45.25;Röthlisberger Sven;;18;53.75;14;45.25;0;0.0;9.75

13b;Sutter Samuel (2005);;;;;;;;;;55.0
o;;;Perret Loïc;;;;;;;;8.5
o;4;8.5;Röthlisberger Sven;;18;53.75;4;8.5;0;0.0;8.5
-;8;17.0;Steiner Pirmin;;20;53.25;7;17.5;-1;0.5;8.75
+;15;25.75;Lopes Semedo Mauro;;22;52.5;16;25.5;1;-0.25;9.75
+;16;35.5;Cottier Marco;;17;54.0;16;35.5;0;0.0;9.75
+;14;45.25;Dupertuis Guillaume;;18;53.75;14;45.25;0;0.0;9.75

13c;Lengen Michael (2005);;;;;;;;;;55.0
+;;;Fèvre Antoine;;;;;;;;9.75
o;2;9.75;Dousse Michel;**;6;57.0;4;8.5;2;-1.25;8.5
o;6;18.25;Z'Rotz Roman;;12;55.25;6;18.25;0;0.0;8.5
o;11;26.75;Zbinden Samuel;;14;54.75;11;26.75;0;0.0;8.5
+;17;35.25;Vindefeldt Michael;;22;52.5;16;35.5;-1;0.25;10.0
+;14;45.25;Jost Colin (2004);;19;53.5;15;45.0;1;-0.25;9.75

