3754-2017-05-14_94_Schwyzer_Kant_Schwing-_und_Aelplerfest-ST

1a;Heinzer Stefan;*;;;;;;;;;111.0
-;17;25.75;Gisler Lukas (2001);;29;34.5;17;25.75;0;0.0;8.75

29c;Auf der Maur Michael (2000);;;;;;;;;;34.5
o;;;Elmiger Matthias;;;;;;;;8.5
-;7;8.5;Bünter Rosche (2000);;27;35.0;7;8.5;0;0.0;9.0
o;11;17.5;Zimmermann Armin;;15;54.5;10;17.75;-1;0.25;8.5
o;16;26.0;Berchtold Kilian (2001);;18;53.75;14;26.75;-2;0.75;8.5

30a;Ulrich Damian (1999);;;;;;;;;;34.25
o;;;Schmid Simon (2000);;;;;;;;8.5
o;7;8.5;Burren Patrick (1999);;13;55.0;7;8.5;0;0.0;8.5
-;13;17.0;Bünter Rosche (2000);;27;35.0;11;17.5;-2;0.5;8.75
o;17;25.75;Spichtig Aldo;;25;35.5;17;25.75;0;0.0;8.5

31a;Inderbitzin Karl;;;;;;;;;;34.0
o;;;Zanini David (2000);;;;;;;;8.5
o;7;8.5;Berchtold Kilian (2001);;18;53.75;7;8.5;0;0.0;8.5
o;13;17.0;Schnider Simon (2001);;25;35.5;13;17.0;0;0.0;8.5
o;18;25.5;Brunner Timon;;26;35.25;18;25.5;0;0.0;8.5

31b;Annen Michael;;;;;;;;;;34.0
o;;;Ming Christian 2;;;;;;;;8.5
o;7;8.5;Zumstein Patrick;;12;55.25;7;8.5;0;0.0;8.5
o;13;17.0;Suter Samuel (1999);;16;54.25;11;17.5;-2;0.5;8.5
o;18;25.5;Strickler Fabio (2001);;26;35.25;18;25.5;0;0.0;8.5

31c;Hediger Kilian (2001);;;;;;;;;;34.0
o;;;Elmiger Andreas;;;;;;;;8.5
o;7;8.5;Wallimann Remo;;12;55.25;7;8.5;0;0.0;8.5
o;13;17.0;Burch Bruno (2000);;25;35.5;13;17.0;0;0.0;8.5
o;18;25.5;Bienz Manuel (1999);;25;35.5;18;25.5;0;0.0;8.5

31d;Müller Patrick (1999);;;;;;;;;;34.0
o;;;Schuler Alex;;;;;;;;8.5
o;7;8.5;Lagler Reto;;25;35.5;7;8.5;0;0.0;8.5
o;13;17.0;Diethelm Samuel;;25;35.5;8;18.5;-5;1.5;8.5
o;18;25.5;Auf der Maur Alex (1999);;25;35.5;18;25.5;0;0.0;8.5

31e;Diethelm Patrick (2001);;;;;;;;;;34.0
o;;;Durrer Markus (1999);;;;;;;;8.5
o;7;8.5;Arnold Fabian;;18;53.75;6;8.75;-1;0.25;8.5
o;13;17.0;Bissig Joris (2001);;25;35.5;13;17.0;0;0.0;8.5
o;18;25.5;Marty Lukas;;22;52.75;17;25.75;-1;0.25;8.5

31f;Zimmermann Lukas (2001);;;;;;;;;;34.0
o;;;Durrer Lukas (1999);;;;;;;;8.5
o;7;8.5;Gisler Jonas (2001);;21;53.0;7;8.5;0;0.0;8.5
o;13;17.0;Kempf Marco (2000);;26;35.25;13;17.0;0;0.0;8.5
o;18;25.5;Bucher André (2001);;21;53.0;17;25.75;-1;0.25;8.5

31g;Gisler Patrick;;;;;;;;;;34.0
o;;;Wiget Ueli (1999);;;;;;;;8.5
o;7;8.5;Forster Christian;;17;54.0;7;8.5;0;0.0;8.5
o;13;17.0;Annen Adrian;;25;35.5;13;17.0;0;0.0;8.5
o;18;25.5;Reichmuth Jonas (2001);;26;35.25;18;25.5;0;0.0;8.5

32a;Zimmermann Daniel;*;;;;;;;;;27.25
-;;;Felder Seppi;*;;;;;;;8.75
o;6;8.75;Gmür Pirmin;*;12;55.25;6;8.75;0;0.0;8.5
+;12;17.25;Berchtold Kilian (2001);;18;53.75;9;18.25;-3;1.0;10.0

33a;Herger Simon;;;;;;;;;;8.75
-;;;Suter Samuel (1999);;;;;;;;8.75

