3754-2017-05-14_94_Schwyzer_Kant_Schwing-_und_Aelplerfest-ST

1a;Heinzer Stefan;*;;;;;;;;;111.0
-;7;47.25;Linggi Bruno;**;11;55.5;10;46.5;3;-0.75;8.75

10a;Bernet Christoph;*;;;;;;;;;55.75
-;;;Bürgler Lukas;*;;;;;;;8.75
o;6;8.75;Widmer Tobias;**;6;56.75;7;8.5;1;-0.25;8.5
+;12;17.25;Bissig Fabian;;16;54.25;8;18.5;-4;1.25;10.0
+;12;27.25;Durrer Lukas (1999);;19;53.5;9;28.0;-3;0.75;10.0
+;9;37.25;Arnold Marcel;*;11;55.5;10;37.0;1;-0.25;10.0
o;7;47.25;Nötzli Reto;***;5;57.0;7;47.25;0;0.0;8.5

10b;Della Torre Simon;;;;;;;;;;55.75
+;;;Ulrich Pascal (1999);;;;;;;;10.0
o;3;10.0;Kenel Franz-Toni;*;11;55.5;7;8.5;4;-1.5;8.5
+;8;18.5;Wiget Ueli (1999);;25;35.5;8;18.5;0;0.0;10.0
o;7;28.5;Imboden Roger;**;8;56.25;10;27.75;3;-0.75;8.5
-;10;37.0;Beffa Mario;;14;54.75;11;36.75;1;-0.25;8.75
+;13;45.75;Gisler Mario (2000);;19;53.5;16;45.0;3;-0.75;10.0

10c;Inderbitzin Daniel;*;;;;;;;;;55.75
+;;;Amgarten Roman;*;;;;;;;9.75
o;4;9.75;Mathis Marcel;***;12;55.25;7;8.5;3;-1.25;8.5
+;9;18.25;Zanini David (2000);;21;53.0;8;18.5;-1;0.25;10.0
+;8;28.25;Schmid Simon (2000);;10;55.75;7;28.5;-1;0.25;10.0
-;5;38.25;Arnold Andreas;*;6;56.75;6;38.0;1;-0.25;8.75
o;8;47.0;Briker Michael;*;8;56.25;10;46.5;2;-0.5;8.75

10d;Gloggner Reto;**;;;;;;;;;55.75
-;;;Nötzli Bruno;***;;;;;;;8.75
+;6;8.75;Gwerder Carlo;**;9;56.0;6;8.75;0;0.0;10.0
+;7;18.75;Betschart Marcel;;13;55.0;4;19.75;-3;1.0;9.75
o;7;28.5;Grab Martin;***;9;56.0;8;28.25;1;-0.25;8.5
+;10;37.0;Ming Christian 2;;16;54.25;9;37.25;-1;0.25;10.0
o;8;47.0;Kennel Stefan;**;5;57.0;7;47.25;-1;0.25;8.75

10e;Heinzer Ronny;*;;;;;;;;;55.75
-;;;Odermatt Andreas;*;;;;;;;8.75
+;6;8.75;Bucher Thomas;;11;55.5;3;10.0;-3;1.25;10.0
+;7;18.75;Gander Martin;;18;53.75;5;19.5;-2;0.75;9.75
o;7;28.5;Nötzli Bruno;***;8;56.25;10;27.75;3;-0.75;8.5
-;10;37.0;Zurﬂuh Michael (1999);*;11;55.5;10;37.0;0;0.0;8.75
+;13;45.75;Thierstein Marco;;16;54.25;13;45.75;0;0.0;10.0

10f;Bieri Christian;**;;;;;;;;;55.75
-;;;Blaser Theo;*;;;;;;;8.75
+;6;8.75;Heinzer Josef;;12;55.25;3;10.0;-3;1.25;10.0
o;7;18.75;Nötzli Reto;***;5;57.0;8;18.5;1;-0.25;8.5
+;12;27.25;Wyss Sven (2001);;18;53.75;9;28.0;-3;0.75;9.75
+;10;37.0;Schöpfer Dio;**;16;54.25;11;36.75;1;-0.25;9.75
-;9;46.75;Bernhard Lukas;*;11;55.5;10;46.5;1;-0.25;9.0

10g;Vonlaufen Alexander;**;;;;;;;;;55.75
-;;;Hasler Florian;**;;;;;;;8.75
+;6;8.75;Schöpfer Dio;**;16;54.25;3;10.0;-3;1.25;10.0
+;7;18.75;Bürgler André;*;13;55.0;6;19.0;-1;0.25;9.75
o;7;28.5;Suter David;**;8;56.25;7;28.5;0;0.0;8.5
+;10;37.0;Lüthy Ralph;;11;55.5;10;37.0;0;0.0;10.0
-;8;47.0;Gwerder Christian;**;12;55.25;10;46.5;2;-0.5;8.75

10h;Eﬃnger Markus;*;;;;;;;;;55.75
+;;;Hügli Kaj;*;;;;;;;9.75
-;4;9.75;Wyrsch Marco;*;13;55.0;6;8.75;2;-1.0;8.75
+;8;18.5;Rüttimann Daniel;;15;54.5;7;18.75;-1;0.25;10.0
o;7;28.5;Bieri Marcel;**;5;57.0;11;27.5;4;-1.0;8.5
-;10;37.0;Bissig Fabian;;16;54.25;10;37.0;0;0.0;9.0
+;12;46.0;Rüttimann Daniel;;15;54.5;12;46.0;0;0.0;9.75

10i;Schmid Simon (2000);;;;;;;;;;55.75
+;;;Ulrich Damian (1999);;;;;;;;10.0
-;3;10.0;Bürgler Lukas;*;14;54.75;6;8.75;3;-1.25;8.75
+;7;18.75;Bucher Thomas;;11;55.5;7;18.75;0;0.0;9.75
o;7;28.5;Inderbitzin Daniel;*;10;55.75;8;28.25;1;-0.25;8.5
-;10;37.0;Kenel Franz-Toni;*;11;55.5;11;36.75;1;-0.25;8.75
+;13;45.75;Kempf Damian;;15;54.5;12;46.0;-1;0.25;10.0

10j;Martin Robin;*;;;;;;;;;55.75
-;;;Hegner Ueli (1999);*;;;;;;;8.75
o;6;8.75;Steinauer Adrian;**;8;56.25;4;9.75;-2;1.0;8.5
+;12;17.25;Birchler Fabian (2000);;16;54.25;8;18.5;-4;1.25;10.0
-;12;27.25;Imfeld Beat;;14;54.75;11;27.5;-1;0.25;8.75
+;14;36.0;Suter Raphael (2000);;22;52.75;15;35.75;1;-0.25;10.0
+;12;46.0;Gwerder Andreas;*;16;54.25;13;45.75;1;-0.25;9.75

10k;Rohrer Ivan;**;;;;;;;;;55.75
+;;;Fässler Cornel;*;;;;;;;10.0
o;3;10.0;Müllestein Mike;***;6;56.75;3;10.0;0;0.0;8.5
-;8;18.5;Betschart Patrick (1999);;9;56.0;4;19.75;-4;1.25;8.75
+;12;27.25;Heiniger Luca;;19;53.5;9;28.0;-3;0.75;9.75
+;10;37.0;Scheuber Stefan;;17;54.0;10;37.0;0;0.0;10.0
