5234-2021-09-19_Fete_Cantonale_Vaudoise-ST

1a;Sempach Thomas;***;;;;;;;;;58.5
-;4;28.25;Zbinden Dario (2004);;7;56.25;3;28.5;-1;0.25;9.0
-;7;37.25;Balimann Fabian;;9;55.75;8;37.0;1;-0.25;8.75
-;11;46.0;Loup Grégoire;;8;56.0;7;47.0;-4;1.0;9.0

12e;Suchet Jonathan (2005);;;;;;;;;;55.0
+;;;Jeannin Jess;;;;;;;;9.75
o;2;9.75;Dorsaz Théo;*;9;55.75;4;8.75;2;-1.0;8.5
+;5;18.25;Merz Sascha;;14;54.5;5;18.25;0;0.0;9.75
o;5;28.0;Hofer Sven;**;4;57.0;8;27.25;3;-0.75;8.5
o;10;36.5;Riebli Leon (2003);;12;55.0;10;36.5;0;0.0;8.5
+;15;45.0;Berger Alan;;20;53.0;16;44.5;1;-0.5;10.0

12f;Riebli Leon (2003);;;;;;;;;;55.0
+;;;Hochuli Samuel;;;;;;;;10.0
o;1;10.0;Hofer Sven;**;4;57.0;4;8.75;3;-1.25;8.5
-;4;18.5;Collaud Bastien (2005);;10;55.5;4;18.5;0;0.0;9.0
-;7;27.5;Monney Branighan;;13;54.75;8;27.25;1;-0.25;9.0
+;10;36.5;Suchet Jonathan (2005);;12;55.0;10;36.5;0;0.0;10.0
o;9;46.5;Baeriswyl Christoph;**;6;56.5;8;46.75;-1;0.25;8.5

13a;Monney Branighan;;;;;;;;;;54.75
-;;;Wieland Micha;;;;;;;;9.0
+;3;9.0;Lauber Grégoire;;20;53.0;4;8.75;1;-0.25;9.75
o;3;18.75;Gerber Ueli;*;10;55.5;4;18.5;1;-0.25;8.5
-;8;27.25;Riebli Leon (2003);;12;55.0;7;27.5;-1;0.25;9.0
+;11;36.25;Jacot Ismaël;;16;54.0;9;36.75;-2;0.5;9.75
-;11;46.0;Giroud Jonathan;**;16;54.0;14;45.25;3;-0.75;8.75

13b;Heim Michael;;;;;;;;;;54.75
+;;;Bapst Ludovic;;;;;;;;10.0
o;1;10.0;Sturny Nicolas;**;11;55.25;5;8.5;4;-1.5;8.5
-;4;18.5;Zbinden Dario (2004);;7;56.25;1;19.75;-3;1.25;9.0
-;7;27.5;Dorsaz Théo;*;9;55.75;7;27.5;0;0.0;8.75
+;11;36.25;Berger Alan;;20;53.0;12;36.0;1;-0.25;10.0
o;10;46.25;Loup Alexandre;*;9;55.75;11;46.0;1;-0.25;8.5

13c;Perret Axel (2003);;;;;;;;;;54.75
+;;;Girard Simon (2004);;;;;;;;9.75
+;2;9.75;Merz Sascha;;14;54.5;2;9.75;0;0.0;9.75
o;2;19.5;Rapin Florent;*;11;55.25;5;18.25;3;-1.25;8.5
o;5;28.0;Wieland Janis;*;6;56.5;5;28.0;0;0.0;8.5
+;10;36.5;Leuenberger Gian (2005);;13;54.75;10;36.5;0;0.0;9.75
o;10;46.25;Dorsaz Théo;*;9;55.75;11;46.0;1;-0.25;8.5

13d;Martin Gaël (2004);;;;;;;;;;54.75
+;;;Fankhauser Yanik;;;;;;;;10.0
o;1;10.0;Kramer Dorian;**;7;56.25;5;8.5;4;-1.5;8.75
+;3;18.75;Deschenaux Martin (2004);;17;53.75;4;18.5;1;-0.25;10.0
o;2;28.75;Balimann Sandro;*;5;56.75;1;29.75;-1;1.0;8.5
-;7;37.25;Vaucher Rémy;;9;55.75;8;37.0;1;-0.25;9.0
o;10;46.25;Hayoz Quentin;*;9;55.75;11;46.0;1;-0.25;8.5

13e;Leuenberger Gian (2005);;;;;;;;;;54.75
+;;;Berger Alan;;;;;;;;9.75
o;2;9.75;Baeriswyl Christoph;**;6;56.5;1;10.0;-1;0.25;8.5
+;5;18.25;Jeannin Jess;;14;54.5;5;18.25;0;0.0;9.75
o;5;28.0;Dufey Gil;*;11;55.25;8;27.25;3;-0.75;8.5
o;10;36.5;Perret Axel (2003);;13;54.75;10;36.5;0;0.0;8.5
+;15;45.0;Beuchat Bastien;;18;53.5;15;45.0;0;0.0;9.75

14a;Jeannin Jess;;;;;;;;;;54.5
o;;;Suchet Jonathan (2005);;;;;;;;8.5
+;5;8.5;Perroud Florian;;23;52.25;5;8.5;0;0.0;9.75
o;5;18.25;Leuenberger Gian (2005);;13;54.75;5;18.25;0;0.0;8.5
-;10;26.75;Rey Arnaud (2003);;19;53.25;10;26.75;0;0.0;9.0
-;13;35.75;Fankhauser Yanik;;15;54.25;14;35.5;1;-0.25;8.75
+;16;44.5;Crettaz Julien;;20;53.0;16;44.5;0;0.0;10.0

14b;Merz Sascha;;;;;;;;;;54.5
+;;;Gaudard Jeremy;;;;;;;;9.75
o;2;9.75;Perret Axel (2003);;13;54.75;2;9.75;0;0.0;8.5
o;5;18.25;Suchet Jonathan (2005);;12;55.0;5;18.25;0;0.0;8.5
-;10;26.75;Crettaz Julien;;20;53.0;12;25.75;2;-1.0;9.0
-;13;35.75;Begg Colin;;15;54.25;14;35.5;1;-0.25;8.75
+;16;44.5;Berger Dilan;;21;52.75;17;44.25;1;-0.25;10.0

15a;Begg Colin;;;;;;;;;;54.25
-;;;Panchaud Noé (2004);;;;;;;;8.75
+;4;8.75;Girard Simon (2004);;21;52.75;5;8.5;1;-0.25;9.75
o;4;18.5;Chofflon Anthony;;11;55.25;4;18.5;0;0.0;8.5
o;9;27.0;Fankhauser Hans;*;12;55.0;10;26.75;1;-0.25;8.5
-;14;35.5;Merz Sascha;;14;54.5;13;35.75;-1;0.25;8.75
+;17;44.25;Buchs Simon (2004);;23;52.25;19;43.75;2;-0.5;10.0

15b;Fankhauser Yanik;;;;;;;;;;54.25
o;;;Martin Gaël (2004);;;;;;;;8.5
o;5;8.5;Berger Dilan;;21;52.75;5;8.5;0;0.0;8.5
+;9;17.0;Amstutz Aymeric (2004);;17;53.75;9;17.0;0;0.0;10.0
