3310-2016-05-29_102_StGaller_Kantonalschwingfest-ST

1a;Clopath Beat;***;;;;;;;;;58.25
-;11;26.25;Schönenberger Björn;;15;54.5;8;27.25;-3;1.0;8.75

26a;Roth Michael (1999);;;;;;;;;;34.75
o;;;Ott Damian (2000);;;;;;;;8.5
-;5;8.5;Tischhauser Markus (2000);;23;35.5;5;8.5;0;0.0;8.75
-;10;17.25;Baumgartner Joël;;26;34.75;10;17.25;0;0.0;9.0
o;11;26.25;Müller Elias;;16;54.25;12;26.0;1;-0.25;8.5

26b;Baumgartner Joël;;;;;;;;;;34.75
-;;;Stüble Lukas (1998);;;;;;;;8.75
o;4;8.75;Wetter Silvan (2000);;17;54.0;4;8.75;0;0.0;8.5
-;10;17.25;Roth Michael (1999);;26;34.75;10;17.25;0;0.0;8.75
o;12;26.0;Winzeler Simon (2000);;23;35.5;14;25.5;2;-0.5;8.75

27a;Stüble Lukas (1998);;;;;;;;;;34.5
-;;;Baumgartner Joël;;;;;;;;8.75
o;4;8.75;Wildhaber Jannik (1999);;23;35.5;4;8.75;0;0.0;8.5
o;10;17.25;Zahner Stefan;;17;54.0;10;17.25;0;0.0;8.5
o;13;25.75;Roth Markus;;22;52.75;12;26.0;-1;0.25;8.75

27b;Müller Loris (1999);;;;;;;;;;34.5
o;;;Bommer Christoph;;;;;;;;8.5
-;5;8.5;Eisenring Daniel;;16;54.25;5;8.5;0;0.0;9.0
o;9;17.5;Keller Lukas;;18;53.75;9;17.5;0;0.0;8.5
o;12;26.0;Schmid Sascha (1999);;19;53.5;10;26.75;-2;0.75;8.5

27c;Ott Dominik;*;;;;;;;;;34.5
o;;;Pfister Florian;*;;;;;;;8.5
-;5;8.5;Truniger Manuel;;6;56.75;1;10.0;-4;1.5;8.75
-;10;17.25;Bänziger Peter;;14;54.75;6;18.5;-4;1.25;8.75
o;12;26.0;Büsser Remo;;14;54.75;7;27.5;-5;1.5;8.5

28a;Gschwend Walter;*;;;;;;;;;34.25
-;;;Rütsche Stefan;*;;;;;;;8.75
o;4;8.75;Räbsamen Marcel (2000);;11;55.5;2;9.75;-2;1.0;8.5
o;10;17.25;Raymann David;;8;56.25;6;18.5;-4;1.25;8.5
o;13;25.75;Fuster Sepp;;17;54.0;9;27.0;-4;1.25;8.5

28b;Eicher Marco (1999);;;;;;;;;;34.25
o;;;Sonderegger Damian;;;;;;;;8.5
o;5;8.5;Thoma Nils (1999);;24;35.25;5;8.5;0;0.0;8.5
o;11;17.0;Baumann Elia (2000);;23;35.5;11;17.0;0;0.0;8.5
o;14;25.5;Streule Marco;;22;52.75;13;25.75;-1;0.25;8.75

29a;Signer Christian (1999);;;;;;;;;;34.0
o;;;Beck Dominik;;;;;;;;8.5
o;5;8.5;Frei Kilian (2000);;23;35.5;5;8.5;0;0.0;8.5
o;11;17.0;Oppliger Matthias (1999);;23;35.5;10;17.25;-1;0.25;8.5
o;14;25.5;Kamm Kurt;;23;35.5;14;25.5;0;0.0;8.5

29b;Dobler Lorenz (2000);;;;;;;;;;34.0
o;;;Schwyn Patrick (1999);;;;;;;;8.5
o;5;8.5;Bärtsch Fabian (2000);;13;55.0;5;8.5;0;0.0;8.5
o;11;17.0;Eisenring Daniel;;16;54.25;9;17.5;-2;0.5;8.5
o;14;25.5;Dudli Gallus;;23;35.5;13;25.75;-1;0.25;8.5

29c;Raymann Jan (1999);;;;;;;;;;34.0
o;;;Räbsamen Marcel (2000);;;;;;;;8.5
o;5;8.5;Harder Benj;;12;55.25;5;8.5;0;0.0;8.5
o;11;17.0;Roth Peter (1998);;16;54.25;11;17.0;0;0.0;8.5
o;14;25.5;Egli Martin;;13;55.0;9;27.0;-5;1.5;8.5

29d;Wenger Dominic (1999);;;;;;;;;;34.0
o;;;Moser Andrin (2000);;;;;;;;8.5
o;5;8.5;Schlegel Sämi (2000);;21;53.0;5;8.5;0;0.0;8.5
o;11;17.0;Ochsner Reto (2000);;17;54.0;11;17.0;0;0.0;8.5
o;14;25.5;Winzeler Dominik (2000);;23;35.5;14;25.5;0;0.0;8.5

30a;Kuster Thomas;*;;;;;;;;;27.0
o;;;Schlegel Reto;*;;;;;;;8.5
-;5;8.5;Pfiffner Ivo;;10;55.75;2;9.75;-3;1.25;8.75
+;10;17.25;Rotach Lars (2000);;23;35.5;6;18.5;-4;1.25;9.75

31a;Büchler Remo;**;;;;;;;;;8.75
o;;;Roth Martin;*;;;;;;;8.75

32a;Litscher Manuel;*;;;;;;;;;8.5
o;;;Sprecher Sandro;*;;;;;;;8.5

32b;Egli Patrick;;;;;;;;;;8.5
o;;;Lozza Roman;;;;;;;;8.5

