3310-2016-05-29_102_StGaller_Kantonalschwingfest-ST

1a;Clopath Beat;***;;;;;;;;;58.25
+;9;36.75;Straub Robin;*;20;53.25;12;36.0;3;-0.75;9.75
+;8;46.5;Schiess Christian;;12;55.25;7;46.75;-1;0.25;9.75

8b;Bösch Daniel;***;;;;;;;;;56.25
o;;;Giger Samuel (1998);**;;;;;;;8.5
+;5;8.5;Fejzaj Naim;*;11;55.5;1;10.0;-4;1.5;10.0
+;6;18.5;Bühler Hannes;*;12;55.25;3;19.5;-3;1.0;9.75
+;4;28.25;Zwyssig Raphael;***;5;57.0;3;28.5;-1;0.25;9.75
o;4;38.0;Orlik Armon;**;4;57.25;2;38.5;-2;0.5;8.5
+;8;46.5;Brühlmann Martin;*;12;55.25;7;46.75;-1;0.25;9.75

8c;Oertig Dominik;*;;;;;;;;;56.25
o;;;Fässler Andreas;**;;;;;;;8.5
+;5;8.5;Schönenberger Björn;;15;54.5;1;10.0;-4;1.5;9.75
+;7;18.25;Hengartner Ivo;;11;55.5;5;18.75;-2;0.5;10.0
