3339-2019-06-23_Fete_alpestre_Lac_Noir-Bergschwinget_Schwarzsee-ST

1a;Aeschbacher Matthias;**;;;;;;;;;58.75
+;11;27.0;Duplan Steve;**;16;54.25;11;27.0;0;0.0;10.0
-;9;37.0;Luginbühl Hanspeter;**;8;56.25;7;37.5;-2;0.5;8.75
-;12;45.75;Gottofrey Marc;**;14;54.75;12;45.75;0;0.0;9.0

15a;Schneider Domenic;***;;;;;;;;;54.5
-;;;Wenger Kilian;***;;;;;;;8.75
-;4;8.75;Studer Stefan;**;15;54.5;2;9.75;-2;1.0;9.0
+;8;17.75;Rapin Florent;*;16;54.25;10;17.25;2;-0.5;9.75
o;9;27.5;Gobeli Patrick;**;5;57.0;5;28.5;-4;1.0;8.75
+;12;36.25;Kämpf Alexander;**;11;55.5;9;37.0;-3;0.75;9.75
o;11;46.0;Rolli Martin;**;8;56.25;9;46.5;-2;0.5;8.5

15b;Geisser Lars;**;;;;;;;;;54.5
o;;;Gerber Christian;**;;;;;;;8.5
+;5;8.5;Kramer Dorian;*;21;52.75;5;8.5;0;0.0;10.0
-;6;18.5;Kämpf Alexander;**;11;55.5;6;18.5;0;0.0;8.75
+;10;27.25;Mollet Ivan;*;17;54.0;11;27.0;1;-0.25;10.0
o;8;37.25;Wenger Kilian;***;7;56.5;7;37.5;-1;0.25;8.5
-;12;45.75;Piemontesi Pascal;**;18;53.75;15;45.0;3;-0.75;8.75

15c;Studer Stefan;**;;;;;;;;;54.5
+;;;Hayoz Quentin;*;;;;;;;9.75
-;2;9.75;Schneider Domenic;***;15;54.5;4;8.75;2;-1.0;8.75
-;6;18.5;Minder Florian;**;20;53.25;6;18.5;0;0.0;9.0
o;9;27.5;Brodard Augustin;**;12;55.25;10;27.25;1;-0.25;8.5
o;13;36.0;Mollet Ivan;*;17;54.0;15;35.5;2;-0.5;8.5
+;17;44.5;Lerch Jimmy;*;22;52.5;19;44.0;2;-0.5;10.0

15d;Rychen Roger;***;;;;;;;;;54.5
+;;;Käser Remo;***;;;;;;;9.75
-;2;9.75;Gerber Christian;**;11;55.5;2;9.75;0;0.0;8.75
+;6;18.5;Weyermann Florian;*;6;56.75;1;20.0;-5;1.5;9.75
-;6;28.25;Luginbühl Hanspeter;**;8;56.25;4;28.75;-2;0.5;8.75
