5192-2021-06-27_Glarner-Buendner_Kantonalschwingfest-ST

1a;Schneider Domenic;***;;;;;;;;;58.25
+;10;27.0;Brülisauer Thomas (2003);;20;53.0;11;26.75;1;-0.25;9.75
o;8;36.75;Jud Pirmin;*;23;45.75;12;35.75;4;-1.0;8.5
+;12;45.25;Tremp Ruedi (2003);;16;54.0;11;45.5;-1;0.25;10.0

11g;Fejzaj Naim;**;;;;;;;;;55.25
o;;;Dändliker Shane;**;;;;;;;8.5
+;5;8.5;Lusti Remo;;17;53.75;2;9.75;-3;1.25;10.0
o;5;18.5;Riget Florian;*;6;56.5;5;18.5;0;0.0;8.75
+;9;27.25;Bleiker Ueli (2004);;13;54.75;6;28.0;-3;0.75;9.75
o;7;37.0;Notz Beni;***;9;55.75;7;37.0;0;0.0;8.5
+;11;45.5;Stadelmann Patrick;;16;54.0;11;45.5;0;0.0;9.75

11h;Zumbach Michael;;;;;;;;;;55.25
-;;;Ackermann Rico (2003);;;;;;;;8.75
+;4;8.75;Hollenstein Mathias;;26;34.5;5;8.5;1;-0.25;9.75
o;5;18.5;Castelli Fabio;;11;55.25;5;18.5;0;0.0;8.5
o;10;27.0;Gartmann Mauro;**;6;56.5;10;27.0;0;0.0;8.5
+;13;35.5;Rust Emanuel;;16;54.0;13;35.5;0;0.0;10.0
+;11;45.5;Sprecher Martin;;16;54.0;11;45.5;0;0.0;9.75

11i;Bernold Edi;**;;;;;;;;;55.25
-;;;Nägeli Marco;**;;;;;;;9.0
o;3;9.0;Steiner Michael;**;8;56.0;3;9.0;0;0.0;8.5
+;8;17.5;Krähenbühl Lukas;*;12;55.0;5;18.5;-3;1.0;9.75
+;9;27.25;Giger Florian;;15;54.25;4;28.5;-5;1.25;9.75
+;7;37.0;Joos Enrico (2003);;11;55.25;3;38.0;-4;1.0;9.75
o;6;46.75;Herger Matthias;**;6;56.5;6;46.75;0;0.0;8.5

11j;Odermatt Gian Maria (2004);*;;;;;;;;;55.25
o;;;Pianta Christian;*;;;;;;;8.5
+;5;8.5;Horner Sämi;;14;54.5;2;9.75;-3;1.25;10.0
+;5;18.5;Wüthrich Hans;;12;55.0;6;18.25;1;-0.25;10.0
+;4;28.5;Laager Michael;;9;55.75;4;28.5;0;0.0;9.75
o;2;38.25;Biäsch Christian;*;2;57.5;4;37.75;2;-0.5;8.5
o;6;46.75;Gartmann Mauro;**;6;56.5;7;46.5;1;-0.25;8.5

11k;Nägeli Marco;**;;;;;;;;;55.25
-;;;Bernold Edi;**;;;;;;;9.0
+;3;9.0;Inauen Ivo;;25;35.25;2;9.75;-1;0.75;10.0
+;3;19.0;Schegg Daniel;;13;54.75;2;19.5;-1;0.5;10.0
-;2;29.0;Imhof Andi;***;5;56.75;5;28.25;3;-0.75;8.75
-;4;37.75;Poltera Andrin;*;10;55.5;5;37.5;1;-0.25;9.0
o;6;46.75;Gmür Pirmin;**;5;56.75;5;47.0;-1;0.25;8.5

11l;Gosswiler Livio;*;;;;;;;;;55.25
o;;;Keller Manuel;*;;;;;;;8.5
o;5;8.5;Schegg Daniel;;13;54.75;2;9.75;-3;1.25;8.5
+;10;17.0;Brülisauer Thomas (2003);;20;53.0;6;18.25;-4;1.25;10.0
