3506-2016-05-05_Baselstaedtischer_Schwingertag-ST

1a;Wenger Kilian;***;;;;;;;;;59.5
o;10;17.25;Burkhardt Roy;;17;53.75;11;17.0;1;-0.25;8.5
-;14;25.75;Seiser Kay (2000);;25;34.25;15;25.5;1;-0.25;8.75

24b;Krebs Clemens;;;;;;;;;;34.5
-;;;Widmer Simon;;;;;;;;8.75
o;4;8.75;Bearda Samuel;;11;55.25;2;9.75;-2;1.0;8.5
o;10;17.25;Gabathuler Björn (1998);;11;55.25;6;18.5;-4;1.25;8.5
o;14;25.75;Stoll Thomas (1998);;15;54.25;13;26.0;-1;0.25;8.75

24c;Bruder Adrian;;;;;;;;;;34.5
-;;;Burren Patrick (1999);;;;;;;;8.75
o;4;8.75;Jusufi Ilber;;15;54.25;4;8.75;0;0.0;8.5
o;10;17.25;Probst Stefan;;19;53.25;10;17.25;0;0.0;8.5
-;14;25.75;Widmer Simon;;23;35.0;12;26.25;-2;0.5;8.75

25a;Imobersteg Tobias (1998);;;;;;;;;;34.25
o;;;Seiler Thomas;;;;;;;;8.5
o;5;8.5;Siegrist Christian;;12;55.0;5;8.5;0;0.0;8.5
-;11;17.0;Widmer Simon;;23;35.0;10;17.25;-1;0.25;8.75
o;14;25.75;Müller Simon;;15;54.25;13;26.0;-1;0.25;8.5

25b;Burtschi Michael;;;;;;;;;;34.25
o;;;Döbeli Lukas (2000);;;;;;;;8.5
o;5;8.5;Aerni Lars;;18;53.5;4;8.75;-1;0.25;8.5
-;11;17.0;Stoll Thomas (1998);;15;54.25;10;17.25;-1;0.25;8.75
o;14;25.75;Bieli Andreas;;16;54.0;13;26.0;-1;0.25;8.5

25c;Seiser Kay (2000);;;;;;;;;;34.25
o;;;Schmutz Simon (2000);;;;;;;;8.5
o;5;8.5;Büttler Adrian (1999);;15;54.25;5;8.5;0;0.0;8.5
o;11;17.0;Kaspar Jan (1999);;21;35.5;10;17.25;-1;0.25;8.5
-;15;25.5;Körkel Yannik;;24;34.5;14;25.75;-1;0.25;8.75

26a;Tschan Raphael (2000);;;;;;;;;;34.0
o;;;Rüegger Aaron (1999);;;;;;;;8.5
o;5;8.5;Schär Jonas (1999);;12;55.0;5;8.5;0;0.0;8.5
o;11;17.0;Loosli Adrian;;17;53.75;7;18.25;-4;1.25;8.5
o;15;25.5;Abt Robin;;21;35.5;14;25.75;-1;0.25;8.5

26b;Regenass Reto (2000);;;;;;;;;;34.0
o;;;Hitz Florian (1999);;;;;;;;8.5
o;5;8.5;Steger Robert (1998);;19;53.25;5;8.5;0;0.0;8.5
o;11;17.0;Reinhard Reto (1999);;21;35.5;11;17.0;0;0.0;8.5
o;15;25.5;Müller Jan (1998);;21;35.5;15;25.5;0;0.0;8.5

26c;Wyss Cyrill;;;;;;;;;;34.0
o;;;Lehmann Robin (1999);;;;;;;;8.5
o;5;8.5;Aeschlimann Fabian (1999);;21;35.5;5;8.5;0;0.0;8.5
o;11;17.0;Burren Patrick (1999);;15;54.25;10;17.25;-1;0.25;8.5
o;15;25.5;Stoll Thomas (1998);;15;54.25;13;26.0;-2;0.5;8.5

27a;Mohler Fernando;;;;;;;;;;17.0
o;;;Müller Christian (1998);;;;;;;;8.5
o;5;8.5;Loosli Adrian;;17;53.75;5;8.5;0;0.0;8.5

28a;François Cederic;;;;;;;;;;8.5
o;;;Studer Remo;;;;;;;;8.5

