3005-2021-08-08_Bernisch-Kantonales_Schwingfest-ST

+;4;8.75;Nägeli Daniel;*;10;55.5;2;9.75;-2;1.0;10.0
o;5;18.75;von Büren Stephan;**;13;54.75;7;18.25;2;-0.5;8.75
+;9;27.5;De Fusco Dario;*;13;54.75;7;28.0;-2;0.5;10.0
-;7;37.5;Bieri Marcel;***;13;54.75;8;37.25;1;-0.25;8.75
+;9;46.25;Kämpf Nicolas;;12;55.0;8;46.5;-1;0.25;10.0

7c;Anderegg Simon;***;;;;;;;;;56.25
+;;;Hügli Kaj;**;;;;;;;9.75
o;2;9.75;Burger Matthieu;*;6;56.5;2;9.75;0;0.0;8.5
+;7;18.25;Blaser Roman;*;16;54.0;6;18.5;-1;0.25;9.75
+;7;28.0;Steffen Konrad;*;11;55.25;6;28.25;-1;0.25;9.75
-;6;37.75;Gnägi Florian;***;4;57.0;4;38.25;-2;0.5;8.75
+;8;46.5;Gäumann Stefan;**;10;55.5;7;46.75;-1;0.25;9.75

7d;Orlik Curdin;***;;;;;;;;;56.25
-;;;Walther Adrian;**;;;;;;;8.75
+;4;8.75;Ramseier Thomas;*;11;55.25;2;9.75;-2;1.0;10.0
-;5;18.75;Schenk Patrick;***;12;55.0;5;18.75;0;0.0;8.75
+;9;27.5;Gerber Ueli;*;18;53.5;9;27.5;0;0.0;10.0
-;7;37.5;Gerber Christian;***;7;56.25;7;37.5;0;0.0;8.75
+;9;46.25;Gäggeler Adrian;*;13;54.75;9;46.25;0;0.0;10.0

7e;Gerber Christian;***;;;;;;;;;56.25
-;;;Ledermann Michael;**;;;;;;;9.0
+;3;9.0;Blatter Remo;;18;53.5;1;10.0;-2;1.0;10.0
-;4;19.0;von Weissenfluh Kilian;***;3;57.25;2;19.75;-2;0.75;8.75
+;8;27.75;Nufer Sämi;*;14;54.5;9;27.5;1;-0.25;9.75
-;7;37.5;Orlik Curdin;***;7;56.25;7;37.5;0;0.0;8.75
+;9;46.25;Leuenberger Michael;*;11;55.25;7;46.75;-2;0.5;10.0

8a;Roschi Ruedi;**;;;;;;;;;56.0
-;;;Roth Dominik;**;;;;;;;9.0
