5107-2022-07-23_71_Weissenstein-Schwinget2-ST

1a;Aeschbacher Matthias;***;;;;;;;;;59.25
+;10;27.25;Lüthi David;*;14;54.5;10;27.25;0;0.0;10.0
o;9;37.25;Wittwer Jan;**;3;57.25;9;37.25;0;0.0;8.5
o;13;45.75;Steffen Konrad;*;9;55.75;13;45.75;0;0.0;8.5

15e;Schmid Samuel;**;;;;;;;;;54.25
-;;;Klossner Adrian;**;;;;;;;8.75
-;4;8.75;Kuster Thomas;**;8;56.0;4;8.75;0;0.0;8.75
+;8;17.5;Oettli Marco;**;16;54.0;9;17.25;1;-0.25;9.75
o;10;27.25;Roth Martin;***;5;56.75;12;26.75;2;-0.5;8.5
+;15;35.75;Jörger Corsin;*;22;52.5;16;35.5;1;-0.25;10.0
o;13;45.75;Steffen Gustav;**;9;55.75;13;45.75;0;0.0;8.5

15f;Voggensperger Janic;**;;;;;;;;;54.25
o;;;Sempach Thomas;***;;;;;;;8.5
-;5;8.5;Joho Philip;*;16;54.0;2;9.75;-3;1.25;8.75
o;9;17.25;Zaugg Lars;**;5;56.75;6;18.5;-3;1.25;8.5
+;16;25.75;Studer Stefan;**;27;34.5;15;26.0;-1;0.25;10.0
-;15;35.75;Räbmatter Patrick;***;14;54.5;15;35.75;0;0.0;8.75
+;18;44.5;Lüscher Sinisha (2006);*;17;53.75;15;45.25;-3;0.75;9.75

16a;Joho Philip;*;;;;;;;;;54.0
+;;;Jörger Corsin;*;;;;;;;9.75
-;2;9.75;Voggensperger Janic;**;15;54.25;5;8.5;3;-1.25;8.75
o;6;18.5;Zwyssig Raphael;***;12;55.0;10;17.0;4;-1.5;8.5
+;11;27.0;Bühler Hannes;*;18;53.5;12;26.75;1;-0.25;9.75
o;11;36.75;Wenger Kilian;***;4;57.0;9;37.25;-2;0.5;8.5
o;15;45.25;Signer Andy;**;11;55.25;15;45.25;0;0.0;8.75

16b;Elmer Daniel;*;;;;;;;;;54.0
-;;;Rutsch Remo (2004);*;;;;;;;8.75
o;4;8.75;Joho Pascal (2004);*;19;53.25;4;8.75;0;0.0;8.5
-;9;17.25;Odermatt Jonas (2004);*;27;34.5;9;17.25;0;0.0;8.75
+;15;26.0;Gerber Andrj;*;27;34.5;15;26.0;0;0.0;9.75
o;15;35.75;Hermann Oliver;**;11;55.25;11;36.75;-4;1.0;8.5
+;19;44.25;Späti Jan;;19;53.25;18;44.5;-1;0.25;9.75

16c;Koch Thomas;**;;;;;;;;;54.0
o;;;Roth Tim (2004);*;;;;;;;8.5
o;5;8.5;Hermann Oliver;**;11;55.25;5;8.5;0;0.0;8.5
+;10;17.0;Reinhard Pirmin;*;21;52.75;8;17.5;-2;0.5;10.0
o;11;27.0;Stüdeli Thomas;**;16;54.0;11;27.0;0;0.0;8.5
+;16;35.5;Wittwer Josias;**;15;54.25;15;35.75;-1;0.25;10.0
o;14;45.5;Erb Roger;**;9;55.75;13;45.75;-1;0.25;8.5

16d;Stüdeli Thomas;**;;;;;;;;;54.0
+;;;Jörger Marc;*;;;;;;;9.75
