3133-2015-07-26_Bruenigschwinget-ST

1a;Kämpf Bernhard;***;;;;;;;;;57.75
o;4;37.75;Glarner Matthias;***;2;57.25;2;38.25;-2;0.5;8.5
o;8;46.25;Käser Remo;**;3;57.0;5;47.0;-3;0.75;8.5

12f;Schütz Urs;**;;;;;;;;;54.75
-;;;Elsener Adrian;**;;;;;;;8.75
-;4;8.75;Marti Fabian;**;23;35.0;4;8.75;0;0.0;8.75
+;10;17.5;Odermatt Andreas;*;12;54.75;7;18.25;-3;0.75;9.75
-;8;27.25;Müller Michael;**;14;54.25;9;27.0;1;-0.25;8.75
+;11;36.0;Lussi Marco;*;14;54.25;11;36.0;0;0.0;9.75
-;10;45.75;Zurfluh Markus;**;12;54.75;10;45.75;0;0.0;9.0

12g;Heinzer Stefan;*;;;;;;;;;54.75
-;;;Wittwer Josias;*;;;;;;;8.75
-;4;8.75;Kämpf Alexander;**;23;35.0;4;8.75;0;0.0;8.75
+;10;17.5;Leuenberger Michael;**;24;34.75;9;17.75;-1;0.25;10.0
o;7;27.5;Zaugg Thomas;***;9;55.5;8;27.25;1;-0.25;8.5
-;11;36.0;Fankhauser Reto;*;18;53.25;11;36.0;0;0.0;8.75
+;14;44.75;Gnägi Christian;*;16;53.75;12;45.25;-2;0.5;10.0

12h;Mathis Marcel;***;;;;;;;;;54.75
-;;;Siegenthaler Matthias;***;;;;;;;8.75
+;4;8.75;Alpiger Nick;**;4;56.75;2;9.75;-2;1.0;10.0
+;5;18.75;Moser Michael;*;13;54.5;5;18.75;0;0.0;10.0
-;2;28.75;Sempach Thomas;***;3;57.0;1;29.75;-1;1.0;8.75
o;5;37.5;Käser Remo;**;3;57.0;6;37.25;1;-0.25;8.5
-;9;46.0;Meuter Adrian;**;12;54.75;9;46.0;0;0.0;8.75

12i;Egli David;*;;;;;;;;;54.75
-;;;Kramer Franz;*;;;;;;;8.75
-;4;8.75;Henzer Andreas;**;11;55.0;4;8.75;0;0.0;8.75
-;10;17.5;Zürcher Remo;*;24;34.75;11;17.25;1;-0.25;8.75
+;12;26.25;Waldner Patrick;**;25;34.5;13;26.0;1;-0.25;10.0
+;10;36.25;Wittwer Josias;*;18;53.25;11;36.0;1;-0.25;10.0
o;8;46.25;Wenger Kilian;***;5;56.5;6;46.75;-2;0.5;8.5

13a;Erb Roger;**;;;;;;;;;54.5
o;;;Lengacher Jonas;**;;;;;;;8.5
-;5;8.5;Gander Adrian;*;25;34.5;5;8.5;0;0.0;9.0
