3430-2016-07-03_110_Innerschweizerisches_Schwingfest-ST

1a;Zimmermann Martin;*;;;;;;;;;108.5
+;5;9.0;Langenstein Philip;*;33;35.75;6;8.75;1;-0.25;10.0
o;6;19.0;Mathis Marcel;***;11;56.0;7;18.75;1;-0.25;8.5
+;11;27.5;Felder Seppi;*;12;55.75;12;27.25;1;-0.25;10.0
+;9;37.5;Hess Dominik;*;15;55.0;9;37.5;0;0.0;10.0
o;7;47.5;Stalder Remo;***;8;56.75;9;47.0;2;-0.5;8.5

11h;Rohrer Ivan;*;;;;;;;;;56.0
+;;;Fässler Cornel;*;;;;;;;10.0
o;3;10.0;Schuler Christian;***;3;58.75;3;10.0;0;0.0;8.5
+;8;18.5;Betschart Patrick (1999);;14;55.25;8;18.5;0;0.0;9.75
+;8;28.25;Betschart Silvan;*;19;54.0;8;28.25;0;0.0;10.0
-;7;38.25;Gloggner Philipp;***;13;55.5;9;37.5;2;-0.75;8.75
-;9;47.0;Vogel Remo;*;10;56.25;8;47.25;-1;0.25;9.0

12a;Inderbitzin Daniel;*;;;;;;;;;55.75
-;;;Langenstein Philip;*;;;;;;;8.75
-;6;8.75;Zimmermann Martin;**;1;108.5;1;17.5;-5;8.75;8.75
+;11;17.5;Heiniger Marco;*;24;52.75;12;17.25;1;-0.25;10.0
+;11;27.5;Kurmann Toni (1998);;23;53.0;11;27.5;0;0.0;9.75
o;10;37.25;Stalder Remo;***;8;56.75;11;37.0;1;-0.25;8.5
+;14;45.75;Thierstein Marco;;17;54.5;14;45.75;0;0.0;10.0

12b;Hurschler Thomas;**;;;;;;;;;55.75
+;;;Egli Pirmin;**;;;;;;;10.0
-;3;10.0;Schuler Alex;**;6;57.5;4;9.75;1;-0.25;8.75
-;7;18.75;Portmann Josef;*;13;55.5;8;18.5;1;-0.25;8.75
+;11;27.5;Wicki Patrick;;19;54.0;8;28.25;-3;0.75;9.75
+;10;37.25;Heinzer Stefan;*;2;100.25;1;73.25;-9;36.0;10.0
o;8;47.25;Sempach Thomas;***;7;57.0;8;47.25;0;0.0;8.5

12c;Nötzli Bruno;***;;;;;;;;;55.75
+;;;Gloggner Hansjörg;***;;;;;;;10.0
