3003-2019-08-11_Bernisch-Kantonales_Schwingfest-ST

1a;Aeschbacher Matthias;**;;;;;;;;;58.5
-;4;8.75;Dummermuth Ueli;;32;34.5;4;8.75;0;0.0;8.75
o;8;17.5;Mathys Simon;**;9;56.5;6;18.25;-2;0.75;8.5
+;16;26.0;Schwab Marc;;28;35.5;13;26.75;-3;0.75;9.75
-;13;35.75;Rüegsegger Ueli;*;16;54.75;12;36.0;-1;0.25;8.75
o;18;44.5;Grossen John;*;14;55.25;14;45.5;-4;1.0;8.5

23e;Berger Ueli;*;;;;;;;;;53.0
o;;;Rüegsegger Ueli;*;;;;;;;8.5
+;5;8.5;Kämpf Andreas;;33;34.25;4;8.75;-1;0.25;10.0
-;5;18.5;Kämpf Alexander;**;20;53.75;8;17.5;3;-1.0;8.75
o;11;27.25;Steffen Gustav;**;12;55.75;12;27.0;1;-0.25;8.75
o;12;36.0;Stalder Kurt;;14;55.25;9;36.75;-3;0.75;8.5
o;18;44.5;Mösching Andy;*;14;55.25;14;45.5;-4;1.0;8.5

23f;Bernhard Marco;;;;;;;;;;53.0
+;;;Graf Simon (2001);;;;;;;;9.75
-;2;9.75;Roch Vincent;**;7;57.0;5;8.5;3;-1.25;8.75
-;5;18.5;Roth Robin;*;31;34.75;8;17.5;3;-1.0;8.75
-;11;27.25;Bütikofer Lukas;*;28;35.5;13;26.75;2;-0.5;8.75
o;12;36.0;Aebi Roger;;18;54.25;12;36.0;0;0.0;8.5
o;18;44.5;Schlüchter Colin;*;14;55.25;14;45.5;-4;1.0;8.5

23g;Joss David;*;;;;;;;;;53.0
o;;;Habegger Heinz;**;;;;;;;8.5
+;5;8.5;Sommer Martin (2001);;30;35.0;3;9.0;-2;0.5;10.0
-;5;18.5;Zürcher Remo;*;18;54.25;6;18.25;1;-0.25;8.75
-;11;27.25;Kämpf Marcel;*;21;53.5;11;27.25;0;0.0;8.75
o;12;36.0;Gehrig Philipp;**;16;54.75;10;36.5;-2;0.5;8.5
o;18;44.5;Tschumi Lukas (2001);*;15;55.0;15;45.25;-3;0.75;8.5

24a;Hügli Kaj;**;;;;;;;;;52.75
-;;;Sempach Thomas;***;;;;;;;8.75
+;4;8.75;Wicki Cédric;;14;55.25;2;9.75;-2;1.0;9.75
o;5;18.5;Pulfer Thomas;*;12;55.75;5;18.5;0;0.0;8.5
-;12;27.0;Rüegsegger Ueli;*;16;54.75;11;27.25;-1;0.25;8.75
o;13;35.75;Urfer Simon;*;17;54.5;12;36.0;-1;0.25;8.5
o;19;44.25;Schwander Severin;**;16;54.75;17;44.75;-2;0.5;8.5

24b;Graber Bänz;;;;;;;;;;52.75
-;;;Kämpf Andreas;;;;;;;;8.75
+;4;8.75;Burger Noel;;33;34.25;5;8.5;1;-0.25;10.0
o;4;18.75;Schenk Thomas;*;19;54.0;6;18.25;2;-0.5;8.5
o;11;27.25;Weyermann Florian;**;19;54.0;12;27.0;1;-0.25;8.5
o;13;35.75;Schenk Adrian;*;18;54.25;13;35.75;0;0.0;8.5
o;19;44.25;Eggimann Marco;;19;54.0;19;44.25;0;0.0;8.5

25a;Sempach Thomas;***;;;;;;;;;36.75
-;;;Hügli Kaj;**;;;;;;;8.75
+;4;8.75;Schenkel Remo;*;27;35.75;2;9.75;-2;1.0;9.75
+;5;18.5;Berger Lorenz;**;12;55.75;4;18.75;-1;0.25;9.75
o;7;28.25;Graber Willy;***;5;57.5;7;28.25;0;0.0;8.5

26a;Matthey Mickaël;**;;;;;;;;;36.5
o;;;Aeschbacher Matthias;**;;;;;;;8.5
+;5;8.5;Staub Severin (2002);;28;35.5;2;9.75;-3;1.25;9.75
o;6;18.25;Gasser Dominik;*;14;55.25;5;18.5;-1;0.25;8.5
+;13;26.75;Tschan Matthias;*;18;54.25;10;27.5;-3;0.75;9.75

27a;Schenkel Remo;*;;;;;;;;;35.75
+;;;Berger René;**;;;;;;;9.75
o;2;9.75;Sempach Thomas;***;25;36.75;4;8.75;2;-1.0;8.5
-;6;18.25;Leuenberger Lukas (2001);;17;54.5;5;18.5;-1;0.25;9.0
o;11;27.25;Aellen Philipp;*;13;55.5;11;27.25;0;0.0;8.5

28a;Galli Markus;;;;;;;;;;35.5
o;;;Thöni Reto (2001);;;;;;;;8.5
o;5;8.5;De Fusco Dario;*;18;54.25;4;8.75;-1;0.25;8.5
-;10;17.0;Bühler Marcel;;33;34.25;10;17.0;0;0.0;8.75
+;17;25.75;Kämpf Andreas;;33;34.25;17;25.75;0;0.0;9.75

28b;Wüthrich Bruno;;;;;;;;;;35.5
+;;;Zingrich Jan;;;;;;;;9.75
o;2;9.75;Luginbühl Hanspeter;**;7;57.0;4;8.75;2;-1.0;8.5
-;6;18.25;Nufer Sämi;;18;54.25;6;18.25;0;0.0;8.75
o;12;27.0;Hadorn Marco;*;19;54.0;13;26.75;1;-0.25;8.5

28c;Schwab Marc;;;;;;;;;;35.5
+;;;Willimann Stefan;;;;;;;;9.75
o;2;9.75;Kämpf Lorenz;*;22;53.25;4;8.75;2;-1.0;8.5
o;6;18.25;Gäggeler Adrian;*;15;55.0;6;18.25;0;0.0;8.5
o;13;26.75;Reust Markus;*;23;53.0;16;26.0;3;-0.75;8.75

28d;Staub Severin (2002);;;;;;;;;;35.5
+;;;Klopfenstein Jan;;;;;;;;9.75
o;2;9.75;Matthey Mickaël;**;26;36.5;5;8.5;3;-1.25;8.5
o;6;18.25;Schlüchter Colin;*;14;55.25;6;18.25;0;0.0;8.5
o;13;26.75;Fankhauser Reto;*;17;54.5;15;26.25;2;-0.5;8.75

28e;Klopfenstein Jan;;;;;;;;;;35.5
o;;;Staub Severin (2002);;;;;;;;8.5
o;5;8.5;Scheuner Michael;*;12;55.75;5;8.5;0;0.0;8.5
o;10;17.0;Aebi Roger;;18;54.25;8;17.5;-2;0.5;8.5
+;18;25.5;Steffen Loris (2001);;34;34.0;18;25.5;0;0.0;10.0

28f;Willimann Stefan;;;;;;;;;;35.5
o;;;Schwab Marc;;;;;;;;8.5
-;5;8.5;Röthlisberger Simon;*;17;54.5;4;8.75;-1;0.25;8.75
+;9;17.25;Heeb Thierry;;33;34.25;9;17.25;0;0.0;9.75
o;12;27.0;Blaser Roman;*;14;55.25;12;27.0;0;0.0;8.5

28g;Pirkheim Elias (2002);;;;;;;;;;35.5
+;;;Steffen Loris (2001);;;;;;;;10.0
o;1;10.0;Grossen John;*;14;55.25;5;8.5;4;-1.5;8.5
o;5;18.5;Camenzind Ivan;*;19;54.0;6;18.25;1;-0.25;8.5
o;12;27.0;Zürcher Remo;*;18;54.25;12;27.0;0;0.0;8.5

28h;Vögeli Luca;;;;;;;;;;35.5
o;;;Gehrig Kilian;;;;;;;;8.5
+;5;8.5;Steffen Loris (2001);;34;34.0;5;8.5;0;0.0;9.75
o;6;18.25;Schenk Adrian;*;18;54.25;10;17.0;4;-1.25;8.5
-;13;26.75;Wüthrich Niklaus;**;31;34.75;16;26.0;3;-0.75;8.75

28i;Zimmermann Nicolas (2001);;;;;;;;;;35.5
o;;;Leuenberger Lukas (2001);;;;;;;;8.5
o;5;8.5;Blatter Remo;;29;35.25;5;8.5;0;0.0;8.5
o;10;17.0;Staub Maël;*;13;55.5;9;17.25;-1;0.25;8.5
+;18;25.5;Wüthrich Tim (2002);;34;34.0;18;25.5;0;0.0;10.0

28j;Ledermann Patrik;;;;;;;;;;35.5
+;;;Burger Noel;;;;;;;;10.0
o;1;10.0;Thomet Adrian;**;12;55.75;4;8.75;3;-1.25;8.5
o;5;18.5;Zehnder Jürg;*;20;53.75;6;18.25;1;-0.25;8.5
o;12;27.0;Zaugg Lars (2002);;17;54.5;12;27.0;0;0.0;8.5

28k;Bütikofer Lukas;*;;;;;;;;;35.5
o;;;Blaser Roman;*;;;;;;;8.5
o;5;8.5;Gnägi Damian;;13;55.5;5;8.5;0;0.0;8.5
+;10;17.0;Burger Noel;;33;34.25;10;17.0;0;0.0;9.75
-;13;26.75;Bernhard Marco;;23;53.0;11;27.25;-2;0.5;8.75

28l;Berger René;**;;;;;;;;;35.5
o;;;Schenkel Remo;*;;;;;;;8.5
-;5;8.5;Aebi Roger;;18;54.25;4;8.75;-1;0.25;8.75
o;9;17.25;Schütz Urs;**;18;54.25;8;17.5;-1;0.25;8.5
+;17;25.75;Lüthi David (2002);;29;35.25;13;26.75;-4;1.0;9.75

28m;Wehrli Christian;*;;;;;;;;;35.5
o;;;Moser Michael;**;;;;;;;8.5
+;5;8.5;Wüthrich Tim (2002);;34;34.0;5;8.5;0;0.0;10.0
o;5;18.5;Studer Stefan;**;15;55.0;5;18.5;0;0.0;8.5
o;12;27.0;Rüegsegger Christian (2001);;16;54.75;10;27.5;-2;0.5;8.5

28n;Gehrig Kilian;;;;;;;;;;35.5
+;;;Vögeli Luca;;;;;;;;10.0
o;1;10.0;Kropf Marcel;**;8;56.75;5;8.5;4;-1.5;8.5
o;5;18.5;Binggeli Dominik;*;16;54.75;3;19.0;-2;0.5;8.5
o;12;27.0;Mösching Andy;*;14;55.25;12;27.0;0;0.0;8.5

28o;Siegrist Lukas;;;;;;;;;;35.5
+;;;Wüthrich Tim (2002);;;;;;;;10.0
o;1;10.0;Urfer Simon;*;17;54.5;4;8.75;3;-1.25;8.5
o;5;18.5;Tschan Matthias;*;18;54.25;7;17.75;2;-0.75;8.5
o;12;27.0;Iseli Marco;**;13;55.5;12;27.0;0;0.0;8.5

28p;Ramseier Thomas;*;;;;;;;;;35.5
-;;;Schütz Urs;**;;;;;;;8.75
+;4;8.75;Bremgartner Marcel;*;23;53.0;4;8.75;0;0.0;9.75
o;5;18.5;Klossner Adrian;*;12;55.75;5;18.5;0;0.0;8.5
o;12;27.0;Zingrich Jan;;18;54.25;12;27.0;0;0.0;8.5

29a;Roschi Adrian;;;;;;;;;;35.25
o;;;Eggimann Marco;;;;;;;;8.5
o;5;8.5;Gerber Thomas;*;16;54.75;4;8.75;-1;0.25;8.5
+;10;17.0;Kyburz Silas;;33;34.25;10;17.0;0;0.0;9.75
o;13;26.75;De Fusco Dario;*;18;54.25;12;27.0;-1;0.25;8.5

29b;Lüthi David (2002);;;;;;;;;;35.25
o;;;Tschanz Richard;*;;;;;;;8.5
o;5;8.5;Zingrich Jan;;18;54.25;5;8.5;0;0.0;8.5
+;10;17.0;Wüthrich Tim (2002);;34;34.0;10;17.0;0;0.0;9.75
o;13;26.75;Berger René;**;28;35.5;17;25.75;4;-1.0;8.5

29c;Blatter Remo;;;;;;;;;;35.25
o;;;Kobel Marcel;;;;;;;;8.5
+;5;8.5;Zimmermann Nicolas (2001);;28;35.5;5;8.5;0;0.0;9.75
o;6;18.25;Grossen John;*;14;55.25;6;18.25;0;0.0;8.5
o;13;26.75;Kämpf Alexander;**;20;53.75;15;26.25;2;-0.5;8.5

30a;Sommer Martin (2001);;;;;;;;;;35.0
-;;;Neukomm Thierry;;;;;;;;9.0
o;3;9.0;Joss David;*;23;53.0;5;8.5;2;-0.5;8.5
o;8;17.5;Schwander Severin;**;16;54.75;9;17.25;1;-0.25;8.5
-;16;26.0;Graf Simon (2001);;30;35.0;16;26.0;0;0.0;9.0

30b;Graf Simon (2001);;;;;;;;;;35.0
o;;;Bernhard Marco;;;;;;;;8.75
-;4;8.75;Fankhauser Reto;*;17;54.5;3;9.0;-1;0.25;8.75
o;8;17.5;Zangger Dominik;*;12;55.75;6;18.25;-2;0.75;8.5
-;16;26.0;Sommer Martin (2001);;30;35.0;16;26.0;0;0.0;9.0

31a;Roth Robin;*;;;;;;;;;34.75
o;;;Gäggeler Adrian;*;;;;;;;8.5
-;5;8.5;Tschan Matthias;*;18;54.25;4;8.75;-1;0.25;9.0
-;8;17.5;Bernhard Marco;;23;53.0;5;18.5;-3;1.0;8.75
o;15;26.25;Thöni Reto (2001);;15;55.0;12;27.0;-3;0.75;8.5

31b;Wüthrich Niklaus;**;;;;;;;;;34.75
-;;;Kämpf Lorenz;*;;;;;;;8.75
o;4;8.75;Steudler Kevin (2001);*;12;55.75;4;8.75;0;0.0;8.75
o;8;17.5;Roschi Ruedi;**;9;56.5;6;18.25;-2;0.75;8.5
-;16;26.0;Vögeli Luca;;28;35.5;13;26.75;-3;0.75;8.75

32a;Dummermuth Ueli;;;;;;;;;;34.5
-;;;Waeber Marco;;;;;;;;8.75
-;4;8.75;Reust Markus;*;23;53.0;4;8.75;0;0.0;8.75
o;8;17.5;Wittwer Jan;*;11;56.0;9;17.25;1;-0.25;8.5
o;16;26.0;Wicki Cédric;;14;55.25;13;26.75;-3;0.75;8.5

32b;Kappeler Ruedi;;;;;;;;;;34.5
-;;;Niederhäuser Martin;;;;;;;;8.75
o;4;8.75;Steffen Gustav;**;12;55.75;5;8.5;1;-0.25;8.5
o;9;17.25;Graber Alfred;*;18;54.25;8;17.5;-1;0.25;8.5
-;17;25.75;Kyburz Silas;;33;34.25;18;25.5;1;-0.25;8.75

32c;Neukomm Thierry;;;;;;;;;;34.5
-;;;Sommer Martin (2001);;;;;;;;9.0
o;3;9.0;Kneubühl Christian (2001);*;14;55.25;5;8.5;2;-0.5;8.5
o;8;17.5;Bremgartner Marcel;*;23;53.0;9;17.25;1;-0.25;8.5
o;16;26.0;Stalder Kurt;;14;55.25;13;26.75;-3;0.75;8.5

33a;Kyburz Silas;;;;;;;;;;34.25
o;;;Wicki Cédric;;;;;;;;8.5
o;5;8.5;Kämpf Marcel;*;21;53.5;4;8.75;-1;0.25;8.5
o;10;17.0;Roschi Adrian;;29;35.25;10;17.0;0;0.0;8.5
-;18;25.5;Kappeler Ruedi;;32;34.5;17;25.75;-1;0.25;8.75

33b;Kämpf Andreas;;;;;;;;;;34.25
-;;;Graber Bänz;;;;;;;;8.75
o;4;8.75;Berger Ueli;*;23;53.0;5;8.5;1;-0.25;8.5
o;9;17.25;Waeber Marco;;23;53.0;9;17.25;0;0.0;8.5
o;17;25.75;Galli Markus;;28;35.5;17;25.75;0;0.0;8.5

33c;Burger Noel;;;;;;;;;;34.25
o;;;Ledermann Patrik;;;;;;;;8.5
o;5;8.5;Graber Bänz;;24;52.75;4;8.75;-1;0.25;8.5
o;10;17.0;Bütikofer Lukas;*;28;35.5;10;17.0;0;0.0;8.5
-;18;25.5;Zingg Michael;;33;34.25;18;25.5;0;0.0;8.75

33d;Zingg Michael;;;;;;;;;;34.25
o;;;Schwab David;;;;;;;;8.5
o;5;8.5;Nufer Sämi;;18;54.25;5;8.5;0;0.0;8.5
o;10;17.0;Mösching Andy;*;14;55.25;9;17.25;-1;0.25;8.5
-;18;25.5;Burger Noel;;33;34.25;18;25.5;0;0.0;8.75

33e;Heeb Thierry;;;;;;;;;;34.25
-;;;Aebi Roger;;;;;;;;8.75
o;4;8.75;Waber Lorenz;*;19;54.0;3;9.0;-1;0.25;8.5
o;9;17.25;Willimann Stefan;;28;35.5;9;17.25;0;0.0;8.5
o;17;25.75;Niederhäuser Martin;;20;53.75;14;26.5;-3;0.75;8.5

33f;Bühler Marcel;;;;;;;;;;34.25
o;;;Rüegsegger Christian (2001);;;;;;;;8.5
o;5;8.5;Pulfer Thomas;*;12;55.75;4;8.75;-1;0.25;8.5
-;10;17.0;Galli Markus;;28;35.5;10;17.0;0;0.0;8.75
o;17;25.75;Röthlisberger Simon;*;17;54.5;15;26.25;-2;0.5;8.5

34a;Wüthrich Tim (2002);;;;;;;;;;34.0
o;;;Siegrist Lukas;;;;;;;;8.5
o;5;8.5;Wehrli Christian;*;28;35.5;5;8.5;0;0.0;8.5
o;10;17.0;Lüthi David (2002);;29;35.25;10;17.0;0;0.0;8.5
o;18;25.5;Zimmermann Nicolas (2001);;28;35.5;18;25.5;0;0.0;8.5

34b;Steffen Loris (2001);;;;;;;;;;34.0
o;;;Pirkheim Elias (2002);;;;;;;;8.5
o;5;8.5;Vögeli Luca;;28;35.5;5;8.5;0;0.0;8.5
o;10;17.0;Walther Patrick;*;22;53.25;8;17.5;-2;0.5;8.5
o;18;25.5;Klopfenstein Jan;;28;35.5;18;25.5;0;0.0;8.5

35a;Walther Marcel;*;;;;;;;;;26.75
+;;;Schenk Adrian;*;;;;;;;9.75
o;2;9.75;Ramseier Fritz;**;11;56.0;3;9.0;1;-0.75;8.5
o;6;18.25;Schwab David;;18;54.25;5;18.5;-1;0.25;8.5

