5376-2021-07-24_Buendner_Glarner_Kantonalschwingfest-ST

1a;Leuppi Samir;***;;;;;;;;;58.25
+;3;28.75;Riget Tobias;**;4;56.75;4;28.5;1;-0.25;9.75
-;1;38.5;Rychen Roger;***;4;56.75;2;38.25;1;-0.25;8.75
-;4;47.25;Arnold Stefan;**;5;56.5;2;47.75;-2;0.5;8.75

7d;Kobler Janosch;;;;;;;;;;56.0
-;;;Joos Enrico (2003);;;;;;;;9.0
+;3;9.0;Sprecher Martin;;13;54.5;2;9.75;-1;0.75;10.0
+;3;19.0;Battaglia Ursin;**;9;55.5;5;18.5;2;-0.5;10.0
o;2;29.0;Biäsch Christian;*;3;57.0;4;28.5;2;-0.5;8.5
+;5;37.5;Pianta Christian;*;13;54.5;5;37.5;0;0.0;9.75
o;4;47.25;Landolt Reto;*;3;57.0;5;47.0;1;-0.25;8.75

7e;Aeschlimann Martin;;;;;;;;;;56.0
+;;;Horner Sämi;;;;;;;;10.0
o;1;10.0;Battaglia Ursin;**;9;55.5;4;8.75;3;-1.25;8.5
+;5;18.5;Zumbach Michael;;18;53.0;5;18.5;0;0.0;10.0
-;4;28.5;Schmid Dominik;**;3;57.0;5;28.25;1;-0.25;9.0
+;5;37.5;Flück Bruno;;12;54.75;6;37.25;1;-0.25;10.0
o;3;47.5;Schlegel Sandro;**;2;57.25;3;47.5;0;0.0;8.5

8a;Schmid Gian (2003);;;;;;;;;;55.75
+;;;Langenegger Beat;;;;;;;;9.75
o;2;9.75;Blaser Christian;**;5;56.5;5;8.5;3;-1.25;8.75
+;5;18.5;Riatsch Albin;;17;53.5;6;18.25;1;-0.25;10.0
-;4;28.5;Castelli Fabio;;2;57.25;4;28.5;0;0.0;8.75
+;6;37.25;Rhyner Beni;;13;54.5;6;37.25;0;0.0;10.0
o;4;47.25;Biäsch Christian;*;3;57.0;5;47.0;1;-0.25;8.5

8b;Poltera Andrin;*;;;;;;;;;55.75
o;;;Hochholdinger Roman;**;;;;;;;8.5
+;5;8.5;Tschudi Mario;;10;55.25;2;9.75;-3;1.25;10.0
-;5;18.5;Schlegel Sandro;**;2;57.25;4;18.75;-1;0.25;8.75
+;8;27.25;Mannhart Jan (2003);;13;54.5;7;27.5;-1;0.25;9.75
+;7;37.0;Bollhalder Manuel;*;6;56.25;5;37.5;-2;0.5;10.0
o;5;47.0;Rychen Roger;***;4;56.75;5;47.0;0;0.0;8.75

8c;Lehmann Philipp;*;;;;;;;;;55.75
o;;;Arnold Stefan;**;;;;;;;8.5
+;5;8.5;Hobi Ignaz;;9;55.5;2;9.75;-3;1.25;9.75
+;6;18.25;Rhyner Beni;;13;54.5;4;18.75;-2;0.5;10.0
o;5;28.25;Good Marco;*;5;56.5;5;28.25;0;0.0;8.75
-;7;37.0;Schlegel Reto;*;5;56.5;5;37.5;-2;0.5;9.0
+;9;46.0;Steiner Lukas;;13;54.5;9;46.0;0;0.0;9.75

8d;Buchli Michael (2004);;;;;;;;;;55.75
o;;;Steiner Lukas;;;;;;;;8.5
o;5;8.5;Keller Cedric;;10;55.25;5;8.5;0;0.0;8.75
+;8;17.25;Baumann Reto;;15;54.0;9;17.0;1;-0.25;10.0
o;8;27.25;Schmidlin Tobias;*;13;54.5;12;26.0;4;-1.25;8.5
+;11;35.75;Frei Felix (2003);;15;54.0;12;35.5;1;-0.25;10.0
+;10;45.75;Wüthrich Hans;;13;54.5;9;46.0;-1;0.25;10.0

9a;Ziegler Andreas;;;;;;;;;;55.5
o;;;Aebli Nino;;;;;;;;8.5
-;5;8.5;Giger Lorenz;;13;54.5;4;8.75;-1;0.25;8.75
+;8;17.25;Inauen Aurel;;10;55.25;9;17.0;1;-0.25;9.75
+;9;27.0;Schwyn Patrick;;15;54.0;9;27.0;0;0.0;10.0
-;7;37.0;Gartmann Mauro;**;13;54.5;7;37.0;0;0.0;8.75
+;10;45.75;Schnyder Christian;;15;54.0;11;45.5;1;-0.25;9.75

9b;Bernold Edi;**;;;;;;;;;55.5
o;;;Schmid Patrick;*;;;;;;;8.5
+;5;8.5;Mathis Patrick;;14;54.25;2;9.75;-3;1.25;10.0
o;5;18.5;Schmid Dominik;**;3;57.0;5;18.5;0;0.0;8.5
+;9;27.0;Laager Michael;;13;54.5;7;27.5;-2;0.5;10.0
+;7;37.0;Inauen Maurus (2003);;9;55.5;7;37.0;0;0.0;9.75
o;6;46.75;Wey Nicola;*;5;56.5;7;46.5;1;-0.25;8.75

9c;Elmer Daniel;*;;;;;;;;;55.5
+;;;Schiesser Patrik;*;;;;;;;9.75
+;2;9.75;Schwyn Adrian;*;23;27.0;4;8.75;2;-1.0;10.0
