4099-2018-05-13_114_Ob-_und_Nidw_Kant_Schwingfest-ST

1a;Schuler Alex;***;;;;;;;;;110.25
o;6;18.75;Thierstein Marco;*;13;55.0;7;18.5;1;-0.25;8.5
o;10;27.25;Hochholdinger Roman;**;12;55.25;10;27.25;0;0.0;8.5
+;15;35.75;Müller Ivo (2002);;21;53.0;14;36.0;-1;0.25;10.0
-;13;45.75;Gander Martin;;17;54.0;15;45.25;2;-0.5;8.75

16a;Schuler Daniel;*;;;;;;;;;54.25
o;;;Rohrer Beat;*;;;;;;;8.5
-;6;8.5;Durrer Robin;;13;55.0;3;9.75;-3;1.25;8.75
+;11;17.25;Gasser Dominik 1;;11;55.5;7;18.5;-4;1.25;9.75
-;11;27.0;Omlin Toni;*;26;35.25;13;26.5;2;-0.5;8.75
-;15;35.75;Spichtig Clemens;;18;53.75;12;36.5;-3;0.75;8.75
+;18;44.5;Mehr Lars (2002);;18;53.75;15;45.25;-3;0.75;9.75

16b;Vonlaufen Lukas;*;;;;;;;;;54.25
o;;;Elsener Marcel;*;;;;;;;8.5
o;6;8.5;Müller Michael;**;4;57.25;5;8.75;-1;0.25;8.5
-;12;17.0;Hürlimann Mathias (2000);;10;55.75;8;18.25;-4;1.25;8.75
+;16;25.75;Vogler Jakob (2000);;23;52.5;11;27.0;-5;1.25;10.0
-;15;35.75;Fallegger Joel;;14;54.75;14;36.0;-1;0.25;8.75
+;18;44.5;Ritter Fabio (2001);;18;53.75;15;45.25;-3;0.75;9.75

16c;Gasser Dominik 2;;;;;;;;;;54.25
-;;;Auf der Maur Alex;;;;;;;;9.0
+;4;9.0;Odermatt Lars (2002);;16;54.25;6;8.5;2;-0.5;9.75
+;6;18.75;Wetzstein Adrian;*;17;54.0;8;18.25;2;-0.5;10.0
o;4;28.75;Schelbert Ralf;**;3;57.5;6;28.25;2;-0.5;8.5
o;9;37.25;Wyss Christian;;11;55.5;10;37.0;1;-0.25;8.5
o;13;45.75;Heiniger Luca;;11;55.5;13;45.75;0;0.0;8.5

16d;Hegner Ueli;*;;;;;;;;;54.25
o;;;Arnold Severin;*;;;;;;;8.5
o;6;8.5;Fontana Michael;*;14;54.75;2;10.0;-4;1.5;8.75
-;11;17.25;Wallimann Remo;;10;55.75;6;18.75;-5;1.5;8.75
+;15;26.0;Albert Thomas;;17;54.0;11;27.0;-4;1.0;9.75
o;15;35.75;Graber Sandro;;11;55.5;10;37.0;-5;1.25;8.5
+;19;44.25;Risi Martin;;22;52.75;19;44.25;0;0.0;10.0

16e;Christen Thomas;;;;;;;;;;54.25
o;;;Briker Hannes;;;;;;;;8.5
o;6;8.5;Bieri Elias;;26;35.25;6;8.5;0;0.0;8.5
+;12;17.0;von Rickenbach Pirmin (2002);;23;52.5;12;17.0;0;0.0;10.0
o;11;27.0;Heiniger Luca;;11;55.5;10;27.25;-1;0.25;8.5
-;16;35.5;Ettlin Thomas (2000);;20;53.25;15;35.75;-1;0.25;9.0
+;18;44.5;Ettlin Kevin (2001);;21;53.0;18;44.5;0;0.0;9.75

16f;Lang Julian;;;;;;;;;;54.25
o;;;von Ah Markus;;;;;;;;8.5
+;6;8.5;Rohrer Henry;;25;36.0;6;8.5;0;0.0;10.0
-;7;18.5;Omlin Toni;*;26;35.25;10;17.5;3;-1.0;8.75
+;10;27.25;Imfeld Beat;;12;55.25;10;27.25;0;0.0;9.75
o;10;37.0;Hess Dominik;*;11;55.5;10;37.0;0;0.0;8.5
-;14;45.5;Betschart Daniel;;15;54.5;13;45.75;-1;0.25;8.75

16g;Zimmermann Raffael (2000);;;;;;;;;;54.25
o;;;Wicki David;;;;;;;;8.5
+;6;8.5;Vogler Jakob (2000);;23;52.5;6;8.5;0;0.0;10.0
o;7;18.5;Schuler Alex;;1;110.25;1;36.5;-6;18.0;8.5
+;11;27.0;Kaiser Sandro;;26;35.25;12;26.75;1;-0.25;10.0
o;10;37.0;Elsener Marcel;*;12;55.25;10;37.0;0;0.0;8.5
-;14;45.5;Scherrer Patrick;;18;53.75;16;45.0;2;-0.5;8.75

16h;Bissig Fabian;;;;;;;;;;54.25
o;;;Graber Sandro;;;;;;;;8.5
+;6;8.5;Eberli Santiago;;26;35.25;6;8.5;0;0.0;10.0
o;7;18.5;Hochholdinger Roman;**;12;55.25;11;17.25;4;-1.25;8.5
+;11;27.0;Hurschler Mauri;;18;53.75;11;27.0;0;0.0;10.0
-;10;37.0;Gassmann Michael;*;18;53.75;12;36.5;2;-0.5;8.75
o;13;45.75;Niederberger Markus;*;10;55.75;13;45.75;0;0.0;8.5

16i;Vogel Marcel;;;;;;;;;;54.25
-;;;Wallimann Remo;;;;;;;;8.75
+;5;8.75;von Wyl Simon;;25;36.0;4;9.0;-1;0.25;9.75
-;7;18.5;Gander Adrian;*;15;54.5;11;17.25;4;-1.25;8.75
+;10;27.25;Mehr Lars (2002);;18;53.75;11;27.0;1;-0.25;9.75
o;10;37.0;Mathis Marcel;***;9;56.0;13;36.25;3;-0.75;8.5
-;14;45.5;Supper Frederik;;19;53.5;17;44.75;3;-0.75;8.75

16j;Fässler Dominic;**;;;;;;;;;54.25
-;;;Zimmermann Simon;**;;;;;;;8.75
o;5;8.75;Hurschler Thomas;**;6;56.75;5;8.75;0;0.0;8.5
+;11;17.25;Hurschler Mauri;;18;53.75;7;18.5;-4;1.25;10.0
o;10;27.25;Gander Michael;;13;55.0;7;28.0;-3;0.75;8.75
+;14;36.0;Arnold Lukas;;15;54.5;14;36.0;0;0.0;9.75
o;13;45.75;Schuler Alex;***;1;110.25;1;91.75;-12;46.0;8.5

16k;Arnold Severin;*;;;;;;;;;54.25
+;;;Hegner Ueli;*;;;;;;;10.0
o;2;10.0;Fankhauser Erich;***;5;57.0;5;8.75;3;-1.25;8.5
-;7;18.5;Zumstein Patrick;;15;54.5;5;19.0;-2;0.5;8.75
-;10;27.25;Durrer Robin;;13;55.0;10;27.25;0;0.0;8.75
+;14;36.0;Zemp Simon (2001);;16;54.25;15;35.75;1;-0.25;9.75
o;13;45.75;Binggeli Stefan;*;10;55.75;13;45.75;0;0.0;8.5

16l;Zemp Simon (2001);;;;;;;;;;54.25
o;;;Ziegler Moritz;;;;;;;;8.5
+;6;8.5;Risi Janik (2000);;31;34.0;6;8.5;0;0.0;9.75
-;8;18.25;Christen Silvan (2002);;28;34.75;10;17.5;2;-0.75;9.0
o;10;27.25;Muff André;*;10;55.75;10;27.25;0;0.0;8.5
o;15;35.75;Arnold Severin;*;16;54.25;14;36.0;-1;0.25;8.5
+;19;44.25;Gisler Silvan (2002);;21;53.0;18;44.5;-1;0.25;10.0

16m;Odermatt Lars (2002);;;;;;;;;;54.25
o;;;Zanini David (2000);;;;;;;;8.5
o;6;8.5;Gasser Dominik 2;;16;54.25;4;9.0;-2;0.5;8.5
-;12;17.0;Bürlimann Simo (2002);;30;34.25;12;17.0;0;0.0;8.75
+;16;25.75;Lagler Reto;;30;34.25;16;25.75;0;0.0;10.0
+;15;35.75;Gisler Silvan (2002);;21;53.0;15;35.75;0;0.0;10.0
o;13;45.75;Bernet Christoph;*;10;55.75;13;45.75;0;0.0;8.5

16n;Käslin Ruedi;*;;;;;;;;;54.25
-;;;Thierstein Marco;*;;;;;;;8.75
o;5;8.75;Gloggner Reto;**;12;55.25;6;8.5;1;-0.25;8.5
+;11;17.25;Ziegler Moritz;;17;54.0;7;18.5;-4;1.25;9.75
+;11;27.0;Stalder Tim;;23;52.5;11;27.0;0;0.0;10.0
o;10;37.0;Arnold Raphael;*;9;56.0;9;37.25;-1;0.25;8.5
-;14;45.5;Bienz Romeo;;15;54.5;13;45.75;-1;0.25;8.75

16o;Blumenthal Lino (2002);;;;;;;;;;54.25
-;;;Lagler Reto;;;;;;;;8.75
o;5;8.75;Hürlimann Mathias (2000);;10;55.75;6;8.5;1;-0.25;8.5
+;11;17.25;Albert Stefan (2002);;26;35.25;8;18.25;-3;1.0;10.0
o;10;27.25;Heinzer Stefan;**;10;55.75;10;27.25;0;0.0;8.5
+;15;35.75;Stalder Tim;;23;52.5;16;35.5;1;-0.25;10.0
o;13;45.75;Vogler Daniel;*;11;55.5;14;45.5;1;-0.25;8.5

17a;Gander Benjamin (2000);;;;;;;;;;54.0
o;;;Elmiger Andreas;;;;;;;;8.5
+;6;8.5;Sprecher Martin (2000);;26;35.25;6;8.5;0;0.0;9.75
-;8;18.25;Vogler Daniel;*;11;55.5;12;17.0;4;-1.25;9.0
+;10;27.25;Zimmermann Reto;;18;53.75;11;27.0;1;-0.25;9.75
o;10;37.0;Della Torre Simon;;12;55.25;11;36.75;1;-0.25;8.5
o;14;45.5;Hürlimann Mathias (2000);;10;55.75;13;45.75;-1;0.25;8.5

17b;Auf der Maur Alex;;;;;;;;;;54.0
-;;;Gasser Dominik 2;;;;;;;;8.75
+;5;8.75;Hess Severin (2001);;21;53.0;3;9.75;-2;1.0;9.75
o;7;18.5;Bürgi Reto;*;9;56.0;10;17.5;3;-1.0;8.5
+;11;27.0;Waser Christoph (2002);;17;54.0;11;27.0;0;0.0;10.0
o;10;37.0;Rohrer Ueli;*;10;55.75;9;37.25;-1;0.25;8.5
o;14;45.5;Gasser Dominik 1;;11;55.5;14;45.5;0;0.0;8.5

17c;Bürgi Michael (2002);;;;;;;;;;54.0
o;;;Albert Stefan (2002);;;;;;;;8.5
o;6;8.5;Burch Thomas;;11;55.5;6;8.5;0;0.0;8.5
+;12;17.0;von Matt Lars (2002);;31;34.0;12;17.0;0;0.0;10.0
o;11;27.0;Amgarten Roman;*;12;55.25;16;25.75;5;-1.25;8.5
o;16;35.5;Hurschler Mauri;;18;53.75;16;35.5;0;0.0;8.5
+;20;44.0;Stalder Tim;;23;52.5;20;44.0;0;0.0;10.0

17d;Ziegler Moritz;;;;;;;;;;54.0
+;;;Zemp Simon (2001);;;;;;;;10.0
o;2;10.0;Vogler Jonas;;12;55.25;2;10.0;0;0.0;8.5
o;7;18.5;Käslin Ruedi;*;16;54.25;11;17.25;4;-1.25;8.5
+;11;27.0;Albert Stefan (2002);;26;35.25;12;26.75;1;-0.25;10.0
o;10;37.0;Ettlin Martin;;11;55.5;9;37.25;-1;0.25;8.5
o;14;45.5;Odermatt Remo;*;11;55.5;13;45.75;-1;0.25;8.5

17e;Britschgi Markus;;;;;;;;;;54.0
o;;;Herger Simon;;;;;;;;8.5
+;6;8.5;Würsch Tom (2000);;26;35.25;6;8.5;0;0.0;10.0
o;7;18.5;Käslin Valentin (2000);;18;53.75;8;18.25;1;-0.25;8.5
o;11;27.0;Betschart Daniel;;15;54.5;10;27.25;-1;0.25;8.5
o;16;35.5;Mehr Lars (2002);;18;53.75;16;35.5;0;0.0;8.5
+;20;44.0;Strickler Fabio (2001);;23;52.5;20;44.0;0;0.0;10.0

17f;Held Florian;;;;;;;;;;54.0
o;;;Ming Christian 2;;;;;;;;8.5
+;6;8.5;Albert Thomas;;17;54.0;6;8.5;0;0.0;9.75
-;8;18.25;Rohrer Henry;;25;36.0;11;17.25;3;-1.0;8.75
+;11;27.0;Durrer Pascal (2002);;22;52.75;10;27.25;-1;0.25;10.0
o;10;37.0;Vogler Daniel;*;11;55.5;15;35.75;5;-1.25;8.5
o;14;45.5;Durrer Robin;;13;55.0;16;45.0;2;-0.5;8.5

17g;Gander Martin;;;;;;;;;;54.0
-;;;Betschart Daniel;;;;;;;;8.75
+;5;8.75;Gabriel Christian (2000);;26;35.25;6;8.5;1;-0.25;9.75
o;7;18.5;Binggeli Stefan;*;10;55.75;12;17.0;5;-1.5;8.5
+;11;27.0;Bieri Elias;;26;35.25;12;26.75;1;-0.25;9.75
o;11;36.75;Vogel Manuel;;13;55.0;12;36.5;1;-0.25;8.5
-;15;45.25;Durrer Ueli;;15;54.5;13;45.75;-2;0.5;8.75

17h;Wetzstein Adrian;*;;;;;;;;;54.0
+;;;Burch Jonas;*;;;;;;;9.75
o;3;9.75;Gloggner Philipp;***;13;55.0;5;8.75;2;-1.0;8.5
o;8;18.25;Gasser Dominik 2;;16;54.25;6;18.75;-2;0.5;8.75
+;11;27.0;Bucher Sandro (2000);;21;53.0;11;27.0;0;0.0;10.0
o;10;37.0;Wallimann Remo;;10;55.75;9;37.25;-1;0.25;8.5
o;14;45.5;Amgarten Roman;*;12;55.25;14;45.5;0;0.0;8.5

17i;Waser Christoph (2002);;;;;;;;;;54.0
+;;;Vogler Jakob (2000);;;;;;;;10.0
o;2;10.0;Zanini David (2000);;14;54.75;3;9.75;1;-0.25;8.5
o;7;18.5;Arnold Raphael;*;9;56.0;11;17.25;4;-1.25;8.5
o;11;27.0;Auf der Maur Alex;;17;54.0;11;27.0;0;0.0;8.5
+;16;35.5;Bucher Sandro (2000);;21;53.0;15;35.75;-1;0.25;10.0
o;14;45.5;Ming Christian 2;;11;55.5;13;45.75;-1;0.25;8.5

17j;Gwerder Beni;;;;;;;;;;54.0
o;;;Gut Koni;;;;;;;;8.5
+;6;8.5;Ettlin Michael;;18;53.75;6;8.5;0;0.0;10.0
o;7;18.5;Fessler Linus;**;9;56.0;10;17.5;3;-1.0;8.5
o;11;27.0;Della Torre Simon;;12;55.25;11;27.0;0;0.0;8.5
+;16;35.5;Küchler Severin;;21;53.0;16;35.5;0;0.0;10.0
o;14;45.5;Imfeld Beat;;12;55.25;14;45.5;0;0.0;8.5

17k;Albert Thomas;;;;;;;;;;54.0
o;;;Müller Roger;;;;;;;;8.5
o;6;8.5;Held Florian;;17;54.0;6;8.5;0;0.0;8.5
+;12;17.0;Kälin Markus (2001);;31;34.0;12;17.0;0;0.0;10.0
o;11;27.0;Hegner Ueli;*;16;54.25;15;26.0;4;-1.0;8.5
+;16;35.5;Strickler Fabio (2001);;23;52.5;16;35.5;0;0.0;10.0
o;14;45.5;Zgraggen Peter;;11;55.5;13;45.75;-1;0.25;8.5

18a;Ettlin Michael;;;;;;;;;;53.75
o;;;Heiniger Luca;;;;;;;;8.5
o;6;8.5;Gwerder Beni;;17;54.0;6;8.5;0;0.0;8.5
+;12;17.0;Ritter Fabio (2001);;18;53.75;12;17.0;0;0.0;10.0
o;11;27.0;Thalmann Thomas;*;20;53.25;14;26.25;3;-0.75;8.5
+;16;35.5;von Rickenbach Pirmin (2002);;23;52.5;16;35.5;0;0.0;9.75
o;15;45.25;Bucher Thomas;;14;54.75;16;45.0;1;-0.25;8.5

18b;Zumstein Marcel;;;;;;;;;;53.75
-;;;Schuler Alex;;;;;;;;8.75
+;5;8.75;Risi Martin;;22;52.75;6;8.5;1;-0.25;9.75
o;7;18.5;Heinzer Stefan;**;10;55.75;11;17.25;4;-1.25;8.5
+;11;27.0;Odermatt Fabian (2002);;18;53.75;11;27.0;0;0.0;9.75
o;11;36.75;Reichmuth Lukas (2000);*;8;56.25;11;36.75;0;0.0;8.5
o;15;45.25;Bürgi Tobias;;14;54.75;17;44.75;2;-0.5;8.5

18c;Kathriner Severin (2000);;;;;;;;;;53.75
+;;;von Matt Lars (2002);;;;;;;;10.0
+;2;10.0;Auf der Maur Michael (2000);;20;53.25;4;9.0;2;-1.0;9.75
o;3;19.75;Wyrsch Marco;**;5;57.0;7;18.5;4;-1.25;8.5
o;6;28.25;Kenel Franz-Toni;*;9;56.0;10;27.25;4;-1.0;8.5
o;11;36.75;Zanini David (2000);;14;54.75;12;36.5;1;-0.25;8.5
o;15;45.25;Widmer Dominik;;12;55.25;14;45.5;-1;0.25;8.5

18d;Scherrer Patrick;;;;;;;;;;53.75
-;;;Della Torre Simon;;;;;;;;8.75
+;5;8.75;Stalder Tim;;23;52.5;2;10.0;-3;1.25;10.0
o;6;18.75;Lussi Marco;*;12;55.25;8;18.25;2;-0.5;8.5
-;10;27.25;Durrer Lukas;;15;54.5;10;27.25;0;0.0;9.0
-;13;36.25;Zimmermann Simon;**;20;53.25;14;36.0;1;-0.25;8.75
-;16;45.0;Zimmermann Raffael (2000);;16;54.25;14;45.5;-2;0.5;8.75
o;18;53.75;Ming Hannes;;11;55.5;11;55.5;-7;1.75;0.0

18e;Ettlin Jan (2001);;;;;;;;;;53.75
+;;;Gabriel Christian (2000);;;;;;;;9.75
o;3;9.75;Widmer Dominik;;12;55.25;2;10.0;-1;0.25;8.5
+;8;18.25;von Büren Thomas (2002);;30;34.25;11;17.25;3;-1.0;10.0
o;6;28.25;Heiniger Marco;*;6;56.75;5;28.5;-1;0.25;8.5
o;11;36.75;Gut Koni;;13;55.0;11;36.75;0;0.0;8.5
o;15;45.25;Heinzer Stefan;**;10;55.75;13;45.75;-2;0.5;8.5

18f;Hurschler Mauri;;;;;;;;;;53.75
o;;;Supper Frederik;;;;;;;;8.5
+;6;8.5;Müller Patrick;;30;34.25;6;8.5;0;0.0;10.0
o;7;18.5;Fässler Dominic;**;16;54.25;11;17.25;4;-1.25;8.5
o;11;27.0;Bissig Fabian;;16;54.25;11;27.0;0;0.0;8.5
+;16;35.5;Bürgi Michael (2002);;17;54.0;16;35.5;0;0.0;9.75
o;15;45.25;Burch Thomas;;11;55.5;14;45.5;-1;0.25;8.5

18g;Käslin Valentin (2000);;;;;;;;;;53.75
o;;;Vogel Manuel;;;;;;;;8.5
+;6;8.5;Bürlimann Simo (2002);;30;34.25;6;8.5;0;0.0;9.75
+;8;18.25;Britschgi Markus;;17;54.0;7;18.5;-1;0.25;9.75
o;7;28.0;Arnold Daniel;*;9;56.0;7;28.0;0;0.0;8.5
-;12;36.5;Gisler Jonas (2001);;13;55.0;14;36.0;2;-0.5;8.75
o;15;45.25;Elsener Manuel;;13;55.0;16;45.0;1;-0.25;8.5

18h;Gassmann Michael;*;;;;;;;;;53.75
+;;;Arnold Raphael;*;;;;;;;9.75
o;3;9.75;Kurmann Toni;;6;56.75;2;10.0;-1;0.25;8.5
+;8;18.25;Heiniger Luca;;11;55.5;6;18.75;-2;0.5;9.75
o;7;28.0;Schuler Alex;***;1;110.25;1;54.75;-6;26.75;8.5
-;12;36.5;Bissig Fabian;;16;54.25;10;37.0;-2;0.5;8.75
o;15;45.25;Gloggner Philipp;***;13;55.0;16;45.0;1;-0.25;8.5

18i;Odermatt Fabian (2002);;;;;;;;;;53.75
+;;;Durrer Pascal (2002);;;;;;;;10.0
o;2;10.0;Bürgi Tobias;;14;54.75;4;9.0;2;-1.0;8.5
o;7;18.5;Burch Thomas;;11;55.5;7;18.5;0;0.0;8.5
o;11;27.0;Zumstein Marcel;;18;53.75;11;27.0;0;0.0;8.5
o;16;35.5;Ritter Fabio (2001);;18;53.75;16;35.5;0;0.0;8.5
+;20;44.0;von Rickenbach Pirmin (2002);;23;52.5;20;44.0;0;0.0;9.75

18j;Zimmermann Reto;;;;;;;;;;53.75
+;;;Spichtig Clemens;;;;;;;;10.0
o;2;10.0;von Ah Markus;;13;55.0;3;9.75;1;-0.25;8.5
o;7;18.5;Bachmann Roger;*;9;56.0;10;17.5;3;-1.0;8.5
o;11;27.0;Gander Benjamin (2000);;17;54.0;10;27.25;-1;0.25;8.5
o;16;35.5;Imfeld Beat;;12;55.25;15;35.75;-1;0.25;8.5
+;20;44.0;Vogler Jakob (2000);;23;52.5;20;44.0;0;0.0;9.75

18k;Ritter Fabio (2001);;;;;;;;;;53.75
o;;;Vogler Jonas;;;;;;;;8.5
o;6;8.5;Durrer Markus;;10;55.75;6;8.5;0;0.0;8.5
o;12;17.0;Ettlin Michael;;18;53.75;12;17.0;0;0.0;8.5
+;17;25.5;von Matt Lars (2002);;31;34.0;17;25.5;0;0.0;10.0
+;16;35.5;Odermatt Fabian (2002);;18;53.75;16;35.5;0;0.0;9.75
o;15;45.25;Vonlaufen Lukas;*;16;54.25;18;44.5;3;-0.75;8.5

18l;Spichtig Clemens;;;;;;;;;;53.75
o;;;Zimmermann Reto;;;;;;;;8.5
+;6;8.5;von Rickenbach Pirmin (2002);;23;52.5;6;8.5;0;0.0;9.75
+;8;18.25;Müller Dominik;;30;34.25;11;17.25;3;-1.0;9.75
o;7;28.0;Bieri Christian;**;11;55.5;7;28.0;0;0.0;8.5
-;12;36.5;Schuler Daniel;*;16;54.25;15;35.75;3;-0.75;8.75
o;15;45.25;Bühler Patrice;;12;55.25;14;45.5;-1;0.25;8.5

18m;Mehr Lars (2002);;;;;;;;;;53.75
+;;;von Rickenbach Pirmin (2002);;;;;;;;9.75
o;3;9.75;Wicki David;;14;54.75;2;10.0;-1;0.25;8.5
-;8;18.25;Ettlin Thomas (2000);;20;53.25;7;18.5;-1;0.25;8.75
o;11;27.0;Vogel Marcel;;16;54.25;10;27.25;-1;0.25;8.5
+;16;35.5;Britschgi Markus;;17;54.0;16;35.5;0;0.0;9.75
o;15;45.25;Schuler Daniel;*;16;54.25;18;44.5;3;-0.75;8.5

19a;Wiget Ueli;;;;;;;;;;53.5
+;;;Rohrer Michael;;;;;;;;9.75
o;3;9.75;Ming Hannes;;11;55.5;5;8.75;2;-1.0;8.5
+;8;18.25;Stalder Tim;;23;52.5;7;18.5;-1;0.25;9.75
o;7;28.0;Ettlin Stefan;*;7;56.5;8;27.75;1;-0.25;8.5
o;12;36.5;von Ah Markus;;13;55.0;11;36.75;-1;0.25;8.5
o;16;45.0;Röthlin Pascal;;13;55.0;15;45.25;-1;0.25;8.5

19b;Supper Frederik;;;;;;;;;;53.5
+;;;Hurschler Mauri;;;;;;;;10.0
-;2;10.0;Ettlin Thomas (2000);;20;53.25;3;9.75;1;-0.25;9.0
-;5;19.0;Hess Dominik;*;11;55.5;7;18.5;2;-0.5;8.75
o;8;27.75;Burch Jonas;*;14;54.75;9;27.5;1;-0.25;8.5
o;13;36.25;Durrer Markus;;10;55.75;10;37.0;-3;0.75;8.5
-;17;44.75;Vogel Marcel;;16;54.25;14;45.5;-3;0.75;8.75

20a;Ming Christian;*;;;;;;;;;53.25
o;;;Reichmuth Lukas (2000);*;;;;;;;8.5
o;6;8.5;Arnold Daniel;*;9;56.0;6;8.5;0;0.0;8.75
-;11;17.25;Herger Simon;;15;54.5;7;18.5;-4;1.25;8.75
+;15;26.0;Briker Hannes;;26;35.25;12;26.75;-3;0.75;10.0
-;14;36.0;Zgraggen Peter;;11;55.5;15;35.75;1;-0.25;8.75
o;17;44.75;Peng Mike;***;14;54.75;17;44.75;0;0.0;8.5

20b;Thalmann Thomas;*;;;;;;;;;53.25
-;;;Niederberger Markus;*;;;;;;;8.75
-;5;8.75;Durrer Nando;;8;56.25;2;10.0;-3;1.25;8.75
-;10;17.5;Imfeld Beat;;12;55.25;7;18.5;-3;1.0;8.75
+;14;26.25;Ettlin Michael;;18;53.75;11;27.0;-3;0.75;9.75
-;14;36.0;Peng Mike;***;14;54.75;14;36.0;0;0.0;8.75
o;17;44.75;Odermatt Andreas;*;14;54.75;17;44.75;0;0.0;8.5

20c;Zimmermann Simon;**;;;;;;;;;53.25
-;;;Fässler Dominic;**;;;;;;;8.75
o;5;8.75;Betschart Remo;**;5;57.0;5;8.75;0;0.0;8.5
+;11;17.25;Wyss Christian;;11;55.5;7;18.5;-4;1.25;10.0
-;10;27.25;Bienz Romeo;;15;54.5;10;27.25;0;0.0;8.75
-;14;36.0;Scherrer Patrick;;18;53.75;13;36.25;-1;0.25;8.75
o;17;44.75;Heinzer Josef;;12;55.25;15;45.25;-2;0.5;8.5

20d;Ettlin Thomas (2000);;;;;;;;;;53.25
+;;;Kälin Markus (2001);;;;;;;;9.75
-;3;9.75;Supper Frederik;;19;53.5;2;10.0;-1;0.25;8.75
-;7;18.5;Mehr Lars (2002);;18;53.75;8;18.25;1;-0.25;8.75
o;10;27.25;Binggeli Stefan;*;10;55.75;12;26.75;2;-0.5;8.5
-;15;35.75;Christen Thomas;;16;54.25;16;35.5;1;-0.25;9.0
o;17;44.75;Arnold Lukas;;15;54.5;18;44.5;1;-0.25;8.5

20e;Auf der Maur Michael (2000);;;;;;;;;;53.25
-;;;von Wyl Simon;;;;;;;;9.0
o;4;9.0;Kathriner Severin (2000);;18;53.75;2;10.0;-2;1.0;8.5
-;10;17.5;von Flüe Michael;;27;35.0;10;17.5;0;0.0;8.75
+;14;26.25;Christen Silvan (2002);;28;34.75;14;26.25;0;0.0;10.0
o;13;36.25;Amgarten Roman;*;12;55.25;15;35.75;2;-0.5;8.5
o;17;44.75;Gander Adrian;*;15;54.5;17;44.75;0;0.0;8.5

21a;Müller Ivo (2002);;;;;;;;;;53.0
-;;;von Büren Thomas (2002);;;;;;;;8.75
+;5;8.75;Auf der Maur Michael (2002);;31;34.0;6;8.5;1;-0.25;10.0
o;6;18.75;Reichmuth Lukas (2000);*;8;56.25;8;18.25;2;-0.5;8.5
-;10;27.25;Herger Simon;;15;54.5;10;27.25;0;0.0;8.75
o;14;36.0;Durrer Ueli;;15;54.5;15;35.75;1;-0.25;8.5
o;18;44.5;Fallegger Joel;;14;54.75;17;44.75;-1;0.25;8.5

21b;Gisler Silvan (2002);;;;;;;;;;53.0
-;;;Bucher Sandro (2000);;;;;;;;8.75
o;5;8.75;Gasser Dominik 1;;11;55.5;6;8.5;1;-0.25;8.5
o;11;17.25;Rohrer André;;21;53.0;11;17.25;0;0.0;8.5
+;16;25.75;von Büren Thomas (2002);;30;34.25;16;25.75;0;0.0;10.0
o;15;35.75;Odermatt Lars (2002);;16;54.25;15;35.75;0;0.0;8.75
o;18;44.5;Zemp Simon (2001);;16;54.25;19;44.25;1;-0.25;8.5

21c;Hess Severin (2001);;;;;;;;;;53.0
+;;;Gabriel Simon (2002);;;;;;;;9.75
o;3;9.75;Auf der Maur Alex;;17;54.0;5;8.75;2;-1.0;8.5
-;8;18.25;Durrer Pascal (2002);;22;52.75;7;18.5;-1;0.25;8.75
-;11;27.0;Strickler Fabio (2001);;23;52.5;12;26.75;1;-0.25;8.75
o;15;35.75;Rüttimann Daniel;;15;54.5;15;35.75;0;0.0;8.5
-;19;44.25;Bucher Sandro (2000);;21;53.0;19;44.25;0;0.0;8.75

21d;Ettlin Kevin (2001);;;;;;;;;;53.0
-;;;Christen Silvan (2002);;;;;;;;9.0
+;4;9.0;von Büren Thomas (2002);;30;34.25;5;8.75;1;-0.25;10.0
o;5;19.0;Durrer Fabian;*;14;54.75;8;18.25;3;-0.75;8.5
o;9;27.5;Arnold Raphael;*;9;56.0;10;27.25;1;-0.25;8.5
o;14;36.0;Bienz Romeo;;15;54.5;14;36.0;0;0.0;8.5
o;18;44.5;Christen Thomas;;16;54.25;18;44.5;0;0.0;8.5

21e;Bucher Sandro (2000);;;;;;;;;;53.0
-;;;Gisler Silvan (2002);;;;;;;;8.75
o;5;8.75;Arnold Lukas;;15;54.5;5;8.75;0;0.0;8.5
+;11;17.25;Gabriel Simon (2002);;21;53.0;10;17.5;-1;0.25;9.75
o;11;27.0;Wetzstein Adrian;*;17;54.0;11;27.0;0;0.0;8.75
o;15;35.75;Waser Christoph (2002);;17;54.0;16;35.5;1;-0.25;8.5
-;19;44.25;Hess Severin (2001);;21;53.0;19;44.25;0;0.0;8.75

21f;Rohrer André;;;;;;;;;;53.0
-;;;Fallegger Joel;;;;;;;;8.75
o;5;8.75;Ulrich Marcel;;26;35.25;6;8.5;1;-0.25;8.5
+;11;17.25;Gisler Silvan (2002);;21;53.0;11;17.25;0;0.0;10.0
o;10;27.25;Peng Mike;***;14;54.75;14;26.25;4;-1.0;8.5
-;15;35.75;Wicki Patrick;;14;54.75;14;36.0;-1;0.25;8.75
o;18;44.5;Gisler Jonas (2001);;13;55.0;16;45.0;-2;0.5;8.5

21g;Gabriel Simon (2002);;;;;;;;;;53.0
o;;;Hess Severin (2001);;;;;;;;8.5
-;6;8.5;von Flüe Michael;;27;35.0;6;8.5;0;0.0;9.0
o;10;17.5;Bucher Sandro (2000);;21;53.0;11;17.25;1;-0.25;8.5
