4161-2019-06-02_Luzerner_Kant_Schwingfest-ST

1a;Heinzer Stefan;**;;;;;;;;;112.0
+;5;8.75;Müller Roger;*;17;54.5;6;8.5;1;-0.25;10.0
+;6;18.75;Troxler Jonas;;8;56.75;3;19.75;-3;1.0;10.0
-;7;28.75;Gloggner Reto;**;7;57.0;8;28.5;1;-0.25;8.75
+;10;37.5;Schaller Noah;;14;55.25;8;38.0;-2;0.5;9.75
-;9;47.25;Barmet Sven;;12;55.75;11;46.75;2;-0.5;9.0

10e;Binggeli Stefan;**;;;;;;;;;56.25
-;;;Kessler Joel;*;;;;;;;8.75
-;5;8.75;Grab Daniel;**;10;56.25;5;8.75;0;0.0;8.75
+;11;17.5;Herger Andreas;;16;54.75;6;18.75;-5;1.25;10.0
+;12;27.5;Banz Matthias (2001);;19;54.0;9;28.25;-3;0.75;10.0
+;10;37.5;Lustenberger Marc (2003);;14;55.25;10;37.5;0;0.0;10.0
-;8;47.5;Vogel Remo;**;10;56.25;8;47.5;0;0.0;8.75

10f;Fellmann Roman;**;;;;;;;;;56.25
-;;;Käslin Benno;*;;;;;;;9.0
-;4;9.0;Höﬂiger Andreas;**;11;56.0;4;9.0;0;0.0;8.75
+;10;17.75;Lagler Reto;;18;54.25;6;18.75;-4;1.0;10.0
+;11;27.75;Vogel Manuel;;15;55.0;9;28.25;-2;0.5;10.0
-;9;37.75;Burkhalter Stefan;***;11;56.0;11;37.25;2;-0.5;8.75
+;12;46.5;Bühler Kilian;;13;55.5;10;47.0;-2;0.5;9.75

10g;Jund Matthias;;;;;;;;;;56.25
+;;;Fischer Maurus (2001);;;;;;;;9.75
+;3;9.75;Banz Matthias (2001);;19;54.0;3;9.75;0;0.0;9.75
o;4;19.5;Zgraggen Fabian;*;14;55.25;7;18.5;3;-1.0;8.5
+;10;28.0;Stadelmann Simon;*;18;54.25;14;27.0;4;-1.0;10.0
o;8;38.0;Steinauer Adrian;**;8;56.75;11;37.25;3;-0.75;8.5
+;12;46.5;Suter Pirmin;;14;55.25;11;46.75;-1;0.25;9.75

10h;Arnold Raphael;**;;;;;;;;;56.25
-;;;Fankhauser Reto;**;;;;;;;9.0
-;4;9.0;Dissler Philipp;*;13;55.5;6;8.5;2;-0.5;8.75
+;10;17.75;Gisler Stefan;;20;53.75;7;18.5;-3;0.75;9.75
+;12;27.5;Bühler Kilian;;13;55.5;8;28.5;-4;1.0;9.75
-;11;37.25;Schmidiger Marco;*;14;55.25;11;37.25;0;0.0;9.0
+;13;46.25;Fallegger Joel;;16;54.75;13;46.25;0;0.0;10.0

10i;Kempf Elias;**;;;;;;;;;56.25
-;;;Bernet Christoph;*;;;;;;;8.75
-;5;8.75;Vogel Remo;**;10;56.25;5;8.75;0;0.0;8.75
+;11;17.5;Widmer Simon;;18;54.25;7;18.5;-4;1.0;10.0
+;12;27.5;Achermann Simon;;13;55.5;8;28.5;-4;1.0;10.0
-;10;37.5;Scherer Niklaus;*;13;55.5;12;37.0;2;-0.5;8.75
+;13;46.25;Hürlimann Mathias;*;16;54.75;13;46.25;0;0.0;10.0

10j;Grab Daniel;**;;;;;;;;;56.25
-;;;Stöckli Damian;*;;;;;;;8.75
-;5;8.75;Binggeli Stefan;**;10;56.25;5;8.75;0;0.0;8.75
-;11;17.5;Vogel Marcel;;19;54.0;7;18.5;-4;1.0;8.75
+;16;26.25;Häller Nick (2002);;22;53.25;13;27.25;-3;1.0;10.0
+;15;36.25;Kammermann Thomas;*;12;55.75;12;37.0;-3;0.75;10.0
