4161-2019-06-02_Luzerner_Kant_Schwingfest-ST

1a;Heinzer Stefan;**;;;;;;;;;112.0
o;3;9.75;Müller Mathias;;13;55.5;2;10.0;-1;0.25;8.5
o;8;18.25;Fallegger Joel;;16;54.75;11;17.5;3;-0.75;8.5
o;15;26.75;Affentranger Martin;;21;53.5;15;26.75;0;0.0;8.75

29c;Forster Christian;;;;;;;;;;35.5
+;;;Duss Yvan (2003);;;;;;;;10.0
o;2;10.0;Wyss Sven (2001);;8;56.75;2;10.0;0;0.0;8.5
o;7;18.5;Stöckli Damian;*;11;56.0;12;17.25;5;-1.25;8.5
o;14;27.0;Ming Christian 2;;19;54.0;14;27.0;0;0.0;8.5

29d;Egli Samuel;;;;;;;;;;35.5
o;;;Theiler Thomas;;;;;;;;8.5
+;6;8.5;Bürli Daniel (2003);;34;34.0;6;8.5;0;0.0;10.0
o;7;18.5;Bühlmann Daniel;;12;55.75;7;18.5;0;0.0;8.5
o;14;27.0;Bucheli Dario (2001);;17;54.5;14;27.0;0;0.0;8.5

29e;Wicki David (2002);;;;;;;;;;35.5
o;;;Birrer Marcel (2001);;;;;;;;8.5
o;6;8.5;Wicki Patrick;;12;55.75;6;8.5;0;0.0;8.5
+;13;17.0;Albisser Jannik (2003);;34;34.0;13;17.0;0;0.0;10.0
o;14;27.0;Bürgler Lukas;*;16;54.75;17;26.0;3;-1.0;8.5

29f;Staub Ivan;;;;;;;;;;35.5
o;;;Kurmann Jvo;;;;;;;;8.5
+;6;8.5;Hodel Joel (2003);;29;35.5;6;8.5;0;0.0;10.0
o;7;18.5;Dissler Philipp;*;13;55.5;12;17.25;5;-1.25;8.5
o;14;27.0;Vogel Marcel;;19;54.0;13;27.25;-1;0.25;8.5

29g;Peter Lukas (2001);;;;;;;;;;35.5
o;;;Epp Elias (2003);;;;;;;;8.5
+;6;8.5;Erni Jano (2003);;34;34.0;6;8.5;0;0.0;10.0
o;7;18.5;Durrer Jonas (2003);*;16;54.75;11;17.5;4;-1.0;8.5
o;14;27.0;Wüest David;;13;55.5;10;28.0;-4;1.0;8.5

29h;Bernet Raffael;;;;;;;;;;35.5
o;;;Schöpfer Marco (2003);;;;;;;;8.5
+;6;8.5;Gloggner Elias (2002);;29;35.5;6;8.5;0;0.0;10.0
o;7;18.5;Schnider Markus;*;22;53.25;12;17.25;5;-1.25;8.5
o;14;27.0;Gisler Stefan;;20;53.75;14;27.0;0;0.0;8.5

29i;Betschart Marcel;*;;;;;;;;;35.5
o;;;Fink Bruno;*;;;;;;;8.5
o;6;8.5;Schärli Reto;*;12;55.75;6;8.5;0;0.0;8.5
o;13;17.0;Bucher Thomas;;13;55.5;7;18.5;-6;1.5;8.5
+;19;25.5;Vogel Ivo (2001);;29;35.5;14;27.0;-5;1.5;10.0

29j;Rogenmoser Linus (2002);;;;;;;;;;35.5
o;;;Fischer Markus;;;;;;;;8.5
-;6;8.5;Heller Ivan (2003);;18;54.25;6;8.5;0;0.0;8.75
+;12;17.25;Wobmann Manuel (2003);;34;34.0;13;17.0;1;-0.25;9.75
o;14;27.0;Portmann Curdin (2003);;21;53.5;15;26.75;1;-0.25;8.5

29k;Hodel Iwan (2002);;;;;;;;;;35.5
o;;;Risi Janik;;;;;;;;8.5
o;6;8.5;Stäger Franz;;18;54.25;4;9.0;-2;0.5;8.5
+;13;17.0;Würsch Kevin (2003);;29;35.5;13;17.0;0;0.0;10.0
o;14;27.0;Roschi Adrian;;19;54.0;15;26.75;1;-0.25;8.5

29l;Wigger Simon;;;;;;;;;;35.5
+;;;Birrer Sandro (2003);;;;;;;;10.0
o;2;10.0;Marti Simon;;14;55.25;3;9.75;1;-0.25;8.5
o;7;18.5;Elmiger Andreas;;27;36.5;8;18.25;1;-0.25;8.5
o;14;27.0;Hodler Mathias;;19;54.0;14;27.0;0;0.0;8.5

29m;Gloggner Elias (2002);;;;;;;;;;35.5
o;;;Schmid Pius;;;;;;;;8.5
o;6;8.5;Bernet Raffael;;29;35.5;6;8.5;0;0.0;8.5
+;13;17.0;Bürli Daniel (2003);;34;34.0;13;17.0;0;0.0;10.0
o;14;27.0;von Ah Markus;;14;55.25;14;27.0;0;0.0;8.5

29n;von Flüe Michael;;;;;;;;;;35.5
o;;;Elmiger Andreas;;;;;;;;8.75
+;5;8.75;Wobmann Manuel (2003);;34;34.0;6;8.5;1;-0.25;9.75
o;7;18.5;Stadelmann Simon;*;18;54.25;13;17.0;6;-1.5;8.5
o;14;27.0;Achermann Severin;;13;55.5;14;27.0;0;0.0;8.5

29o;Würsch Kevin (2003);;;;;;;;;;35.5
o;;;Steinger Nico (2001);;;;;;;;8.5
o;6;8.5;Achermann Severin;;13;55.5;6;8.5;0;0.0;8.5
o;13;17.0;Hodel Iwan (2002);;29;35.5;13;17.0;0;0.0;8.5
+;19;25.5;Koch Florian (2003);;34;34.0;19;25.5;0;0.0;10.0

29p;Bühler Ramon (2002);;;;;;;;;;35.5
o;;;Wyss Sven (2001);;;;;;;;8.5
o;6;8.5;Widmer Dominik;;19;54.0;5;8.75;-1;0.25;8.5
+;13;17.0;Johann Kilian (2003);;34;34.0;13;17.0;0;0.0;10.0
o;14;27.0;Bättig Patrick (2003);;19;54.0;14;27.0;0;0.0;8.5

29q;Arnold Sebastian;;;;;;;;;;35.5
o;;;Portmann Roger;;;;;;;;8.5
+;6;8.5;Müller Silvio (2003);;32;34.5;6;8.5;0;0.0;10.0
o;7;18.5;Wyrsch Silvio;*;13;55.5;12;17.25;5;-1.25;8.5
o;14;27.0;Wyss Christian;;11;56.0;13;27.25;-1;0.25;8.5

29r;Betschart Silvan;*;;;;;;;;;35.5
o;;;Widmer Adrian;*;;;;;;;8.5
o;6;8.5;Brun Jonas;**;8;56.75;5;8.75;-1;0.25;8.5
+;13;17.0;Grüter Marcel;;29;35.5;7;18.5;-6;1.5;10.0
o;14;27.0;Bieri Elias;;13;55.5;9;28.25;-5;1.25;8.5

29s;Käslin Benno;*;;;;;;;;;35.5
-;;;Fellmann Roman;**;;;;;;;8.75
o;5;8.75;Felder Martin;*;6;57.25;5;8.75;0;0.0;8.5
o;12;17.25;Bühler Kilian;;13;55.5;7;18.5;-5;1.25;8.5
+;18;25.75;Theiler Thomas;;28;35.75;14;27.0;-4;1.25;9.75

29t;Blattmann Philipp;;;;;;;;;;35.5
o;;;Schaller Noah;;;;;;;;8.5
+;6;8.5;Waser David (2002);;30;35.25;6;8.5;0;0.0;10.0
o;7;18.5;Barmet Sven;;12;55.75;8;18.25;1;-0.25;8.5
o;14;27.0;Bühler Patrice;;12;55.75;13;27.25;-1;0.25;8.5

29u;Schmid Joel;;;;;;;;;;35.5
+;;;Jung Valentin (2003);;;;;;;;9.75
-;3;9.75;Egli Matthias (2001);;17;54.5;2;10.0;-1;0.25;8.75
o;7;18.5;Odermatt Andreas;*;12;55.75;11;17.5;4;-1.0;8.5
o;14;27.0;Föhn Christian (2002);;19;54.0;14;27.0;0;0.0;8.5

29v;Betschart Roger (2003);;;;;;;;;;35.5
+;;;Burri Ueli;;;;;;;;9.75
o;3;9.75;Portmann Roger;;13;55.5;3;9.75;0;0.0;8.5
-;8;18.25;Häller Nick (2002);;22;53.25;8;18.25;0;0.0;8.75
o;14;27.0;Stäger Franz;;18;54.25;13;27.25;-1;0.25;8.5

29w;Birrer Sandro (2003);;;;;;;;;;35.5
o;;;Wigger Simon;;;;;;;;8.5
o;6;8.5;Achermann Ueli (2001);;30;35.25;6;8.5;0;0.0;8.5
o;13;17.0;Reichlin Reto (2002);;20;53.75;13;17.0;0;0.0;8.5
+;19;25.5;Schöpfer Roman (2003);;34;34.0;19;25.5;0;0.0;10.0

29x;Grüter Marcel;;;;;;;;;;35.5
o;;;Lustenberger Florian (2002);;;;;;;;8.5
+;6;8.5;Schumacher Marco;;19;54.0;5;8.75;-1;0.25;10.0
o;7;18.5;Betschart Silvan;*;29;35.5;13;17.0;6;-1.5;8.5
o;14;27.0;Waser Christoph (2002);;14;55.25;14;27.0;0;0.0;8.5

29y;Vogel Ivo (2001);;;;;;;;;;35.5
-;;;Kälin Michael (2002);;;;;;;;8.75
o;5;8.75;Roschi Adrian;;19;54.0;6;8.5;1;-0.25;8.5
+;12;17.25;Baumeler Fabian;;33;34.25;12;17.25;0;0.0;9.75
o;14;27.0;Betschart Marcel;*;29;35.5;19;25.5;5;-1.5;8.5

29z;Gwerder Beni;;;;;;;;;;35.5
+;;;Wicki Kevin;;;;;;;;9.75
-;3;9.75;Bucher Thomas;;13;55.5;3;9.75;0;0.0;8.75
o;7;18.5;Fässler Dominic;**;14;55.25;13;17.0;6;-1.5;8.5
o;14;27.0;Kurmann Jvo;;13;55.5;14;27.0;0;0.0;8.5

30a;Schmid Julian (2001);;;;;;;;;;35.25
o;;;Fellmann Simon;;;;;;;;8.5
o;6;8.5;Bättig Patrick (2003);;19;54.0;6;8.5;0;0.0;8.5
+;13;17.0;Arnold Adrian (2001);;33;34.25;13;17.0;0;0.0;9.75
o;15;26.75;Wyrsch Gabriel (2001);;20;53.75;15;26.75;0;0.0;8.5

30b;Giger Janik (2002);;;;;;;;;;35.25
+;;;Krieg Silvan;;;;;;;;9.75
o;3;9.75;Achermann Daniel;;20;53.75;3;9.75;0;0.0;8.5
o;8;18.25;Wicki Patrick;;12;55.75;7;18.5;-1;0.25;8.5
o;15;26.75;Hodel Martin;;16;54.75;16;26.25;1;-0.5;8.5

30c;Jung Valentin (2003);;;;;;;;;;35.25
o;;;Schmid Joel;;;;;;;;8.5
o;6;8.5;Ettlin Kevin (2001);;13;55.5;6;8.5;0;0.0;8.5
o;13;17.0;Wicki Fabian (2001);;18;54.25;13;17.0;0;0.0;8.5
+;19;25.5;Erni Jano (2003);;34;34.0;19;25.5;0;0.0;9.75

30d;Bullakaj Benhard;;;;;;;;;;35.25
o;;;Betschart Daniel;;;;;;;;8.5
+;6;8.5;Reichlin Reto (2002);;20;53.75;6;8.5;0;0.0;9.75
o;8;18.25;Meier Andreas;;20;53.75;8;18.25;0;0.0;8.5
o;15;26.75;Johann Michael (2001);;21;53.5;15;26.75;0;0.0;8.5

30e;Waser David (2002);;;;;;;;;;35.25
o;;;Wyrsch Gabriel (2001);;;;;;;;8.5
o;6;8.5;Blattmann Philipp;;29;35.5;6;8.5;0;0.0;8.5
+;13;17.0;Kottmann Daniel;;30;35.25;13;17.0;0;0.0;9.75
o;15;26.75;Schmid Pius;;20;53.75;15;26.75;0;0.0;8.5

30f;Füglister Florian (2002);;;;;;;;;;35.25
o;;;Egli Christian;;;;;;;;8.5
o;6;8.5;Murpf Dario;;16;54.75;4;9.0;-2;0.5;8.5
+;13;17.0;Schöpfer Roman (2003);;34;34.0;13;17.0;0;0.0;9.75
o;15;26.75;Broch Marcel (2002);;24;52.75;17;26.0;2;-0.75;8.5

30g;Kottmann Daniel;;;;;;;;;;35.25
o;;;Bucher Thomas;;;;;;;;8.5
o;6;8.5;Föhn Christian (2002);;19;54.0;6;8.5;0;0.0;8.5
o;13;17.0;Waser David (2002);;30;35.25;13;17.0;0;0.0;8.5
+;19;25.5;Arnold Adrian (2001);;33;34.25;19;25.5;0;0.0;9.75

30h;Achermann Ueli (2001);;;;;;;;;;35.25
o;;;Häller Nick (2002);;;;;;;;8.5
+;6;8.5;Birrer Sandro (2003);;29;35.5;6;8.5;0;0.0;9.75
o;8;18.25;Beer Andy;;21;53.5;8;18.25;0;0.0;8.5
o;15;26.75;Brunner Timon;;17;54.5;17;26.0;2;-0.75;8.5

30i;Duss Yvan (2003);;;;;;;;;;35.25
o;;;Forster Christian;;;;;;;;8.5
+;6;8.5;Krieg Silvan;;24;52.75;6;8.5;0;0.0;9.75
o;8;18.25;Epp Elias (2003);;16;54.75;8;18.25;0;0.0;8.5
o;15;26.75;Marti Philipp (2002);;19;54.0;15;26.75;0;0.0;8.5

31a;Theiler Andre (2003);;;;;;;;;;34.75
-;;;Schumacher Ramon (2002);;;;;;;;9.0
o;4;9.0;Bussmann Martin;;20;53.75;6;8.5;2;-0.5;8.5
-;11;17.5;Rust Silvio (2001);;31;34.75;11;17.5;0;0.0;8.75
o;16;26.25;Marti Pirmin (2001);;24;52.75;17;26.0;1;-0.25;8.5

31b;Rust Silvio (2001);;;;;;;;;;34.75
o;;;Vogel Manuel;;;;;;;;8.5
-;6;8.5;Amrhyn Christoph (2002);;17;54.5;5;8.75;-1;0.25;9.0
-;11;17.5;Theiler Andre (2003);;31;34.75;11;17.5;0;0.0;8.75
o;16;26.25;Risi Janik;;21;53.5;15;26.75;-1;0.5;8.5

32a;Müller Silvio (2003);;;;;;;;;;34.5
o;;;Ziegler Elias;;;;;;;;8.5
o;6;8.5;Arnold Sebastian;;29;35.5;6;8.5;0;0.0;8.5
-;13;17.0;Jauch Marco (2002);;22;53.25;12;17.25;-1;0.25;9.0
o;17;26.0;Reichlin Reto (2002);;20;53.75;15;26.75;-2;0.75;8.5

33a;Arnold Adrian (2001);;;;;;;;;;34.25
o;;;Suter Bruno (2002);;;;;;;;8.5
o;6;8.5;von Ah Markus;;14;55.25;5;8.75;-1;0.25;8.5
o;13;17.0;Schmid Julian (2001);;30;35.25;13;17.0;0;0.0;8.5
o;19;25.5;Kottmann Daniel;;30;35.25;19;25.5;0;0.0;8.75

33b;Staffelbach Noah (2003);;;;;;;;;;34.25
o;;;Barmet Sven;;;;;;;;8.5
o;6;8.5;Fischer Maurus (2001);;19;54.0;5;8.75;-1;0.25;8.5
o;13;17.0;Marti Philipp (2002);;19;54.0;13;17.0;0;0.0;8.5
-;19;25.5;Schmidiger Kevin (2002);;33;34.25;19;25.5;0;0.0;8.75

33c;Schmidiger Kevin (2002);;;;;;;;;;34.25
o;;;Supper Frederik;;;;;;;;8.5
o;6;8.5;Gwerder Fabian;;20;53.75;6;8.5;0;0.0;8.5
o;13;17.0;Hodel Joel (2003);;29;35.5;13;17.0;0;0.0;8.5
-;19;25.5;Staffelbach Noah (2003);;33;34.25;19;25.5;0;0.0;8.75

33d;Baumeler Fabian;;;;;;;;;;34.25
o;;;Lustenberger Marc (2003);;;;;;;;8.5
o;6;8.5;Egli Adrian (2002);;17;54.5;5;8.75;-1;0.25;8.75
o;12;17.25;Vogel Ivo (2001);;29;35.5;12;17.25;0;0.0;8.5
o;18;25.75;Zihlmann Pascal (2003);;19;54.0;17;26.0;-1;0.25;8.5

33e;Füglister Stefan (2003);;;;;;;;;;34.25
-;;;Schumacher Marco;;;;;;;;8.75
o;5;8.75;Bühlmann Daniel;;12;55.75;6;8.5;1;-0.25;8.5
o;12;17.25;Kälin Michael (2002);;21;53.5;10;17.75;-2;0.5;8.5
o;18;25.75;Krieg Silvan;;24;52.75;17;26.0;-1;0.25;8.5

34a;Wobmann Manuel (2003);;;;;;;;;;34.0
o;;;Bucheli Dario (2001);;;;;;;;8.5
o;6;8.5;von Flüe Michael;;29;35.5;5;8.75;-1;0.25;8.5
o;13;17.0;Rogenmoser Linus (2002);;29;35.5;12;17.25;-1;0.25;8.5
o;19;25.5;Troxler Silvan (2002);;19;54.0;17;26.0;-2;0.5;8.5

34b;Johann Kilian (2003);;;;;;;;;;34.0
o;;;Zumstein Patrick;;;;;;;;8.5
o;6;8.5;Vogel Marcel;;19;54.0;6;8.5;0;0.0;8.5
o;13;17.0;Bühler Ramon (2002);;29;35.5;13;17.0;0;0.0;8.5
o;19;25.5;Burri Ueli;;21;53.5;17;26.0;-2;0.5;8.5

34c;Schöpfer Roman (2003);;;;;;;;;;34.0
o;;;Huser Christian;;;;;;;;8.5
o;6;8.5;Gasser Dominik 2;;12;55.75;4;9.0;-2;0.5;8.5
o;13;17.0;Füglister Florian (2002);;30;35.25;13;17.0;0;0.0;8.5
o;19;25.5;Birrer Sandro (2003);;29;35.5;19;25.5;0;0.0;8.5

34d;Erni Jano (2003);;;;;;;;;;34.0
o;;;Muff Reto;;;;;;;;8.5
o;6;8.5;Peter Lukas (2001);;29;35.5;6;8.5;0;0.0;8.5
o;13;17.0;Wigger Fabian;;23;53.0;11;17.5;-2;0.5;8.5
o;19;25.5;Jung Valentin (2003);;30;35.25;19;25.5;0;0.0;8.5

34e;Koch Florian (2003);;;;;;;;;;34.0
o;;;Egli Matthias (2001);;;;;;;;8.5
o;6;8.5;Meier Andreas;;20;53.75;6;8.5;0;0.0;8.5
o;13;17.0;Schumacher Marco;;19;54.0;12;17.25;-1;0.25;8.5
o;19;25.5;Würsch Kevin (2003);;29;35.5;19;25.5;0;0.0;8.5

34f;Albisser Jannik (2003);;;;;;;;;;34.0
o;;;Troxler Jonas;;;;;;;;8.5
o;6;8.5;Krummenacher Roman;;18;54.25;6;8.5;0;0.0;8.5
o;13;17.0;Wicki David (2002);;29;35.5;13;17.0;0;0.0;8.5
o;19;25.5;Heller Ivan (2003);;18;54.25;18;25.75;-1;0.25;8.5

34g;Bürli Daniel (2003);;;;;;;;;;34.0
o;;;Müller Daniel (2002);;;;;;;;8.5
o;6;8.5;Egli Samuel;;29;35.5;6;8.5;0;0.0;8.5
o;13;17.0;Gloggner Elias (2002);;29;35.5;13;17.0;0;0.0;8.5
o;19;25.5;Jauch Marco (2002);;22;53.25;17;26.0;-2;0.5;8.5

35a;Egli Christian;;;;;;;;;;27.0
+;;;Füglister Florian (2002);;;;;;;;10.0
o;2;10.0;Lustenberger Josef;;13;55.5;3;9.75;1;-0.25;8.5
o;7;18.5;Schmid Simon;*;12;55.75;12;17.25;5;-1.25;8.5

35b;Zurﬂuh Michael;*;;;;;;;;;27.0
o;;;Gerber Peter;*;;;;;;;8.75
+;5;8.75;Fässler Dominic;**;14;55.25;6;8.5;1;-0.25;9.75
o;7;18.5;Kaufmann Reto (2002);;8;56.75;3;19.75;-4;1.25;8.5

36a;Keller Janik;*;;;;;;;;;25.75
-;;;Schnider Markus;*;;;;;;;8.75
o;5;8.75;Graber Michael;*;14;55.25;6;8.5;1;-0.25;8.5
o;12;17.25;Ziegler Elias;;13;55.5;7;18.5;-5;1.25;8.5

37a;Amrhyn Jonas (2003);;;;;;;;;;8.5
o;;;Wyss Christian;;;;;;;;8.5

37b;Achermann Christian (2002);;;;;;;;;;8.5
o;;;Aregger Fabian (2001);;;;;;;;8.5

