5605-2021-08-15_Zuger_Kantonales_Schwingfest-ST

1a;Bieri Marcel;***;;;;;;;;;58.5
+;11;17.25;Ulrich Damian;;17;54.0;11;17.25;0;0.0;9.75
o;9;27.0;Wallimann Remo;*;13;55.0;10;26.75;1;-0.25;8.5
o;14;35.5;Arnold Lukas;;17;54.0;14;35.5;0;0.0;8.75
o;18;44.25;Furrer Fabian;;17;54.0;19;44.0;1;-0.25;8.5

22b;von Matt Lars;;;;;;;;;;52.75
-;;;Suter Michael;;;;;;;;8.75
-;4;8.75;Egli Severin (2004);;22;52.75;5;8.5;1;-0.25;8.75
-;10;17.5;Suter Lukas;;14;54.75;10;17.5;0;0.0;9.0
-;11;26.5;Rogenmoser Luca (2003);;19;53.5;9;27.0;-2;0.5;9.0
o;14;35.5;Steiner Severin;;13;55.0;12;36.0;-2;0.5;8.5
-;19;44.0;Birchler Kilian;;21;53.0;18;44.25;-1;0.25;8.75

22c;Chiodo Gian Paolo (2005);;;;;;;;;;52.75
+;;;Durrer Jan (2003);;;;;;;;9.75
o;2;9.75;Suter Samuel;;15;54.5;4;8.75;2;-1.0;8.5
o;7;18.25;Gerber Jakob;;14;54.75;7;18.25;0;0.0;8.5
-;10;26.75;Gwerder Fabian;;16;54.25;9;27.0;-1;0.25;9.0
o;13;35.75;Waser Raphael;;15;54.5;13;35.75;0;0.0;8.5
o;18;44.25;Forster Christian;;16;54.25;18;44.25;0;0.0;8.5

22d;Rust Silvio;;;;;;;;;;52.75
o;;;Meier Daniel;;;;;;;;8.5
o;5;8.5;Zimmermann Gian (2004);;13;55.0;5;8.5;0;0.0;8.5
+;12;17.0;Epp Elias (2003);;26;35.25;12;17.0;0;0.0;10.0
o;9;27.0;Ming Christian;*;13;55.0;11;26.5;2;-0.5;8.5
o;14;35.5;Föhn Christian;;11;55.5;14;35.5;0;0.0;8.5
-;19;44.0;Herger Lars (2005);;20;53.25;17;44.5;-2;0.5;8.75

22e;Zberg Peter (2004);;;;;;;;;;52.75
o;;;Bühler Kilian;;;;;;;;8.5
+;5;8.5;Schelbert Silvan;;30;34.25;4;8.75;-1;0.25;9.75
-;7;18.25;Lagler Reto;;18;53.75;11;17.25;4;-1.0;9.0
o;8;27.25;Egli Adrian;;10;55.75;7;27.5;-1;0.25;8.5
o;13;35.75;Hürlimann Ueli;;15;54.5;12;36.0;-1;0.25;8.5
o;18;44.25;Ulrich Damian;;17;54.0;18;44.25;0;0.0;8.5

22f;von Flüe Michael;;;;;;;;;;52.75
-;;;Gemsch Stefan;;;;;;;;8.75
+;4;8.75;Hotz Quirin;;34;17.0;5;8.5;1;-0.25;10.0
o;5;18.75;Schuler Philipp;**;9;56.0;11;17.25;6;-1.5;8.5
o;8;27.25;Lüthy Ralph;;9;56.0;8;27.25;0;0.0;8.5
o;13;35.75;Bürgi Simon (2003);;16;54.25;13;35.75;0;0.0;8.5
o;18;44.25;Gwerder Fabian;;16;54.25;17;44.5;-1;0.25;8.5

23a;Bamert Mathis (2005);;;;;;;;;;52.5
+;;;Horat Dominic (2003);;;;;;;;10.0
o;1;10.0;Rogenmoser Linus;;18;53.75;2;9.75;1;-0.25;8.5
o;6;18.5;Staub Ivan;;18;53.75;6;18.5;0;0.0;8.5
o;9;27.0;Wigger Simon;;17;54.0;9;27.0;0;0.0;8.5
o;14;35.5;Lienhard Ramon (2004);;17;54.0;14;35.5;0;0.0;8.5
o;19;44.0;Arnold Robin (2003);;17;54.0;19;44.0;0;0.0;8.5

23b;Odermatt Fabian (2005);;;;;;;;;;52.5
o;;;Ziegler Elias;;;;;;;;8.5
o;5;8.5;Rogenmoser Luca (2003);;19;53.5;5;8.5;0;0.0;8.75
+;11;17.25;Schelbert Silvan;;30;34.25;11;17.25;0;0.0;9.75
o;9;27.0;Andermatt Reto;;19;53.5;10;26.75;1;-0.25;8.5
o;14;35.5;Müller Philipp (2005);;18;53.75;14;35.5;0;0.0;8.5
o;19;44.0;Bissig Julian (2003);;15;54.5;17;44.5;-2;0.5;8.5

24a;Schmid Simon;*;;;;;;;;;47.0
-;;;Omlin Toni;*;;;;;;;8.75
+;4;8.75;Hürlimann Mathias;*;12;55.25;5;8.5;1;-0.25;9.75
+;6;18.5;Gasser Dominik 1;;13;55.0;3;19.5;-3;1.0;10.0
+;3;28.5;Nötzli Reto;***;7;56.5;4;28.25;1;-0.25;9.75
-;3;38.25;Huber Alex;*;5;57.0;3;38.25;0;0.0;8.75

25a;Ulrich Gregor;*;;;;;;;;;45.25
o;;;von Euw Lukas;*;;;;;;;8.5
o;5;8.5;Bucher Christian;**;11;55.5;5;8.5;0;0.0;8.5
+;12;17.0;Meier Daniel;;12;55.25;7;18.25;-5;1.25;10.0
+;9;27.0;Ettlin Jan;;19;53.5;5;28.0;-4;1.0;9.75
o;9;36.75;Hurschler Thomas;**;6;56.75;8;37.0;-1;0.25;8.5

26a;Epp Elias (2003);;;;;;;;;;35.25
o;;;Vogel Marcel;;;;;;;;8.5
o;5;8.5;Wigger Simon;;17;54.0;5;8.5;0;0.0;8.5
o;12;17.0;Rust Silvio;;22;52.75;12;17.0;0;0.0;8.5
+;15;25.5;Müller Marco;;30;34.25;14;25.75;-1;0.25;9.75

26b;Roth Marco (2004);;;;;;;;;;35.25
o;;;Huwyler Sven;;;;;;;;8.5
o;5;8.5;Gloggner André;;20;53.25;5;8.5;0;0.0;8.5
o;12;17.0;Büeler Ivo (2004);;19;53.5;12;17.0;0;0.0;8.5
+;15;25.5;Schnüriger Kevin (2004);;31;34.0;15;25.5;0;0.0;9.75

26c;Burch Jonas (2005);;;;;;;;;;35.25
o;;;Lienhard Ramon (2004);;;;;;;;8.5
o;5;8.5;Achermann Ueli;;12;55.25;5;8.5;0;0.0;8.5
+;12;17.0;Arnold Sandro (2004);;33;25.5;12;17.0;0;0.0;9.75
o;10;26.75;Büeler Ivo (2004);;19;53.5;10;26.75;0;0.0;8.5

26d;Gloggner Matthias (2005);;;;;;;;;;35.25
+;;;Büeler Ivo (2004);;;;;;;;9.75
o;2;9.75;Albert Thomas;;11;55.5;4;8.75;2;-1.0;8.5
o;7;18.25;Laimbacher Cyrill (2004);;18;53.75;6;18.5;-1;0.25;8.5
o;10;26.75;Kempf Fabian;;14;54.75;10;26.75;0;0.0;8.5

26e;Niederberger Mario (2005);;;;;;;;;;35.25
+;;;Schnüriger Kevin (2004);;;;;;;;9.75
o;2;9.75;Brunner Timon;;14;54.75;1;10.0;-1;0.25;8.5
o;7;18.25;Rust Sandro;;12;55.25;7;18.25;0;0.0;8.5
o;10;26.75;Bättig Patrick (2003);;15;54.5;9;27.0;-1;0.25;8.5

27a;Betschart Fabian;;;;;;;;;;35.0
-;;;Schwyzer Sebastian (2004);;;;;;;;9.0
o;3;9.0;Bättig Patrick (2003);;15;54.5;4;8.75;1;-0.25;8.5
-;10;17.5;Rohrer Michael;;27;35.0;9;17.75;-1;0.25;8.75
-;12;26.25;von Flüe Silvan (2004);;29;34.5;14;25.75;2;-0.5;8.75

27b;Christen Silvan;;;;;;;;;;35.0
-;;;Bucher André;;;;;;;;8.75
-;4;8.75;Bissig Julian (2003);;15;54.5;5;8.5;1;-0.25;9.0
-;9;17.75;Rust Lorin (2004);;28;34.75;10;17.5;1;-0.25;8.75
o;11;26.5;Von Euw Adi;;11;55.5;9;27.0;-2;0.5;8.5

27c;Rohrer Michael;;;;;;;;;;35.0
o;;;Duss Livio (2005);;;;;;;;8.75
-;4;8.75;Fässler Werner (2005);;20;53.25;3;9.0;-1;0.25;9.0
-;9;17.75;Betschart Fabian;;27;35.0;10;17.5;1;-0.25;8.75
o;11;26.5;Suter Lukas;;14;54.75;11;26.5;0;0.0;8.5

28a;Rust Lorin (2004);;;;;;;;;;34.75
o;;;Laimbacher Cyrill (2004);;;;;;;;8.5
-;5;8.5;Durrer Jan (2003);;29;34.5;5;8.5;0;0.0;9.0
-;10;17.5;Christen Silvan;;27;35.0;9;17.75;-1;0.25;8.75
o;12;26.25;Meier Daniel;;12;55.25;10;26.75;-2;0.5;8.5

29a;von Flüe Silvan (2004);;;;;;;;;;34.5
o;;;Duss Yvan (2003);;;;;;;;8.5
o;5;8.5;Schnellmann Adrian (2004);;15;54.5;5;8.5;0;0.0;8.5
-;12;17.0;Birchler Kilian;;21;53.0;11;17.25;-1;0.25;8.75
-;14;25.75;Betschart Fabian;;27;35.0;12;26.25;-2;0.5;8.75

29b;Durrer Jan (2003);;;;;;;;;;34.5
o;;;Chiodo Gian Paolo (2005);;;;;;;;8.5
-;5;8.5;Rust Lorin (2004);;28;34.75;5;8.5;0;0.0;9.0
o;10;17.5;Steiner Severin;;13;55.0;10;17.5;0;0.0;8.5
o;13;26.0;Birchler Kilian;;21;53.0;13;26.0;0;0.0;8.5

29c;Suter Michael;;;;;;;;;;34.5
-;;;von Matt Lars;;;;;;;;8.75
o;4;8.75;Gander Benjamin;;13;55.0;4;8.75;0;0.0;8.5
o;11;17.25;Kempf Fabian;;14;54.75;12;17.0;1;-0.25;8.5
-;14;25.75;Wallimann Elias (2003);;29;34.5;14;25.75;0;0.0;8.75

29d;Bissig Fabian;*;;;;;;;;;34.5
-;;;Bucher Thomas;*;;;;;;;8.75
o;4;8.75;Scherer Niklaus;**;9;56.0;4;8.75;0;0.0;8.5
-;11;17.25;Ming Christian 2;;16;54.25;6;18.5;-5;1.25;8.75
o;13;26.0;Grüter Marcel;;15;54.5;9;27.0;-4;1.0;8.5

29e;Wallimann Elias (2003);;;;;;;;;;34.5
o;;;Rogenmoser Ryan;;;;;;;;8.5
-;5;8.5;Steiner Severin;;13;55.0;4;8.75;-1;0.25;8.75
o;11;17.25;Grüter Marcel;;15;54.5;12;17.0;1;-0.25;8.5
-;14;25.75;Suter Michael;;29;34.5;14;25.75;0;0.0;8.75

30a;von Wyl Simon;;;;;;;;;;34.25
o;;;Arnold Lukas;;;;;;;;8.75
o;4;8.75;Beffa Mario;;12;55.25;4;8.75;0;0.0;8.5
o;11;17.25;Gwerder Fabian;;16;54.25;11;17.25;0;0.0;8.5
o;14;25.75;Bissig Julian (2003);;15;54.5;13;26.0;-1;0.25;8.5

30b;Gemsch Stefan;;;;;;;;;;34.25
-;;;von Flüe Michael;;;;;;;;8.75
o;4;8.75;Ming Christian 2;;16;54.25;4;8.75;0;0.0;8.5
o;11;17.25;Furrer Fabian;;17;54.0;12;17.0;1;-0.25;8.5
o;14;25.75;Arnold Robin (2003);;17;54.0;14;25.75;0;0.0;8.5

30c;Müller Marco;;;;;;;;;;34.25
o;;;Rust Sandro;;;;;;;;8.5
o;5;8.5;Forster Christian;;16;54.25;5;8.5;0;0.0;8.5
-;12;17.0;Käslin Valentin;;30;34.25;12;17.0;0;0.0;8.75
o;14;25.75;Epp Elias (2003);;26;35.25;15;25.5;1;-0.25;8.5

30d;Schelbert Silvan;;;;;;;;;;34.25
o;;;Staffelbach Noah (2003);;;;;;;;8.75
o;4;8.75;Zberg Peter (2004);;22;52.75;5;8.5;1;-0.25;8.5
o;11;17.25;Odermatt Fabian (2005);;23;52.5;11;17.25;0;0.0;8.5
o;14;25.75;Ulrich Damian;;17;54.0;14;25.75;0;0.0;8.5

30e;Käslin Valentin;;;;;;;;;;34.25
o;;;Lüthy Ralph;;;;;;;;8.5
o;5;8.5;Erni Remo (2005);;19;53.5;5;8.5;0;0.0;8.5
-;12;17.0;Müller Marco;;30;34.25;12;17.0;0;0.0;8.75
o;14;25.75;Wiss Ivan (2004);;15;54.5;13;26.0;-1;0.25;8.5

31a;Schnüriger Kevin (2004);;;;;;;;;;34.0
o;;;Niederberger Mario (2005);;;;;;;;8.5
o;5;8.5;Eberli Sandro (2004);;16;54.25;5;8.5;0;0.0;8.5
o;12;17.0;Lagler Reto;;18;53.75;11;17.25;-1;0.25;8.5
o;15;25.5;Roth Marco (2004);;26;35.25;15;25.5;0;0.0;8.5

31b;Herger Flavio (2003);;;;;;;;;;34.0
o;;;Kathriner Severin;;;;;;;;8.5
o;5;8.5;Wicki Kevin;;15;54.5;5;8.5;0;0.0;8.5
o;12;17.0;von Rickenbach Carlo (2005);;19;53.5;7;18.25;-5;1.25;8.5
o;15;25.5;Schwegler Flavio (2004);;19;53.5;10;26.75;-5;1.25;8.5

31c;Horat Dominic (2003);;;;;;;;;;34.0
o;;;Bamert Mathis (2005);;;;;;;;8.5
o;5;8.5;Schwyzer Sebastian (2004);;15;54.5;3;9.0;-2;0.5;8.5
o;12;17.0;Herger Lars (2005);;20;53.25;11;17.25;-1;0.25;8.5
o;15;25.5;Kathriner Andreas (2003);;17;54.0;15;25.5;0;0.0;8.5

32a;Durrer Ive;;;;;;;;;;27.0
+;;;Gerber Jakob;;;;;;;;9.75
-;2;9.75;Lienhard Ramon (2004);;17;54.0;2;9.75;0;0.0;8.75
o;6;18.5;Hürlimann Mathias;*;12;55.25;12;17.0;6;-1.5;8.5

33a;Arnold Sandro (2004);;;;;;;;;;25.5
o;;;Müller Philipp (2005);;;;;;;;8.5
o;5;8.5;Auf der Maur Alex;;15;54.5;4;8.75;-1;0.25;8.5
o;12;17.0;Burch Jonas (2005);;26;35.25;12;17.0;0;0.0;8.5

34a;Ettlin Kevin;;;;;;;;;;17.0
o;;;Rogenmoser Linus;;;;;;;;8.5
o;5;8.5;Suter Joel (2004);;17;54.0;5;8.5;0;0.0;8.5

34b;Hotz Quirin;;;;;;;;;;17.0
o;;;Egli Adrian;;;;;;;;8.5
o;5;8.5;von Flüe Michael;;22;52.75;4;8.75;-1;0.25;8.5

