5605-2021-08-15_Zuger_Kantonales_Schwingfest-ST

1a;Bieri Marcel;***;;;;;;;;;58.5
7a;Bissig Lukas (2003);*;;;;;;;;;56.5
+;;;Kaufmann Reto;*;;;;;;;9.75
o;2;9.75;Nötzli Reto;***;7;56.5;4;8.75;2;-1.0;8.5
+;7;18.25;Bucher André;;10;55.75;4;19.0;-3;0.75;9.75
-;5;28.0;Schallberger Jakob;;14;54.75;3;28.5;-2;0.5;8.75
+;9;36.75;Moos Christoph;*;11;55.5;8;37.0;-1;0.25;10.0
+;8;46.75;Albert Thomas;;11;55.5;7;47.0;-1;0.25;9.75

7b;Hegner Ueli;*;;;;;;;;;56.5
+;;;Schwyzer Samuel;*;;;;;;;9.75
+;2;9.75;Müller Roger;*;15;54.5;2;9.75;0;0.0;10.0
o;2;19.75;Imhof Andi;***;5;57.0;5;18.75;3;-1.0;8.5
+;4;28.25;Achermann Ueli;;12;55.25;3;28.5;-1;0.25;9.75
+;4;38.0;Egli Adrian;;10;55.75;6;37.5;2;-0.5;10.0
o;3;48.0;Reichmuth Marco;**;3;57.5;4;47.75;1;-0.25;8.5

7c;Arnold Stefan;**;;;;;;;;;56.5
+;;;Schuler Philipp;**;;;;;;;10.0
+;1;10.0;Lustenberger Josef;*;5;57.0;2;9.75;1;-0.25;9.75
o;2;19.75;Bieri Marcel;***;1;58.5;5;18.75;3;-1.0;8.5
+;4;28.25;Brunner Timon;;14;54.75;2;28.75;-2;0.5;9.75
+;4;38.0;Effinger Markus;*;12;55.25;3;38.25;-1;0.25;9.75
-;4;47.75;Ambühl Joel;**;5;57.0;2;48.25;-2;0.5;8.75

7d;Nötzli Reto;***;;;;;;;;;56.5
-;;;Fankhauser Marco;**;;;;;;;8.75
+;4;8.75;Bissig Lukas (2003);*;7;56.5;2;9.75;-2;1.0;9.75
+;6;18.5;Odermatt Christian;**;6;56.75;2;19.75;-4;1.25;9.75
o;4;28.25;Schmid Simon;*;24;47.0;3;28.5;-1;0.25;8.5
+;9;36.75;Hürlimann Mathias;*;12;55.25;8;37.0;-1;0.25;10.0
+;8;46.75;Ming Christian;*;13;55.0;9;46.5;1;-0.25;9.75

7e;Stöckli Damian;*;;;;;;;;;56.5
-;;;Durrer Nando;*;;;;;;;9.0
o;3;9.0;Bürgi Reto;*;11;55.5;4;8.75;1;-0.25;8.5
+;10;17.5;Lienhard Ramon (2004);;17;54.0;6;18.5;-4;1.0;10.0
+;7;27.5;Beffa Mario;;12;55.25;4;28.25;-3;0.75;10.0
-;6;37.5;Reichmuth Roland;*;7;56.5;6;37.5;0;0.0;9.0
+;9;46.5;Bucher Roland;*;13;55.0;9;46.5;0;0.0;10.0

7f;Reichmuth Roland;*;;;;;;;;;56.5
o;;;Suter Pirmin;**;;;;;;;8.5
+;5;8.5;Gander Adrian;*;10;55.75;4;8.75;-1;0.25;10.0
-;6;18.5;Bühler Kilian;;10;55.75;2;19.75;-4;1.25;9.0
+;7;27.5;Jund Matthias;;6;56.75;3;28.5;-4;1.0;10.0
-;6;37.5;Stöckli Damian;*;7;56.5;6;37.5;0;0.0;9.0
+;9;46.5;Waser Christoph;*;13;55.0;9;46.5;0;0.0;10.0

7g;Herger Matthias;**;;;;;;;;;56.5
o;;;Schöpfer Ronny;**;;;;;;;8.5
+;5;8.5;Bienz Romeo;*;11;55.5;1;10.0;-4;1.5;10.0
+;6;18.5;Egli Adrian;;10;55.75;4;19.0;-2;0.5;10.0
+;3;28.5;Omlin Toni;*;10;55.75;2;28.75;-1;0.25;9.75
o;3;38.25;Fankhauser Marco;**;2;58.0;2;38.5;-1;0.25;8.5
+;8;46.75;Wallimann Remo;*;13;55.0;9;46.5;1;-0.25;9.75

8a;Schöpfer Ronny;**;;;;;;;;;56.25
+;;;Herger Matthias;**;;;;;;;10.0
-;1;10.0;Suter Pirmin;**;8;56.25;1;10.0;0;0.0;9.0
+;4;19.0;Brunner Timon;;14;54.75;1;20.0;-3;1.0;9.75
o;2;28.75;Huber Alex;*;5;57.0;3;28.5;1;-0.25;8.75
o;6;37.5;Betschart Patrick;*;3;57.5;6;37.5;0;0.0;8.75
+;10;46.25;Wiget Ueli;;14;54.75;10;46.25;0;0.0;10.0

8b;Egli Damian;**;;;;;;;;;56.25
+;;;Bernhard Lukas;**;;;;;;;9.75
-;2;9.75;Schürpf Bruno;*;3;57.5;2;9.75;0;0.0;9.0
+;5;18.75;Ettlin Jan;;19;53.5;3;19.5;-2;0.75;10.0
-;2;28.75;Bürgi Reto;*;11;55.5;4;28.25;2;-0.5;8.75
-;6;37.5;Durrer Nando;*;12;55.25;5;37.75;-1;0.25;8.75
+;10;46.25;Gerber Jakob;;14;54.75;10;46.25;0;0.0;10.0

8c;Suter Pirmin;**;;;;;;;;;56.25
+;;;Reichmuth Roland;*;;;;;;;10.0
-;1;10.0;Schöpfer Ronny;**;8;56.25;1;10.0;0;0.0;9.0
+;4;19.0;Schallberger Jakob;;14;54.75;1;20.0;-3;1.0;10.0
o;1;29.0;Bieri Marcel;***;1;58.5;2;28.75;1;-0.25;8.75
+;5;37.75;Waser Christoph;*;13;55.0;4;38.0;-1;0.25;10.0
o;4;47.75;Fankhauser Marco;**;2;58.0;2;48.25;-2;0.5;8.5

9a;Zimmermann Martin;***;;;;;;;;;56.0
o;;;Reichmuth Marco;**;;;;;;;8.5
-;5;8.5;Schärli Reto;*;9;56.0;1;10.0;-4;1.5;8.75
+;11;17.25;Gloggner André;;20;53.25;6;18.5;-5;1.25;10.0
-;8;27.25;Lustenberger Josef;*;5;57.0;5;28.0;-3;0.75;9.0
+;11;36.25;Betschart Marcel;*;11;55.5;9;36.75;-2;0.5;9.75
+;11;46.0;Bachmann Roger;*;13;55.0;10;46.25;-1;0.25;10.0

9b;von Euw Lukas;*;;;;;;;;;56.0
+;;;Ulrich Gregor;*;;;;;;;9.75
-;2;9.75;Waser Dominik;**;5;57.0;2;9.75;0;0.0;8.75
+;6;18.5;Elmiger Matthias;;10;55.75;4;19.0;-2;0.5;9.75
-;4;28.25;Burch Jonas;**;4;57.25;3;28.5;-1;0.25;9.0
+;7;37.25;Suter Joel (2004);;17;54.0;8;37.0;1;-0.25;10.0
o;6;47.25;Vogel Remo;**;6;56.75;7;47.0;1;-0.25;8.75

9c;Reichmuth Lukas;*;;;;;;;;;56.0
o;;;Moos Christoph;*;;;;;;;8.5
-;5;8.5;Durrer Nando;*;12;55.25;3;9.0;-2;0.5;8.75
+;11;17.25;Albert Thomas;;11;55.5;6;18.5;-5;1.25;10.0
+;8;27.25;Kathriner Severin;;12;55.25;4;28.25;-4;1.0;10.0
-;7;37.25;Schärli Reto;*;9;56.0;7;37.25;0;0.0;9.0
+;10;46.25;Schallberger Jakob;;14;54.75;10;46.25;0;0.0;9.75

9d;Schärli Reto;*;;;;;;;;;56.0
+;;;Gander Adrian;*;;;;;;;10.0
-;1;10.0;Zimmermann Martin;***;9;56.0;5;8.5;4;-1.5;8.75
+;5;18.75;Rogenmoser Ryan;;17;54.0;2;19.75;-3;1.0;10.0
o;2;28.75;Waser Reto;*;13;55.0;4;28.25;2;-0.5;8.5
-;7;37.25;Reichmuth Lukas;*;9;56.0;7;37.25;0;0.0;9.0
+;10;46.25;Durrer Ueli;;14;54.75;10;46.25;0;0.0;9.75

9e;Scherer Niklaus;**;;;;;;;;;56.0
-;;;Hurschler Thomas;**;;;;;;;8.75
+;4;8.75;Bissig Fabian;*;29;34.5;4;8.75;0;0.0;10.0
+;5;18.75;Rogenmoser Linus;;18;53.75;2;19.75;-3;1.0;10.0
o;2;28.75;Imhof Andi;***;5;57.0;2;28.75;0;0.0;8.5
+;7;37.25;Bucher André;;10;55.75;6;37.5;-1;0.25;10.0
-;6;47.25;Durrer Nando;*;12;55.25;9;46.5;3;-0.75;8.75

9f;Schuler Philipp;**;;;;;;;;;56.0
o;;;Arnold Stefan;**;;;;;;;8.5
-;5;8.5;Ming Christian;*;13;55.0;4;8.75;-1;0.25;8.75
+;11;17.25;von Flüe Michael;;22;52.75;5;18.75;-6;1.5;10.0
+;8;27.25;Duss Livio (2005);;18;53.75;4;28.25;-4;1.0;10.0
-;7;37.25;Fellmann Roman;**;14;54.75;7;37.25;0;0.0;8.75
+;11;46.0;Staffelbach Noah (2003);;14;54.75;10;46.25;-1;0.25;10.0

