3074-2021-07-11_Fete_Romande2-ST

o;5;28.25;Kramer Dorian;*;7;56.5;5;28.25;0;0.0;8.5
+;8;36.75;Loup Grégoire;;11;55.5;8;36.75;0;0.0;9.75
-;8;46.5;Ducry Antoine;**;14;54.75;11;45.75;3;-0.75;8.75

12i;Vonlanthen Alexandre;;;;;;;;;;55.25
o;;;Dorsaz Théo;;;;;;;;8.5
+;5;8.5;Lauber Grégoire;;23;52.5;5;8.5;0;0.0;10.0
+;5;18.5;Hirschi Damien (2003);;18;53.75;5;18.5;0;0.0;10.0
o;4;28.5;Duplan Steve;***;6;56.75;5;28.25;1;-0.25;8.5
+;7;37.0;Jacot Ismaël;;18;53.75;8;36.75;1;-0.25;9.75
o;7;46.75;Gottofrey Marc;**;12;55.25;12;45.5;5;-1.25;8.5

12j;Vaucher Rémy;;;;;;;;;;55.25
o;;;Rogivue Théo (2003);;;;;;;;8.5
+;5;8.5;Martin Gaël (2004);;14;54.75;3;9.0;-2;0.5;9.75
o;6;18.25;Mamadou Lamine Gnabaly;;11;55.5;9;17.25;3;-1.0;8.5
o;11;26.75;Perret Axel (2003);;18;53.75;11;26.75;0;0.0;8.5
+;14;35.25;Holweger Marek;;24;52.25;14;35.25;0;0.0;10.0
+;13;45.25;Buchs Stefan;;18;53.75;13;45.25;0;0.0;10.0

12k;Mermillod Jérôme (2004);;;;;;;;;;55.25
+;;;Imstepf Sandro;;;;;;;;10.0
+;1;10.0;Burri Flemming;;21;53.0;1;10.0;0;0.0;9.75
o;2;19.75;Collaud Romain;*;2;58.0;2;19.75;0;0.0;8.5
+;5;28.25;Wieland Timon;;17;54.0;9;27.25;4;-1.0;9.75
o;5;38.0;Hofer Sven;*;6;56.75;4;38.25;-1;0.25;8.5
o;8;46.5;Borcard Clovis;*;10;55.75;10;46.0;2;-0.5;8.75

12l;Riedo Fredy;*;;;;;;;;;55.25
+;;;Sonnay Thomas;**;;;;;;;9.75
+;2;9.75;Rogivue Théo (2003);;12;55.25;2;9.75;0;0.0;10.0
o;2;19.75;Schneider Domenic;***;5;57.0;4;18.75;2;-1.0;8.5
+;5;28.25;Parvex Bryan;;17;54.0;4;28.5;-1;0.25;10.0
o;4;38.25;Gapany Benjamin;***;6;56.75;4;38.25;0;0.0;8.5
o;7;46.75;Collaud Romain;*;2;58.0;3;48.0;-4;1.25;8.5

13a;Wenger Marco;;;;;;;;;;55.0
o;;;Tornare Paul;;;;;;;;8.5
o;5;8.5;Valvini Maxime;;17;54.0;5;8.5;0;0.0;8.5
+;10;17.0;Cherpillod Cédric;;22;52.75;9;17.25;-1;0.25;9.75
+;11;26.75;Borcard Guillaume;;19;53.5;11;26.75;0;0.0;9.75
o;9;36.5;Loup Alexandre;*;17;54.0;12;35.75;3;-0.75;8.5
+;14;45.0;Zbinden Samuel;;23;52.5;18;44.0;4;-1.0;10.0

13b;Grossenbacher Marc;;;;;;;;;;55.0
o;;;Cotting Alexandre;;;;;;;;8.5
+;5;8.5;Holweger Marek;;24;52.25;5;8.5;0;0.0;9.75
o;6;18.25;Dufey Gil;*;13;55.0;10;17.0;4;-1.25;8.5
+;11;26.75;Cochrane Benjamin;;19;53.5;11;26.75;0;0.0;9.75
o;9;36.5;Giroud Jonathan;**;13;55.0;9;36.5;0;0.0;8.5
+;14;45.0;Parvex Bryan;;17;54.0;12;45.5;-2;0.5;10.0

13c;Crettaz Olivier;*;;;;;;;;;55.0
o;;;Balimann Sandro;*;;;;;;;8.5
+;5;8.5;Tornare Paul;;13;55.0;2;9.75;-3;1.25;9.75
+;6;18.25;Chofflon Anthony;;13;55.0;2;19.75;-4;1.5;9.75
o;6;28.0;Kropf Marcel;**;11;55.5;10;27.0;4;-1.0;8.5
+;9;36.5;Aeschbacher Ivo;;18;53.75;8;36.75;-1;0.25;10.0
o;8;46.5;Matthey Mickaël;**;5;57.0;6;47.0;-2;0.5;8.5

13d;Monney Branighan;;;;;;;;;;55.0
+;;;Lauber Grégoire;;;;;;;;10.0
+;1;10.0;Droxler Jonathan;**;13;55.0;5;8.5;4;-1.5;9.75
o;2;19.75;Kramer Dorian;*;7;56.5;6;18.25;4;-1.5;8.5
o;5;28.25;Tschachtli Sven;;5;57.0;3;28.75;-2;0.5;8.5
o;8;36.75;Schläfli Hugo;;12;55.25;7;37.0;-1;0.25;8.5
+;13;45.25;Wieland Timon;;17;54.0;12;45.5;-1;0.25;9.75

13e;Pürro David;;;;;;;;;;55.0
-;;;Martin Gaël (2004);;;;;;;;9.0
-;3;9.0;Balimann Fabian;;12;55.25;5;8.5;2;-0.5;8.75
+;7;17.75;Imstepf Sandro;;25;51.0;10;17.0;3;-0.75;10.0
o;7;27.75;Droxler Jonathan;**;13;55.0;10;27.0;3;-0.75;8.75
+;9;36.5;Hirschi Damien (2003);;18;53.75;8;36.75;-1;0.25;10.0
o;8;46.5;Zimmermann Mario;*;12;55.25;12;45.5;4;-1.0;8.5

13f;Neyroud Geoffrey;;;;;;;;;;55.0
+;;;Maire Pascal (2004);;;;;;;;10.0
-;1;10.0;Collaud Bastien (2005);;15;54.5;1;10.0;0;0.0;8.75
o;4;18.75;Cotting Alexandre;;13;55.0;6;18.25;2;-0.5;8.5
-;9;27.25;Loup Alexandre;*;17;54.0;11;26.75;2;-0.5;8.75
+;11;36.0;Pharisa Loic;;16;54.25;12;35.75;1;-0.25;10.0
-;10;46.0;Zbinden Dario (2004);;13;55.0;10;46.0;0;0.0;9.0

13g;Tornare Paul;;;;;;;;;;55.0
+;;;Wenger Marco;;;;;;;;9.75
o;2;9.75;Crettaz Olivier;*;13;55.0;5;8.5;3;-1.25;8.5
+;6;18.25;Valvini Maxime;;17;54.0;5;18.5;-1;0.25;9.75
o;6;28.0;Piemontesi Pascal;**;11;55.5;5;28.25;-1;0.25;8.5
+;9;36.5;Parvex Bryan;;17;54.0;7;37.0;-2;0.5;10.0
o;8;46.5;Mollet Ivan;**;10;55.75;10;46.0;2;-0.5;8.5

13h;Chofflon Anthony;;;;;;;;;;55.0
+;;;Juon Martin;;;;;;;;10.0
+;1;10.0;Menoud Liam;;13;55.0;1;10.0;0;0.0;9.75
o;2;19.75;Crettaz Olivier;*;13;55.0;6;18.25;4;-1.5;8.5
o;5;28.25;Colò Kilian;**;12;55.25;4;28.5;-1;0.25;8.5
o;8;36.75;Mamadou Lamine Gnabaly;;11;55.5;11;36.0;3;-0.75;8.5
+;13;45.25;Quartenoud Samuel;;18;53.75;13;45.25;0;0.0;9.75

13i;Menoud Liam;;;;;;;;;;55.0
+;;;Portmann Fabio;;;;;;;;10.0
o;1;10.0;Chofflon Anthony;;13;55.0;1;10.0;0;0.0;8.5
o;5;18.5;Gapany Benjamin;***;6;56.75;5;18.5;0;0.0;8.5
+;10;27.0;Zbinden Samuel;;23;52.5;10;27.0;0;0.0;9.75
+;8;36.75;Krebs Clemens;;22;52.75;12;35.75;4;-1.0;9.75
o;8;46.5;Baeriswyl Christoph;;4;57.25;5;47.25;-3;0.75;8.5

13j;Turin Antoine;;;;;;;;;;55.0
+;;;Zbinden Samuel;;;;;;;;9.75
+;2;9.75;Krebs Clemens;;22;52.75;4;8.75;2;-1.0;9.75
o;3;19.5;Ducrest Etienne;*;11;55.5;6;18.25;3;-1.25;8.5
o;6;28.0;Sturny Nicolas;;12;55.25;5;28.25;-1;0.25;8.75
+;8;36.75;Bapst Richard;;17;54.0;7;37.0;-1;0.25;9.75
o;8;46.5;Tschachtli Sven;;5;57.0;6;47.0;-2;0.5;8.5

13k;Portmann Fabio;;;;;;;;;;55.0
o;;;Menoud Liam;;;;;;;;8.5
+;5;8.5;Cochrane Benjamin;;19;53.5;5;8.5;0;0.0;9.75
o;6;18.25;Matthey Mickaël;**;5;57.0;5;18.5;-1;0.25;8.5
+;11;26.75;Rouge Dany;;23;52.5;11;26.75;0;0.0;10.0
o;8;36.75;Dufey Gil;*;13;55.0;9;36.5;1;-0.25;8.5
+;13;45.25;Hirschi Damien (2003);;18;53.75;13;45.25;0;0.0;9.75

13l;Droxler Jonathan;**;;;;;;;;;55.0
o;;;Hofer Sven;*;;;;;;;8.5
o;5;8.5;Monney Branighan;;13;55.0;1;10.0;-4;1.5;8.5
+;10;17.0;Beaud Eric;;18;53.75;5;18.5;-5;1.5;10.0
+;10;27.0;Pürro David;;13;55.0;7;27.75;-3;0.75;9.75
o;8;36.75;Matthey Mickaël;**;5;57.0;7;37.0;-1;0.25;8.5
+;13;45.25;Loup Alexandre;*;17;54.0;12;45.5;-1;0.25;9.75

13m;Dorsaz Théo;;;;;;;;;;55.0
+;;;Vonlanthen Alexandre;;;;;;;;9.75
-;2;9.75;Borcard Clovis;*;10;55.75;4;8.75;2;-1.0;8.75
-;5;18.5;Buchs Noah (2004);;11;55.5;5;18.5;0;0.0;8.75
-;9;27.25;Bapst Ludovic;;15;54.5;9;27.25;0;0.0;8.75
-;11;36.0;Fankhauser Yanik;;14;54.75;11;36.0;0;0.0;9.0
+;14;45.0;Perret Axel (2003);;18;53.75;13;45.25;-1;0.25;10.0

13n;Dufey Gil;*;;;;;;;;;55.0
o;;;Collaud Romain;*;;;;;;;8.5
