2975-2015-05-10_105_Zuercher_Kantonalschwingfest-ST

1a;Orlik Armon;**;;;;;;;;;59.0
+;6;18.5;Spörri Patrick (1997);;25;35.5;6;18.5;0;0.0;9.75
+;6;28.25;Zbinden Marc;*;25;35.5;10;27.0;4;-1.25;9.75
-;5;38.0;Scheiwiller Andreas;*;12;55.25;10;36.75;5;-1.25;8.75
-;9;46.75;Candrian Gian-Luca (1998);;10;55.75;9;46.75;0;0.0;9.0

10i;Vestner Roman;*;;;;;;;;;55.75
+;;;Bickel Stefan;*;;;;;;;10.0
-;1;10.0;Burkhalter Stefan;***;8;56.25;4;8.75;3;-1.25;8.75
+;5;18.75;Hari Michi;;10;55.75;1;20.0;-4;1.25;9.75
o;5;28.5;Rychen Roger;**;5;57.0;5;28.5;0;0.0;8.5
+;9;37.0;Furrer Damian (1998);;11;55.5;8;37.25;-1;0.25;10.0
-;8;47.0;Koller Martin;*;10;55.75;8;47.0;0;0.0;8.75

10j;Fontana Michael;;;;;;;;;;55.75
+;;;Peter Simon (1997);;;;;;;;10.0
+;1;10.0;Junker Nik;;12;55.25;1;10.0;0;0.0;10.0
o;1;20.0;Bühler Ernst;**;5;57.0;5;18.75;4;-1.25;8.5
-;5;28.5;Schneider Mario;**;6;56.75;6;28.25;1;-0.25;8.75
o;8;37.25;Kid Simon;**;9;56.0;8;37.25;0;0.0;8.5
+;13;45.75;Wicki Cédric;;16;54.25;13;45.75;0;0.0;10.0

10k;Frauchiger Remo;;;;;;;;;;55.75
-;;;Horner Sämi;;;;;;;;8.75
+;4;8.75;Kiener Tobias;;25;35.5;5;8.5;1;-0.25;10.0
o;5;18.75;Kid Simon;**;9;56.0;4;19.0;-1;0.25;8.5
o;9;27.25;Leuppi Karim;;11;55.5;9;27.25;0;0.0;8.5
+;14;35.75;Eisenring Daniel (1997);;22;52.75;14;35.75;0;0.0;10.0
+;13;45.75;Held Florian (1997);;17;54.0;14;45.5;1;-0.25;10.0

10l;Keller Dominic;;;;;;;;;;55.75
-;;;Leuppi Karim;;;;;;;;8.75
+;4;8.75;Eisenring Daniel (1997);;22;52.75;4;8.75;0;0.0;10.0
o;5;18.75;Föhn Pirmin;*;11;55.5;8;17.5;3;-1.25;8.5
+;9;27.25;Oetiker Ronny;;15;54.5;9;27.25;0;0.0;10.0
o;8;37.25;Kälin Roland;**;12;55.25;10;36.75;2;-0.5;8.5
+;13;45.75;Biäsch Christian;;17;54.0;14;45.5;1;-0.25;10.0

10m;Gartmann Mauro;;;;;;;;;;55.75
+;;;Lehmann Philipp (1999);;;;;;;;10.0
-;1;10.0;Kunz Daniel;;10;55.75;1;10.0;0;0.0;8.75
o;5;18.75;Burkhalter Stefan;***;8;56.25;8;17.5;3;-1.25;8.75
+;8;27.5;Gubser Fabian;;14;54.75;8;27.5;0;0.0;10.0
+;7;37.5;Korrodi Paul;*;7;56.5;4;38.25;-3;0.75;9.75
o;7;47.25;Rhyner Michael;**;4;57.25;7;47.25;0;0.0;8.5

10n;Oettli Marco (1997);;;;;;;;;;55.75
+;;;Wettstein Daniel;;;;;;;;9.75
o;2;9.75;Leuppi Samir;**;3;57.5;2;9.75;0;0.0;8.5
+;7;18.25;Gysel Hansruedi;;13;55.0;7;18.25;0;0.0;10.0
o;6;28.25;Bleiker Reto;*;11;55.5;10;27.0;4;-1.25;8.75
+;9;37.0;Hari Michi;;10;55.75;8;37.25;-1;0.25;10.0
-;8;47.0;Gwerder Andreas;**;8;56.25;7;47.25;-1;0.25;8.75

10o;Kunz Daniel;;;;;;;;;;55.75
+;;;Ritzmann Bernhard;;;;;;;;10.0
-;1;10.0;Gartmann Mauro;;10;55.75;1;10.0;0;0.0;8.75
o;5;18.75;Krähenbühl Tobias;**;6;56.75;3;19.5;-2;0.75;8.5
+;9;27.25;Frey Aaron;;21;53.0;9;27.25;0;0.0;10.0
o;8;37.25;Odermatt Martin;*;9;56.0;8;37.25;0;0.0;8.5
+;13;45.75;Reichmuth Beat (1997);;15;54.5;12;46.0;-1;0.25;10.0

11a;Arztmann Beda;;;;;;;;;;55.5
+;;;Ulmann Fabian (1999);;;;;;;;10.0
+;1;10.0;Schwyn Adrian;;13;55.0;1;10.0;0;0.0;10.0
o;1;20.0;Korrodi Paul;*;7;56.5;2;19.75;1;-0.25;8.5
+;5;28.5;Jörger Marc;;11;55.5;5;28.5;0;0.0;10.0
o;3;38.5;Büsser Andy;***;5;57.0;8;37.25;5;-1.25;8.5
o;8;47.0;Burkhard Patrick;;5;57.0;8;47.0;0;0.0;8.5

11b;Burkhard Tobias;;;;;;;;;;55.5
+;;;Schwyn Patrick (1999);;;;;;;;10.0
+;1;10.0;Hauser Simon (1998);;24;35.75;1;10.0;0;0.0;10.0
o;1;20.0;Nägeli Roman;*;5;57.0;5;18.75;4;-1.25;8.5
o;5;28.5;Candrian Gian-Luca (1998);;10;55.75;5;28.5;0;0.0;8.75
o;8;37.25;Nigg Lukas;**;6;56.75;9;37.0;1;-0.25;8.5
+;13;45.75;Berger Roman;;16;54.25;13;45.75;0;0.0;9.75

11c;Schweizer Christof;*;;;;;;;;;55.5
+;;;Eugster Ruedi;**;;;;;;;9.75
-;2;9.75;Rhyner Michael;**;4;57.25;2;9.75;0;0.0;8.75
+;6;18.5;Lehmann Philipp (1999);;25;35.5;6;18.5;0;0.0;10.0
+;5;28.5;Hari Michi;;10;55.75;4;28.75;-1;0.25;9.75
-;4;38.25;Gmür Pirmin;*;13;55.0;6;37.75;2;-0.5;8.75
o;8;47.0;Glaus Martin;***;10;55.75;13;45.75;5;-1.25;8.5

11d;Jörger Marc;;;;;;;;;;55.5
+;;;Schlüchter Fabian (1997);;;;;;;;10.0
+;1;10.0;Schönenberger Björn;;18;53.75;2;9.75;1;-0.25;10.0
o;1;20.0;Gwerder Andreas;**;8;56.25;5;18.75;4;-1.25;8.5
o;5;28.5;Arztmann Beda;;11;55.5;5;28.5;0;0.0;8.5
