4068-2019-07-07_113_Innerschweizer_Schwing-_und_Aelplerfest-ST

1a;Heinzer Stefan;**;;;;;;;;;109.25
-;5;8.75;Betschart Rainer;**;16;54.75;5;8.75;0;0.0;8.75
+;10;17.5;von Euw Lukas (2002);;28;35.5;7;18.5;-3;1.0;10.0
+;10;27.5;Villiger Cyrill;*;22;53.0;10;27.5;0;0.0;10.0
-;8;37.5;Lussi Marco;**;16;54.75;9;37.25;1;-0.25;8.75
+;11;46.25;Odermatt Christian;**;15;55.0;10;46.5;-1;0.25;9.75

12a;Muff André;*;;;;;;;;;55.75
-;;;Elsener Adrian;**;;;;;;;8.75
o;5;8.75;Burch Jonas;*;15;55.0;4;9.0;-1;0.25;8.5
+;11;17.25;Kennel Beat;*;15;55.0;10;17.5;-1;0.25;9.75
-;12;27.0;Wyrsch Marco;**;17;54.5;11;27.25;-1;0.25;9.0
+;14;36.0;Bürgi Tobias;;19;54.0;10;37.0;-4;1.0;10.0
+;12;46.0;Lussi Marco;**;16;54.75;12;46.0;0;0.0;9.75

12b;Hurschler Thomas;**;;;;;;;;;55.75
-;;;Gloggner Reto;**;;;;;;;8.75
+;5;8.75;Wyrsch Silvio;*;18;54.25;2;10.0;-3;1.25;10.0
-;6;18.75;Schürpf Bruno;*;16;54.75;6;18.75;0;0.0;8.75
+;10;27.5;Streiff Dominik;*;18;54.25;7;28.25;-3;0.75;9.75
-;9;37.25;Schuler Philipp;**;16;54.75;8;37.5;-1;0.25;8.75
+;12;46.0;Schürpf Guido;;16;54.75;12;46.0;0;0.0;9.75

12c;Schmid Simon;*;;;;;;;;;55.75
o;;;Vonlaufen Lukas;*;;;;;;;8.5
-;6;8.5;Durrer Jonas (2003);*;19;54.0;5;8.75;-1;0.25;8.75
-;11;17.25;Van Messel Noe (2002);**;30;35.0;11;17.25;0;0.0;8.75
+;15;26.0;Matter Marco;*;33;34.25;16;25.75;1;-0.25;10.0
+;14;36.0;Ming Hannes;;23;52.75;15;35.75;1;-0.25;9.75
+;13;45.75;Blaser Theo;*;21;53.25;17;44.75;4;-1.0;10.0

12d;Schöpfer Ronny;*;;;;;;;;;55.75
+;;;Imfeld Beat;*;;;;;;;10.0
o;2;10.0;Huber Alex;*;14;55.25;3;9.75;1;-0.25;8.5
-;7;18.5;Scheuber Lutz;**;11;56.0;7;18.5;0;0.0;9.0
+;10;27.5;Hürlimann Mathias;*;21;53.25;10;27.5;0;0.0;9.75
+;9;37.25;Nietlispach Pascal;**;19;54.0;11;36.75;2;-0.5;9.75
o;8;47.0;Briker Michael;*;9;56.5;9;46.75;1;-0.25;8.75

12e;Rohrer Ueli;*;;;;;;;;;55.75
+;;;Graber Michael;*;;;;;;;10.0
o;2;10.0;Gloggner Philipp;***;7;57.0;2;10.0;0;0.0;8.5
+;7;18.5;Schärli Reto;*;18;54.25;7;18.5;0;0.0;10.0
+;6;28.5;Wandeler Roman (2002);;18;54.25;7;28.25;1;-0.25;10.0
o;4;38.5;Fankhauser Erich;***;8;56.75;5;38.25;1;-0.25;8.75
o;7;47.25;Ambühl Joel;**;8;56.75;8;47.0;1;-0.25;8.5

12f;Waser Dominik;**;;;;;;;;;55.75
-;;;Muff Armin;**;;;;;;;8.75
+;5;8.75;Bürgi Reto;*;21;53.25;5;8.75;0;0.0;9.75
+;7;18.5;Brunner Timon;;28;35.5;7;18.5;0;0.0;10.0
-;6;28.5;Mathis Marcel;***;8;56.75;9;27.75;3;-0.75;8.75
+;9;37.25;Fellmann Roman;**;18;54.25;10;37.0;1;-0.25;10.0
o;7;47.25;Suppiger René;***;10;56.25;11;46.25;4;-1.0;8.5

13a;Bucher Christian;*;;;;;;;;;55.5
o;;;Egli Damian;**;;;;;;;8.75
+;5;8.75;Bachmann Roger;*;32;34.5;6;8.5;1;-0.25;9.75
o;7;18.5;Rolli Martin;**;14;55.25;8;18.25;1;-0.25;8.75
+;11;27.25;Wyss Sven (2001);*;16;54.75;11;27.25;0;0.0;9.75
o;10;37.0;Gloggner Philipp;***;7;57.0;9;37.25;-1;0.25;8.5
+;14;45.5;Muff Armin;**;21;53.25;17;44.75;3;-0.75;10.0

13b;Widmer Adrian;*;;;;;;;;;55.5
