3617-2017-06-25_Fete_Cantonale_Vaudoise2-ST

1a;Moser Steven;**;;;;;;;;;58.75
+;11;45.5;Zosso Fabian;;16;54.5;9;46.0;-2;0.5;9.75

13j;Parvex Yannick;;;;;;;;;;55.25
+;;;Rappo Yann;;;;;;;;10.0
o;1;10.0;Loup Alexandre;*;15;54.75;5;8.5;4;-1.5;8.5
+;6;18.5;Fankhauser Hans (2001);;14;55.0;6;18.5;0;0.0;10.0
o;3;28.5;Borcard Johann;**;3;58.0;3;28.5;0;0.0;8.5
+;8;37.0;Buchs Julien (1999);;13;55.25;9;36.75;1;-0.25;9.75
o;6;46.75;Emonet Frédéric;*;14;55.0;12;45.25;6;-1.5;8.5

13k;Brodard Augustin;**;;;;;;;;;55.25
+;;;Emonet Frédéric;*;;;;;;;9.75
o;2;9.75;Egli Damian;**;6;57.0;5;8.5;3;-1.25;8.5
+;7;18.25;Cotting Alexandre;;15;54.75;3;19.5;-4;1.25;10.0
+;4;28.25;Loup Grégoire (2000);;13;55.25;4;28.25;0;0.0;9.75
-;4;38.0;Haenni Stéphane;**;5;57.25;2;38.5;-2;0.5;8.75
o;6;46.75;Gottofrey Marc;**;5;57.25;4;47.25;-2;0.5;8.5

13l;Barras André;*;;;;;;;;;55.25
-;;;Haldi Sami;*;;;;;;;8.75
+;4;8.75;Crausaz Simon;;14;55.0;2;9.75;-2;1.0;9.75
o;6;18.5;Duplan Steve;**;6;57.0;4;19.0;-2;0.5;8.5
+;9;27.0;Pellet Adrian;;14;55.0;5;28.0;-4;1.0;9.75
o;9;36.75;Egli Pirmin;**;11;55.75;11;36.25;2;-0.5;8.75
+;11;45.5;Cotting Alexandre;;15;54.75;8;46.25;-3;0.75;9.75

13m;Buchs Julien (1999);;;;;;;;;;55.25
+;;;Ganière William;;;;;;;;9.75
-;2;9.75;Ducry Antoine;*;12;55.5;4;8.75;2;-1.0;8.75
+;6;18.5;Chofflon Anthony;;18;54.0;6;18.5;0;0.0;9.75
o;4;28.25;Matthey Mickaël;**;8;56.5;7;27.5;3;-0.75;8.5
o;9;36.75;Parvex Yannick;;13;55.25;8;37.0;-1;0.25;8.5
+;12;45.25;Détienne Laurent;;20;53.5;13;45.0;1;-0.25;10.0

14a;Mollet Adrian;;;;;;;;;;55.0
+;;;Pellet Adrian;;;;;;;;9.75
-;2;9.75;Golliard Steve;;13;55.25;2;9.75;0;0.0;9.0
-;5;18.75;Bersier Jean-Jacques;*;17;54.25;6;18.5;1;-0.25;8.75
-;7;27.5;Balimann Sandro (2001);;17;54.25;5;28.0;-2;0.5;9.0
+;10;36.5;Pürro David (2001);;21;52.75;13;35.75;3;-0.75;10.0
o;7;46.5;Egli David;*;11;55.75;9;46.0;2;-0.5;8.5

14b;Fankhauser Hans (2001);;;;;;;;;;55.0
o;;;Taillard Virgile;;;;;;;;8.75
+;4;8.75;Squaratti Yannick;;19;53.75;2;9.75;-2;1.0;9.75
o;6;18.5;Parvex Yannick;;13;55.25;6;18.5;0;0.0;8.5
+;9;27.0;Duvoisin Antony;;19;53.75;10;26.75;1;-0.25;9.75
+;9;36.75;Cottier Marco (2000);;20;53.5;10;36.5;1;-0.25;9.75
o;7;46.5;Lerch Jimmy;*;13;55.25;11;45.5;4;-1.0;8.5

14c;Crausaz Simon;;;;;;;;;;55.0
+;;;Liardon Kevin;;;;;;;;9.75
o;2;9.75;Barras André;*;13;55.25;4;8.75;2;-1.0;8.5
o;7;18.25;Kramer Dorian (1999);;17;54.25;7;18.25;0;0.0;8.5
+;10;26.75;Délitroz Lucien (1999);;18;54.0;9;27.0;-1;0.25;9.75
+;10;36.5;Z'Rotz Roman;;17;54.25;13;35.75;3;-0.75;10.0
o;7;46.5;Duplan Steve;**;6;57.0;4;47.25;-3;0.75;8.5

14d;Mosimann Vincent;*;;;;;;;;;55.0
+;;;Loup Alexandre;*;;;;;;;9.75
o;2;9.75;Doppmann Urs;*;11;55.75;5;8.5;3;-1.25;8.5
+;7;18.25;Quartenoud Samuel;;19;53.75;2;19.75;-5;1.5;9.75
+;5;28.0;Monney Branighan;;17;54.25;4;28.25;-1;0.25;10.0
o;4;38.0;Roch Vincent;**;7;56.75;3;38.25;-1;0.25;8.5
