4027-2019-06-02_Schaffhauser_Kantonalschwingfest-ST

1a;Bösch Daniel;***;;;;;;;;;59.75
13j;Bühler Hannes;*;;;;;;;;;55.25
-;;;Gwerder Andreas;**;;;;;;;8.75
+;4;8.75;Buchmann Michael;;18;54.0;1;10.0;-3;1.25;10.0
o;5;18.75;Forrer Arnold;***;6;57.0;7;18.25;2;-0.5;8.5
+;10;27.25;Roth Michael;;12;55.5;10;27.25;0;0.0;9.75
o;10;37.0;Schuler Martin;;10;56.0;8;37.5;-2;0.5;8.5
+;14;45.5;Leuppi Karim;*;17;54.25;13;45.75;-1;0.25;9.75

13k;Wolfer Lukas;*;;;;;;;;;55.25
o;;;Schwyn Adrian;*;;;;;;;8.5
+;5;8.5;Roth Sämi;;20;53.5;2;9.75;-3;1.25;10.0
o;6;18.5;Schudel Simon;*;5;57.25;4;19.0;-2;0.5;8.5
+;11;27.0;Lieberherr David (2003);;19;53.75;11;27.0;0;0.0;10.0
o;10;37.0;Schmidlin Tobias (2001);*;11;55.75;10;37.0;0;0.0;8.5
+;14;45.5;Badat Thomas;;18;54.0;14;45.5;0;0.0;9.75

14a;Aerne Christian;*;;;;;;;;;55.0
o;;;Alder Armin;*;;;;;;;8.5
+;5;8.5;Bleiker Daniel;;22;52.75;1;10.0;-4;1.5;10.0
+;6;18.5;Hobi Ignaz;;16;54.5;5;18.75;-1;0.25;9.75
