2778-2018-06-24_123_Nordostschweizer_Schwingfest_125_Jahre_NOSV-ST

1a;Orlik Armon;***;;;;;;;;;59.0
+;10;27.0;Jörger Corsin;;12;55.5;11;26.75;1;-0.25;10.0
o;9;37.0;Schmid Dominik;**;11;55.75;9;37.0;0;0.0;8.5
o;13;45.5;Vollenweider Jeremy;*;12;55.5;13;45.5;0;0.0;8.5

18e;Rohner Lukas (2000);;;;;;;;;;54.0
+;;;Riedi Thomas;;;;;;;;9.75
o;2;9.75;Breitenmoser Manuel;*;12;55.5;3;8.75;1;-1.0;8.75
+;6;18.5;Bürgler Patrick;;23;52.75;6;18.5;0;0.0;9.75
o;5;28.25;Kamer Hanspeter;*;13;55.25;5;28.25;0;0.0;8.5
o;10;36.75;Oertig Dominik;**;10;56.0;12;36.0;2;-0.75;8.5
-;14;45.25;Rotach Lars (2000);;19;53.75;15;45.0;1;-0.25;8.75

18f;Straub Robin;*;;;;;;;;;54.0
o;;;Kamer Hanspeter;*;;;;;;;8.5
+;4;8.5;Thoma Christoph;;22;53.0;1;10.0;-3;1.5;9.75
+;7;18.25;Bollhalder Manuel (2001);;13;55.25;7;18.25;0;0.0;10.0
o;5;28.25;Riget Tobias;**;13;55.25;6;28.0;1;-0.25;8.5
-;10;36.75;Bischof Martin;;13;55.25;10;36.75;0;0.0;8.75
o;13;45.5;Arztmann Beda;*;14;55.0;14;45.25;1;-0.25;8.5

18g;Kunz Daniel;*;;;;;;;;;54.0
-;;;Koller Fabian;*;;;;;;;8.75
o;3;8.75;Heierli Pascal;*;13;55.25;3;8.75;0;0.0;8.5
+;9;17.25;Rüegg Roman;*;16;54.5;9;17.25;0;0.0;10.0
+;9;27.25;Jöhl Christian;*;17;54.25;9;27.25;0;0.0;9.75
o;9;37.0;Fuster Sepp;;11;55.75;8;37.25;-1;0.25;8.5
o;13;45.5;Riget Florian;*;12;55.5;13;45.5;0;0.0;8.5

18h;Hobi Ignaz;;;;;;;;;;54.0
+;;;Burkhard Tobias;;;;;;;;10.0
o;1;10.0;Jöhl Christian;*;17;54.25;4;8.5;3;-1.5;8.5
o;6;18.5;Gartmann Mauro;*;11;55.75;6;18.5;0;0.0;8.5
o;10;27.0;Ammann Rico;*;14;55.0;10;27.0;0;0.0;8.5
+;14;35.5;Horner Sämi;;24;52.5;14;35.5;0;0.0;9.75
-;14;45.25;Tritten Robin;;21;53.25;17;44.5;3;-0.75;8.75

19a;Kobler Janosch (2000);;;;;;;;;;53.75
+;;;Horner Sämi;;;;;;;;9.75
o;2;9.75;Vollenweider Jeremy;*;12;55.5;3;8.75;1;-1.0;8.75
o;6;18.5;Roth Martin;*;4;57.5;7;18.25;1;-0.25;8.5
+;10;27.0;Hari Michi;;28;35.25;11;26.75;1;-0.25;9.75
o;10;36.75;Ackermann Remo;*;16;54.5;13;35.75;3;-1.0;8.5
o;14;45.25;Jörger Corsin;;12;55.5;13;45.5;-1;0.25;8.5

19b;Hugelshofer Lars (2001);;;;;;;;;;53.75
+;;;Ziegler Andreas (2002);;;;;;;;9.75
o;2;9.75;Morger Adrian;*;25;46.25;4;8.5;2;-1.25;8.75
+;6;18.5;Rotach Lars (2000);;19;53.75;7;18.25;1;-0.25;9.75
o;5;28.25;Wickli Beat;**;12;55.5;9;27.25;4;-1.0;8.5
o;10;36.75;Schlegel Reto;*;13;55.25;9;37.0;-1;0.25;8.5
o;14;45.25;Pianta Christian;;13;55.25;13;45.5;-1;0.25;8.5

19c;Wey Nicola;*;;;;;;;;;53.75
-;;;Schläpfer Markus;**;;;;;;;8.75
o;3;8.75;Krähenbühl Lukas;*;14;55.0;4;8.5;1;-0.25;8.75
+;8;17.5;Bärtsch Fabian (2000);;13;55.25;7;18.25;-1;0.75;10.0
-;8;27.5;Baumann Rico;*;17;54.25;9;27.25;1;-0.25;9.0
-;11;36.5;Riget Florian;*;12;55.5;10;36.75;-1;0.25;8.75
o;14;45.25;Oertle Daniel;*;13;55.25;13;45.5;-1;0.25;8.5

19d;Rotach Lars (2000);;;;;;;;;;53.75
+;;;Schiesser Patrik;;;;;;;;9.75
o;2;9.75;Jörger Marc;*;17;54.25;4;8.5;2;-1.25;8.5
o;7;18.25;Hugelshofer Lars (2001);;19;53.75;6;18.5;-1;0.25;8.5
+;11;26.75;Furrer Matthias;;33;34.0;15;25.5;4;-1.25;9.75
o;11;36.5;Funk Nicola;*;17;54.25;12;36.0;1;-0.5;8.5
-;15;45.0;Rohner Lukas (2000);;18;54.0;14;45.25;-1;0.25;8.75

19e;Schwyn Patrick;;;;;;;;;;53.75
o;;;Landolt Reto;*;;;;;;;8.5
o;4;8.5;Burkhard Tobias;;18;54.0;4;8.5;0;0.0;8.5
+;10;17.0;Furrer Matthias;;33;34.0;10;17.0;0;0.0;10.0
o;10;27.0;Elmer Adrian;*;16;54.5;13;26.0;3;-1.0;8.5
+;14;35.5;Schnyder Christian;;23;52.75;13;35.75;-1;0.25;9.75
o;14;45.25;Bärtsch Fabian (2000);;13;55.25;14;45.25;0;0.0;8.5

20a;Schuler Martin;;;;;;;;;;53.5
+;;;Baumgartner Ramon (2002);;;;;;;;9.75
o;2;9.75;Notz Armin;*;17;54.25;3;8.75;1;-1.0;8.5
+;7;18.25;Büsser André;*;37;26.0;8;17.5;1;-0.75;9.75
o;6;28.0;Geisser Lars;**;4;57.5;7;27.75;1;-0.25;8.5
o;11;36.5;Eugster Ruedi;**;11;55.75;12;36.0;1;-0.5;8.5
o;15;45.0;Baumann Rico;*;17;54.25;17;44.5;2;-0.5;8.5

20b;Vollmeier Sandro;;;;;;;;;;53.5
-;;;Lanter Christian;;;;;;;;8.75
+;3;8.75;Flütsch Marco;;24;52.5;3;8.75;0;0.0;10.0
o;5;18.75;Dumelin David;*;8;56.5;6;18.5;1;-0.25;8.75
o;8;27.5;Wittenwiler Roman;*;14;55.0;10;27.0;2;-0.5;8.5
-;12;36.0;Vestner Bruno;*;21;53.25;13;35.75;1;-0.25;8.75
-;16;44.75;Wettstein Daniel;;22;53.0;18;44.25;2;-0.5;8.75

21a;Vestner Bruno;*;;;;;;;;;53.25
o;;;Holenstein Christian;*;;;;;;;8.5
o;4;8.5;Bühler Hannes;*;11;55.75;3;8.75;-1;0.25;8.5
+;10;17.0;Burkhard Tobias;;18;54.0;7;18.25;-3;1.25;10.0
-;10;27.0;Rüegg Fabian;*;16;54.5;10;27.0;0;0.0;8.75
-;13;35.75;Vollmeier Sandro;;20;53.5;12;36.0;-1;0.25;8.75
-;17;44.5;Neff Florian;;21;53.25;17;44.5;0;0.0;8.75

21b;Roth Peter;;;;;;;;;;53.25
-;;;Flütsch Marco;;;;;;;;8.75
o;3;8.75;Odermatt Michi;;17;54.25;3;8.75;0;0.0;8.75
+;8;17.5;Inauen Aurel;;13;55.25;9;17.25;1;-0.25;10.0
o;8;27.5;Gwerder Andreas;**;9;56.25;11;26.75;3;-0.75;8.5
-;12;36.0;Schwyn Adrian;*;21;53.25;12;36.0;0;0.0;8.75
o;16;44.75;Aebli Nino (2000);;12;55.5;13;45.5;-3;0.75;8.5

21c;Schwyn Adrian;*;;;;;;;;;53.25
o;;;Riget Florian;*;;;;;;;8.5
o;4;8.5;Nägeli Roman;*;18;54.0;4;8.5;0;0.0;8.5
-;10;17.0;Oettli Silvio (2000);;12;55.5;7;18.25;-3;1.25;9.0
+;13;26.0;Ackermann Roman;;18;54.0;10;27.0;-3;1.0;10.0
-;12;36.0;Roth Peter;;21;53.25;12;36.0;0;0.0;8.75
o;16;44.75;Inauen Aurel;;13;55.25;13;45.5;-3;0.75;8.5

21d;Neff Florian;;;;;;;;;;53.25
-;;;Odermatt Michi;;;;;;;;8.75
o;3;8.75;Fuster Sepp;;11;55.75;3;8.75;0;0.0;8.5
+;9;17.25;Steiner Joel (2000);;31;34.5;8;17.5;-1;0.25;9.75
-;10;27.0;Bollhalder Manuel (2001);;13;55.25;11;26.75;1;-0.25;9.0
o;12;36.0;Rüegg Fabian;*;16;54.5;13;35.75;1;-0.25;8.5
-;17;44.5;Vestner Bruno;*;21;53.25;17;44.5;0;0.0;8.75

21e;Kammermann Thomas;*;;;;;;;;;53.25
-;;;Heierli Pascal;*;;;;;;;8.75
-;3;8.75;Elmer Adrian;*;16;54.5;4;8.5;1;-0.25;8.75
+;8;17.5;Riget Florian;*;12;55.5;7;18.25;-1;0.75;10.0
o;8;27.5;Roth Martin;*;4;57.5;5;28.25;-3;0.75;8.5
-;12;36.0;Bärtsch Fabian (2000);;13;55.25;11;36.5;-1;0.5;8.75
o;16;44.75;Wetter Silvan (2000);;16;54.5;17;44.5;1;-0.25;8.5

21f;Tritten Robin;;;;;;;;;;53.25
-;;;Steiner Joel (2000);;;;;;;;8.75
o;3;8.75;Lanter Christian;;22;53.0;3;8.75;0;0.0;8.75
o;8;17.5;Arztmann Beda;*;14;55.0;9;17.25;1;-0.25;8.5
+;13;26.0;Arnold Christian;;32;34.25;14;25.75;1;-0.25;10.0
o;12;36.0;Büchler Remo;**;17;54.25;12;36.0;0;0.0;8.5
-;17;44.5;Hobi Ignaz;;18;54.0;14;45.25;-3;0.75;8.75

22a;Ueltschi Patric;*;;;;;;;;;53.0
+;;;Jörger Marc;*;;;;;;;9.75
-;2;9.75;Hochholdinger Roman;**;38;25.75;4;8.5;2;-1.25;8.75
o;6;18.5;Piemontesi Pascal;**;12;55.5;7;18.25;1;-0.25;8.5
o;10;27.0;Oettli Silvio (2000);;12;55.5;9;27.25;-1;0.25;8.75
o;13;35.75;Keller Werner;;15;54.75;11;36.5;-2;0.75;8.5
-;18;44.25;Thoma Christoph;;22;53.0;18;44.25;0;0.0;8.75

22b;Lanter Christian;;;;;;;;;;53.0
-;;;Vollmeier Sandro;;;;;;;;8.75
+;3;8.75;Tritten Robin;;21;53.25;3;8.75;0;0.0;9.75
-;6;18.5;Baumann Rico;*;17;54.25;7;18.25;1;-0.25;9.0
o;8;27.5;Rüegg Roman;*;16;54.5;14;25.75;6;-1.75;8.5
o;12;36.0;Bernold Michael;*;12;55.5;9;37.0;-3;1.0;8.5
o;17;44.5;Bischof Martin;;13;55.25;13;45.5;-4;1.0;8.5

22c;Ochsner Reto (2000);;;;;;;;;;53.0
o;;;Bischof Martin;;;;;;;;8.5
-;4;8.5;Tremp Remo;;29;35.0;4;8.5;0;0.0;9.0
-;8;17.5;Riedi Thomas;;29;35.0;9;17.25;1;-0.25;8.75
+;12;26.25;Baumgartner Ramon (2002);;28;35.25;11;26.75;-1;0.5;9.75
o;12;36.0;Vestner Roman;*;17;54.25;9;37.0;-3;1.0;8.5
o;17;44.5;Koller Fabian;*;17;54.25;18;44.25;1;-0.25;8.5

22d;Wettstein Daniel;;;;;;;;;;53.0
-;;;Fuster Sepp;;;;;;;;8.75
+;3;8.75;Wetter Silvan (2000);;16;54.5;3;8.75;0;0.0;9.75
o;6;18.5;Rüegg Fabian;*;16;54.5;10;17.0;4;-1.5;8.5
o;10;27.0;Riget Florian;*;12;55.5;11;26.75;1;-0.25;8.5
-;14;35.5;Wildhaber Jannik;;23;52.75;14;35.5;0;0.0;8.75
-;18;44.25;Vollmeier Sandro;;20;53.5;16;44.75;-2;0.5;8.75

22e;Thoma Christoph;;;;;;;;;;53.0
+;;;Furrer Matthias;;;;;;;;10.0
o;1;10.0;Straub Robin;*;18;54.0;4;8.5;3;-1.5;8.5
o;6;18.5;Räbsamen Marcel (2000);;12;55.5;6;18.5;0;0.0;8.5
-;10;27.0;Bürgler Patrick;;23;52.75;10;27.0;0;0.0;8.75
o;13;35.75;Odermatt Michi;;17;54.25;13;35.75;0;0.0;8.5
-;18;44.25;Ueltschi Patric;*;22;53.0;18;44.25;0;0.0;8.75

23a;Wildhaber Jannik;;;;;;;;;;52.75
o;;;Oettli Silvio (2000);;;;;;;;8.5
+;4;8.5;Rüegg Patrick;;29;35.0;3;8.75;-1;0.25;9.75
o;7;18.25;Kuster Thomas;*;12;55.5;9;17.25;2;-1.0;8.5
-;11;26.75;Oertle Daniel;*;13;55.25;11;26.75;0;0.0;8.75
-;14;35.5;Wettstein Daniel;;22;53.0;14;35.5;0;0.0;8.75
o;18;44.25;Kolb Pirmin (2001);;14;55.0;14;45.25;-4;1.0;8.5

23b;Bürgler Patrick;;;;;;;;;;52.75
+;;;Aebli Nino (2000);;;;;;;;10.0
o;1;10.0;Vestner Roman;*;17;54.25;4;8.5;3;-1.5;8.5
o;6;18.5;Rohner Lukas (2000);;18;54.0;6;18.5;0;0.0;8.5
-;10;27.0;Thoma Christoph;;22;53.0;10;27.0;0;0.0;8.75
o;13;35.75;Bollhalder Manuel (2001);;13;55.25;13;35.75;0;0.0;8.5
o;18;44.25;Jöhl Christian;*;17;54.25;17;44.5;-1;0.25;8.5

23c;Schnyder Christian;;;;;;;;;;52.75
-;;;Buchmann Michael;;;;;;;;8.75
+;3;8.75;Steiner Joel (2000);;31;34.5;3;8.75;0;0.0;10.0
o;5;18.75;Giger Urs;*;12;55.5;6;18.5;1;-0.25;8.5
o;9;27.25;Poltera Andrin;*;11;55.75;10;27.0;1;-0.25;8.5
o;13;35.75;Schwyn Patrick;;19;53.75;14;35.5;1;-0.25;8.5
o;18;44.25;Bollhalder Manuel (2001);;13;55.25;13;45.5;-5;1.25;8.5

24a;Flütsch Marco;;;;;;;;;;52.5
-;;;Roth Peter;;;;;;;;8.75
o;3;8.75;Vollmeier Sandro;;20;53.5;3;8.75;0;0.0;8.5
+;9;17.25;Tremp Remo;;29;35.0;8;17.5;-1;0.25;9.75
o;10;27.0;Rüegg Roman;*;16;54.5;14;25.75;4;-1.25;8.5
o;14;35.5;Oertle Daniel;*;13;55.25;14;35.5;0;0.0;8.5
o;19;44.0;Hauser Simon;;15;54.75;15;45.0;-4;1.0;8.5

24b;Horner Sämi;;;;;;;;;;52.5
o;;;Kobler Janosch (2000);;;;;;;;8.5
+;4;8.5;Schegg Daniel (2000);;30;34.75;4;8.5;0;0.0;10.0
o;6;18.5;Vollenweider Jeremy;*;12;55.5;6;18.5;0;0.0;8.5
o;10;27.0;Dörig Erich;*;27;35.5;14;25.75;4;-1.25;8.5
o;14;35.5;Hobi Ignaz;;18;54.0;14;35.5;0;0.0;8.5
o;19;44.0;Buchmann Michael;;17;54.25;18;44.25;-1;0.25;8.5

25a;Morger Adrian;*;;;;;;;;;46.25
o;;;Fausch Kjetil;*;;;;;;;8.5
+;4;8.5;Hugelshofer Lars (2001);;19;53.75;2;9.75;-2;1.25;9.75
+;7;18.25;Dörig Erich;*;27;35.5;9;17.25;2;-1.0;9.75
+;6;28.0;Landolt Reto;*;18;54.0;5;28.25;-1;0.25;9.75
o;6;37.75;Zbinden Marc;*;11;55.75;8;37.25;2;-0.5;8.5

26a;Castelli Fabio;;;;;;;;;;36.0
+;;;Zumbach Michael;;;;;;;;10.0
o;1;10.0;Funk Nicola;*;17;54.25;3;8.75;2;-1.25;8.5
-;6;18.5;Schegg Daniel (2000);;30;34.75;9;17.25;3;-1.25;9.0
o;8;27.5;Holenstein Christian;*;11;55.75;10;27.0;2;-0.5;8.5

27a;Dörig Erich;*;;;;;;;;;35.5
-;;;Rüegg Roman;*;;;;;;;8.75
o;3;8.75;Oertig Simon;*;16;54.5;3;8.75;0;0.0;8.5
o;9;17.25;Morger Adrian;*;25;46.25;7;18.25;-2;1.0;8.5
+;14;25.75;Horner Sämi;;24;52.5;10;27.0;-4;1.25;9.75

28a;Hari Michi;;;;;;;;;;35.25
+;;;Jörger Corsin;;;;;;;;9.75
o;2;9.75;Zbinden Marc;*;11;55.75;3;8.75;1;-1.0;8.5
o;7;18.25;Steiner Michael;**;9;56.25;7;18.25;0;0.0;8.5
o;11;26.75;Kobler Janosch (2000);;19;53.75;10;27.0;-1;0.25;8.5

28b;Ziegler Andreas (2002);;;;;;;;;;35.25
o;;;Hugelshofer Lars (2001);;;;;;;;8.5
+;4;8.5;Ackermann Roman;;18;54.0;4;8.5;0;0.0;9.75
o;7;18.25;Schmid Patrick;*;12;55.5;9;17.25;2;-1.0;8.5
o;11;26.75;Burkhard Tobias;;18;54.0;11;26.75;0;0.0;8.5

28c;Zumbach Michael;;;;;;;;;;35.25
o;;;Castelli Fabio;;;;;;;;8.5
+;4;8.5;Schiesser Patrik;;33;34.0;4;8.5;0;0.0;9.75
o;7;18.25;Frick Andreas;*;17;54.25;9;17.25;2;-1.0;8.5
o;11;26.75;Koller Fabian;*;17;54.25;13;26.0;2;-0.75;8.5

28d;Baumgartner Ramon (2002);;;;;;;;;;35.25
o;;;Schuler Martin;;;;;;;;8.5
o;4;8.5;Buchmann Michael;;17;54.25;3;8.75;-1;0.25;8.5
+;10;17.0;Schiesser Patrik;;33;34.0;10;17.0;0;0.0;9.75
o;11;26.75;Ochsner Reto (2000);;22;53.0;12;26.25;1;-0.5;8.5

29a;Riedi Thomas;;;;;;;;;;35.0
o;;;Rohner Lukas (2000);;;;;;;;8.5
o;4;8.5;Kolb Pirmin (2001);;14;55.0;4;8.5;0;0.0;8.75
-;9;17.25;Ochsner Reto (2000);;22;53.0;8;17.5;-1;0.25;9.0
o;12;26.25;Wetter Silvan (2000);;16;54.5;13;26.0;1;-0.25;8.75

29b;Tremp Remo;;;;;;;;;;35.0
o;;;Hauser Simon;;;;;;;;8.5
-;4;8.5;Ochsner Reto (2000);;22;53.0;4;8.5;0;0.0;9.0
o;8;17.5;Flütsch Marco;;24;52.5;9;17.25;1;-0.25;8.5
-;13;26.0;Rüegg Patrick;;29;35.0;13;26.0;0;0.0;9.0

29c;Rüegg Patrick;;;;;;;;;;35.0
-;;;Marty Jaime (2000);;;;;;;;8.75
o;3;8.75;Wildhaber Jannik;;23;52.75;4;8.5;1;-0.25;8.5
-;9;17.25;Wetter Silvan (2000);;16;54.5;9;17.25;0;0.0;8.75
-;13;26.0;Tremp Remo;;29;35.0;13;26.0;0;0.0;9.0

30a;Schegg Daniel (2000);;;;;;;;;;34.75
o;;;Keller Werner;;;;;;;;8.5
o;4;8.5;Horner Sämi;;24;52.5;4;8.5;0;0.0;8.75
-;9;17.25;Castelli Fabio;;26;36.0;6;18.5;-3;1.25;9.0
o;12;26.25;Gosswiler Livio (2000);*;13;55.25;10;27.0;-2;0.75;8.5

30b;Peng Mike;***;;;;;;;;;34.75
o;;;Rhyner Michael;**;;;;;;;8.5
-;4;8.5;Schlegel Werner (2002);*;13;55.25;1;10.0;-3;1.5;8.75
-;9;17.25;Büchler Remo;**;17;54.25;6;18.5;-3;1.25;8.75
-;13;26.0;Kuster Thomas;*;12;55.5;9;27.25;-4;1.25;8.75

31a;Steiner Joel (2000);;;;;;;;;;34.5
-;;;Tritten Robin;;;;;;;;8.75
o;3;8.75;Schnyder Christian;;23;52.75;3;8.75;0;0.0;8.75
o;8;17.5;Neff Florian;;21;53.25;9;17.25;1;-0.25;8.5
o;13;26.0;Inauen Aurel;;13;55.25;14;25.75;1;-0.25;8.5

32a;Arnold Christian;;;;;;;;;;34.25
o;;;Pianta Christian;;;;;;;;8.5
o;4;8.5;Aebli Nino (2000);;12;55.5;4;8.5;0;0.0;8.5
o;10;17.0;Ackermann Roman;;18;54.0;10;17.0;0;0.0;8.75
o;14;25.75;Tritten Robin;;21;53.25;13;26.0;-1;0.25;8.5

32b;Pfister Florian;*;;;;;;;;;34.25
o;;;Gartmann Mauro;*;;;;;;;8.5
o;4;8.5;Hauser Simon;;15;54.75;2;9.75;-2;1.25;8.5
o;10;17.0;Kolb Pirmin (2001);;14;55.0;7;18.25;-3;1.25;8.5
-;15;25.5;Odermatt Michi;;17;54.25;10;27.0;-5;1.5;8.75

32c;Rütsche Stefan;*;;;;;;;;;34.25
-;;;Gosswiler Livio (2000);*;;;;;;;8.75
o;3;8.75;Lehmann Philipp;;17;54.25;2;9.75;-1;1.0;8.5
o;9;17.25;Aebli Nino (2000);;12;55.5;6;18.5;-3;1.25;8.5
o;14;25.75;Jörger Corsin;;12;55.5;11;26.75;-3;1.0;8.5

33a;Schiesser Patrik;;;;;;;;;;34.0
o;;;Rotach Lars (2000);;;;;;;;8.5
o;4;8.5;Zumbach Michael;;28;35.25;4;8.5;0;0.0;8.5
o;10;17.0;Baumgartner Ramon (2002);;28;35.25;10;17.0;0;0.0;8.5
o;15;25.5;Bärtsch Fabian (2000);;13;55.25;11;26.75;-4;1.25;8.5

33b;Furrer Matthias;;;;;;;;;;34.0
o;;;Thoma Christoph;;;;;;;;8.5
o;4;8.5;Jörger Corsin;;12;55.5;4;8.5;0;0.0;8.5
o;10;17.0;Schwyn Patrick;;19;53.75;10;17.0;0;0.0;8.5
o;15;25.5;Rotach Lars (2000);;19;53.75;11;26.75;-4;1.25;8.5

33c;Wolfer Lukas;*;;;;;;;;;34.0
o;;;Mettler Valentin;*;;;;;;;8.5
o;4;8.5;Marty Jaime (2000);;34;27.25;3;8.75;-1;0.25;8.5
o;10;17.0;Bernold Michael;*;12;55.5;7;18.25;-3;1.25;8.5
o;15;25.5;Fuster Sepp;;11;55.75;9;27.25;-6;1.75;8.5

34a;Marty Jaime (2000);;;;;;;;;;27.25
-;;;Rüegg Patrick;;;;;;;;8.75
+;3;8.75;Wolfer Lukas;*;33;34.0;4;8.5;1;-0.25;10.0
o;5;18.75;Kid Simon;**;11;55.75;9;17.25;4;-1.5;8.5

35a;Fausch Kjetil;*;;;;;;;;;27.0
+;;;Morger Adrian;*;;;;;;;10.0
o;1;10.0;Notz Beni;***;12;55.5;4;8.5;3;-1.5;8.5
o;6;18.5;Landolt Reto;*;18;54.0;6;18.5;0;0.0;8.5

36a;Mettler Valentin;*;;;;;;;;;26.75
+;;;Wolfer Lukas;*;;;;;;;9.75
o;2;9.75;Zwyssig Raphael;***;5;57.25;3;8.75;1;-1.0;8.5
o;7;18.25;Bickel Roman;*;16;54.5;9;17.25;2;-1.0;8.5

37a;Büsser André;*;;;;;;;;;26.0
-;;;Funk Nicola;*;;;;;;;8.75
-;3;8.75;Pianta Christian;;13;55.25;2;9.75;-1;1.0;8.75
o;8;17.5;Schuler Martin;;20;53.5;7;18.25;-1;0.75;8.5

38a;Hochholdinger Roman;**;;;;;;;;;25.75
o;;;Schneider Mario;**;;;;;;;8.5
-;4;8.5;Ueltschi Patric;*;22;53.0;2;9.75;-2;1.25;8.75
o;9;17.25;Krähenbühl Tobias;***;5;57.25;9;17.25;0;0.0;8.5

39a;Schäppi Urs;*;;;;;;;;;25.5
o;;;Geisser Lars;**;;;;;;;8.5
o;4;8.5;Odermatt Christoph;*;17;54.25;3;8.75;-1;0.25;8.5
o;10;17.0;Wittenwiler Roman;*;14;55.0;9;17.25;-1;0.25;8.5

40a;Bühler Ernst;**;;;;;;;;;8.5
o;;;Riget Tobias;**;;;;;;;8.5

