3381-2016-05-01_112_Ob-_und_Nidwaldner_Kantonalschwingfest-ST

1a;Laimbacher Philipp;***;;;;;;;;;58.5
+;7;37.5;von Flüe Marco;;13;55.25;9;37.0;2;-0.5;9.75
o;7;47.25;Reichmuth Pirmin;**;6;57.0;7;47.25;0;0.0;8.5

11b;Bernhard Lukas;*;;;;;;;;;55.75
+;;;Lang Sven (1998);*;;;;;;;10.0
o;1;10.0;Anderegg Simon;***;8;56.5;2;9.75;1;-0.25;8.75
+;5;18.75;Enz Simon;;33;28.25;2;19.75;-3;1.0;10.0
+;5;28.75;Gasser Dominik 1;;19;53.75;7;28.25;2;-0.5;10.0
o;2;38.75;Imhof Andi;***;2;58.25;3;38.5;1;-0.25;8.5
o;7;47.25;Murer Andy;*;6;57.0;7;47.25;0;0.0;8.5

11c;Rohrer Beat;*;;;;;;;;;55.75
-;;;Barmettler Peter;*;;;;;;;8.75
-;4;8.75;Arnold Stefan;**;10;56.0;4;8.75;0;0.0;8.75
+;10;17.5;Arnold Lukas (1998);;16;54.5;6;18.5;-4;1.0;9.75
+;11;27.25;Gander Benjamin (2000);;18;54.0;11;27.25;0;0.0;10.0
o;8;37.25;Gloggner Philipp;***;5;57.25;8;37.25;0;0.0;8.5
+;13;45.75;Herger Andreas;;17;54.25;13;45.75;0;0.0;10.0

11d;Herger Fabian;*;;;;;;;;;55.75
-;;;Bürgi Reto;*;;;;;;;8.75
o;4;8.75;Britschgi Melk;**;6;57.0;4;8.75;0;0.0;8.5
-;11;17.25;Ming Christian;;17;54.25;7;18.25;-4;1.0;8.75
+;16;26.0;Durrer Markus (1999);;23;52.5;12;27.0;-4;1.0;10.0
+;13;36.0;Gander Michael (1998);;17;54.25;13;36.0;0;0.0;10.0
+;12;46.0;Gander Martin;;15;54.75;12;46.0;0;0.0;9.75

11e;Amgarten Roman;*;;;;;;;;;55.75
+;;;Baumann Roger;*;;;;;;;10.0
o;1;10.0;Odermatt Christian;**;7;56.75;2;9.75;1;-0.25;8.5
-;6;18.5;Herger Lukas;;20;53.5;5;18.75;-1;0.25;8.75
+;11;27.25;Waser Andrin (1999);;17;54.25;11;27.25;0;0.0;10.0
+;8;37.25;Riedi Adrian;;17;54.25;9;37.0;1;-0.25;10.0
o;7;47.25;Schurtenberger Sven;**;5;57.25;7;47.25;0;0.0;8.5

11f;Spichtig Clemens;;;;;;;;;;55.75
+;;;Wyrsch Hansi (1999);;;;;;;;9.75
o;2;9.75;Schöpfer Ronny (1999);;10;56.0;1;10.0;-1;0.25;8.75
o;6;18.5;Arnold Severin;*;12;55.5;10;17.5;4;-1.0;8.75
+;11;27.25;Planzer Urs;;18;54.0;12;27.0;1;-0.25;10.0
o;8;37.25;Briker Michael;*;9;56.25;7;37.5;-1;0.25;8.5
+;13;45.75;Würsch Tom (2000);;23;52.5;20;44.0;7;-1.75;10.0

11g;Odermatt Remo;*;;;;;;;;;55.75
+;;;Niederberger Markus;*;;;;;;;10.0
+;1;10.0;Arnold Daniel;;7;56.75;2;9.75;1;-0.25;9.75
+;2;19.75;Herger Simon;;12;55.5;3;19.5;1;-0.25;10.0
o;2;29.75;Laimbacher Philipp;***;1;58.5;1;30.0;-1;0.25;8.5
-;4;38.25;Rohrer Ivan;*;13;55.25;5;38.0;1;-0.25;8.75
-;8;47.0;Rohrer Marco;**;8;56.5;6;47.5;-2;0.5;8.75

12a;Lussi Marco;*;;;;;;;;;55.5
o;;;Murer Andy;*;;;;;;;8.5
-;5;8.5;Arnold Severin;*;12;55.5;5;8.5;0;0.0;9.0
+;10;17.5;Herger André;;19;53.75;6;18.5;-4;1.0;9.75
+;11;27.25;Herger Simon;;12;55.5;8;28.0;-3;0.75;9.75
+;9;37.0;Ming Christian;;17;54.25;9;37.0;0;0.0;9.75
-;9;46.75;Kempf Elias;**;12;55.5;9;46.75;0;0.0;8.75

12b;Odermatt Andreas;*;;;;;;;;;55.5
o;;;Briker Michael;*;;;;;;;8.5
+;5;8.5;Reimann Thomas;*;13;55.25;5;8.5;0;0.0;9.75
+;7;18.25;Zumstein Marcel;;18;54.0;6;18.5;-1;0.25;10.0
o;7;28.25;Reichmuth Pirmin;**;6;57.0;10;27.5;3;-0.75;8.5
+;10;36.75;Gasser Dominik 2 (1998);;18;54.0;9;37.0;-1;0.25;10.0
-;9;46.75;Scherer Niklaus;;12;55.5;9;46.75;0;0.0;8.75

12c;Arnold Severin;*;;;;;;;;;55.5
o;;;Langenstein Philip;*;;;;;;;8.5
-;5;8.5;Lussi Marco;*;12;55.5;5;8.5;0;0.0;9.0
+;10;17.5;Spichtig Clemens;;11;55.75;6;18.5;-4;1.0;9.75
+;11;27.25;Durrer Hans;;18;54.0;11;27.25;0;0.0;10.0
o;8;37.25;Suppiger René;**;7;56.75;8;37.25;0;0.0;8.5
+;13;45.75;Waser Andrin (1999);;17;54.25;13;45.75;0;0.0;9.75

12d;Zurfluh Michael (1999);;;;;;;;;;55.5
-;;;Rohrer Henry;;;;;;;;8.75
+;4;8.75;Bacher Andreas;;20;53.5;2;9.75;-2;1.0;10.0
o;5;18.75;Wicki Joel;**;2;58.25;6;18.5;1;-0.25;8.5
+;11;27.25;Graber Sandro;;19;53.75;8;28.0;-3;0.75;9.75
-;9;37.0;Omlin Toni;*;10;56.0;8;37.25;-1;0.25;8.75
+;13;45.75;von Deschwanden Patrick;;17;54.25;13;45.75;0;0.0;9.75

12e;Kempf Elias;**;;;;;;;;;55.5
o;;;Wicki Joel;**;;;;;;;8.5
+;5;8.5;Hess Dominik;*;15;54.75;4;8.75;-1;0.25;10.0
+;6;18.5;Gander Benjamin (2000);;18;54.0;5;18.75;-1;0.25;10.0
o;6;28.5;Imfeld Peter;***;6;57.0;6;28.5;0;0.0;8.5
+;9;37.0;Röthlin Pascal;;13;55.25;9;37.0;0;0.0;9.75
-;9;46.75;Lussi Marco;*;12;55.5;9;46.75;0;0.0;8.75

12f;Ettlin Martin (1998);;;;;;;;;;55.5
+;;;Arnold Sebastian;;;;;;;;10.0
+;1;10.0;Abächerli Fabio (1998);;21;53.0;1;10.0;0;0.0;10.0
o;1;20.0;Glarner Matthias;***;4;57.5;5;18.75;4;-1.25;8.5
o;6;28.5;Scheuber Lutz;**;6;57.0;6;28.5;0;0.0;8.5
o;9;37.0;Käslin Ruedi;;13;55.25;10;36.75;1;-0.25;8.5
+;14;45.5;Ming Hannes (1998);;19;53.75;15;45.25;1;-0.25;10.0

12g;Gasser Stefan;**;;;;;;;;;55.5
o;;;Anderegg Simon;***;;;;;;;8.5
-;5;8.5;Fässler Dominic;*;13;55.25;5;8.5;0;0.0;9.0
+;10;17.5;Planzer Urs;;18;54.0;6;18.5;-4;1.0;9.75
+;11;27.25;Hauser Roman (2000);;16;54.5;10;27.5;-1;0.25;9.75
+;9;37.0;Zimmermann Armin;;17;54.25;9;37.0;0;0.0;10.0
o;8;47.0;Suppiger René;**;7;56.75;8;47.0;0;0.0;8.5

12h;Käslin Benno;*;;;;;;;;;55.5
-;;;Wyrsch Marco;*;;;;;;;8.75
+;4;8.75;Durrer Robin;;17;54.25;1;10.0;-3;1.25;9.75
o;6;18.5;Wallimann Remo;;14;55.0;4;19.0;-2;0.5;8.5
