5596-2021-09-12_Luzerner_Kantonales_Schwingfest-ST

1a;Wicki Joel;***;;;;;;;;;59.0
8h;Egli Damian;**;;;;;;;;;56.75
+;;;Gäggeler Adrian;*;;;;;;;10.0
o;1;10.0;Wicki Joel;***;1;59.0;1;10.0;0;0.0;8.5
+;6;18.5;Züger Benjamin (2004);;13;55.5;5;18.75;-1;0.25;10.0
+;6;28.5;Rüegsegger Christian;;10;56.25;5;28.75;-1;0.25;10.0
+;4;38.5;Suppiger Werner;**;9;56.5;6;38.0;2;-0.5;9.75
o;3;48.25;Graber Michael;*;3;58.0;4;48.0;1;-0.25;8.5

8i;Gasser Peter;*;;;;;;;;;56.75
o;;;Scherer Niklaus;**;;;;;;;8.5
o;5;8.5;Troxler Jonas;*;9;56.5;5;8.5;0;0.0;8.5
+;12;17.0;Giger Janik;;19;54.0;7;18.25;-5;1.25;10.0
+;12;27.0;Koch Cyrill (2004);;24;52.75;11;27.25;-1;0.25;10.0
+;10;37.0;Wyss Sven;*;14;55.25;10;37.0;0;0.0;9.75
+;9;46.75;Bieri Elias;;14;55.25;10;46.5;1;-0.25;10.0

8j;Kenel Franz-Toni;*;;;;;;;;;56.75
+;;;Wyss Sven;*;;;;;;;9.75
-;2;9.75;Müller Roger;*;14;55.25;2;9.75;0;0.0;8.75
+;6;18.5;Achermann Ivan (2005);;15;55.0;2;19.75;-4;1.25;9.75
+;7;28.25;Wigger Simon;;14;55.25;7;28.25;0;0.0;10.0
-;5;38.25;Scherer Niklaus;**;7;57.0;5;38.25;0;0.0;8.75
+;8;47.0;Wicki Patrick;;14;55.25;9;46.75;1;-0.25;9.75

8k;Scherrer Fabian;*;;;;;;;;;56.75
+;;;Käslin Ruedi;*;;;;;;;9.75
-;2;9.75;Nötzli Reto;***;13;55.5;5;8.5;3;-1.25;8.75
+;6;18.5;Achermann Ueli;;17;54.5;4;19.0;-2;0.5;9.75
+;7;28.25;Rüttimann Daniel;;17;54.5;6;28.5;-1;0.25;10.0
+;5;38.25;Stöckli Damian;*;7;57.0;5;38.25;0;0.0;10.0
o;3;48.25;Gäumann Stefan;**;3;58.0;4;48.0;1;-0.25;8.5

9a;Doppmann Urs;**;;;;;;;;;56.5
+;;;Kälin Roland;**;;;;;;;9.75
-;2;9.75;Lustenberger Marc (2003);*;6;57.25;2;9.75;0;0.0;9.0
+;5;18.75;Hüsler Matthias;;28;35.5;6;18.5;1;-0.25;10.0
+;5;28.75;Jund Matthias;*;6;57.25;5;28.75;0;0.0;10.0
o;3;38.75;Fankhauser Erich;***;4;57.75;2;39.25;-1;0.5;8.75
-;6;47.5;Rüegsegger Christian;;10;56.25;7;47.25;1;-0.25;9.0

9b;Troxler Jonas;*;;;;;;;;;56.5
o;;;Vogel Marcel;*;;;;;;;8.5
+;5;8.5;Gasser Peter;*;8;56.75;5;8.5;0;0.0;10.0
+;6;18.5;von Wyl Simon;;26;36.5;3;19.5;-3;1.0;9.75
+;7;28.25;Vogel Manuel;;19;54.0;11;27.25;4;-1.0;9.75
+;6;38.0;Herger Andreas;;13;55.5;5;38.25;-1;0.25;9.75
o;5;47.75;Steinauer Adrian;**;6;57.25;7;47.25;2;-0.5;8.75

9c;Hegner Ueli;*;;;;;;;;;56.5
+;;;Schmidiger Marco;*;;;;;;;10.0
o;1;10.0;Ambühl Joel;**;2;58.5;4;8.75;3;-1.25;8.5
+;6;18.5;Lustenberger Tim (2005);;17;54.5;2;19.75;-4;1.25;9.75
+;7;28.25;Achermann Simon;;15;55.0;7;28.25;0;0.0;9.75
+;6;38.0;Bühler Ramon;;14;55.25;5;38.25;-1;0.25;10.0
o;4;48.0;Schurtenberger Sven;***;5;57.5;6;47.5;2;-0.5;8.5

9d;Suter Samuel;;;;;;;;;;56.5
+;;;Widmer Dominik;;;;;;;;10.0
+;1;10.0;Schmidiger Lukas (2004);;22;53.25;1;10.0;0;0.0;9.75
o;2;19.75;Lustenberger Marc (2003);*;6;57.25;5;18.75;3;-1.0;8.5
o;7;28.25;Fankhauser Reto;**;4;57.75;9;27.75;2;-0.5;8.5
+;11;36.75;Lustenberger Tim (2005);;17;54.5;10;37.0;-1;0.25;10.0
+;9;46.75;Riebli Urs;*;10;56.25;5;47.75;-4;1.0;9.75

9e;Suppiger Werner;**;;;;;;;;;56.5
o;;;Odermatt Christian;**;;;;;;;8.5
+;5;8.5;Moos Christoph;*;27;35.75;1;10.0;-4;1.5;9.75
+;7;18.25;Walker Jan (2004);;14;55.25;6;18.5;-1;0.25;10.0
+;7;28.25;Arnold Lukas;;14;55.25;7;28.25;0;0.0;9.75
o;6;38.0;Egli Damian;**;8;56.75;4;38.5;-2;0.5;8.5
+;10;46.5;Vogel Marcel;*;14;55.25;9;46.75;-1;0.25;10.0

10a;Gäggeler Adrian;*;;;;;;;;;56.25
o;;;Egli Damian;**;;;;;;;8.5
+;5;8.5;Schärli Reto;*;14;55.25;5;8.5;0;0.0;10.0
-;6;18.5;Murpf Dario;;16;54.75;6;18.5;0;0.0;8.75
+;11;27.25;Fellmann Simon;;17;54.5;11;27.25;0;0.0;10.0
-;9;37.25;Schaller Noah;;13;55.5;6;38.0;-3;0.75;9.0
+;11;46.25;Wicki David;*;16;54.75;11;46.25;0;0.0;10.0

10b;Hess Dominik;*;;;;;;;;;56.25
o;;;Stöckli Damian;*;;;;;;;8.75
+;4;8.75;Wigger Simon;;14;55.25;1;10.0;-3;1.25;10.0
+;5;18.75;Fink Bruno;*;7;57.0;1;20.0;-4;1.25;10.0
o;5;28.75;Ambühl Joel;**;2;58.5;5;28.75;0;0.0;8.5
+;9;37.25;Doppmann Ueli;;17;54.5;8;37.5;-1;0.25;10.0
-;7;47.25;Schöpfer Marco (2003);;12;55.75;9;46.75;2;-0.5;9.0

10c;Steiner Severin;;;;;;;;;;56.25
+;;;Ziegler Elias;;;;;;;;10.0
o;1;10.0;Bachmann Roger;*;12;55.75;4;8.75;3;-1.25;8.75
+;5;18.75;Kunz Pascal (2004);;24;52.75;5;18.75;0;0.0;10.0
-;5;28.75;Bättig Martin;*;5;57.5;6;28.5;1;-0.25;9.0
o;7;37.75;Bürli Roger;**;7;57.0;8;37.5;1;-0.25;8.5
+;11;46.25;Doppmann Ueli;;17;54.5;12;46.0;1;-0.25;10.0

10d;Rüegsegger Christian;;;;;;;;;;56.25
+;;;Duss Yvan (2003);;;;;;;;9.75
-;2;9.75;Wicki David;*;16;54.75;3;9.0;1;-0.75;9.0
+;5;18.75;Vogel Manuel;;19;54.0;6;18.5;1;-0.25;10.0
o;5;28.75;Egli Damian;**;8;56.75;6;28.5;1;-0.25;8.5
+;9;37.25;Bühlmann Daniel;;17;54.5;11;36.75;2;-0.5;10.0
-;7;47.25;Doppmann Urs;**;9;56.5;6;47.5;-1;0.25;9.0

10e;Arnold Marcel;*;;;;;;;;;56.25
o;;;Lang Sven;**;;;;;;;8.5
-;5;8.5;Elmiger Andreas;*;12;55.75;5;8.5;0;0.0;9.0
+;10;17.5;Ziegler Elias;;19;54.0;6;18.5;-4;1.0;10.0
+;10;27.5;Bieri Elias;;14;55.25;7;28.25;-3;0.75;10.0
o;8;37.5;Bättig Martin;*;5;57.5;8;37.5;0;0.0;8.75
+;11;46.25;Achermann Ueli;;17;54.5;12;46.0;1;-0.25;10.0

10f;Felder Martin;*;;;;;;;;;56.25
+;;;Niederberger Markus;*;;;;;;;9.75
-;2;9.75;Schürpf Bruno;*;8;56.75;2;9.75;0;0.0;8.75
+;6;18.5;Zimmermann Reto;;18;54.25;6;18.5;0;0.0;9.75
+;7;28.25;Brunner Timon;;13;55.5;6;28.5;-1;0.25;9.75
+;6;38.0;Bühler Kilian;;8;56.75;5;38.25;-1;0.25;9.75
o;5;47.75;Murer Andy;**;8;56.75;8;47.0;3;-0.75;8.5

10g;Riebli Urs;*;;;;;;;;;56.25
+;;;Rüegsegger Ueli;*;;;;;;;10.0
+;1;10.0;Graber Michael;*;3;58.0;1;10.0;0;0.0;10.0
o;1;20.0;Schuler Alex;***;11;56.0;5;18.75;4;-1.25;8.75
-;5;28.75;Schaller Noah;;13;55.5;4;29.0;-1;0.25;9.0
+;7;37.75;Albert Thomas;;15;55.0;6;38.0;-1;0.25;10.0
o;5;47.75;Suter Samuel;;9;56.5;9;46.75;4;-1.0;8.5

11a;Schuler Alex;***;;;;;;;;;56.0
+;;;Ambühl Joel;**;;;;;;;9.75
-;2;9.75;Lemmenmeier Lukas;*;8;56.75;1;10.0;-1;0.25;9.0
+;5;18.75;Riebli Urs;*;10;56.25;1;20.0;-4;1.25;10.0
o;5;28.75;Fankhauser Erich;***;4;57.75;3;29.5;-2;0.75;8.5
+;9;37.25;Felder Seppi;*;13;55.5;10;37.0;1;-0.25;10.0
-;7;47.25;Elmiger Andreas;*;12;55.75;8;47.0;1;-0.25;8.75

12a;Blaser Roman;*;;;;;;;;;55.75
o;;;Kaufmann Reto;*;;;;;;;8.5
+;5;8.5;Bühler Kilian;;8;56.75;2;9.75;-3;1.25;9.75
-;7;18.25;Scherrer Patrick;;13;55.5;2;19.75;-5;1.5;8.75
+;12;27.0;Zgraggen Peter;;18;54.25;11;27.25;-1;0.25;9.75
-;11;36.75;Kessler Joel;*;12;55.75;11;36.75;0;0.0;9.0
+;13;45.75;Vogel Manuel;;19;54.0;14;45.5;1;-0.25;10.0

12b;Lagler Christian;*;;;;;;;;;55.75
-;;;Thalmann Thomas;*;;;;;;;8.75
-;4;8.75;Thierstein Marco;*;8;56.75;2;9.75;-2;1.0;8.75
+;10;17.5;Johann Michael;;28;35.5;6;18.5;-4;1.0;9.75
+;11;27.25;Staffelbach Noah (2003);;20;53.75;8;28.0;-3;0.75;9.75
-;10;37.0;Murpf Dario;;16;54.75;10;37.0;0;0.0;9.0
