3125-2015-08-09_Schaffhauser_Kantonalschwingfest-ST

+;8;37.0;Nägeli Roman;*;14;54.25;8;37.0;0;0.0;9.75
-;7;46.75;Nägeli Marco;*;11;55.0;9;46.25;2;-0.5;8.75

9i;Kamer Hanspeter;*;;;;;;;;;55.5
+;;;Kammermann Thomas;*;;;;;;;10.0
o;1;10.0;Schläpfer Markus;**;7;56.0;2;9.75;1;-0.25;8.5
+;6;18.5;Frei Hanspeter (1999);;15;54.0;1;20.0;-5;1.5;10.0
+;6;28.5;Vollenweider Jeremy (1998);*;8;55.75;6;28.5;0;0.0;10.0
o;2;38.5;Notz Beni;***;3;57.0;2;38.5;0;0.0;8.5
o;6;47.0;Inauen Franz;*;3;57.0;6;47.0;0;0.0;8.5

10a;Gubler Daniel;;;;;;;;;;55.25
+;;;De Quervain Marc;;;;;;;;9.75
+;2;9.75;Schwyn Patrick (1999);;12;54.75;2;9.75;0;0.0;10.0
o;2;19.75;Güntensperger Marcel;*;10;55.25;5;18.75;3;-1.0;8.5
o;7;28.25;Nägeli Marco;*;11;55.0;8;28.0;1;-0.25;8.5
o;9;36.75;Ueltschi Patric;;5;56.5;9;36.75;0;0.0;8.5
+;13;45.25;Breitenmoser Manuel;;18;53.25;15;44.75;2;-0.5;10.0

10b;Bernold Michael (1999);;;;;;;;;;55.25
o;;;Wettstein Daniel;;;;;;;;8.5
+;5;8.5;Grimm Michael;;25;34.25;5;8.5;0;0.0;10.0
o;6;18.5;Burkhard Patrick;*;9;55.5;10;17.25;4;-1.25;8.5
o;12;27.0;Nigg Lukas;**;13;54.5;12;27.0;0;0.0;8.5
+;14;35.5;Kunz Daniel;;14;54.25;14;35.5;0;0.0;9.75
+;13;45.25;Furrer Matthias;;16;53.75;13;45.25;0;0.0;10.0

10c;Odermatt Christoph;*;;;;;;;;;55.25
o;;;Holenstein Christian;*;;;;;;;8.5
+;5;8.5;Hobi Ignaz;;16;53.75;1;10.0;-4;1.5;10.0
o;6;18.5;Giger Samuel (1998);**;1;58.25;6;18.5;0;0.0;8.5
+;12;27.0;Fausch Kjetil;;10;55.25;11;27.25;-1;0.25;9.75
o;9;36.75;Rüegg Roman;*;12;54.75;12;36.0;3;-0.75;8.5
+;13;45.25;Schmid Patrick (1997);*;15;54.0;12;45.5;-1;0.25;10.0

10d;Rütsche Werner;;;;;;;;;;55.25
o;;;Koller Fabian;;;;;;;;8.5
+;5;8.5;Wirth Bruno;;21;52.5;5;8.5;0;0.0;9.75
o;7;18.25;Gwerder Andreas;**;7;56.0;10;17.25;3;-1.0;8.5
+;13;26.75;Rüegger Remo (1999);;16;53.75;13;26.75;0;0.0;10.0
o;9;36.75;Roth Lukas;*;9;55.5;8;37.0;-1;0.25;8.5
+;13;45.25;Buchmann Michael;;15;54.0;12;45.5;-1;0.25;10.0

10e;Fejzaj Naim;*;;;;;;;;;55.25
-;;;Bernold Christian;*;;;;;;;9.0
+;3;9.0;Ueltschi Patric;;5;56.5;1;10.0;-2;1.0;10.0
o;4;19.0;Büsser Andy;***;2;57.5;5;18.75;1;-0.25;8.5
+;10;27.5;Junker Nik;;13;54.5;6;28.5;-4;1.0;10.0
-;6;37.5;Vestner Roman;*;11;55.0;7;37.25;1;-0.25;9.0
o;8;46.5;Knechtle Martin;**;3;57.0;6;47.0;-2;0.5;8.75

10f;Güntensperger Marcel;*;;;;;;;;;55.25
-;;;Landolt Reto;*;;;;;;;8.75
+;4;8.75;Nägeli Roman;*;14;54.25;5;8.5;1;-0.25;10.0
