3860-2017-05-21_98_Luzerner_Kantonalschwingfest-ST

1a;Nötzli Bruno;***;;;;;;;;;58.5
+;7;18.25;Schnider Simon (2001);;17;54.0;6;18.5;-1;0.25;10.0
o;5;28.25;Kennel Stefan;**;9;56.0;8;27.5;3;-0.75;8.5
+;10;36.75;Suter Beat;;20;53.25;13;36.0;3;-0.75;10.0
+;7;46.75;Lustenberger Josef;;15;54.5;10;46.0;3;-0.75;9.75

7e;Elsener Adrian;**;;;;;;;;;56.5
-;;;Egli Manuel;*;;;;;;;8.75
+;4;8.75;Stucki Christian;;14;54.75;1;10.0;-3;1.25;9.75
+;6;18.5;Bussmann Martin;;15;54.5;4;19.0;-2;0.5;9.75
-;5;28.25;Egli Pirmin;**;6;56.75;4;28.5;-1;0.25;8.75
+;9;37.0;Vogel Marcel;;15;54.5;9;37.0;0;0.0;9.75
+;7;46.75;Brun Jonas;**;10;55.75;6;47.0;-1;0.25;9.75

7f;Stadelmann Ron;;;;;;;;;;56.5
+;;;Ming Christian 2;;;;;;;;9.75
+;2;9.75;Gwerder Andreas;*;25;35.5;2;9.75;0;0.0;10.0
+;2;19.75;Herger Matthias;**;7;56.5;6;18.5;4;-1.25;9.75
o;1;29.5;Suppiger Werner;**;5;57.0;4;28.5;3;-1.0;8.5
+;5;38.0;Elmiger Matthias;;14;54.75;7;37.5;2;-0.5;10.0
o;2;48.0;Steinauer Adrian;**;4;57.25;5;47.25;3;-0.75;8.5

7g;Imhof Andi;***;;;;;;;;;56.5
-;;;Gloggner Philipp;***;;;;;;;8.75
+;4;8.75;Achermann Christoph;*;9;56.0;2;9.75;-2;1.0;10.0
+;5;18.75;Muff Armin;**;8;56.25;3;19.5;-2;0.75;10.0
-;3;28.75;Wicki Joel;**;3;57.5;3;28.75;0;0.0;8.75
-;7;37.5;Vogel Remo;**;8;56.25;7;37.5;0;0.0;9.0
+;8;46.5;Bernet Christoph;*;13;55.0;8;46.5;0;0.0;10.0

7h;Felder Martin;*;;;;;;;;;56.5
-;;;Blaser Theo;*;;;;;;;9.0
o;3;9.0;Suter David;**;14;54.75;5;8.5;2;-0.5;8.5
+;9;17.5;Zürcher Ueli (2000);;13;55.0;6;18.5;-3;1.0;9.75
+;9;27.25;Reichmuth Roland;;10;55.75;8;27.5;-1;0.25;9.75
+;9;37.0;Steiner Severin (2001);;15;54.5;8;37.25;-1;0.25;9.75
+;7;46.75;Murer Andy;*;14;54.75;9;46.25;2;-0.5;9.75

7i;Schöpfer Ronny (1999);;;;;;;;;;56.5
+;;;Vogel Marcel;;;;;;;;10.0
+;1;10.0;Thalmann Thomas;*;16;54.25;2;9.75;1;-0.25;9.75
o;2;19.75;Reichmuth Armin;*;11;55.5;6;18.5;4;-1.25;8.5
+;5;28.25;Bühler Patrice;;13;55.0;6;28.0;1;-0.25;9.75
+;5;38.0;Ulrich Gregor;;15;54.5;7;37.5;2;-0.5;9.75
o;3;47.75;Gloggner Reto;**;4;57.25;5;47.25;2;-0.5;8.75

7j;Herger Matthias;**;;;;;;;;;56.5
-;;;Bürli Roger;**;;;;;;;8.75
