3860-2017-05-21_98_Luzerner_Kantonalschwingfest-ST

1a;Nötzli Bruno;***;;;;;;;;;58.5
o;10;27.0;Zgraggen Peter;;16;54.25;10;27.0;0;0.0;8.5

25w;Fischer Maurus (2001);;;;;;;;;;35.5
o;;;Hurschler Mauri (1999);;;;;;;;8.5
o;5;8.5;Ziegler Manuel;;18;53.75;5;8.5;0;0.0;8.75
+;10;17.25;Müller Severin (1999);;30;34.25;11;17.0;1;-0.25;9.75
o;10;27.0;Erni Mathias;;18;53.75;10;27.0;0;0.0;8.5

25x;Siegenthaler Michael (2001);;;;;;;;;;35.5
-;;;Lischer Daniel (1999);;;;;;;;8.75
o;4;8.75;Zumstein Marcel;;25;35.5;5;8.5;1;-0.25;8.5
+;10;17.25;Kunz Gian Luca (2001);;25;35.5;11;17.0;1;-0.25;9.75
o;10;27.0;Ambühl Patrick;;16;54.25;10;27.0;0;0.0;8.5

25y;Bucheli Dario (2001);;;;;;;;;;35.5
o;;;Portmann Roger;;;;;;;;8.5
o;5;8.5;Widmer Dominik;;25;35.5;5;8.5;0;0.0;8.5
+;11;17.0;Banz Matthias (2001);;25;35.5;11;17.0;0;0.0;10.0
o;10;27.0;Kurmann Jvo;;12;55.25;10;27.0;0;0.0;8.5

25z;Achermann Ueli (2001);;;;;;;;;;35.5
o;;;Ulrich Gregor;;;;;;;;8.5
o;5;8.5;Gwerder Beni;;12;55.25;5;8.5;0;0.0;8.5
+;11;17.0;Stocker Janosch (1999);;31;34.0;11;17.0;0;0.0;9.75
-;11;26.75;Wicki Fabian (2001);;25;35.5;11;26.75;0;0.0;8.75

25z1;Johann Michael (2001);;;;;;;;;;35.5
o;;;Erni Mathias;;;;;;;;8.5
o;5;8.5;Ineichen Stefan;;21;53.0;5;8.5;0;0.0;8.5
+;11;17.0;Burri Ueli;;28;34.75;10;17.25;-1;0.25;10.0
o;10;27.0;Kammermann Dominik;;16;54.25;10;27.0;0;0.0;8.5

25z2;Vogel Ivo (2001);;;;;;;;;;35.5
+;;;Stocker Janosch (1999);;;;;;;;10.0
o;1;10.0;Hurschler Mauri (1999);;18;53.75;2;9.75;1;-0.25;8.5
o;6;18.5;Martin Robin;*;14;54.75;10;17.25;4;-1.25;8.5
o;10;27.0;Hodel Dominik (2000);;16;54.25;10;27.0;0;0.0;8.5

26a;Rust Sandro (1999);;;;;;;;;;35.25
o;;;Portmann Stefan;;;;;;;;8.5
+;5;8.5;Gloggner André (2001);;29;34.5;3;9.0;-2;0.5;9.75
o;7;18.25;Hegner Ueli (1999);*;13;55.0;11;17.0;4;-1.25;8.5
o;11;26.75;Müller Remo;;18;53.75;11;26.75;0;0.0;8.5

26b;Marti Pirmin (2001);;;;;;;;;;35.25
+;;;Graber Silvan (1999);;;;;;;;9.75
o;2;9.75;Elmiger Andreas;;16;54.25;1;10.0;-1;0.25;8.5
o;7;18.25;Wicki David;;16;54.25;10;17.25;3;-1.0;8.5
o;11;26.75;Fischer Jonas (1999);;21;53.0;12;26.25;1;-0.5;8.5

26c;Murpf Dario (1999);;;;;;;;;;35.25
+;;;Widmer Dominik;;;;;;;;9.75
o;2;9.75;Schuler Daniel;;11;55.5;3;9.0;1;-0.75;8.5
o;7;18.25;Kempf Damian;;18;53.75;7;18.25;0;0.0;8.5
o;11;26.75;Zürcher Ueli (2000);;13;55.0;10;27.0;-1;0.25;8.5

26d;Fahrni Lukas;;;;;;;;;;35.25
o;;;Egli Matthias (2001);;;;;;;;8.5
+;5;8.5;Birrer Marcel (2001);;30;34.25;5;8.5;0;0.0;9.75
o;7;18.25;Renggli Remo (2001);;26;35.25;11;17.0;4;-1.25;8.5
o;11;26.75;Bühler Kilian (2000);;13;55.0;11;26.75;0;0.0;8.5

26e;Wigger Simon (1999);;;;;;;;;;35.25
+;;;Banz Matthias (2001);;;;;;;;9.75
o;2;9.75;Bissig Fabian;;10;55.75;5;8.5;3;-1.25;8.5
o;7;18.25;Ming Christian;*;25;35.5;11;17.0;4;-1.25;8.5
o;11;26.75;Zimmermann Reto;;14;54.75;11;26.75;0;0.0;8.5

26f;Hodel Michael (2000);;;;;;;;;;35.25
+;;;Krummenacher Fabian;;;;;;;;9.75
o;2;9.75;Müller Mathias;;15;54.5;2;9.75;0;0.0;8.5
o;7;18.25;Portmann Stefan;;12;55.25;7;18.25;0;0.0;8.5
o;11;26.75;Odermatt Sepp;;12;55.25;11;26.75;0;0.0;8.5

26g;Renggli Remo (2001);;;;;;;;;;35.25
o;;;Ziegler Moritz;;;;;;;;8.5
o;5;8.5;von Deschwanden Patrick;;17;54.0;5;8.5;0;0.0;8.5
+;11;17.0;Fahrni Lukas;;26;35.25;7;18.25;-4;1.25;9.75
o;11;26.75;Weber Roman (1999);;18;53.75;11;26.75;0;0.0;8.5

26h;Vogel Lars (2001);;;;;;;;;;35.25
o;;;Kottmann Jonas (2000);;;;;;;;8.5
o;5;8.5;Huser Christian (2000);;22;52.75;4;8.75;-1;0.25;8.5
o;11;17.0;Weber Marc (1999);;14;54.75;10;17.25;-1;0.25;8.5
+;15;25.5;Birrer Marcel (2001);;30;34.25;15;25.5;0;0.0;9.75

26i;Lampart Valentin (2000);;;;;;;;;;35.25
o;;;Widmer Simon;;;;;;;;8.5
o;5;8.5;Kammermann Dominik;;16;54.25;5;8.5;0;0.0;8.5
+;11;17.0;Steinger Nico (2001);;31;34.0;11;17.0;0;0.0;9.75
o;11;26.75;Fenk Daniel;;19;53.5;11;26.75;0;0.0;8.5

27a;Lustenberger David (2000);;;;;;;;;;35.0
-;;;Hodel Martin;;;;;;;;8.75
o;4;8.75;Wyrsch Hansi (1999);;21;53.0;5;8.5;1;-0.25;8.5
-;10;17.25;Ulrich Damian (1999);;20;53.25;11;17.0;1;-0.25;8.75
-;13;26.0;Schwyzer Samuel (2001);;27;35.0;13;26.0;0;0.0;9.0

27b;Schwyzer Samuel (2001);;;;;;;;;;35.0
-;;;Krummenacher Roman;;;;;;;;8.75
o;4;8.75;Fellmann Simon;;13;55.0;4;8.75;0;0.0;8.5
-;10;17.25;Käslin Valentin (2000);;27;35.0;10;17.25;0;0.0;8.75
-;13;26.0;Lustenberger David (2000);;27;35.0;13;26.0;0;0.0;9.0

27c;Käslin Valentin (2000);;;;;;;;;;35.0
-;;;Wyss Sven (2001);;;;;;;;8.75
o;4;8.75;Odermatt Andreas;;18;53.75;5;8.5;1;-0.25;8.5
-;10;17.25;Schwyzer Samuel (2001);;27;35.0;10;17.25;0;0.0;8.75
-;13;26.0;Müller Severin (1999);;30;34.25;15;25.5;2;-0.5;9.0

28a;Burri Ueli;;;;;;;;;;34.75
o;;;Amrein Lukas (1999);;;;;;;;8.5
-;5;8.5;Schumacher Marco (2000);;22;52.75;5;8.5;0;0.0;8.75
o;10;17.25;Johann Michael (2001);;25;35.5;11;17.0;1;-0.25;8.75
-;13;26.0;Bühlmann Robin (1999);;29;34.5;14;25.75;1;-0.25;8.75

29a;Bühlmann Robin (1999);;;;;;;;;;34.5
-;;;Arnold Adrian (2001);;;;;;;;8.75
o;4;8.75;Kennel Roger (1999);;16;54.25;5;8.5;1;-0.25;8.5
o;10;17.25;Wyss Sven (2001);;14;54.75;9;17.5;-1;0.25;8.5
-;14;25.75;Burri Ueli;;28;34.75;13;26.0;-1;0.25;8.75

29b;Krummenacher Fabian;;;;;;;;;;34.5
o;;;Hodel Michael (2000);;;;;;;;8.5
-;5;8.5;Felder Dominik (2001);;30;34.25;5;8.5;0;0.0;8.75
o;10;17.25;Fenk Daniel;;19;53.5;11;17.0;1;-0.25;8.5
-;14;25.75;Hunkeler Joel (2001);;30;34.25;15;25.5;1;-0.25;8.75

29c;Wyrsch Fabian (2001);;;;;;;;;;34.5
o;;;Doppmann Ueli;;;;;;;;8.5
o;5;8.5;Scheuber Stefan;;16;54.25;4;8.75;-1;0.25;8.5
-;11;17.0;Fischer Jonas (1999);;21;53.0;9;17.5;-2;0.5;8.75
-;14;25.75;Benz Simon (2000);;30;34.25;15;25.5;1;-0.25;8.75

29d;Gloggner André (2001);;;;;;;;;;34.5
-;;;Fischer Jonas (1999);;;;;;;;9.0
o;3;9.0;Rust Sandro (1999);;26;35.25;5;8.5;2;-0.5;8.5
o;9;17.5;Müller Remo;;18;53.75;11;17.0;2;-0.5;8.5
o;13;26.0;Arnold Adrian (2001);;22;52.75;14;25.75;1;-0.25;8.5

30a;Birrer Marcel (2001);;;;;;;;;;34.25
o;;;Ulrich Livio (1999);;;;;;;;8.5
o;5;8.5;Fahrni Lukas;;26;35.25;5;8.5;0;0.0;8.5
o;11;17.0;Fischer Tobias;;16;54.25;10;17.25;-1;0.25;8.5
o;15;25.5;Vogel Lars (2001);;26;35.25;15;25.5;0;0.0;8.75

30b;Felder Dominik (2001);;;;;;;;;;34.25
o;;;Stäger Franz (2000);;;;;;;;8.5
-;5;8.5;Krummenacher Fabian;;29;34.5;5;8.5;0;0.0;8.75
o;10;17.25;Erni Michael (2000);;25;35.5;11;17.0;1;-0.25;8.5
o;14;25.75;Graber Silvan (1999);;25;35.5;15;25.5;1;-0.25;8.5

30c;Müller Severin (1999);;;;;;;;;;34.25
o;;;Wicki Fabian (2001);;;;;;;;8.5
o;5;8.5;Gander Benjamin (2000);;16;54.25;4;8.75;-1;0.25;8.5
o;11;17.0;Fischer Maurus (2001);;25;35.5;10;17.25;-1;0.25;8.5
-;15;25.5;Käslin Valentin (2000);;27;35.0;13;26.0;-2;0.5;8.75

30d;Hunkeler Joel (2001);;;;;;;;;;34.25
o;;;Dissler Philipp;;;;;;;;8.5
o;5;8.5;Vogel Marcel;;15;54.5;5;8.5;0;0.0;8.5
o;11;17.0;Schaller Noah (2000);;14;54.75;9;17.5;-2;0.5;8.5
-;15;25.5;Krummenacher Fabian;;29;34.5;14;25.75;-1;0.25;8.75

30e;Benz Simon (2000);;;;;;;;;;34.25
o;;;Walker Roger;;;;;;;;8.5
o;5;8.5;Kempf Damian;;18;53.75;5;8.5;0;0.0;8.5
o;11;17.0;Achermann Daniel;;15;54.5;10;17.25;-1;0.25;8.5
-;15;25.5;Wyrsch Fabian (2001);;29;34.5;14;25.75;-1;0.25;8.75

31a;Peter Lukas (2001);;;;;;;;;;34.0
o;;;Weber Roman (1999);;;;;;;;8.5
o;5;8.5;Blatter Remo (2000);;12;55.25;5;8.5;0;0.0;8.5
o;11;17.0;Krummenacher Roman;;20;53.25;9;17.5;-2;0.5;8.5
o;15;25.5;Ulrich Damian (1999);;20;53.25;14;25.75;-1;0.25;8.5

31b;Steinger Nico (2001);;;;;;;;;;34.0
o;;;Bühlmann Daniel (2000);;;;;;;;8.5
o;5;8.5;Thalmann Adrian;;32;27.25;4;8.75;-1;0.25;8.5
o;11;17.0;Lampart Valentin (2000);;26;35.25;11;17.0;0;0.0;8.5
o;15;25.5;Banz Matthias (2001);;25;35.5;15;25.5;0;0.0;8.5

31c;Rust Silvio (2001);;;;;;;;;;34.0
o;;;Staffelbach Beat (2000);;;;;;;;8.5
o;5;8.5;Theiler Thomas;;25;35.5;5;8.5;0;0.0;8.5
o;11;17.0;Egli Jonas (2000);;25;35.5;11;17.0;0;0.0;8.5
o;15;25.5;Schumacher Marco (2000);;22;52.75;14;25.75;-1;0.25;8.5

31d;Stocker Janosch (1999);;;;;;;;;;34.0
o;;;Vogel Ivo (2001);;;;;;;;8.5
o;5;8.5;Effinger Peter;;11;55.5;4;8.75;-1;0.25;8.5
o;11;17.0;Achermann Ueli (2001);;25;35.5;11;17.0;0;0.0;8.5
o;15;25.5;Kunz Gian Luca (2001);;25;35.5;15;25.5;0;0.0;8.5

31e;Lustenberger Christian (2001);;;;;;;;;;34.0
o;;;Hodel Dominik (2000);;;;;;;;8.5
o;5;8.5;Ming Hannes;;14;54.75;4;8.75;-1;0.25;8.5
o;11;17.0;Reichmuth Roland;;10;55.75;9;17.5;-2;0.5;8.5
o;15;25.5;Baumann Reto;;23;45.25;11;26.75;-4;1.25;8.5

32a;Thalmann Adrian;;;;;;;;;;27.25
-;;;Gander Benjamin (2000);;;;;;;;8.75
+;4;8.75;Steinger Nico (2001);;31;34.0;5;8.5;1;-0.25;10.0
o;5;18.75;Suter David;**;14;54.75;7;18.25;2;-0.5;8.5

33a;Gasser Stefan;**;;;;;;;;;18.75
-;;;Suppiger Werner;**;;;;;;;8.75
+;4;8.75;Gmür Pirmin;*;11;55.5;5;8.5;1;-0.25;10.0

34a;Vonlaufen Lukas;*;;;;;;;;;17.0
o;;;Egli Damian;**;;;;;;;8.5
o;5;8.5;Felder Seppi;*;6;56.75;3;9.0;-2;0.5;8.5

34b;Elsener Peter;**;;;;;;;;;17.0
o;;;Muff André;*;;;;;;;8.5
o;5;8.5;Bättig Martin;*;4;57.25;4;8.75;-1;0.25;8.5

35a;Kohler Fabian;;;;;;;;;;8.5
o;;;Stucki Christian;;;;;;;;8.5

