3905-2017-07-09_Rigischwinget-ST

1a;Gwerder Andreas;**;;;;;;;;;89.25
12f;Mathis Marcel;***;;;;;;;;;55.25
+;;;Gisler Bruno;***;;;;;;;10.0
-;2;10.0;Döbeli Lukas (2000);*;14;54.75;2;10.0;0;0.0;9.0
-;5;19.0;Steinauer Adrian;**;6;56.75;3;19.75;-2;0.75;8.75
-;7;27.75;Schneider Mario;**;4;57.25;4;28.5;-3;0.75;8.75
-;11;36.5;Oertig Adrian;**;17;54.0;10;36.75;-1;0.25;8.75
+;14;45.25;Notz Beni;***;17;54.0;13;45.5;-1;0.25;10.0

13a;Oertig Dominik;**;;;;;;;;;55.0
+;;;Herger Matthias;**;;;;;;;9.75
-;3;9.75;Suppiger René;***;9;56.0;5;8.75;2;-1.0;9.0
-;6;18.75;Gwerder Carlo;**;9;56.0;6;18.75;0;0.0;9.0
+;7;27.75;Grab Martin;***;15;54.5;10;27.0;3;-0.75;10.0
-;6;37.75;Rohrer Ivan;**;16;54.25;9;37.0;3;-0.75;8.75
o;9;46.5;Langenstein Philip;*;8;56.25;10;46.25;1;-0.25;8.5

14a;Forrer Arnold;***;;;;;;;;;54.75
o;;;Arnold Stefan;**;;;;;;;8.75
+;5;8.75;Zimmermann Simon;**;22;52.75;2;10.0;-3;1.25;9.75
-;7;18.5;Arnold Raphael;*;10;55.75;4;19.5;-3;1.0;8.75
-;9;27.25;Egli Pirmin;**;10;55.75;9;27.25;0;0.0;8.75
-;13;36.0;Bucher Christian;*;16;54.25;9;37.0;-4;1.0;8.75
+;16;44.75;Rohrer Ivan;**;16;54.25;12;45.75;-4;1.0;10.0

14b;Fankhauser Reto;**;;;;;;;;;54.75
o;;;Studinger Stephan;**;;;;;;;8.75
o;5;8.75;Rüegg Fabian;*;17;54.0;6;8.5;1;-0.25;8.75
-;10;17.5;Steiner Michael;**;18;53.75;11;17.25;1;-0.25;9.0
+;12;26.5;Brun Samuel (1999);**;28;34.75;13;26.25;1;-0.25;10.0
o;11;36.5;Notz Beni;***;17;54.0;14;35.75;3;-0.75;8.5
+;15;45.0;Odermatt Christian;**;19;53.5;15;45.0;0;0.0;9.75

14c;Widmer Tobias;**;;;;;;;;;54.75
o;;;Betschart Remo;**;;;;;;;8.5
+;6;8.5;Gwerder Andreas;**;1;89.25;1;17.25;-5;8.75;9.75
o;8;18.25;Odermatt Christian;**;19;53.5;8;18.25;0;0.0;8.5
+;11;26.75;Heiniger Marco;*;12;55.25;10;27.0;-1;0.25;9.75
o;11;36.5;Grab Martin;***;15;54.5;14;35.75;3;-0.75;8.5
+;15;45.0;Bucher Christian;*;16;54.25;12;45.75;-3;0.75;9.75

14d;Döbeli Andreas;*;;;;;;;;;54.75
+;;;Vogel Remo;**;;;;;;;10.0
+;2;10.0;Grab Martin;***;15;54.5;6;8.5;4;-1.5;9.75
o;3;19.75;Nötzli Bruno;***;24;49.25;3;19.75;0;0.0;8.5
o;5;28.25;Linggi Bruno;**;7;56.5;5;28.25;0;0.0;8.75
-;9;37.0;Lang Sven;*;15;54.5;9;37.0;0;0.0;9.0
o;11;46.0;Betschart Remo;**;6;56.75;8;46.75;-3;0.75;8.75

14e;Rohrer Ueli (1999);*;;;;;;;;;54.75
-;;;Bühler Hannes;*;;;;;;;8.75
+;5;8.75;Dumelin David;*;28;34.75;6;8.5;1;-0.25;10.0
o;6;18.75;Thürig Mario;***;11;55.5;6;18.75;0;0.0;8.5
o;9;27.25;Doppmann Urs;*;12;55.25;9;27.25;0;0.0;8.5
+;14;35.75;Gwerder Andreas;**;1;89.25;1;70.75;-13;35.0;10.0
-;12;45.75;Steiner Michael;**;18;53.75;16;44.75;4;-1.0;9.0

14f;Döbeli Lukas (2000);*;;;;;;;;;54.75
+;;;Fässler Dominic;**;;;;;;;10.0
-;2;10.0;Mathis Marcel;***;12;55.25;2;10.0;0;0.0;9.0
+;5;19.0;Lang Sven;*;15;54.5;6;18.75;1;-0.25;9.75
o;3;28.75;Nötzli Reto;***;11;55.5;5;28.25;2;-0.5;8.5
-;8;37.25;Reichmuth Marco;**;25;46.25;8;37.25;0;0.0;9.0
o;10;46.25;Steinauer Adrian;**;6;56.75;7;47.0;-3;0.75;8.5

15a;Lang Sven;*;;;;;;;;;54.5
+;;;Dumelin David;*;;;;;;;10.0
-;2;10.0;Schmid David;***;16;54.25;5;8.75;3;-1.25;8.75
o;6;18.75;Döbeli Lukas (2000);*;14;54.75;5;19.0;-1;0.25;8.5
+;9;27.25;Gwerder Andreas;**;1;89.25;1;53.25;-8;26.0;9.75
-;9;37.0;Döbeli Andreas;*;14;54.75;9;37.0;0;0.0;9.0
o;11;46.0;Bieri Christoph;***;8;56.25;10;46.25;-1;0.25;8.5

15b;Grab Martin;***;;;;;;;;;54.5
o;;;Thürig Mario;***;;;;;;;8.5
o;6;8.5;Döbeli Andreas;*;14;54.75;2;10.0;-4;1.5;8.5
+;12;17.0;Rüegg Fabian;*;17;54.0;7;18.5;-5;1.5;10.0
o;10;27.0;Oertig Dominik;**;13;55.0;7;27.75;-3;0.75;8.75
+;14;35.75;Widmer Tobias;**;14;54.75;11;36.5;-3;0.75;10.0
o;12;45.75;Schmid Dominik;**;10;55.75;12;45.75;0;0.0;8.75

15c;Schmid Samuel;**;;;;;;;;;54.5
o;;;Kennel Stefan;**;;;;;;;8.5
