5325-2022-05-08_117_Ob-_und_Nidwaldner_Kantonalschwingfest-ST

1a;Durrer Fabian;*;;;;;;;;;57.75
+;5;18.75;Rohrer Ueli;**;2;57.25;2;19.75;-3;1.0;9.75
-;3;28.5;Müller Michael;**;2;57.25;3;28.5;0;0.0;8.75

23b;Nietlispach Pascal;**;;;;;;;;;37.25
-;;;Odermatt Andreas;**;;;;;;;8.75
-;4;8.75;Ettlin Stefan;**;8;55.75;3;9.0;-1;0.25;9.0
+;9;17.75;Durrer Lukas;;14;54.25;4;19.0;-5;1.25;9.75
+;7;27.5;Rohrer Michael;;16;53.75;5;28.0;-2;0.5;9.75

24a;Auf der Maur Alex;;;;;;;;;;35.75
-;;;Graber Sandro;;;;;;;;8.75
o;4;8.75;Spichtig Clemens;;14;54.25;3;9.0;-1;0.25;8.75
+;10;17.5;Bucher Sandro;;20;52.75;11;17.25;1;-0.25;9.75
o;8;27.25;von Wyl Kevin (2004);;9;55.5;8;27.25;0;0.0;8.5

24b;Zumstein Roman (2006);;;;;;;;;;35.75
o;;;Staub Ivan;;;;;;;;8.5
o;5;8.5;Widmer Simon;;16;53.75;4;8.75;-1;0.25;8.75
o;11;17.25;Huser Christian;;16;53.75;12;17.0;1;-0.25;8.5
+;14;25.75;Schnüriger Kevin (2004);;30;34.0;15;25.5;1;-0.25;10.0

25a;Arnold Matthias (2006);;;;;;;;;;35.5
o;;;Laimbacher Cyrill (2004);;;;;;;;8.5
+;5;8.5;Roth Marco (2004);;30;34.0;5;8.5;0;0.0;9.75
o;7;18.25;Durrer Ive;;12;54.75;7;18.25;0;0.0;8.5
-;10;26.75;Lagler Reto;;18;53.25;8;27.25;-2;0.5;8.75

25b;Omlin David (2006);;;;;;;;;;35.5
-;;;Bamert Mathis (2005);;;;;;;;8.75
o;4;8.75;Züger Benjamin (2004);;13;54.5;4;8.75;0;0.0;8.5
+;11;17.25;Arnold Linus (2004);;26;35.25;12;17.0;1;-0.25;9.75
o;9;27.0;Imgrüth Fabian (2005);;16;53.75;10;26.75;1;-0.25;8.5

25c;Aregger Silvan (2006);;;;;;;;;;35.5
-;;;Bucher Sandro;;;;;;;;8.75
o;4;8.75;Gander Benjamin;;13;54.5;5;8.5;1;-0.25;8.5
o;11;17.25;Küchler Severin;;19;53.0;11;17.25;0;0.0;8.5
+;14;25.75;Vogler Noah (2006);;27;34.75;12;26.25;-2;0.5;9.75

25d;Kurmann Jvo;;;;;;;;;;35.5
o;;;Durrer Markus;;;;;;;;8.5
o;5;8.5;Graber Sandro;;15;54.0;4;8.75;-1;0.25;8.5
+;12;17.0;von Moos Nico (2006);;27;34.75;11;17.25;-1;0.25;9.75
-;10;26.75;von Rotz Adrian (2006);;14;54.25;9;27.0;-1;0.25;8.75

25e;Moos Christoph;*;;;;;;;;;35.5
o;;;Durrer Jonas;*;;;;;;;8.5
o;5;8.5;Burch Jonas;**;5;56.5;5;8.5;0;0.0;8.5
+;12;17.0;Imfeld Laurin (2004);;22;45.5;6;18.5;-6;1.5;10.0
o;9;27.0;Durrer Markus;;4;56.75;4;28.25;-5;1.25;8.5

25f;Gisler Marco (2006);;;;;;;;;;35.5
o;;;Rohrer Michael;;;;;;;;8.5
o;5;8.5;Waser Raphael;;9;55.5;5;8.5;0;0.0;8.5
o;12;17.0;Kaiser Sandro;;15;54.0;11;17.25;-1;0.25;8.5
+;15;25.5;Gasser Michael (2006);;30;34.0;15;25.5;0;0.0;10.0

25g;Bamert Mathis (2005);;;;;;;;;;35.5
-;;;Omlin David (2006);;;;;;;;8.75
o;4;8.75;Durrer Ive;;12;54.75;5;8.5;1;-0.25;8.5
+;11;17.25;Niederberger Sven (2006);;18;53.25;11;17.25;0;0.0;9.75
o;9;27.0;Wolf Stefan (2006);;16;53.75;9;27.0;0;0.0;8.5

25h;Odermatt Fabian (2005);;;;;;;;;;35.5
+;;;Küchler Severin;;;;;;;;10.0
o;1;10.0;Scherrer Patrick;;7;56.0;3;9.0;2;-1.0;8.5
o;6;18.5;Styger Alex;;7;56.0;6;18.5;0;0.0;8.5
o;9;27.0;Staffelbach Noah;;11;55.0;10;26.75;1;-0.25;8.5

25i;Gwerder Andreas;*;;;;;;;;;35.5
-;;;Mehr Lars;*;;;;;;;8.75
o;4;8.75;Käslin Ruedi;*;9;55.5;5;8.5;1;-0.25;8.5
+;11;17.25;Durrer Ueli;;21;45.75;6;18.5;-5;1.25;9.75
o;9;27.0;Hurschler Tobias;;9;55.5;5;28.0;-4;1.0;8.5

25j;Büeler Ivo (2004);;;;;;;;;;35.5
-;;;von Rotz Adrian (2006);;;;;;;;8.75
o;4;8.75;Kiser Markus (2005);;16;53.75;5;8.5;1;-0.25;8.5
+;11;17.25;Arnold Manuel (2006);;30;34.0;12;17.0;1;-0.25;9.75
o;9;27.0;Kiser Dominik (2006);;16;53.75;9;27.0;0;0.0;8.5

25k;Herger Simon;;;;;;;;;;35.5
o;;;von Wyl Kevin (2004);;;;;;;;8.5
+;5;8.5;Gasser Michael (2006);;30;34.0;5;8.5;0;0.0;10.0
o;6;18.5;Odermatt Remo;*;11;55.0;12;17.0;6;-1.5;8.5
o;9;27.0;Ming Hannes;;9;55.5;8;27.25;-1;0.25;8.5

25l;Ettlin Kevin;;;;;;;;;;35.5
+;;;Herger Elias (2006);;;;;;;;9.75
-;2;9.75;Egli Severin (2004);;14;54.25;1;10.0;-1;0.25;8.75
o;6;18.5;Huber Alex;*;6;56.25;6;18.5;0;0.0;8.5
o;9;27.0;Widmer Simon;;16;53.75;9;27.0;0;0.0;8.5

25m;von Deschwanden Sven (2006);;;;;;;;;;35.5
o;;;Imgrüth Fabian (2005);;;;;;;;8.75
o;4;8.75;Egli Kilian (2004);;17;53.5;3;9.0;-1;0.25;8.5
+;11;17.25;Horat Dominic;;28;34.5;10;17.5;-1;0.25;9.75
o;9;27.0;Huser Christian;;16;53.75;10;26.75;1;-0.25;8.5

26a;Fischer Markus;;;;;;;;;;35.25
-;;;Näpflin Urs (2006);;;;;;;;9.0
o;3;9.0;Barmettler Severin (2005);;10;55.25;5;8.5;2;-0.5;8.5
-;10;17.5;Herger Elias (2006);;27;34.75;11;17.25;1;-0.25;8.75
-;12;26.25;von Moos Nico (2006);;27;34.75;14;25.75;2;-0.5;9.0

26b;Kiser Andrin (2006);;;;;;;;;;35.25
+;;;Rust Lorin (2004);;;;;;;;9.75
o;2;9.75;Steiner Severin;;12;54.75;2;9.75;0;0.0;8.5
o;7;18.25;Gander Sebastian;;17;53.5;7;18.25;0;0.0;8.5
o;10;26.75;Andermatt Reto;;11;55.0;10;26.75;0;0.0;8.5

26c;Berwert Eddy (2006);;;;;;;;;;35.25
o;;;Duss Yvan;;;;;;;;8.5
+;5;8.5;Kryenbühl Mauro (2005);;20;52.75;5;8.5;0;0.0;9.75
o;7;18.25;Gander Benjamin;;13;54.5;7;18.25;0;0.0;8.5
o;10;26.75;Püntener Luca (2005);;16;53.75;9;27.0;-1;0.25;8.5

26d;Rust Silvio;;;;;;;;;;35.25
o;;;Christen Silvan;;;;;;;;8.5
o;5;8.5;Gut Koni;;9;55.5;4;8.75;-1;0.25;8.5
o;12;17.0;Gander Martin;;14;54.25;11;17.25;-1;0.25;8.5
+;15;25.5;Flüeler Jeremias (2006);;29;34.25;14;25.75;-1;0.25;9.75

26e;Burch Jonas 2 (2005);;;;;;;;;;35.25
+;;;Arnold Manuel (2006);;;;;;;;9.75
o;2;9.75;Gisler Silvan;;10;55.25;2;9.75;0;0.0;8.5
o;7;18.25;Barmettler Severin (2005);;10;55.25;7;18.25;0;0.0;8.5
o;10;26.75;Gasser Severin (2006);;17;53.5;10;26.75;0;0.0;8.5

26f;Würsch Andrin (2006);;;;;;;;;;35.25
+;;;Gasser Michael (2006);;;;;;;;9.75
o;2;9.75;Gisler Noah;;12;54.75;3;9.0;1;-0.75;8.5
o;7;18.25;Rohrer Michael;;16;53.75;7;18.25;0;0.0;8.5
o;10;26.75;Bucher Roman;;13;54.5;9;27.0;-1;0.25;8.5

26g;Gisler Lukas (2005);;;;;;;;;;35.25
+;;;Britschgi Marcel;;;;;;;;9.75
o;2;9.75;Berchtold Kilian;;13;54.5;4;8.75;2;-1.0;8.5
o;7;18.25;Ettlin Mario;;10;55.25;7;18.25;0;0.0;8.5
o;10;26.75;Kathriner Andreas;;15;54.0;9;27.0;-1;0.25;8.5

26h;Waser Mattia (2005);;;;;;;;;;35.25
+;;;Vogler Noah (2006);;;;;;;;9.75
o;2;9.75;Schöpfer Marco;;4;56.75;2;9.75;0;0.0;8.5
o;7;18.25;Arnold Elias (2006);;14;54.25;10;17.5;3;-0.75;8.5
o;10;26.75;Kathriner Severin;;15;54.0;9;27.0;-1;0.25;8.5

26i;Arnold Linus (2004);;;;;;;;;;35.25
o;;;Zimmermann Raffael;;;;;;;;8.5
o;5;8.5;Britschgi Marcel;;14;54.25;5;8.5;0;0.0;8.5
o;12;17.0;Omlin David (2006);;25;35.5;11;17.25;-1;0.25;8.5
+;15;25.5;Arnold Manuel (2006);;30;34.0;15;25.5;0;0.0;9.75

27a;von Moos Nico (2006);;;;;;;;;;34.75
-;;;Rust Lorin (2004);;;;;;;;8.75
o;4;8.75;Elsener Manuel;;9;55.5;4;8.75;0;0.0;8.5
o;11;17.25;Kurmann Jvo;;25;35.5;12;17.0;1;-0.25;8.5
-;14;25.75;Fischer Markus;;26;35.25;12;26.25;-2;0.5;9.0

27b;von Ah Quirin;;;;;;;;;;34.75
o;;;Gasser Severin (2006);;;;;;;;8.5
o;5;8.5;Rogenmoser Ryan;;11;55.0;5;8.5;0;0.0;8.5
-;12;17.0;Steiner Edi (2006);;13;54.5;11;17.25;-1;0.25;9.0
-;13;26.0;Herger Elias (2006);;27;34.75;13;26.0;0;0.0;8.75

27c;Herger Elias (2006);;;;;;;;;;34.75
o;;;Ettlin Kevin;;;;;;;;8.5
-;5;8.5;Furrer Jens;;20;52.75;5;8.5;0;0.0;8.75
-;11;17.25;Fischer Markus;;26;35.25;10;17.5;-1;0.25;8.75
-;13;26.0;von Ah Quirin;;27;34.75;13;26.0;0;0.0;8.75

27d;Vogler Noah (2006);;;;;;;;;;34.75
o;;;Waser Mattia (2005);;;;;;;;8.75
-;4;8.75;Horat Dominic;;28;34.5;5;8.5;1;-0.25;9.0
o;9;17.75;Rust Lorin (2004);;18;53.25;10;17.5;1;-0.25;8.5
o;12;26.25;Aregger Silvan (2006);;25;35.5;14;25.75;2;-0.5;8.5

28a;Horat Dominic;;;;;;;;;;34.5
o;;;Imfeld Laurin (2004);;;;;;;;8.5
-;5;8.5;Vogler Noah (2006);;27;34.75;4;8.75;-1;0.25;9.0
o;10;17.5;von Deschwanden Sven (2006);;25;35.5;11;17.25;1;-0.25;8.5
o;13;26.0;Näpflin Urs (2006);;19;53.0;14;25.75;1;-0.25;8.5

29a;Arnold David (2006);;;;;;;;;;34.25
o;;;von Wyl Simon;;;;;;;;8.5
o;5;8.5;von Flüe Silvan (2004);;15;54.0;3;9.0;-2;0.5;8.5
-;12;17.0;Furrer Jens;;20;52.75;11;17.25;-1;0.25;8.75
o;14;25.75;Bucher Sandro;;20;52.75;14;25.75;0;0.0;8.5

29b;Blättler Michi (2006);;;;;;;;;;34.25
-;;;Flüeler Jeremias (2006);;;;;;;;8.75
o;4;8.75;Styger Alex;;7;56.0;4;8.75;0;0.0;8.5
o;11;17.25;Lienhard Ramon (2004);;19;53.0;10;17.5;-1;0.25;8.5
o;14;25.75;Steiner Edi (2006);;13;54.5;12;26.25;-2;0.5;8.5

29c;Hess Ramon (2006);;;;;;;;;;34.25
-;;;von Flüe Silvan (2004);;;;;;;;8.75
o;4;8.75;Felder Ivan (2004);;13;54.5;5;8.5;1;-0.25;8.5
o;11;17.25;Epp Elias;;12;54.75;10;17.5;-1;0.25;8.5
o;14;25.75;Furrer Jens;;20;52.75;13;26.0;-1;0.25;8.5

29d;Flüeler Jeremias (2006);;;;;;;;;;34.25
-;;;Blättler Michi (2006);;;;;;;;8.75
o;4;8.75;Gerber Jakob;;13;54.5;4;8.75;0;0.0;8.5
o;11;17.25;Lagler Reto;;18;53.25;11;17.25;0;0.0;8.5
o;14;25.75;Rust Silvio;;26;35.25;15;25.5;1;-0.25;8.5

30a;Roth Marco (2004);;;;;;;;;;34.0
o;;;Kiser Dominik (2006);;;;;;;;8.5
o;5;8.5;Arnold Matthias (2006);;25;35.5;5;8.5;0;0.0;8.5
o;12;17.0;Imfeld David (2006);;15;54.0;11;17.25;-1;0.25;8.5
o;15;25.5;Niederberger Sven (2006);;18;53.25;14;25.75;-1;0.25;8.5

30b;Schnüriger Kevin (2004);;;;;;;;;;34.0
o;;;Bucher Roman;;;;;;;;8.5
o;5;8.5;von Rotz Adrian (2006);;14;54.25;4;8.75;-1;0.25;8.5
o;12;17.0;Püntener Luca (2005);;16;53.75;12;17.0;0;0.0;8.5
o;15;25.5;Zumstein Roman (2006);;24;35.75;14;25.75;-1;0.25;8.5

30c;Gasser Michael (2006);;;;;;;;;;34.0
o;;;Würsch Andrin (2006);;;;;;;;8.5
o;5;8.5;Herger Simon;;25;35.5;5;8.5;0;0.0;8.5
o;12;17.0;Zberg Peter (2004);;13;54.5;11;17.25;-1;0.25;8.5
o;15;25.5;Gisler Marco (2006);;25;35.5;15;25.5;0;0.0;8.5

30d;Arnold Manuel (2006);;;;;;;;;;34.0
o;;;Burch Jonas 2 (2005);;;;;;;;8.5
o;5;8.5;Andermatt Reto;;11;55.0;5;8.5;0;0.0;8.5
o;12;17.0;Büeler Ivo (2004);;25;35.5;11;17.25;-1;0.25;8.5
o;15;25.5;Arnold Linus (2004);;26;35.25;15;25.5;0;0.0;8.5

31a;Gander Adrian;*;;;;;;;;;27.0
+;;;Gisler Jonas;*;;;;;;;10.0
o;1;10.0;Lustenberger Marc;*;2;57.25;2;9.75;1;-0.25;8.5
o;6;18.5;Schöpfer Marco;;4;56.75;3;19.5;-3;1.0;8.5

32a;Barmettler Renato;*;;;;;;;;;10.0
+;;;Arnold Severin;*;;;;;;;10.0

33a;Bürgi Reto;*;;;;;;;;;8.5
o;;;Steudler Kevin;*;;;;;;;8.5

