5593-2022-05-22_99_Urner_Kant_Schwingfest3-ST

1a;Gisler Silvan;;;;;;;;;;107.5
+;9;27.5;Gisler Silvan;;1;107.5;1;55.0;-8;27.5;9.75
+;9;37.25;Eﬃnger Markus;*;19;54.0;10;37.0;1;-0.25;10.0
o;7;47.25;Nietlispach Pascal;**;9;56.5;9;46.75;2;-0.5;8.75

11i;Bühler Ramon;;;;;;;;;;56.0
+;;;Donelli Enea (2006);;;;;;;;9.75
-;3;9.75;Schuler Daniel;*;14;55.25;6;8.5;3;-1.25;8.75
-;7;18.5;Graber Sandro;;18;54.25;8;18.25;1;-0.25;8.75
+;10;27.25;Gisler Marco (2006);;26;35.5;11;27.0;1;-0.25;9.75
-;10;37.0;Langensand Stefan;*;12;55.75;10;37.0;0;0.0;9.0
+;12;46.0;Arnold Elias (2006);;18;54.25;13;45.75;1;-0.25;10.0

12a;Egli Matthias;;;;;;;;;;55.75
-;;;Betschart Daniel;;;;;;;;8.75
+;5;8.75;Epp Elias;;16;54.75;4;9.0;-1;0.25;10.0
o;6;18.75;Nietlispach Pascal;**;9;56.5;8;18.25;2;-0.5;8.5
-;10;27.25;von Wyl Kevin (2004);;14;55.25;10;27.25;0;0.0;8.75
+;14;36.0;Barmettler Severin (2005);;17;54.5;14;36.0;0;0.0;9.75
+;13;45.75;Hurschler Adrian;;18;54.25;13;45.75;0;0.0;10.0

12b;Suter Bruno;*;;;;;;;;;55.75
+;;;Vogel Marcel;*;;;;;;;10.0
+;2;10.0;Troxler Jonas;*;12;55.75;3;9.75;1;-0.25;10.0
o;2;20.0;Arnold Stefan;**;9;56.5;3;19.75;1;-0.25;8.5
+;5;28.5;Elmiger Matthias;;12;55.75;4;28.75;-1;0.25;9.75
o;5;38.25;Bürli Roger;**;6;57.25;7;37.75;2;-0.5;8.5
-;9;46.75;von Wyl Kevin (2004);;14;55.25;11;46.25;2;-0.5;9.0

12c;Langensand Stefan;*;;;;;;;;;55.75
-;;;Wyrsch Silvio;*;;;;;;;8.75
o;5;8.75;Bürli Roger;**;6;57.25;4;9.0;-1;0.25;8.5
+;12;17.25;Staffelbach Noah;;13;55.5;7;18.5;-5;1.25;10.0
+;10;27.25;Grüter Marcel;;18;54.25;10;27.25;0;0.0;9.75
