3997-2018-07-01_Appenzeller_Kantonalschwingfest-ST

1a;Kuster Marcel;***;;;;;;;;;59.5
-;1;10.0;Oertig Simon;*;13;55.25;5;8.5;4;-1.5;8.75
+;5;18.75;Schmidlin Tobias (2001);;18;54.0;6;18.5;1;-0.25;9.75
o;5;28.5;Vestner Roman;*;13;55.25;5;28.5;0;0.0;8.5
+;9;37.0;Schiess Daniel (2002);;18;54.0;9;37.0;0;0.0;10.0
o;7;47.0;Ammann Rico;*;4;57.5;5;47.75;-2;0.75;8.5

12h;Keller Dominic;;;;;;;;;;55.5
o;;;Alder Armin;;;;;;;;8.5
+;5;8.5;Bärtsch Andreas (2002);;29;34.5;4;8.75;-1;0.25;10.0
o;6;18.5;Ott Damian (2000);**;13;55.25;11;17.0;5;-1.5;8.5
+;11;27.0;Tobler Marco;;17;54.25;11;27.0;0;0.0;10.0
o;9;37.0;Räbsamen Marcel (2000);;9;56.25;7;37.5;-2;0.5;8.75
+;12;45.75;Langenegger Beat;;18;54.0;13;45.5;1;-0.25;9.75

13a;Oertig Simon;*;;;;;;;;;55.25
o;;;Wittenwiler Roman;*;;;;;;;8.5
-;5;8.5;Inauen Andreas;*;12;55.5;1;10.0;-4;1.5;8.75
+;10;17.25;Sonderegger Max (2002);;23;52.5;6;18.5;-4;1.25;9.75
+;11;27.0;Dobler Mathias;;20;53.5;7;28.0;-4;1.0;10.0
+;9;37.0;Manser Mathias;;13;55.25;10;36.75;1;-0.25;9.75
o;8;46.75;Dändliker Shane;**;12;55.5;12;45.75;4;-1.0;8.5

13b;Frick Andreas;*;;;;;;;;;55.25
o;;;Wey Nicola;*;;;;;;;8.5
+;5;8.5;Knecht Remo (2002);;23;52.5;1;10.0;-4;1.5;10.0
+;6;18.5;Stauffacher Martin;;17;54.25;6;18.5;0;0.0;9.75
o;6;28.25;Ammann Rico;*;4;57.5;6;28.25;0;0.0;8.5
+;10;36.75;Fontana Michael;*;14;55.0;10;36.75;0;0.0;9.75
o;9;46.5;Alder Armin;;7;56.75;8;46.75;-1;0.25;8.75

13c;Glättli Benny;;;;;;;;;;55.25
o;;;Keller Werner;;;;;;;;8.5
o;5;8.5;Schweingruber Thomas;;13;55.25;5;8.5;0;0.0;8.5
+;11;17.0;Inauen Ivo (2002);;30;34.0;11;17.0;0;0.0;10.0
+;11;27.0;Sonderegger Max (2002);;23;52.5;11;27.0;0;0.0;9.75
o;10;36.75;Schwyn Adrian;*;12;55.5;9;37.0;-1;0.25;8.5
+;14;45.25;Signer Walter;;19;53.75;14;45.25;0;0.0;10.0

13d;Matter Stefan;;;;;;;;;;55.25
o;;;Willi Renato;;;;;;;;8.5
o;5;8.5;Sieber Marc (2000);;28;35.25;2;9.75;-3;1.25;8.5
+;11;17.0;Maglia Leo;;23;52.5;11;17.0;0;0.0;9.75
+;12;26.75;Oberhänsli Nick (2001);;28;35.25;12;26.75;0;0.0;10.0
o;10;36.75;Kobler Janosch (2000);;14;55.0;10;36.75;0;0.0;8.5
+;14;45.25;Scherrer Pascal;;18;54.0;13;45.5;-1;0.25;10.0
o;13;55.25;Elmer Daniel;*;10;56.0;10;56.0;-3;0.75;0.0

13e;Heierli Pascal;*;;;;;;;;;55.25
+;;;Vestner Bruno;*;;;;;;;10.0
-;1;10.0;Zwyssig Raphael;***;7;56.75;2;9.75;1;-0.25;9.0
+;4;19.0;Manser Dominik;;20;53.5;3;19.5;-1;0.5;10.0
o;3;29.0;Kuster Marcel;***;1;59.5;1;29.75;-2;0.75;8.5
-;7;37.5;Wittenwiler Roman;*;6;57.0;4;38.25;-3;0.75;8.75
-;10;46.25;Keller Lukas;;14;55.0;11;46.0;1;-0.25;9.0

13f;Thoma Luca (2000);;;;;;;;;;55.25
o;;;Schmidlin Tobias (2001);;;;;;;;8.5
+;5;8.5;Steiner Lukas (2002);;13;55.25;5;8.5;0;0.0;9.75
+;7;18.25;Gemperli Julian (2002);;28;35.25;7;18.25;0;0.0;10.0
