5547-2021-07-18_Schwyzer_Kantonales_Schwingfest-ST

1a;Schuler Christian;***;;;;;;;;;59.5
+;15;26.0;Arnold Pascal (2004);;29;34.0;17;25.5;2;-0.5;10.0
-;13;36.0;Schuler Samuel (2003);;14;54.75;12;36.25;-1;0.25;8.75
o;16;44.75;Rogenmoser Ryan;;14;54.75;16;44.75;0;0.0;8.5

20b;Bucher Sandro;;;;;;;;;;53.25
o;;;von Rickenbach Pirmin;;;;;;;;8.5
o;5;8.5;Betschart Daniel;;15;54.5;4;8.75;-1;0.25;8.5
o;12;17.0;Köpfli Mario (2005);;16;54.25;11;17.25;-1;0.25;8.75
+;16;25.75;Bamert Mathis (2005);;29;34.0;17;25.5;1;-0.25;10.0
o;14;35.75;Wyttenbach Silvan (2005);;17;54.0;14;35.75;0;0.0;8.5
-;18;44.25;Egli Kilian (2004);;20;53.25;18;44.25;0;0.0;9.0

20c;Egli Kilian (2004);;;;;;;;;;53.25
o;;;Ulrich Michael (2003);;;;;;;;8.5
+;5;8.5;Schnüriger Kevin (2004);;27;34.5;5;8.5;0;0.0;10.0
o;6;18.5;Kessler Joel;*;9;56.0;6;18.5;0;0.0;8.5
-;11;27.0;Garovi Matteo (2003);;22;52.75;11;27.0;0;0.0;8.75
o;14;35.75;Blumenthal Lino;;11;55.5;15;35.5;1;-0.25;8.5
-;18;44.25;Bucher Sandro;;20;53.25;18;44.25;0;0.0;9.0

20d;Achermann Ueli;;;;;;;;;;53.25
o;;;Suter Michael;;;;;;;;8.75
-;4;8.75;Schuler Samuel (2003);;14;54.75;4;8.75;0;0.0;8.75
o;10;17.5;Zanini David;;11;55.5;9;17.75;-1;0.25;8.5
+;15;26.0;Kälin Michael;;27;34.5;16;25.75;1;-0.25;10.0
o;13;36.0;von Rickenbach Pirmin;;15;54.5;13;36.0;0;0.0;8.75
o;16;44.75;Gerber Jakob;;15;54.5;17;44.5;1;-0.25;8.5

20e;Bühler Ramon;;;;;;;;;;53.25
-;;;Zimmermann Raffael;;;;;;;;8.75
+;4;8.75;Hüppin Lukas (2004);;18;53.75;5;8.5;1;-0.25;9.75
-;6;18.5;Hegner Ueli;*;12;55.25;9;17.75;3;-0.75;8.75
-;10;27.25;Waser Raphael;;19;53.5;11;27.0;1;-0.25;8.75
-;13;36.0;Betschart Roger (2003);;21;53.0;14;35.75;1;-0.25;8.75
o;16;44.75;Betschart Daniel;;15;54.5;16;44.75;0;0.0;8.5

21a;von Flüe Silvan (2004);;;;;;;;;;53.0
-;;;Fässler Werner (2005);;;;;;;;8.75
o;4;8.75;Steiner Severin;;14;54.75;4;8.75;0;0.0;8.5
-;11;17.25;Broch Marcel;;28;34.25;12;17.0;1;-0.25;8.75
+;15;26.0;Camenzind Simon (2004);;29;34.0;17;25.5;2;-0.5;10.0
o;13;36.0;Steinauer Kevin (2004);;14;54.75;12;36.25;-1;0.25;8.5
o;17;44.5;Solenthaler David (2004);;15;54.5;17;44.5;0;0.0;8.5

21b;Fischer Markus;;;;;;;;;;53.0
o;;;Schwegler Flavio (2004);;;;;;;;8.5
+;5;8.5;Bürgi Simon (2003);;31;25.75;4;8.75;-1;0.25;9.75
o;7;18.25;Schnellmann Alexander (2004);;13;55.0;7;18.25;0;0.0;8.5
-;12;26.75;Büeler Ivo (2004);;21;53.0;12;26.75;0;0.0;9.0
o;14;35.75;Andermatt Reto;;17;54.0;14;35.75;0;0.0;8.5
o;18;44.25;Köpfli Mario (2005);;16;54.25;18;44.25;0;0.0;8.75

21c;Britschgi Markus;;;;;;;;;;53.0
+;;;Camenzind Simon (2004);;;;;;;;10.0
o;1;10.0;Kurmann Toni;*;6;56.75;3;9.0;2;-1.0;8.5
o;6;18.5;Forster Christian;;11;55.5;6;18.5;0;0.0;8.5
o;11;27.0;Wiget Ueli;;12;55.25;11;27.0;0;0.0;8.5
o;15;35.5;Baumann Reto;;17;54.0;15;35.5;0;0.0;8.75
-;18;44.25;Büeler Ivo (2004);;21;53.0;18;44.25;0;0.0;8.75

21d;Büeler Ivo (2004);;;;;;;;;;53.0
o;;;Suter Raphael;;;;;;;;8.5
+;5;8.5;Bamert Mathis (2005);;29;34.0;5;8.5;0;0.0;9.75
o;7;18.25;Theiler Thomas;;11;55.5;7;18.25;0;0.0;8.5
-;12;26.75;Fischer Markus;;21;53.0;12;26.75;0;0.0;9.0
o;14;35.75;Roner Remo;;17;54.0;14;35.75;0;0.0;8.5
-;18;44.25;Britschgi Markus;;21;53.0;18;44.25;0;0.0;8.75

21e;Betschart Roger (2003);;;;;;;;;;53.0
-;;;Gwerder Beni;;;;;;;;8.75
+;4;8.75;Nideröst Remo (2005);;28;34.25;5;8.5;1;-0.25;9.75
-;6;18.5;Durrer Markus;;15;54.5;6;18.5;0;0.0;8.75
o;10;27.25;Scherrer Patrick;;11;55.5;10;27.25;0;0.0;8.5
-;14;35.75;Bühler Ramon;;20;53.25;13;36.0;-1;0.25;8.75
o;17;44.5;Bühler Patrice;;15;54.5;16;44.75;-1;0.25;8.5

22a;Laimbacher Cyrill (2004);;;;;;;;;;52.75
-;;;Mignola Lorenzo;;;;;;;;8.75
+;4;8.75;Rohrer Michael;;27;34.5;5;8.5;1;-0.25;10.0
o;5;18.75;Barmettler Peter;*;7;56.5;6;18.5;1;-0.25;8.5
o;10;27.25;Suter Lukas;;16;54.25;10;27.25;0;0.0;8.5
o;14;35.75;Lienhard Ramon (2004);;18;53.75;15;35.5;1;-0.25;8.5
o;18;44.25;Schmidiger Lukas (2004);;17;54.0;18;44.25;0;0.0;8.5

22b;Suter Nicola (2005);;;;;;;;;;52.75
-;;;Solenthaler David (2004);;;;;;;;9.0
+;3;9.0;Arnold Pascal (2004);;29;34.0;5;8.5;2;-0.5;9.75
o;5;18.75;Bürgi Reto;*;8;56.25;5;18.75;0;0.0;8.5
o;10;27.25;Züger Benjamin (2004);;16;54.25;10;27.25;0;0.0;8.5
o;14;35.75;Schwegler Flavio (2004);;17;54.0;15;35.5;1;-0.25;8.5
o;18;44.25;Kathriner Severin;;17;54.0;18;44.25;0;0.0;8.5

22c;Garovi Matteo (2003);;;;;;;;;;52.75
+;;;Imgrüth Fabian (2005);;;;;;;;10.0
o;1;10.0;Keller Janik;*;24;45.25;4;8.75;3;-1.25;8.5
o;6;18.5;Suter Bruno;;11;55.5;6;18.5;0;0.0;8.5
-;11;27.0;Egli Kilian (2004);;20;53.25;11;27.0;0;0.0;8.75
o;14;35.75;Schuler Thomas;;16;54.25;14;35.75;0;0.0;8.5
o;18;44.25;Gisler Silvan;;18;53.75;19;44.0;1;-0.25;8.5

23a;Arnold Livio (2004);;;;;;;;;;52.5
-;;;Gisler Silvan;;;;;;;;8.75
o;4;8.75;Beffa Mario;;11;55.5;4;8.75;0;0.0;8.5
+;11;17.25;Waldis Sven (2004);;29;34.0;12;17.0;1;-0.25;9.75
o;11;27.0;Schmid Pius;;13;55.0;11;27.0;0;0.0;8.5
o;15;35.5;Fässler Werner (2005);;17;54.0;15;35.5;0;0.0;8.5
o;19;44.0;Mignola Lorenzo;;18;53.75;19;44.0;0;0.0;8.5

23b;Odermatt Fabian (2005);;;;;;;;;;52.5
o;;;Ulrich Pascal;;;;;;;;8.5
+;5;8.5;Kryenbühl Mauro (2005);;25;35.25;5;8.5;0;0.0;10.0
o;6;18.5;Effinger Markus;*;9;56.0;10;17.5;4;-1.0;8.5
o;11;27.0;Gemsch Stefan;;13;55.0;11;27.0;0;0.0;8.5
o;15;35.5;Marti Simon;;11;55.5;14;35.75;-1;0.25;8.5
o;19;44.0;Hüppin Lukas (2004);;18;53.75;19;44.0;0;0.0;8.5

24a;Keller Janik;*;;;;;;;;;45.25
-;;;Schmid Simon;*;;;;;;;8.75
+;4;8.75;Garovi Matteo (2003);;22;52.75;1;10.0;-3;1.25;10.0
-;5;18.75;Ettlin Michael;;13;55.0;5;18.75;0;0.0;9.0
-;8;27.75;Moos Christoph;*;13;55.0;9;27.5;1;-0.25;8.75
o;11;36.5;Vogel Manuel;;12;55.25;9;37.0;-2;0.5;8.75

25a;Imgrüth Fabian (2005);;;;;;;;;;35.25
o;;;Garovi Matteo (2003);;;;;;;;8.5
+;5;8.5;Köpfli Mario (2005);;16;54.25;5;8.5;0;0.0;9.75
o;7;18.25;Bacher Andreas;;11;55.5;11;17.25;4;-1.0;8.5
o;12;26.75;Gander Sebastian (2003);;17;54.0;12;26.75;0;0.0;8.5

25b;Kathriner Andreas (2003);;;;;;;;;;35.25
+;;;Bürgi Simon (2003);;;;;;;;9.75
o;2;9.75;Kenel Franz-Toni;*;10;55.75;4;8.75;2;-1.0;8.5
o;7;18.25;Suter Raphael;;18;53.75;7;18.25;0;0.0;8.5
o;12;26.75;Murpf Dario;;16;54.25;11;27.0;-1;0.25;8.5

25c;Durrer Pascal;;;;;;;;;;35.25
+;;;Arnold Pascal (2004);;;;;;;;9.75
o;2;9.75;Reichmuth Lukas;*;13;55.0;4;8.75;2;-1.0;8.5
o;7;18.25;Föhn Christian;;11;55.5;7;18.25;0;0.0;8.5
o;12;26.75;Ulrich Pascal;;15;54.5;12;26.75;0;0.0;8.5

25d;Zimmermann Gian (2004);;;;;;;;;;35.25
o;;;Suter Bruno;;;;;;;;8.5
o;5;8.5;Gerber Jakob;;15;54.5;4;8.75;-1;0.25;8.5
+;12;17.0;Reichlin Reto;;28;34.25;12;17.0;0;0.0;9.75
o;12;26.75;Felder Ivan (2004);;14;54.75;13;26.5;1;-0.25;8.5

25e;Kaiser Sandro;;;;;;;;;;35.25
+;;;Roth Marco (2004);;;;;;;;9.75
o;2;9.75;Hess Michael;*;11;55.5;4;8.75;2;-1.0;8.5
o;7;18.25;Von Euw Adi;;11;55.5;6;18.5;-1;0.25;8.5
o;12;26.75;Brunner Timon;;12;55.25;11;27.0;-1;0.25;8.5

25f;Krauer Andri (2005);;;;;;;;;;35.25
o;;;Züger Benjamin (2004);;;;;;;;8.5
o;5;8.5;Birchler Fabian;;10;55.75;5;8.5;0;0.0;8.5
+;12;17.0;Kryenbühl Mauro (2005);;25;35.25;12;17.0;0;0.0;9.75
o;12;26.75;Blättler Ronnie (2004);;18;53.75;12;26.75;0;0.0;8.5

25g;Gisler Lukas (2005);;;;;;;;;;35.25
o;;;Wiget Ueli;;;;;;;;8.5
o;5;8.5;Blättler Ronnie (2004);;18;53.75;5;8.5;0;0.0;8.5
+;12;17.0;Nideröst Remo (2005);;28;34.25;12;17.0;0;0.0;9.75
o;12;26.75;Vogel Manuel;;12;55.25;11;27.0;-1;0.25;8.5

25h;Kryenbühl Mauro (2005);;;;;;;;;;35.25
o;;;Ettlin Mario (2003);;;;;;;;8.5
o;5;8.5;Odermatt Fabian (2005);;23;52.5;5;8.5;0;0.0;8.5
o;12;17.0;Krauer Andri (2005);;25;35.25;12;17.0;0;0.0;8.5
+;17;25.5;Furrer Jens;;29;34.0;17;25.5;0;0.0;9.75

25i;Reichmuth Marco (2005);;;;;;;;;;35.25
o;;;von Büren Thomas;;;;;;;;8.5
+;5;8.5;Bacher Andreas;;11;55.5;5;8.5;0;0.0;9.75
o;7;18.25;Zgraggen Peter;;13;55.0;7;18.25;0;0.0;8.5
o;12;26.75;Arnold Sebastian;;12;55.25;12;26.75;0;0.0;8.5

26a;Keller Damian;;;;;;;;;;35.0
-;;;Betschart Fabian;;;;;;;;8.75
-;4;8.75;Kathriner Severin;;17;54.0;5;8.5;1;-0.25;8.75
-;10;17.5;Kälin Michael;;27;34.5;12;17.0;2;-0.5;8.75
-;14;26.25;Roth Marco (2004);;27;34.5;16;25.75;2;-0.5;8.75

27a;Ulrich Sandro (2005);;;;;;;;;;34.5
o;;;Roner Remo;;;;;;;;8.5
-;5;8.5;Lienhard Ramon (2004);;18;53.75;5;8.5;0;0.0;9.0
o;10;17.5;von Ah Markus;;16;54.25;11;17.25;1;-0.25;8.5
o;15;26.0;Solenthaler David (2004);;15;54.5;15;26.0;0;0.0;8.5

27b;Roth Marco (2004);;;;;;;;;;34.5
o;;;Kaiser Sandro;;;;;;;;8.5
o;5;8.5;Arnold Sebastian;;12;55.25;5;8.5;0;0.0;8.5
-;12;17.0;Schnüriger Kevin (2004);;27;34.5;12;17.0;0;0.0;8.75
-;16;25.75;Keller Damian;;26;35.0;14;26.25;-2;0.5;8.75

27c;Kälin Michael;;;;;;;;;;34.5
o;;;Arnold Kilian;;;;;;;;8.5
o;5;8.5;Murpf Dario;;16;54.25;4;8.75;-1;0.25;8.5
-;12;17.0;Keller Damian;;26;35.0;10;17.5;-2;0.5;8.75
o;16;25.75;Achermann Ueli;;20;53.25;15;26.0;-1;0.25;8.75

27d;Schnüriger Kevin (2004);;;;;;;;;;34.5
o;;;Steinauer Kevin (2004);;;;;;;;8.5
o;5;8.5;Egli Kilian (2004);;20;53.25;5;8.5;0;0.0;8.5
-;12;17.0;Roth Marco (2004);;27;34.5;12;17.0;0;0.0;8.75
-;16;25.75;Nideröst Remo (2005);;28;34.25;17;25.5;1;-0.25;8.75

27e;Rohrer Michael;;;;;;;;;;34.5
o;;;Bühler Kilian;;;;;;;;8.5
o;5;8.5;Laimbacher Cyrill (2004);;22;52.75;4;8.75;-1;0.25;8.5
-;12;17.0;Birchler Kilian;;28;34.25;12;17.0;0;0.0;8.75
-;16;25.75;Reichlin Reto;;28;34.25;17;25.5;1;-0.25;8.75

28a;Nideröst Remo (2005);;;;;;;;;;34.25
o;;;Schmidiger Lukas (2004);;;;;;;;8.5
o;5;8.5;Betschart Roger (2003);;21;53.0;4;8.75;-1;0.25;8.5
o;12;17.0;Gisler Lukas (2005);;25;35.25;12;17.0;0;0.0;8.5
-;17;25.5;Schnüriger Kevin (2004);;27;34.5;16;25.75;-1;0.25;8.75

28b;Broch Marcel;;;;;;;;;;34.25
o;;;Gemsch Stefan;;;;;;;;8.5
o;5;8.5;Schuler Oliver;;11;55.5;5;8.5;0;0.0;8.5
-;12;17.0;von Flüe Silvan (2004);;21;53.0;11;17.25;-1;0.25;8.75
o;16;25.75;Hüppin Lukas (2004);;18;53.75;17;25.5;1;-0.25;8.5

28c;Reichlin Reto;;;;;;;;;;34.25
o;;;Theiler Thomas;;;;;;;;8.5
o;5;8.5;Baumann Reto;;17;54.0;5;8.5;0;0.0;8.5
o;12;17.0;Zimmermann Gian (2004);;25;35.25;12;17.0;0;0.0;8.5
-;17;25.5;Rohrer Michael;;27;34.5;16;25.75;-1;0.25;8.75

28d;Betschart Fabian;;;;;;;;;;34.25
-;;;Keller Damian;;;;;;;;8.75
o;4;8.75;Schöpfer Marco (2003);;12;55.25;3;9.0;-1;0.25;8.5
o;11;17.25;Vogel Laurin;;12;55.25;8;18.0;-3;0.75;8.5
o;16;25.75;Schwyzer Sebastian (2004);;18;53.75;13;26.5;-3;0.75;8.5

28e;Birchler Kilian;;;;;;;;;;34.25
o;;;Achermann Simon;;;;;;;;8.5
o;5;8.5;Zimmermann Raffael;;18;53.75;4;8.75;-1;0.25;8.5
-;12;17.0;Rohrer Michael;;27;34.5;12;17.0;0;0.0;8.75
o;16;25.75;Kurmann Jvo;;15;54.5;14;26.25;-2;0.5;8.5

29a;Arnold Pascal (2004);;;;;;;;;;34.0
o;;;Durrer Pascal;;;;;;;;8.5
o;5;8.5;Suter Nicola (2005);;22;52.75;3;9.0;-2;0.5;8.5
o;12;17.0;Wyttenbach Silvan (2005);;17;54.0;12;17.0;0;0.0;8.5
o;17;25.5;Lagler Reto;;20;53.25;15;26.0;-2;0.5;8.5

29b;Camenzind Simon (2004);;;;;;;;;;34.0
o;;;Britschgi Markus;;;;;;;;8.5
o;5;8.5;Gut Koni;;10;55.75;4;8.75;-1;0.25;8.5
o;12;17.0;Kathriner Severin;;17;54.0;11;17.25;-1;0.25;8.5
o;17;25.5;von Flüe Silvan (2004);;21;53.0;15;26.0;-2;0.5;8.5

29c;Stadler Simon;;;;;;;;;;34.0
o;;;Bissig Fabian;;;;;;;;8.5
o;5;8.5;Lustenberger Tim (2005);;16;54.25;5;8.5;0;0.0;8.5
o;12;17.0;Mignola Lorenzo;;18;53.75;11;17.25;-1;0.25;8.5
o;17;25.5;Rogenmoser Ryan;;14;54.75;14;26.25;-3;0.75;8.5

29d;Waldis Sven (2004);;;;;;;;;;34.0
o;;;Rohrer Marco;;;;;;;;8.5
o;5;8.5;von Matt Lars;;13;55.0;5;8.5;0;0.0;8.5
o;12;17.0;Arnold Livio (2004);;23;52.5;11;17.25;-1;0.25;8.5
o;17;25.5;Lienhard Ramon (2004);;18;53.75;16;25.75;-1;0.25;8.5

29e;Bamert Mathis (2005);;;;;;;;;;34.0
o;;;Christen Silvan;;;;;;;;8.5
o;5;8.5;Büeler Ivo (2004);;21;53.0;5;8.5;0;0.0;8.5
o;12;17.0;Ettlin Kevin;;17;54.0;12;17.0;0;0.0;8.5
o;17;25.5;Bucher Sandro;;20;53.25;16;25.75;-1;0.25;8.5

29f;Furrer Jens;;;;;;;;;;34.0
o;;;Heinzer Lukas (2004);;;;;;;;8.5
o;5;8.5;Ulrich Damian;;18;53.75;5;8.5;0;0.0;8.5
o;12;17.0;Fässler Werner (2005);;17;54.0;11;17.25;-1;0.25;8.5
o;17;25.5;Kryenbühl Mauro (2005);;25;35.25;17;25.5;0;0.0;8.5

30a;Niederberger Markus;*;;;;;;;;;27.0
o;;;Waser Reto;*;;;;;;;8.5
+;5;8.5;Suter Raphael;;18;53.75;2;9.75;-3;1.25;10.0
o;6;18.5;Heinzer Lukas (2004);;12;55.25;5;18.75;-1;0.25;8.5

31a;Bürgi Simon (2003);;;;;;;;;;25.75
o;;;Kathriner Andreas (2003);;;;;;;;8.75
o;4;8.75;Fischer Markus;;21;53.0;5;8.5;1;-0.25;8.5
o;11;17.25;Gander Sebastian (2003);;17;54.0;12;17.0;1;-0.25;8.5

32a;Blaser Theo;*;;;;;;;;;17.5
-;;;Schnider Markus;*;;;;;;;8.75
o;4;8.75;Bühler Kilian;;10;55.75;1;10.0;-3;1.25;8.75

33a;Gwerder Andreas;*;;;;;;;;;17.0
o;;;Wyss Sven;*;;;;;;;8.5
o;5;8.5;Amrhyn Jonas (2003);;13;55.0;2;9.75;-3;1.25;8.5

